x	y	texture	height
0	0	0	0
1	0	1	0
2	0	2	0
3	0	3	0
4	0	4	0
5	0	5	0
6	0	6	0
7	0	7	0
8	0	8	0
9	0	9	0
10	0	10	0
11	0	11	0
12	0	11	0
13	0	12	0
14	0	1	0
15	0	13	0
16	0	11	0
17	0	14	0
18	0	15	0
19	0	16	0
20	0	17	0
21	0	18	0
22	0	19	0
23	0	20	0
24	0	21	0
25	0	22	0
26	0	23	0
27	0	14	0
28	0	2	0
29	0	24	0
30	0	25	0
31	0	26	0
32	0	27	0
33	0	28	0
34	0	29	0
35	0	9	0
36	0	9	0
37	0	30	0
38	0	3	0
39	0	11	0
40	0	12	0
41	0	1	0
42	0	31	0
43	0	32	0
44	0	33	0
45	0	34	0
46	0	35	0
47	0	36	0
48	0	3	0
49	0	22	0
50	0	35	0
51	0	37	0
52	0	38	0
53	0	33	0
54	0	34	0
55	0	38	0
56	0	35	0
57	0	38	0
58	0	39	0
59	0	40	0
60	0	9	0
61	0	0	0
62	0	41	0
63	0	9	0
64	0	9	0
65	0	9	0
66	0	42	0
67	0	43	0
68	0	44	0
69	0	35	0
70	0	45	0
71	0	42	0
72	0	46	0
73	0	47	0
74	0	9	0
75	0	30	0
76	0	25	0
77	0	30	0
78	0	24	0
79	0	3	0
80	0	13	0
81	0	48	0
82	0	42	0
83	0	34	0
84	0	39	0
85	0	32	0
86	0	37	0
87	0	39	0
88	0	32	0
89	0	49	0
90	0	50	0
91	0	13	0
92	0	11	0
93	0	14	0
94	0	11	0
95	0	2	0
96	0	24	0
97	0	51	0
98	0	52	0
99	0	1	0
100	0	14	0
101	0	14	0
102	0	13	0
103	0	14	0
104	0	14	0
105	0	13	0
106	0	14	0
107	0	11	0
108	0	13	0
109	0	11	0
110	0	14	0
111	0	13	0
112	0	53	0
113	0	54	0
114	0	55	0
115	0	53	0
116	0	56	0
117	0	57	0
118	0	58	0
119	0	59	0
120	0	60	0
121	0	59	0
122	0	61	0
123	0	60	0
124	0	62	0
125	0	63	0
126	0	63	0
127	0	59	0
128	0	10	0
0	1	2	0
1	1	25	0
2	1	64	0
3	1	65	0
4	1	66	0
5	1	67	0
6	1	68	0
7	1	69	0
8	1	9	0
9	1	64	0
10	1	70	0
11	1	3	0
12	1	11	0
13	1	13	0
14	1	14	0
15	1	11	0
16	1	14	0
17	1	71	0
18	1	72	0
19	1	73	0
20	1	74	0
21	1	75	0
22	1	76	0
23	1	49	0
24	1	76	0
25	1	49	0
26	1	50	0
27	1	48	0
28	1	0	0
29	1	52	0
30	1	77	0
31	1	78	0
32	1	3	0
33	1	48	0
34	1	9	0
35	1	9	0
36	1	9	0
37	1	10	0
38	1	2	0
39	1	3	0
40	1	2	0
41	1	79	0
42	1	76	0
43	1	38	0
44	1	38	0
45	1	39	0
46	1	40	0
47	1	30	0
48	1	80	0
49	1	81	0
50	1	35	0.406646
51	1	82	2.445714
52	1	83	6.53514
53	1	83	12.084204
54	1	83	17.110519
55	1	83	20.433537
56	1	83	21.144701
57	1	84	21.842747
58	1	85	22.469217
59	1	86	21.563648
60	1	87	21.039877
61	1	85	22.967142
62	1	88	22.026859
63	1	88	18.301214
64	1	89	12.105329
65	1	90	6.160531
66	1	91	2.349863
67	1	92	0.830161
68	1	83	1.239331
69	1	93	1.113922
70	1	34	0.511192
71	1	45	0
72	1	42	0
73	1	43	0
74	1	9	0.312594
75	1	9	1.676317
76	1	9	2.453726
77	1	9	2.988343
78	1	30	2.91176
79	1	24	3.886626
80	1	94	5.520535
81	1	95	6.680614
82	1	96	8.325849
83	1	97	9.833346
84	1	80	11.546011
85	1	81	13.450109
86	1	49	13.096725
87	1	98	12.833245
88	1	99	12.160227
89	1	100	11.648826
90	1	101	11.197352
91	1	50	12.109099
92	1	102	15.104815
93	1	103	20.017612
94	1	85	26.025331
95	1	88	31.937357
96	1	104	37.670555
97	1	103	41.278919
98	1	103	43.484474
99	1	103	42.786701
100	1	103	38.491661
101	1	103	30.392767
102	1	103	21.896179
103	1	105	18.779842
104	1	13	17.851002
105	1	11	19.820002
106	1	13	21.538692
107	1	13	22.580811
108	1	13	20.906155
109	1	14	17.09297
110	1	14	11.813414
111	1	57	6.218258
112	1	55	1.894803
113	1	13	0
114	1	57	0
115	1	55	0
116	1	53	0
117	1	60	0
118	1	62	0
119	1	63	0
120	1	62	0
121	1	106	0
122	1	58	0
123	1	62	0
124	1	106	0
125	1	58	0
126	1	63	0
127	1	107	0
128	1	25	0
0	2	42	0
1	2	108	0
2	2	109	0
3	2	70	0
4	2	110	0
5	2	111	0
6	2	112	0
7	2	113	0
8	2	114	0
9	2	112	0
10	2	115	0
11	2	3	0
12	2	14	0
13	2	14	0
14	2	14	0
15	2	13	0
16	2	2	0
17	2	24	0
18	2	94	0
19	2	116	0
20	2	76	0
21	2	39	0
22	2	117	0
23	2	117	0
24	2	117	0
25	2	117	0
26	2	118	0
27	2	107	0
28	2	3	0
29	2	12	0
30	2	119	0
31	2	120	0
32	2	121	0
33	2	122	0
34	2	122	0
35	2	122	0
36	2	123	0
37	2	51	0
38	2	124	0
39	2	125	0
40	2	34	0
41	2	35	0
42	2	39	0
43	2	32	0
44	2	49	0
45	2	126	0
46	2	127	0
47	2	88	0
48	2	128	0
49	2	83	0.106568
50	2	129	2.272011
51	2	130	7.94307
52	2	131	16.897541
53	2	132	26.432751
54	2	133	33.900455
55	2	133	39.499779
56	2	134	44.70834
57	2	132	50.592133
58	2	135	53.146099
59	2	136	50.594158
60	2	131	44.306526
61	2	133	38.767479
62	2	133	37.468315
63	2	137	33.974693
64	2	88	27.745037
65	2	128	20.080837
66	2	129	12.90655
67	2	131	8.999028
68	2	138	7.611461
69	2	83	6.847148
70	2	93	5.586832
71	2	46	3.254748
72	2	47	1.10672
73	2	9	3.132146
74	2	9	7.227825
75	2	9	10.904981
76	2	9	14.150818
77	2	0	15.160551
78	2	52	14.6182
79	2	139	12.964036
80	2	36	11.5765
81	2	25	12.393263
82	2	9	13.433718
83	2	9	14.888503
84	2	44	16.440598
85	2	35	17.455574
86	2	49	18.024487
87	2	140	18.045414
88	2	50	17.929218
89	2	141	18.80707
90	2	84	20.799982
91	2	136	24.380138
92	2	131	30.267756
93	2	130	38.142033
94	2	132	46.840469
95	2	130	56.283421
96	2	133	64.170258
97	2	134	71.906204
98	2	142	75.238327
99	2	143	74.202553
100	2	143	68.575157
101	2	144	58.291161
102	2	135	51.063599
103	2	105	46.332706
104	2	14	42.660538
105	2	13	39.459656
106	2	11	38.828083
107	2	13	37.858002
108	2	14	35.281021
109	2	13	29.800146
110	2	14	21.860994
111	2	101	13.121202
112	2	50	5.622465
113	2	13	0.94007
114	2	53	0
115	2	60	0
116	2	106	0
117	2	58	0
118	2	62	0
119	2	145	0
120	2	146	0
121	2	60	0
122	2	63	0
123	2	147	0
124	2	148	0
125	2	62	0
126	2	94	0
127	2	149	0
128	2	34	0
0	3	150	0
1	3	117	0
2	3	117	0
3	3	117	0
4	3	117	0
5	3	117	0
6	3	117	0
7	3	117	0
8	3	117	0
9	3	117	0
10	3	117	0
11	3	117	0
12	3	117	0
13	3	117	0
14	3	117	0
15	3	117	0
16	3	117	0
17	3	117	0
18	3	117	0
19	3	117	0
20	3	117	0
21	3	117	0
22	3	117	0
23	3	117	0
24	3	117	0
25	3	117	0
26	3	117	0
27	3	117	0
28	3	117	0
29	3	117	0
30	3	117	0
31	3	117	0
32	3	151	0
33	3	152	0
34	3	152	0
35	3	27	0
36	3	1	0
37	3	31	0
38	3	96	0
39	3	81	0
40	3	35	0
41	3	49	0
42	3	98	0
43	3	99	0
44	3	153	0
45	3	136	0
46	3	130	0
47	3	132	0
48	3	132	0
49	3	130	1.070751
50	3	132	6.172798
51	3	133	16.768988
52	3	131	29.703321
53	3	131	42.755611
54	3	134	54.5797
55	3	133	64.949455
56	3	131	75.983322
57	3	133	84.415756
58	3	131	87.597305
59	3	132	84.635651
60	3	130	75.329727
61	3	131	61.382767
62	3	132	55.356941
63	3	131	51.936131
64	3	131	47.380726
65	3	134	41.665077
66	3	130	33.235146
67	3	132	25.426704
68	3	131	18.72817
69	3	138	15.643823
70	3	154	12.670208
71	3	88	10.243173
72	3	88	10.676446
73	3	88	12.473327
74	3	88	17.661398
75	3	88	24.70409
76	3	104	29.563007
77	3	103	32.269619
78	3	155	31.815048
79	3	93	29.45071
80	3	43	25.703279
81	3	9	20.840508
82	3	156	19.776686
83	3	157	20.852921
84	3	158	22.046103
85	3	159	22.922293
86	3	82	23.774878
87	3	84	25.168728
88	3	136	27.171949
89	3	132	29.736912
90	3	134	34.63055
91	3	132	40.015862
92	3	134	47.25354
93	3	131	57.462395
94	3	131	68.951683
95	3	132	81.911133
96	3	131	94.416069
97	3	160	103.464287
98	3	161	107.342827
99	3	161	105.857948
100	3	162	97.791145
101	3	143	89.617332
102	3	163	83.869125
103	3	103	77.530037
104	3	103	71.769302
105	3	103	66.005257
106	3	105	61.522057
107	3	101	58.506741
108	3	140	52.934864
109	3	140	45.267006
110	3	76	35.258511
111	3	23	22.969696
112	3	11	10.697086
113	3	57	2.835226
114	3	164	0
115	3	165	0
116	3	54	0
117	3	164	0
118	3	166	0
119	3	167	0
120	3	58	0
121	3	145	0
122	3	146	0
123	3	60	0
124	3	63	0
125	3	90	0
126	3	81	0
127	3	38	0
128	3	168	0
0	4	169	0
1	4	170	-0.504117
2	4	170	0
3	4	169	0
4	4	170	101.44812
5	4	170	101.44812
6	4	170	101.44812
7	4	170	101.44812
8	4	170	84.408051
9	4	170	84.408051
10	4	170	84.408051
11	4	170	84.408051
12	4	170	84.408051
13	4	170	84.408051
14	4	170	84.408051
15	4	170	84.408051
16	4	170	84.408051
17	4	170	84.408051
18	4	170	84.408051
19	4	170	84.408051
20	4	170	84.408051
21	4	170	84.408051
22	4	169	84.408051
23	4	169	84.408051
24	4	170	84.408051
25	4	170	84.408051
26	4	170	84.408051
27	4	170	84.408051
28	4	170	84.408051
29	4	170	84.408051
30	4	171	84.408051
31	4	172	84.90583
32	4	152	84.90583
33	4	173	84.90583
34	4	174	84.90583
35	4	175	84.90583
36	4	176	84.90583
37	4	121	0
38	4	177	0
39	4	178	0
40	4	35	0
41	4	23	0
42	4	101	0
43	4	179	0
44	4	133	0
45	4	130	0
46	4	130	0
47	4	134	0
48	4	131	0
49	4	130	2.421443
50	4	133	11.604196
51	4	130	26.192139
52	4	180	43.05262
53	4	181	60.807217
54	4	181	76.608063
55	4	181	92.916634
56	4	181	110.116455
57	4	182	121.656456
58	4	132	125.372124
59	4	131	122.199371
60	4	132	113.191193
61	4	133	98.181252
62	4	133	78.432083
63	4	131	73.641914
64	4	131	72.620705
65	4	134	68.598465
66	4	133	60.353397
67	4	131	48.370316
68	4	130	38.531853
69	4	133	30.259796
70	4	130	22.712946
71	4	131	20.183207
72	4	130	22.733679
73	4	134	26.643068
74	4	134	32.441628
75	4	130	41.423817
76	4	130	48.467606
77	4	132	51.963802
78	4	138	51.683781
79	4	154	48.102432
80	4	183	41.798191
81	4	184	35.088604
82	4	185	28.364502
83	4	186	27.221828
84	4	187	29.048546
85	4	129	31.968252
86	4	133	34.36068
87	4	133	36.636555
88	4	131	41.592033
89	4	134	46.034794
90	4	134	51.759563
91	4	131	60.019657
92	4	130	69.2743
93	4	133	80.897949
94	4	134	94.788124
95	4	133	109.474571
96	4	188	124.990799
97	4	189	135.326248
98	4	190	140.207458
99	4	161	138.843353
100	4	161	131.077225
101	4	162	124.261017
102	4	143	117.74939
103	4	144	109.621437
104	4	142	102.83828
105	4	191	97.713837
106	4	192	92.619278
107	4	193	87.122314
108	4	39	77.529793
109	4	32	62.48917
110	4	194	49.805653
111	4	56	36.151459
112	4	14	20.89855
113	4	53	7.037415
114	4	54	0.492765
115	4	165	0
116	4	195	0
117	4	3	0
118	4	14	0
119	4	57	0
120	4	196	0
121	4	197	0
122	4	198	0
123	4	63	0
124	4	41	0
125	4	44	0
126	4	35	0
127	4	168	0
128	4	169	0
0	5	170	0
1	5	170	0
2	5	169	0
3	5	169	0
4	5	169	101.44812
5	5	169	155.088028
6	5	169	155.088028
7	5	169	155.088028
8	5	169	84.408051
9	5	169	84.408051
10	5	169	84.408051
11	5	169	84.408051
12	5	169	84.408051
13	5	169	84.408051
14	5	169	84.408051
15	5	169	84.408051
16	5	169	84.408051
17	5	169	84.408051
18	5	169	84.408051
19	5	169	84.408051
20	5	169	84.408051
21	5	169	84.408051
22	5	169	84.408051
23	5	117	84.408051
24	5	117	84.408051
25	5	117	84.408051
26	5	117	84.408051
27	5	117	84.408051
28	5	117	84.408051
29	5	151	84.408051
30	5	152	84.408051
31	5	152	84.90583
32	5	152	84.90583
33	5	199	84.90583
34	5	200	84.90583
35	5	152	84.90583
36	5	152	84.90583
37	5	152	0
38	5	201	0
39	5	202	0
40	5	203	0
41	5	204	0
42	5	205	0
43	5	206	0
44	5	207	0
45	5	134	0
46	5	132	0
47	5	131	0
48	5	133	0.123651
49	5	131	4.154827
50	5	133	16.648651
51	5	208	34.345833
52	5	209	55.383842
53	5	210	76.450691
54	5	211	98.547585
55	5	210	124.205658
56	5	212	144.826981
57	5	181	155.709732
58	5	181	158.368988
59	5	182	155.377441
60	5	133	147.926163
61	5	133	134.42186
62	5	130	114.256706
63	5	133	102.490181
64	5	132	100.046928
65	5	134	96.037338
66	5	132	87.951027
67	5	132	75.525436
68	5	132	63.235912
69	5	131	51.269974
70	5	133	41.022041
71	5	131	34.647839
72	5	134	34.467976
73	5	132	43.462029
74	5	134	52.766586
75	5	133	60.992439
76	5	130	70.295639
77	5	132	74.082741
78	5	133	73.435944
79	5	213	67.612167
80	5	186	58.760571
81	5	214	50.820633
82	5	131	44.250843
83	5	133	41.383896
84	5	134	43.13274
85	5	131	46.296921
86	5	132	48.234356
87	5	134	53.914341
88	5	134	59.684681
89	5	133	66.264366
90	5	130	73.038216
91	5	134	82.500069
92	5	131	92.494781
93	5	133	104.260254
