x	y	texture	height
0	0	0	0
1	0	1	0
2	0	2	0
3	0	3	0
4	0	0	0
5	0	1	0
6	0	3	0
7	0	3	0
8	0	2	0
9	0	1	0
10	0	0	0
11	0	3	0
12	0	1	0
13	0	3	0
14	0	2	0
15	0	1	0
16	0	3	0
17	0	4	0
18	0	5	0
19	0	6	0
20	0	1	0
21	0	7	0
22	0	8	0
23	0	0	0
24	0	2	0
25	0	1	0
26	0	4	0
27	0	5	0
28	0	5	0
29	0	9	0
30	0	8	0
31	0	2	0
32	0	7	0
33	0	10	0
34	0	11	0
35	0	12	0
36	0	13	0
37	0	8	0
38	0	0	0
39	0	1	0
40	0	3	0
41	0	0	0
42	0	3	0
43	0	1	0
44	0	2	0
45	0	0	0
46	0	3	0
47	0	0	0
48	0	1	0
49	0	2	0
50	0	1	0
51	0	3	0
52	0	3	0
53	0	2	0
54	0	0	0
55	0	1	0
56	0	1	0
57	0	2	0
58	0	2	0
59	0	3	0
60	0	0	0
61	0	1	0
62	0	14	0
63	0	15	0
64	0	16	0
65	0	17	0
66	0	0	0
67	0	14	0
68	0	18	0
69	0	19	0
70	0	20	0
71	0	21	0
72	0	22	0
73	0	2	0
74	0	2	0
75	0	2	0
76	0	3	0
77	0	1	0
78	0	1	0
79	0	2	0
80	0	3	0
81	0	0	0
82	0	2	0
83	0	2	0
84	0	3	0
85	0	3	0
86	0	1	0
87	0	2	0
88	0	1	0
89	0	1	0
90	0	1	0
91	0	3	0
92	0	0	0
93	0	2	0
94	0	1	0
95	0	0	0
96	0	0	0
97	0	1	0
98	0	0	0
99	0	0	0
100	0	1	0
101	0	2	0
102	0	0	0
103	0	3	0
104	0	2	0
105	0	0	0
106	0	0	0
107	0	0	0
108	0	2	0
109	0	2	0
110	0	3	0
111	0	2	0
112	0	0	0
113	0	1	0
114	0	2	0
115	0	0	0
116	0	0	0
117	0	0	0
118	0	1	0
119	0	0	0
120	0	0	0
121	0	1	0
122	0	0	0
123	0	2	0
124	0	3	0
125	0	1	0
126	0	3	0
127	0	3	0
128	0	2	0
0	1	0	0
1	1	0	2.594394
2	1	2	4.474975
3	1	2	6.056921
4	1	0	7.952643
5	1	1	7.843044
6	1	3	3.701698
7	1	2	0.918887
8	1	3	2.846293
9	1	2	4.341082
10	1	1	5.093145
11	1	1	4.069556
12	1	0	1.600674
13	1	2	0.644906
14	1	1	0.053653
15	1	2	0.187217
16	1	23	0.214707
17	1	24	0.027068
18	1	6	0.117902
19	1	2	0.114571
20	1	23	0.019978
21	1	25	1.43817
22	1	10	4.365385
23	1	8	4.36499
24	1	7	1.979024
25	1	26	3.586876
26	1	24	2.6924
27	1	5	0
28	1	5	0
29	1	6	0
30	1	2	0
31	1	4	0
32	1	5	0
33	1	27	0
34	1	28	0
35	1	29	0
36	1	30	0.545411
37	1	7	1.292013
38	1	8	2.375929
39	1	0	5.105808
40	1	1	6.30783
41	1	3	5.075188
42	1	0	1.908493
43	1	1	0
44	1	3	0
45	1	2	0.329339
46	1	1	2.088046
47	1	3	3.926613
48	1	1	4.388954
49	1	3	3.141039
50	1	3	0.963783
51	1	0	0
52	1	2	0.344567
53	1	1	1.909013
54	1	3	1.787172
55	1	0	0.523061
56	1	0	0.955223
57	1	3	0.222262
58	1	0	0.182306
59	1	3	0.853689
60	1	3	2.010777
61	1	31	2.027456
62	1	32	0.727897
63	1	33	0
64	1	34	0
65	1	35	1.596282
66	1	36	2.914879
67	1	37	3.708669
68	1	38	3.915332
69	1	39	3.517088
70	1	40	2.5476
71	1	41	1.07924
72	1	1	0
73	1	42	0
74	1	43	0
75	1	1	0.075353
76	1	2	3.196936
77	1	2	9.508285
78	1	0	13.766031
79	1	3	12.386065
80	1	0	7.062217
81	1	1	10.302035
82	1	0	20.015568
83	1	0	21.461504
84	1	1	14.322568
85	1	2	14.761031
86	1	1	19.078911
87	1	0	12.472202
88	1	2	3.708513
89	1	0	0.06128
90	1	1	0
91	1	0	1.68151
92	1	1	5.368294
93	1	2	8.39186
94	1	0	10.700206
95	1	3	12.773659
96	1	0	13.255788
97	1	2	8.133493
98	1	2	2.548837
99	1	2	0
100	1	3	0
101	1	1	0
102	1	1	0
103	1	2	0.655324
104	1	1	3.430581
105	1	1	5.671861
106	1	2	6.431309
107	1	2	5.685164
108	1	0	2.856553
109	1	2	0.156239
110	1	3	0
111	1	2	0
112	1	3	0
113	1	1	0
114	1	0	0
115	1	2	0
116	1	0	0
117	1	0	0
118	1	1	0
119	1	44	0
120	1	45	0
121	1	3	1.882768
122	1	14	1.129955
123	1	22	0.013327
124	1	0	3.400899
125	1	1	5.857309
126	1	2	5.681944
127	1	1	3.018783
128	1	2	0
0	2	0	0
1	2	0	3.892105
2	2	1	7.683052
3	2	1	10.23375
4	2	0	13.471016
5	2	3	12.746356
6	2	3	6.832958
7	2	3	7.730038
8	2	2	15.398565
9	2	2	18.761921
10	2	3	18.140833
11	2	1	14.369474
12	2	3	12.569741
13	2	1	6.117578
14	2	1	7.51568
15	2	7	7.344735
16	2	26	5.540045
17	2	25	1.23081
18	2	10	1.643413
19	2	10	1.574737
20	2	26	0.464307
21	2	46	3.800044
22	2	25	8.683683
23	2	26	9.095039
24	2	25	12.862752
25	2	47	15.150758
26	2	5	11.796953
27	2	5	3.309378
28	2	9	0
29	2	8	0
30	2	23	0
31	2	24	0
32	2	5	0
33	2	48	0
34	2	49	0
35	2	7	1.887157
36	2	26	3.424752
37	2	30	4.249096
38	2	3	5.563733
39	2	3	8.479368
40	2	0	9.878571
41	2	2	7.080594
42	2	2	2.555148
43	2	1	0
44	2	3	1.734066
45	2	1	4.866026
46	2	3	7.317353
47	2	2	9.224351
48	2	1	10.628958
49	2	0	8.493433
50	2	1	4.067495
51	2	0	0.541501
52	2	1	3.070469
53	2	2	6.52685
54	2	14	7.104278
55	2	50	7.188918
56	2	22	7.144269
57	2	2	6.712787
58	2	42	6.775237
59	2	35	9.266999
60	2	43	12.296136
61	2	51	13.045156
62	2	52	9.802378
63	2	33	4.852805
64	2	16	3.854398
65	2	53	4.774462
66	2	54	7.727847
67	2	32	10.646134
68	2	20	12.103608
69	2	32	11.721045
70	2	39	9.549912
71	2	22	5.779825
72	2	55	1.938073
73	2	17	0
74	2	3	0
75	2	2	0
76	2	0	2.350388
77	2	0	6.607971
78	2	1	10.114962
79	2	1	9.976801
80	2	0	7.265586
81	2	0	8.74721
82	2	2	15.636863
83	2	1	16.173552
84	2	2	11.782496
85	2	0	15.42817
86	2	3	20.963745
87	2	2	16.198484
88	2	2	6.548368
89	2	1	1.63213
90	2	2	2.462846
91	2	2	4.663692
92	2	0	7.753911
93	2	3	10.617919
94	2	2	13.347957
95	2	3	14.879598
96	2	3	16.650475
97	2	1	11.283293
98	2	1	5.850193
99	2	2	2.012061
100	2	1	0
101	2	0	0
102	2	3	0.365875
103	2	3	3.87793
104	2	1	8.343574
105	2	1	11.826212
106	2	14	14.546795
107	2	22	13.141423
108	2	3	7.673641
109	2	1	1.952679
110	2	3	0
111	2	2	0
112	2	1	0
113	2	0	0
114	2	2	0
115	2	3	0
116	2	0	0
117	2	1	0
118	2	56	0
119	2	57	0
120	2	14	3.804856
121	2	40	16.958124
122	2	41	16.038298
123	2	1	1.983486
124	2	2	5.499236
125	2	3	9.50845
126	2	0	9.107189
127	2	3	4.993809
128	2	3	0
0	3	1	0
1	3	1	3.249341
2	3	1	7.350283
3	3	3	11.674362
4	3	1	11.69064
5	3	0	9.610171
6	3	1	5.29097
7	3	2	8.2321
8	3	0	18.222858
9	3	1	22.844809
10	3	3	27.858789
11	3	2	21.600266
12	3	2	15.104681
13	3	0	10.599337
14	3	23	7.860363
15	3	25	7.887834
16	3	26	7.39964
17	3	24	3.118859
18	3	5	7.034644
19	3	6	10.303523
20	3	7	4.420059
21	3	47	4.025527
22	3	9	7.534587
23	3	26	10.120333
24	3	24	17.127838
25	3	58	23.084068
26	3	59	16.881697
27	3	60	3.368653
28	3	61	-4.567062
29	3	62	-4.529812
30	3	63	-0.987899
31	3	64	0
32	3	27	0
33	3	65	0
34	3	66	1.916014
35	3	67	6.647495
36	3	8	8.483463
37	3	0	6.575435
38	3	68	5.20611
39	3	62	6.023441
40	3	3	6.394918
41	3	3	4.247514
42	3	2	1.169356
43	3	1	1.184021
44	3	3	6.465247
45	3	3	11.319997
46	3	2	11.673722
47	3	0	9.877171
48	3	1	11.252393
49	3	2	10.303725
50	3	0	5.705049
51	3	2	1.889971
52	3	0	6.069002
53	3	31	10.863586
54	3	69	12.5502
55	3	70	13.674105
56	3	43	14.680618
57	3	55	14.058457
58	3	71	14.088661
59	3	72	17.820423
60	3	15	22.565996
61	3	38	24.984543
62	3	73	20.026846
63	3	74	12.10599
64	3	17	9.216867
65	3	0	12.132116
66	3	51	15.60224
67	3	70	21.312445
68	3	19	27.543516
69	3	20	30.109137
70	3	75	28.598808
71	3	76	22.023483
72	3	77	12.722179
73	3	43	3.43176
74	3	2	0
75	3	0	0
76	3	1	0.248955
77	3	1	1.328437
78	3	2	3.80753
79	3	0	6.480379
80	3	1	6.420067
81	3	1	4.3499
82	3	3	4.62655
83	3	2	5.769037
84	3	2	7.639967
85	3	2	14.191697
86	3	0	18.735723
87	3	0	16.841564
88	3	2	12.188992
89	3	2	8.878123
90	3	3	7.672855
91	3	2	8.886305
92	3	1	11.553383
93	3	1	13.566133
94	3	0	13.839131
95	3	1	13.772724
96	3	1	12.685694
97	3	0	10.175643
98	3	0	7.554946
99	3	3	3.609551
100	3	1	0.796475
101	3	2	0
102	3	2	2.268405
103	3	1	6.702928
104	3	1	10.342904
105	3	31	11.316898
106	3	21	13.020116
107	3	50	12.907343
108	3	22	7.890347
109	3	0	2.156892
110	3	14	0
111	3	50	0
112	3	22	0
113	3	2	0
114	3	3	0
115	3	0	0
116	3	44	0
117	3	78	7.463444
118	3	57	8.351033
119	3	31	0.626751
120	3	79	11.649566
121	3	80	35.748951
122	3	3	33.08601
123	3	0	6.543711
124	3	0	5.397629
125	3	1	8.48742
126	3	2	8.141268
127	3	2	4.541244
128	3	0	0
0	4	3	0
1	4	1	0.83554
2	4	3	11.529438
3	4	2	12.952587
4	4	3	12.883359
5	4	3	3.145104
6	4	0	0.837217
7	4	1	4.279331
8	4	2	12.69375
9	4	2	17.341925
10	4	2	17.158571
11	4	2	14.795862
12	4	0	13.699226
13	4	3	5.393468
14	4	23	6.794838
15	4	30	8.477979
16	4	4	8.091715
17	4	81	7.908044
18	4	25	12.79833
19	4	47	13.924788
20	4	5	9.2631
21	4	81	2.19652
22	4	25	3.021554
23	4	47	4.677017
24	4	82	10.020822
25	4	83	15.064162
26	4	84	10.559169
27	4	27	-14.18542
28	4	85	-19.455513
29	4	86	-14.323978
30	4	87	-8.458012
31	4	5	-0.194576
32	4	27	0
33	4	88	0.040331
34	4	89	4.042498
35	4	90	9.504717
36	4	91	10.330391
37	4	92	5.856079
38	4	93	1.760788
39	4	2	1.562225
40	4	1	1.045535
41	4	0	0.209012
42	4	3	0
43	4	1	2.378825
44	4	1	8.899782
45	4	3	13.543734
46	4	2	10.259236
47	4	0	4.359789
48	4	1	5.397007
49	4	0	6.007395
50	4	3	3.841309
51	4	0	2.92576
52	4	3	7.751006
53	4	94	11.7362
54	4	95	11.94194
55	4	96	12.660328
56	4	15	12.788274
57	4	97	12.445785
58	4	98	13.347816
59	4	32	18.196522
60	4	20	25.088686
61	4	32	26.733469
62	4	33	20.833138
63	4	96	15.120934
64	4	18	14.492153
65	4	99	19.696995
66	4	53	32.321388
67	4	54	42.644402
68	4	80	50.406948
69	4	94	55.512882
70	4	100	56.664074
71	4	55	51.803391
72	4	72	39.937038
73	4	18	23.095179
74	4	35	10.49145
75	4	43	6.429147
76	4	3	6.044024
77	4	2	4.033496
78	4	3	4.837651
79	4	0	6.120729
80	4	3	6.484399
81	4	1	2.196955
82	4	0	0.146332
83	4	2	3.550362
84	4	3	9.593808
85	4	1	14.798638
86	4	2	18.482628
87	4	1	18.504429
88	4	0	17.129456
89	4	2	13.695682
90	4	2	12.018899
91	4	0	11.683915
92	4	3	11.355694
93	4	1	13.408921
94	4	3	11.251795
95	4	3	8.755522
96	4	0	7.547644
97	4	2	6.877873
98	4	3	6.062177
99	4	1	3.590941
100	4	3	0.782207
101	4	3	0
102	4	0	2.786815
103	4	1	6.420321
104	4	2	7.177994
105	4	101	4.827839
106	4	20	0.378224
107	4	80	0.774185
108	4	1	0.95583
109	4	31	-0.133311
110	4	32	0
111	4	41	0
112	4	3	2.108585
113	4	14	0.133792
114	4	22	5.819736
115	4	56	8.39657
116	4	102	5.187277
117	4	57	16
118	4	3	16
119	4	2	6.217282
120	4	0	15.560377
121	4	14	45.37215
122	4	50	40.917572
123	4	22	18.961174
124	4	2	23.051147
125	4	0	11.186869
126	4	1	4.288284
127	4	0	1.987206
128	4	2	0
0	5	3	0
1	5	2	0.345205
2	5	2	12.586158
3	5	3	14.650766
4	5	0	15.699468
5	5	2	0.10492
6	5	3	0.060191
7	5	3	1.058366
8	5	1	2.28769
9	5	2	3.674836
10	5	1	4.431016
11	5	2	3.282747
12	5	0	1.466555
13	5	3	1.353787
14	5	0	2.417148
15	5	23	3.979236
16	5	30	7.229587
17	5	4	12.624853
18	5	5	16.051311
19	5	5	13.784424
20	5	103	8.341258
21	5	104	2.016921
22	5	58	0.65372
23	5	105	0.066007
24	5	84	1.884884
25	5	5	2.14178
26	5	5	-10.430617
27	5	81	-26.91073
28	5	25	-27.926178
29	5	47	-23.417477
30	5	58	-12.075397
31	5	60	-0.55635
32	5	81	0
33	5	90	0.145539
34	5	106	3.194363
35	5	107	7.083716
36	5	93	6.677534
37	5	3	2.682651
38	5	1	0
39	5	3	0
40	5	1	0
41	5	3	0
42	5	2	0
43	5	0	1.62527
44	5	3	7.087581
45	5	0	10.776861
46	5	0	7.12776
47	5	3	1.183581
48	5	1	0.714792
49	5	2	1.515905
50	5	1	1.220903
51	5	1	3.663362
