x	y	texture	height
0	0	0	0
1	0	1	0
2	0	1	0
3	0	1	0
4	0	1	0
5	0	1	0
6	0	1	0
7	0	2	0
8	0	3	0
9	0	3	0
10	0	0	0
11	0	1	0
12	0	1	0
13	0	1	0
14	0	1	0
15	0	1	0
16	0	2	0
17	0	4	0
18	0	5	0
19	0	5	0
20	0	5	0
21	0	5	0
22	0	6	0
23	0	7	0
24	0	7	0
25	0	7	0
26	0	8	0
27	0	6	0
28	0	9	0
29	0	10	0
30	0	7	0
31	0	7	0
32	0	7	0
33	0	7	0
34	0	8	0
35	0	5	0
36	0	5	0
37	0	6	0
38	0	7	0
39	0	11	0
40	0	12	0
41	0	13	0
42	0	14	0
43	0	15	0
44	0	16	0
45	0	14	0
46	0	13	0
47	0	13	0
48	0	16	0
49	0	15	0
50	0	17	0
51	0	18	0
52	0	19	0
53	0	19	0
54	0	19	0
55	0	19	0
56	0	18	0
57	0	17	0
58	0	17	0
59	0	19	0
60	0	17	0
61	0	19	0
62	0	19	0
63	0	19	0
64	0	17	0
65	0	17	0
66	0	18	0
67	0	18	0
68	0	18	0
69	0	19	0
70	0	19	0
71	0	19	0
72	0	19	0
73	0	19	0
74	0	19	0
75	0	19	0
76	0	19	0
77	0	19	0
78	0	19	0
79	0	19	0
80	0	19	0
81	0	19	0
82	0	19	0
83	0	19	0
84	0	19	0
85	0	19	0
86	0	19	0
87	0	19	0
88	0	19	0
89	0	19	0
90	0	19	0
91	0	19	0
92	0	19	0
93	0	19	0
94	0	19	0
95	0	19	0
96	0	19	0
97	0	19	0
98	0	19	0
99	0	19	0
100	0	19	0
101	0	19	0
102	0	19	0
103	0	19	0
104	0	19	0
105	0	19	0
106	0	19	0
107	0	19	0
108	0	19	0
109	0	19	0
110	0	19	0
111	0	19	0
112	0	19	0
113	0	19	0
114	0	19	0
115	0	19	0
116	0	19	0
117	0	19	0
118	0	19	0
119	0	19	0
120	0	19	0
121	0	19	0
122	0	19	0
123	0	19	0
124	0	19	0
125	0	19	0
126	0	19	0
127	0	19	0
128	0	20	0
0	1	3	0
1	1	0	0
2	1	1	0.551768
3	1	1	3.449991
4	1	2	7.656511
5	1	3	11.589204
6	1	21	13.673493
7	1	7	12.874134
8	1	7	9.509503
9	1	22	4.570704
10	1	1	0.033077
11	1	1	0
12	1	1	0
13	1	1	0
14	1	2	0
15	1	21	0
16	1	8	0
17	1	5	0
18	1	5	0
19	1	6	0
20	1	7	0
21	1	22	0
22	1	23	0.517765
23	1	24	2.553698
24	1	25	3.49192
25	1	26	2.742917
26	1	27	0.821954
27	1	28	0
28	1	29	0
29	1	23	0
30	1	25	0
31	1	23	0
32	1	24	0
33	1	30	0
34	1	31	0
35	1	10	0
36	1	22	0.888073
37	1	1	1.898029
38	1	32	2.093968
39	1	13	1.468563
40	1	13	0.699996
41	1	14	0.603368
42	1	15	0.84944
43	1	16	0.67285
44	1	16	0.212016
45	1	14	0
46	1	13	0
47	1	15	0
48	1	15	0
49	1	18	0
50	1	19	0
51	1	19	0
52	1	19	0
53	1	19	0
54	1	19	0
55	1	33	0
56	1	33	0
57	1	33	0
58	1	19	0
59	1	19	0
60	1	19	0
61	1	19	0
62	1	19	0
63	1	19	0
64	1	19	0
65	1	19	0
66	1	19	0
67	1	19	0
68	1	19	0
69	1	19	0
70	1	19	0
71	1	19	0
72	1	19	0
73	1	19	0
74	1	19	0
75	1	19	0
76	1	19	0
77	1	19	0
78	1	19	0
79	1	19	0
80	1	19	0
81	1	19	0
82	1	19	0
83	1	19	0
84	1	19	0
85	1	19	0
86	1	19	0
87	1	19	0
88	1	19	0
89	1	19	0
90	1	19	0
91	1	19	0
92	1	19	0
93	1	19	0
94	1	19	0
95	1	19	0
96	1	19	0
97	1	19	0
98	1	19	0
99	1	19	0
100	1	19	0
101	1	19	0
102	1	19	0
103	1	19	0
104	1	19	0
105	1	19	0
106	1	19	0
107	1	19	0
108	1	19	0
109	1	19	0
110	1	19	0
111	1	19	0
112	1	19	0
113	1	19	0
114	1	19	0
115	1	19	0
116	1	19	0
117	1	19	0
118	1	19	0
119	1	19	0
120	1	19	0
121	1	19	0
122	1	19	0
123	1	19	0
124	1	19	0
125	1	19	0
126	1	19	0
127	1	5	0
128	1	5	0
0	2	20	0
1	2	3	0
2	2	0	1.745765
3	2	34	6.650779
4	2	7	13.369749
5	2	22	19.944662
6	2	2	23.803301
7	2	3	22.809286
8	2	3	17.666126
9	2	3	10.303073
10	2	3	2.828485
11	2	3	0
12	2	0	0
13	2	35	0
14	2	36	0.146509
15	2	35	0.729673
16	2	6	0.951447
17	2	8	0.439213
18	2	36	0
19	2	1	0
20	2	1	0
21	2	28	1.988958
22	2	37	7.116594
23	2	38	10.828958
24	2	39	11.996846
25	2	40	10.322399
26	2	41	6.697811
27	2	42	2.329634
28	2	28	0
29	2	40	0
30	2	43	0
31	2	44	0
32	2	45	0
33	2	45	0
34	2	29	0.971632
35	2	1	5.369637
36	2	1	8.235925
37	2	46	8.791172
38	2	47	7.626816
39	2	48	5.747513
40	2	49	4.655821
41	2	16	4.195451
42	2	13	4.331516
43	2	16	4.02909
44	2	16	2.483725
45	2	14	0.566402
46	2	13	0
47	2	14	0
48	2	17	0
49	2	19	0
50	2	19	0
51	2	19	0
52	2	50	0
53	2	50	0
54	2	50	0
55	2	50	0
56	2	50	0
57	2	50	0
58	2	50	0
59	2	50	0
60	2	50	0
61	2	50	0
62	2	50	0
63	2	50	0
64	2	50	0
65	2	50	0
66	2	50	0
67	2	50	0
68	2	50	0
69	2	50	0
70	2	50	0
71	2	50	0
72	2	50	0
73	2	50	0
74	2	50	0
75	2	50	0
76	2	50	0
77	2	50	0
78	2	50	0
79	2	50	0
80	2	50	0
81	2	50	0
82	2	50	0
83	2	50	0
84	2	50	0
85	2	50	0
86	2	50	0
87	2	50	0
88	2	50	0
89	2	50	0
90	2	50	0
91	2	50	0
92	2	50	0
93	2	50	0
94	2	50	0
95	2	50	0
96	2	50	0
97	2	50	0
98	2	50	0
99	2	50	0
100	2	50	0
101	2	50	0
102	2	50	0
103	2	50	0
104	2	50	0
105	2	50	0
106	2	50	0
107	2	50	0
108	2	50	0
109	2	50	0
110	2	50	0
111	2	50	0
112	2	50	0
113	2	50	0
114	2	50	0
115	2	50	0
116	2	50	0
117	2	50	0
118	2	50	0
119	2	50	0
120	2	50	0
121	2	50	0
122	2	50	0
123	2	50	0
124	2	51	0
125	2	19	0
126	2	5	0
127	2	5	0
128	2	5	0
0	3	5	0
1	3	20	0.018427
2	3	3	2.663111
3	3	0	9.493563
4	3	2	19.150967
5	3	4	29.707251
6	3	5	37.392647
7	3	5	36.107368
8	3	5	28.903263
9	3	5	18.747864
10	3	5	7.202767
11	3	20	0.866314
12	3	21	0.664718
13	3	22	1.20554
14	3	34	2.904126
15	3	22	4.8261
16	3	34	5.664845
17	3	22	5.101063
18	3	23	3.024165
19	3	25	0.129594
20	3	28	1.070008
21	3	52	8.364532
22	3	21	15.624915
23	3	53	20.914083
24	3	54	22.544224
25	3	55	19.769367
26	3	36	13.859681
27	3	56	6.967458
28	3	57	1.339334
29	3	37	0.307533
30	3	54	0.873117
31	3	54	0.913551
32	3	58	3.361344
33	3	29	9.638141
34	3	2	16.770166
35	3	3	21.86998
36	3	4	23.045856
37	3	59	21.093119
38	3	60	16.829149
39	3	61	13.366705
40	3	16	11.755911
41	3	16	11.362591
42	3	15	10.95956
43	3	14	10.291869
44	3	16	7.745803
45	3	15	3.899848
46	3	14	0.228481
47	3	18	0
48	3	19	0
49	3	19	0
50	3	17	0
51	3	62	0
52	3	63	0
53	3	63	0
54	3	63	-122.359009
55	3	63	-122.359009
56	3	63	-122.359009
57	3	63	-122.359009
58	3	63	-122.359009
59	3	63	-122.359009
60	3	63	-122.359009
61	3	63	-122.359009
62	3	63	-122.359009
63	3	63	-122.359009
64	3	63	-122.359009
65	3	63	-122.359009
66	3	63	-122.359009
67	3	64	-122.359009
68	3	50	-122.359009
69	3	62	-122.359009
70	3	63	-122.359009
71	3	63	-116.973473
72	3	63	-249.476318
73	3	64	-249.476318
74	3	50	-249.476318
75	3	65	-249.476318
76	3	65	-249.476318
77	3	65	-249.476318
78	3	65	-441.620544
79	3	65	-441.620544
80	3	66	-441.620544
81	3	67	-441.620544
82	3	68	-441.620544
83	3	68	-441.620544
84	3	68	-441.620544
85	3	67	-441.620544
86	3	67	-441.620544
87	3	67	-441.620544
88	3	68	-441.620544
89	3	68	-441.620544
90	3	69	-441.620544
91	3	67	-441.620544
92	3	69	-441.620544
93	3	68	-441.620544
94	3	69	-441.620544
95	3	66	-441.620544
96	3	67	-441.620544
97	3	68	-441.620544
98	3	66	-441.620544
99	3	68	-441.620544
100	3	66	-441.620544
101	3	68	-441.620544
102	3	69	-441.620544
103	3	66	-441.620544
104	3	66	-441.620544
105	3	67	-441.620544
106	3	68	-441.620544
107	3	67	-441.620544
108	3	69	-441.620544
109	3	66	-441.620544
110	3	69	-441.620544
111	3	66	-441.620544
112	3	66	-441.620544
113	3	66	-441.620544
114	3	67	-441.620544
115	3	66	-441.620544
116	3	66	-441.620544
117	3	63	-441.620544
118	3	63	-441.620544
119	3	63	-441.620544
120	3	63	-441.620544
121	3	64	-441.620544
122	3	50	-441.620544
123	3	51	-441.620544
124	3	19	-441.620544
125	3	5	-441.620544
126	3	5	0
127	3	5	0
128	3	5	0
0	4	5	0
1	4	5	0
2	4	36	2.608735
3	4	34	11.280125
4	4	8	23.616064
5	4	5	37.30154
6	4	5	48.252224
7	4	5	49.052227
8	4	5	40.641582
9	4	5	28.641996
10	4	6	14.977418
11	4	70	3.712922
12	4	0	3.287659
13	4	1	5.233841
14	4	1	7.653337
15	4	1	10.36946
16	4	23	12.178879
17	4	71	11.562519
18	4	72	8.823763
19	4	56	4.605863
20	4	73	4.790574
21	4	36	14.708476
22	4	1	24.397537
23	4	1	32.106991
24	4	35	34.88155
25	4	20	30.221796
26	4	4	21.250347
27	4	74	11.392544
28	4	75	4.816722
29	4	3	4.255264
30	4	3	6.219952
31	4	76	11.510831
32	4	38	18.941654
33	4	4	26.602203
34	4	77	35.242996
35	4	78	41.958851
36	4	74	42.56052
37	4	79	37.524502
38	4	14	29.741123
39	4	16	23.088577
40	4	13	20.556129
41	4	13	20.43508
42	4	15	20.362209
43	4	16	18.464413
44	4	16	13.91544
45	4	16	8.367677
46	4	17	2.670434
47	4	19	0
48	4	19	0
49	4	17	0
50	4	17	0
51	4	17	0
52	4	17	0
53	4	18	0
54	4	17	-122.359009
55	4	18	-122.359009
56	4	18	-122.359009
57	4	17	-122.359009
58	4	17	-122.359009
59	4	17	-122.359009
60	4	17	-122.359009
61	4	18	-122.359009
62	4	18	-122.359009
63	4	18	-122.359009
64	4	18	-122.359009
65	4	18	-122.359009
66	4	80	-122.359009
67	4	50	-122.359009
68	4	51	-122.359009
69	4	18	-122.359009
70	4	18	-122.359009
71	4	17	-122.359009
72	4	80	-249.476318
73	4	50	-249.476318
74	4	65	-249.476318
75	4	81	-249.476318
76	4	81	-249.476318
77	4	81	-249.476318
78	4	81	-440.786835
79	4	69	-440.786835
80	4	67	-441.620544
81	4	82	-441.620544
82	4	83	-441.620544
83	4	84	-441.620544
84	4	85	-441.620544
85	4	86	-441.620544
86	4	67	-441.620544
87	4	69	-441.620544
88	4	68	-441.620544
89	4	68	-441.620544
90	4	67	-441.620544
91	4	67	-441.620544
92	4	69	-441.620544
93	4	87	-441.620544
94	4	86	-441.620544
95	4	66	-441.620544
96	4	87	-441.620544
97	4	86	-441.620544
98	4	87	-441.620544
99	4	86	-441.620544
100	4	68	-441.620544
101	4	67	-441.620544
102	4	66	-438.10849
103	4	87	-441.620544
104	4	86	-441.620544
105	4	66	-441.620544
106	4	67	-441.620544
107	4	66	-441.620544
108	4	66	-441.620544
109	4	68	-441.620544
110	4	69	-435.160736
111	4	88	-441.620544
112	4	89	-441.620544
113	4	69	-441.620544
114	4	69	-441.620544
115	4	67	-441.620544
116	4	18	-439.307068
117	4	18	-441.620544
118	4	18	-439.156799
119	4	18	-441.620544
120	4	80	-441.620544
121	4	50	-441.620544
122	4	51	-441.620544
123	4	19	-441.620544
124	4	5	-441.620544
125	4	5	-441.620544
126	4	5	0
127	4	5	0
128	4	5	0
0	5	5	0
1	5	36	0
2	5	2	1.34397
3	5	4	11.13077
4	5	5	25.755342
5	5	5	41.542137
6	5	5	54.899765
7	5	5	59.4804
8	5	5	52.046188
9	5	20	39.108727
10	5	21	23.404343
11	5	22	9.721272
12	5	2	7.517959
13	5	3	10.49909
14	5	90	14.469954
15	5	43	19.147127
16	5	29	22.549807
17	5	2	23.690109
18	5	4	22.061485
19	5	5	18.308184
20	5	20	19.391981
21	5	3	25.325611
22	5	3	34.48056
23	5	4	44.460785
24	5	5	50.282318
25	5	5	41.28035
26	5	5	27.305141
27	5	77	15.843782
28	5	31	12.322894
29	5	31	13.047882
30	5	91	18.961502
31	5	4	27.261168
32	5	77	36.400063
33	5	92	45.389088
34	5	93	55.647461
35	5	77	64.068398
36	5	94	68.313919
37	5	49	64.084999
38	5	16	53.859993
39	5	95	45.24918
40	5	96	41.706001
41	5	15	40.243549
42	5	16	38.692673
43	5	16	32.667294
44	5	15	23.179934
45	5	17	13.271559
46	5	19	5.174898
47	5	19	0
48	5	18	0
49	5	17	0
50	5	18	0
51	5	18	0
52	5	17	0
53	5	18	0
54	5	17	-36.439522
55	5	17	-61.807449
56	5	18	-83.431305
57	5	18	-103.729118
58	5	17	-122.359009
59	5	18	-122.359009
60	5	17	-122.359009
61	5	18	-122.359009
62	5	18	-122.359009
63	5	17	-122.359009
64	5	17	-122.359009
65	5	80	-122.359009
66	5	50	-122.359009
67	5	51	-122.359009
68	5	18	-122.359009
69	5	17	-122.359009
70	5	17	-122.359009
71	5	80	-122.359009
72	5	50	-249.476318
73	5	65	-249.476318
74	5	81	-249.476318
75	5	81	-249.476318
76	5	81	-249.476318
