x	y	texture	height
0	0	0	0
1	0	1	0
2	0	2	0
3	0	3	0
4	0	4	0
5	0	5	0
6	0	6	0
7	0	7	0
8	0	8	0
9	0	9	0
10	0	10	0
11	0	11	0
12	0	12	0
13	0	13	0
14	0	14	0
15	0	15	0
16	0	16	0
17	0	17	0
18	0	18	0
19	0	19	0
20	0	20	0
21	0	21	0
22	0	22	0
23	0	23	0
24	0	10	0
25	0	24	0
26	0	25	0
27	0	23	0
28	0	25	0
29	0	26	0
30	0	27	0
31	0	28	0
32	0	29	0
33	0	18	0
34	0	30	0
35	0	30	0
36	0	31	0
37	0	32	0
38	0	33	0
39	0	34	0
40	0	35	0
41	0	36	0
42	0	37	0
43	0	38	0
44	0	39	0
45	0	40	0
46	0	41	0
47	0	42	0
48	0	43	0
49	0	44	0
50	0	45	0
51	0	46	0
52	0	47	0
53	0	48	0
54	0	49	0
55	0	45	0
56	0	50	0
57	0	51	0
58	0	52	0
59	0	53	0
60	0	53	0
61	0	53	0
62	0	53	0
63	0	53	0
64	0	54	0
65	0	55	0
66	0	52	0
67	0	54	0
68	0	56	0
69	0	53	0
70	0	53	0
71	0	53	0
72	0	53	0
73	0	53	0
74	0	57	0
75	0	58	0
76	0	59	0
77	0	60	0
78	0	53	0
79	0	53	0
80	0	53	0
81	0	53	0
82	0	53	0
83	0	53	0
84	0	53	0
85	0	53	0
86	0	54	0
87	0	55	0
88	0	61	0
89	0	48	0
90	0	62	0
91	0	63	0
92	0	64	0
93	0	64	0
94	0	64	0
95	0	65	0
96	0	66	0
97	0	64	0
98	0	64	0
99	0	64	0
100	0	67	0
101	0	68	0
102	0	69	0
103	0	66	0
104	0	67	0
105	0	70	0
106	0	71	0
107	0	72	0
108	0	70	0
109	0	73	0
110	0	33	0
111	0	74	0
112	0	75	0
113	0	76	0
114	0	77	0
115	0	78	0
116	0	77	0
117	0	42	0
118	0	79	0
119	0	2	0
120	0	33	0
121	0	80	0
122	0	81	0
123	0	82	0
124	0	83	0
125	0	66	0
126	0	84	0
127	0	50	0
128	0	85	0
0	1	86	0
1	1	87	0
2	1	88	0
3	1	12	0
4	1	13	0
5	1	89	0
6	1	90	0
7	1	91	0
8	1	92	0
9	1	93	0
10	1	94	0
11	1	13	0
12	1	95	0
13	1	96	0
14	1	97	0
15	1	22	0
16	1	98	0
17	1	99	0
18	1	100	0
19	1	24	0
20	1	101	0
21	1	10	0
22	1	21	0
23	1	23	0
24	1	102	0
25	1	16	0
26	1	25	0
27	1	23	0
28	1	25	0
29	1	103	0
30	1	104	0
31	1	105	0
32	1	99	0
33	1	99	0
34	1	99	2.621069
35	1	106	5.865495
36	1	107	4.719646
37	1	108	0.575804
38	1	105	0
39	1	109	1.784567
40	1	48	4.606583
41	1	110	5.42342
42	1	111	3.626145
43	1	112	0.369319
44	1	113	0
45	1	41	0
46	1	114	0
47	1	49	0
48	1	46	0
49	1	115	0
50	1	116	0
51	1	115	0
52	1	116	0
53	1	48	0
54	1	47	0
55	1	117	0
56	1	112	0
57	1	118	0
58	1	119	0
59	1	52	0
60	1	53	0
61	1	53	0
62	1	53	0
63	1	53	0
64	1	57	0
65	1	118	0
66	1	53	0
67	1	53	0
68	1	53	-0.071178
69	1	119	0
70	1	120	-0.022104
71	1	52	-0.703002
72	1	121	-1.632227
73	1	122	-2.148321
74	1	56	-1.438457
75	1	119	-0.495632
76	1	52	0
77	1	53	0
78	1	53	0
79	1	53	0
80	1	53	0
81	1	119	0
82	1	120	0
83	1	123	0
84	1	124	0
85	1	52	0
86	1	57	0
87	1	47	0
88	1	47	0
89	1	47	0
90	1	125	0
91	1	64	0
92	1	126	0
93	1	127	0
94	1	64	0
95	1	126	0
96	1	127	0
97	1	64	0
98	1	64	0
99	1	128	0
100	1	129	0
101	1	130	0
102	1	128	-0.543671
103	1	63	-3.378468
104	1	64	-6.016628
105	1	64	-6.737096
106	1	64	-5.165925
107	1	128	-2.147382
108	1	131	0
109	1	132	0
110	1	133	0
111	1	134	0
112	1	135	-0.163499
113	1	136	-0.003569
114	1	20	-0.032663
115	1	77	0
116	1	137	0
117	1	138	0
118	1	139	0
119	1	132	-0.1929
120	1	140	-0.313363
121	1	141	-0.04117
122	1	47	0
123	1	125	0
124	1	64	0
125	1	141	0
126	1	69	0
127	1	78	0
128	1	142	0
0	2	143	0
1	2	144	0
2	2	13	0
3	2	145	0
4	2	146	0
5	2	142	0
6	2	147	0
7	2	147	0
8	2	148	0
9	2	149	0
10	2	150	0
11	2	151	0.012363
12	2	151	0.004627
13	2	16	0.000077
14	2	10	0
15	2	24	0
16	2	101	0
17	2	101	0
18	2	152	0
19	2	153	0
20	2	154	0
21	2	10	0
22	2	21	0
23	2	155	0
24	2	95	0
25	2	16	0
26	2	152	0
27	2	156	0
28	2	18	0
29	2	19	0
30	2	41	0
31	2	29	1.286458
32	2	157	0.926728
33	2	41	0.262614
34	2	78	7.931724
35	2	158	15.708817
36	2	159	12.699399
37	2	77	4.017123
38	2	114	0
39	2	160	3.846958
40	2	138	7.903705
41	2	161	9.683015
42	2	162	6.322108
43	2	163	2.131375
44	2	164	0
45	2	165	0
46	2	48	0
47	2	115	0
48	2	166	0
49	2	46	0
50	2	117	0
51	2	112	0
52	2	47	0
53	2	47	0
54	2	49	0
55	2	46	0
56	2	167	0
57	2	168	0
58	2	55	0
59	2	52	0
60	2	53	0
61	2	119	-0.365458
62	2	52	-1.640243
63	2	54	-1.9239
64	2	55	-1.246587
65	2	52	-0.994522
66	2	53	-1.327471
67	2	53	-3.808644
68	2	169	-5.822412
69	2	170	-3.705585
70	2	167	-4.67564
71	2	171	-10.519463
72	2	172	-13.177501
73	2	173	-12.986858
74	2	57	-9.834401
75	2	118	-5.644207
76	2	119	-2.30234
77	2	52	-0.181421
78	2	53	0
79	2	53	0
80	2	54	0
81	2	174	0
82	2	175	0
83	2	176	0
84	2	177	0
85	2	178	0
86	2	179	0
87	2	180	0
88	2	181	0
89	2	182	0
90	2	64	0
91	2	183	0
92	2	184	0
93	2	64	0
94	2	183	0
95	2	184	0
96	2	64	-0.432194
97	2	64	-1.001308
98	2	141	-1.488203
99	2	125	-0.967285
100	2	126	-0.470403
101	2	185	-0.239743
102	2	130	-5.257272
103	2	126	-12.504444
104	2	186	-18.167274
105	2	63	-19.739637
106	2	187	-16.50713
107	2	182	-9.885695
108	2	126	-2.843417
109	2	185	-0.446731
110	2	188	-2.555851
111	2	130	-4.648671
112	2	189	-7.042335
113	2	20	-8.347767
114	2	78	-6.997277
115	2	78	-4.200197
116	2	41	-1.957523
117	2	190	-1.567291
118	2	63	-4.067466
119	2	64	-5.379269
120	2	191	-4.925827
121	2	192	-3.321854
122	2	193	-1.185855
123	2	194	0
124	2	195	0
125	2	196	0
126	2	29	0
127	2	157	0
128	2	29	0
0	3	197	0
1	3	92	0
2	3	198	0
3	3	78	0
4	3	20	0
5	3	41	0.002204
6	3	29	0.015812
7	3	199	0.0025
8	3	200	1.216181
9	3	201	3.192802
10	3	14	1.781496
11	3	202	1.719974
12	3	155	0.734608
13	3	16	0.175592
14	3	25	0.002745
15	3	155	0
16	3	203	0
17	3	204	0
18	3	205	0
19	3	206	0
20	3	146	0
21	3	20	0
22	3	207	0
23	3	95	0
24	3	145	0
25	3	98	0
26	3	99	0
27	3	99	0
28	3	208	0.806045
29	3	157	4.106979
30	3	105	8.736122
31	3	100	13.303019
32	3	29	12.031917
33	3	209	3.667742
34	3	210	10.282158
35	3	211	20.56217
36	3	108	17.317307
37	3	137	5.578709
38	3	212	0
39	3	213	3.82257
40	3	214	7.855377
41	3	215	9.598607
42	3	216	6.287144
43	3	217	1.867916
44	3	218	-1.028467
45	3	116	-0.542625
46	3	49	0
47	3	219	0
48	3	116	0
49	3	49	0
50	3	46	0
51	3	48	0
52	3	48	0
53	3	47	0
54	3	48	0
55	3	48	0
56	3	118	0
57	3	54	0
58	3	56	0
59	3	53	-0.006039
60	3	54	-2.439413
61	3	55	-5.343504
62	3	120	-7.994961
63	3	61	-9.465136
64	3	167	-9.988001
65	3	120	-9.464805
66	3	52	-9.120753
67	3	220	-15.705511
68	3	221	-19.277506
69	3	222	-19.850302
70	3	222	-20.791967
71	3	223	-27.468609
72	3	224	-32.170841
73	3	168	-32.944901
74	3	56	-29.451839
75	3	57	-22.877213
76	3	118	-14.835986
77	3	53	-7.182608
78	3	53	-0.919531
79	3	225	0
80	3	178	0
81	3	226	0
82	3	227	0
83	3	228	0
84	3	229	0
85	3	230	0
86	3	231	0
87	3	232	0
88	3	66	0
89	3	126	0
90	3	231	0
91	3	184	0
92	3	64	0
93	3	65	0
94	3	66	-0.047827
95	3	126	-1.558003
96	3	127	-4.042994
97	3	187	-6.042122
98	3	233	-6.660599
99	3	234	-5.776412
100	3	235	-3.563338
101	3	236	-4.29984
102	3	237	-14.046644
103	3	238	-26.383196
104	3	239	-35.983814
105	3	65	-38.974583
106	3	66	-33.3866
107	3	65	-22.280636
108	3	240	-10.124586
109	3	63	-4.144803
110	3	64	-7.356697
111	3	241	-13.062849
112	3	242	-18.772978
113	3	243	-21.378897
114	3	132	-19.980927
115	3	132	-15.600267
116	3	244	-11.804338
117	3	130	-12.251657
118	3	245	-13.313504
119	3	76	-15.261973
120	3	114	-14.380527
121	3	246	-10.33179
122	3	242	-5.258921
123	3	243	-1.272385
124	3	140	0
125	3	247	0
126	3	248	0
127	3	249	0
128	3	250	0
0	4	251	0
1	4	252	0
2	4	20	0
3	4	253	0.008452
4	4	254	0.109107
5	4	18	0.662564
6	4	205	2.52101
7	4	255	6.464724
8	4	256	13.383737
9	4	257	21.048073
10	4	258	22.797916
11	4	102	17.041212
12	4	151	9.795936
13	4	259	1.350193
14	4	260	0.048627
15	4	261	0
16	4	262	0
17	4	263	0
18	4	264	0
19	4	265	0
20	4	266	0
21	4	267	0.003868
22	4	268	0.000856
23	4	259	0
24	4	108	0
25	4	20	0
26	4	20	0
27	4	105	0
28	4	208	6.92537
29	4	157	19.708958
30	4	29	39.349911
31	4	18	43.997395
32	4	31	28.443752
33	4	32	14.729961
34	4	33	15.728141
35	4	215	21.293596
36	4	78	13.721289
37	4	2	4.373982
38	4	33	0
39	4	107	1.726253
40	4	213	4.526218
41	4	214	5.333201
42	4	111	3.569889
43	4	269	-2.513176
44	4	218	-7.046433
45	4	181	-7.293278
46	4	217	-4.922413
47	4	218	-2.314771
48	4	116	-0.248659
49	4	48	0
50	4	47	0
51	4	48	0
52	4	58	0
53	4	222	0
54	4	174	0
55	4	118	0
56	4	53	0
57	4	53	0
58	4	119	-0.457517
59	4	120	-1.96656
60	4	61	-6.359786
61	4	58	-10.551306
62	4	222	-13.02715
63	4	174	-15.46231
64	4	47	-18.74082
65	4	167	-21.503284
66	4	52	-25.674978
67	4	119	-31.386618
68	4	52	-37.907436
69	4	121	-37.330795
70	4	270	-38.009312
71	4	61	-45.356411
72	4	118	-54.839737
73	4	119	-59.180988
74	4	168	-54.590172
75	4	271	-43.361153
76	4	272	-30.99894
77	4	124	-19.034229
78	4	273	-8.706279
79	4	274	-0.723166
80	4	275	0
81	4	276	0
82	4	277	0
83	4	64	0
84	4	278	0
85	4	279	0
86	4	66	0
87	4	280	0
88	4	281	0
89	4	279	0
90	4	282	0
91	4	283	0
92	4	64	-0.271723
93	4	64	-0.504138
94	4	65	-1.740915
95	4	66	-4.603957
96	4	65	-8.330215
97	4	284	-10.956359
98	4	285	-12.638303
99	4	286	-11.935916
100	4	32	-9.134134
101	4	215	-12.379139
102	4	287	-25.778078
103	4	288	-43.068577
104	4	127	-59.046391
105	4	126	-64.99147
106	4	127	-55.038876
107	4	67	-37.785557
108	4	289	-20.690081
109	4	127	-9.598495
110	4	64	-13.958015
111	4	65	-23.790073
112	4	66	-31.626814
113	4	126	-34.540207
114	4	127	-33.561619
115	4	64	-30.386286
116	4	128	-28.135105
117	4	134	-28.26083
118	4	290	-28.094078
119	4	291	-28.628065
120	4	196	-26.634668
121	4	65	-20.573385
122	4	66	-12.277609
123	4	126	-4.615182
124	4	215	-0.266867
125	4	292	0
126	4	293	0
127	4	294	0
128	4	38	0
0	5	211	0
1	5	108	0
2	5	2	0.103596
3	5	295	1.35268
4	5	38	3.955848
5	5	255	5.710842
6	5	296	11.700892
7	5	269	18.798605
8	5	297	28.458591
9	5	15	46.79541
10	5	151	57.800911
11	5	151	51.619495
12	5	298	27.73126
13	5	111	4.401259
14	5	299	0.080771
15	5	256	0
16	5	300	0
17	5	300	0.459673
18	5	301	3.661963
19	5	302	3.370534
20	5	303	0.667892
21	5	304	0.804913
22	5	305	0.287349
23	5	306	0.043613
24	5	254	0
25	5	157	0
26	5	41	0
27	5	105	0.010872
28	5	100	10.539538
29	5	105	34.861889
30	5	307	54.862556
31	5	308	53.181381
32	5	215	38.380993
33	5	41	29.818691
34	5	77	36.311241
35	5	41	31.704882
36	5	253	14.11549
37	5	213	1.916708
38	5	309	0
39	5	44	0
40	5	310	0.475323
41	5	43	3.059687
42	5	44	1.013132
43	5	45	-5.768713
44	5	50	-12.703307
45	5	44	-14.843549
46	5	45	-11.72622
47	5	219	-9.419314
48	5	116	-7.41061
49	5	48	-3.736373
50	5	48	-1.786158
51	5	167	-2.905658
52	5	52	-4.749675
53	5	54	-4.53355
54	5	55	-3.219991
55	5	120	-1.271294
56	5	120	0
57	5	61	-2.627676
58	5	48	-6.574948
59	5	47	-9.530425
60	5	167	-10.002802
61	5	52	-10.048156
62	5	54	-9.375141
63	5	311	-10.753168
64	5	312	-17.070679
65	5	55	-26.399958
66	5	168	-31.536476
67	5	313	-36.744629
68	5	314	-41.988693
69	5	221	-43.643925
70	5	222	-48.457325
71	5	55	-61.438011
72	5	61	-77.071449
73	5	167	-81.619812
74	5	315	-76.552254
75	5	24	-65.141624
76	5	316	-47.995029
77	5	317	-30.744892
78	5	318	-15.951372
79	5	319	-5.116231
80	5	320	0
81	5	321	0
82	5	64	0
83	5	322	0
84	5	320	0
