x	y	texture	height
0	0	0	0
1	0	0	0
2	0	0	0
3	0	1	0
4	0	1	0
5	0	1	0
6	0	1	0
7	0	0	0
8	0	0	0
9	0	0	0
10	0	2	0
11	0	2	0
12	0	0	0
13	0	1	0
14	0	2	0
15	0	2	0
16	0	3	0
17	0	4	0
18	0	4	0
19	0	5	0
20	0	0	0
21	0	0	0
22	0	0	0
23	0	0	0
24	0	0	0
25	0	0	0
26	0	2	0
27	0	0	0
28	0	2	0
29	0	1	0
30	0	6	0
31	0	7	0
32	0	2	0
33	0	3	0
34	0	4	0
35	0	4	0
36	0	5	0
37	0	3	0
38	0	4	0
39	0	4	0
40	0	4	0
41	0	5	0
42	0	0	0
43	0	0	0
44	0	2	0
45	0	1	0
46	0	0	0
47	0	1	0
48	0	2	0
49	0	1	0
50	0	1	0
51	0	1	0
52	0	1	0
53	0	2	0
54	0	2	0
55	0	2	0
56	0	1	0
57	0	2	0
58	0	8	0
59	0	9	0
60	0	8	0
61	0	8	0
62	0	9	0
63	0	10	0
64	0	9	0
65	0	11	0
66	0	11	0
67	0	9	0
68	0	11	0
69	0	10	0
70	0	10	0
71	0	8	0
72	0	12	0
73	0	13	0
74	0	8	0
75	0	9	0
76	0	10	0
77	0	11	0
78	0	8	0
79	0	11	0
80	0	9	0
81	0	10	0
82	0	8	0
83	0	10	0
84	0	14	0
85	0	15	0
86	0	15	0
87	0	15	0
88	0	15	0
89	0	15	0
90	0	16	0
91	0	8	0
92	0	8	0
93	0	9	0
94	0	9	0
95	0	9	0
96	0	8	0
97	0	11	0
98	0	9	0
99	0	14	0
100	0	16	0
101	0	14	0
102	0	15	0
103	0	15	0
104	0	15	0
105	0	15	0
106	0	17	0
107	0	0	0
108	0	0	0
109	0	2	0
110	0	0	0
111	0	2	0
112	0	2	0
113	0	1	0
114	0	0	0
115	0	0	0
116	0	1	0
117	0	2	0
118	0	2	0
119	0	1	0
120	0	1	0
121	0	1	0
122	0	18	0
123	0	17	0
124	0	2	0
125	0	0	0
126	0	0	0
127	0	2	0
128	0	2	0
0	1	2	0
1	1	1	0
2	1	1	0
3	1	0	0.251044
4	1	1	2.924961
5	1	0	5.358478
6	1	0	7.104064
7	1	2	7.6083
8	1	0	7.095854
9	1	0	5.387061
10	1	0	2.865764
11	1	0	0.522959
12	1	1	0.048832
13	1	1	0.652715
14	1	2	1.206946
15	1	19	1.22668
16	1	20	0.730618
17	1	21	1.315773
18	1	22	4.600238
19	1	5	8.155723
20	1	3	11.848908
21	1	4	15.512977
22	1	5	18.224625
23	1	1	19.363266
24	1	2	18.309687
25	1	0	16.293093
26	1	3	14.238741
27	1	4	11.527411
28	1	4	11.282475
29	1	5	14.233896
30	1	2	18.129776
31	1	3	23.843761
32	1	23	30.690222
33	1	24	36.1754
34	1	21	40.411949
35	1	25	43.657528
36	1	26	47.741585
37	1	20	55.301464
38	1	24	60.434353
39	1	20	64.449638
40	1	27	68.73246
41	1	2	71.978416
42	1	1	77.145409
43	1	2	82.000877
44	1	0	83.261292
45	1	3	83.381058
46	1	4	78.832504
47	1	5	68.723839
48	1	0	54.166523
49	1	3	38.789845
50	1	4	24.202034
51	1	4	11.460659
52	1	5	4.677136
53	1	2	1.735886
54	1	1	0
55	1	11	0
56	1	11	0
57	1	10	0
58	1	11	0
59	1	11	0
60	1	8	0
61	1	9	0
62	1	11	0
63	1	11	0
64	1	11	0
65	1	9	0
66	1	9	0
67	1	8	0
68	1	8	0
69	1	11	0
70	1	11	0
71	1	10	0
72	1	10	0
73	1	8	0
74	1	8	0
75	1	10	0
76	1	11	0
77	1	8	0
78	1	11	0
79	1	9	0.804181
80	1	10	8.100422
81	1	8	14.91651
82	1	10	19.024961
83	1	8	20.101629
