x	y	texture	height
0	0	0	0
1	0	1	0
2	0	2	0
3	0	2	0
4	0	2	0
5	0	2	0
6	0	2	0
7	0	2	0
8	0	2	0
9	0	2	0
10	0	2	0
11	0	2	0
12	0	2	0
13	0	2	0
14	0	2	0
15	0	3	0
16	0	0	0
17	0	0	0
18	0	0	0
19	0	0	0
20	0	4	0
21	0	5	0
22	0	5	0
23	0	5	0
24	0	5	0
25	0	5	0
26	0	5	0
27	0	5	0
28	0	5	0
29	0	5	0
30	0	5	0
31	0	5	0
32	0	5	0
33	0	5	0
34	0	5	0
35	0	5	0
36	0	5	0
37	0	6	0
38	0	1	0
39	0	2	0
40	0	2	0
41	0	2	0
42	0	2	0
43	0	2	0
44	0	2	0
45	0	3	0
46	0	1	0
47	0	2	0
48	0	2	0
49	0	2	0
50	0	2	0
51	0	2	0
52	0	3	0
53	0	0	0
54	0	0	0
55	0	0	0
56	0	0	0
57	0	0	0
58	0	0	0
59	0	0	0
60	0	0	0
61	0	0	0
62	0	0	0
63	0	0	0
64	0	0	0
65	0	0	0
66	0	0	0
67	0	0	0
68	0	0	0
69	0	0	0
70	0	0	0
71	0	0	0
72	0	0	0
73	0	0	0
74	0	0	0
75	0	7	0
76	0	8	0
77	0	0	0
78	0	0	0
79	0	0	0
80	0	0	0
81	0	0	0
82	0	0	0
83	0	0	0
84	0	0	0
85	0	0	0
86	0	0	0
87	0	0	0
88	0	0	0
89	0	0	0
90	0	0	0
91	0	0	0
92	0	0	0
93	0	0	0
94	0	0	0
95	0	0	0
96	0	0	0
97	0	0	0
98	0	0	0
99	0	0	0
100	0	4	0
101	0	5	0
102	0	5	0
103	0	5	0
104	0	5	0
105	0	5	0
106	0	5	0
107	0	5	0
108	0	5	0
109	0	5	0
110	0	5	0
111	0	5	0
112	0	5	0
113	0	5	0
114	0	5	0
115	0	5	0
116	0	9	0
117	0	2	0
118	0	2	0
119	0	3	0
120	0	0	0
121	0	0	0
122	0	0	0
123	0	0	0
124	0	0	0
125	0	0	0
126	0	0	0
127	0	0	0
128	0	1	0
0	1	10	0
1	1	5	0
2	1	5	-4
3	1	5	4
4	1	5	-4
5	1	5	4
6	1	5	4
7	1	5	0
8	1	5	0
9	1	5	8
10	1	5	8
11	1	5	0
12	1	5	0
13	1	5	8
14	1	9	4
15	1	2	12
16	1	2	8
17	1	2	8
18	1	2	12
19	1	11	8
20	1	5	8
21	1	5	16
22	1	5	16
23	1	5	8
24	1	5	16
25	1	5	8
26	1	5	16
27	1	5	8
28	1	5	8
29	1	5	8
30	1	5	16
31	1	5	12
32	1	5	12
33	1	5	12
34	1	5	16
35	1	5	16
36	1	9	12
37	1	11	16
38	1	12	16
39	1	13	20
40	1	5	24
41	1	5	12
42	1	5	12
43	1	5	12
44	1	14	16
45	1	15	16
46	1	5	16
47	1	5	4
48	1	5	4
49	1	5	8
50	1	5	8
51	1	9	0
52	1	3	8
53	1	0	0
54	1	0	0
55	1	0	0
56	1	0	4
57	1	0	0
58	1	0	0
59	1	0	8
60	1	0	0
61	1	0	8
62	1	0	8
63	1	0	0
64	1	0	4
65	1	0	8
66	1	0	4
67	1	0	8
68	1	0	4
69	1	16	4
70	1	17	0
71	1	0	4
72	1	0	8
73	1	7	4
74	1	18	8
75	1	19	0
76	1	2	8
77	1	2	8
78	1	2	0
79	1	2	4
80	1	2	4
81	1	2	8
82	1	2	8
83	1	2	4
84	1	2	4
85	1	2	0
86	1	3	4
87	1	0	4
88	1	0	4
89	1	1	0
90	1	2	4
91	1	2	8
92	1	2	0
93	1	2	0
94	1	2	8
95	1	2	4
96	1	2	8
97	1	2	8
98	1	3	0
99	1	4	4
100	1	5	4
101	1	5	0
102	1	5	4
103	1	5	4
104	1	5	4
105	1	5	-4
106	1	5	-4
107	1	5	-4
108	1	5	-4
109	1	5	4
110	1	5	4
111	1	5	4
112	1	5	0
113	1	5	4
114	1	5	0
115	1	5	-4
116	1	5	0
117	1	5	4
118	1	9	0
119	1	3	4
120	1	0	0
121	1	0	4
122	1	0	4
123	1	0	-4
124	1	0	0
125	1	0	-8
126	1	0	4
127	1	4	-4
128	1	5	0
0	2	5	0
1	2	5	0
2	2	12	4
3	2	20	4
4	2	13	-4
5	2	5	-4
6	2	5	4
7	2	5	-4
8	2	5	0
9	2	5	8
10	2	5	0
11	2	21	8
12	2	22	12
13	2	5	12
14	2	5	16
15	2	5	12
16	2	5	12
17	2	12	20
18	2	20	12
19	2	13	12
20	2	5	12
21	2	5	16
22	2	5	16
23	2	5	20
24	2	5	12
25	2	5	12
26	2	5	20
27	2	5	24
28	2	5	16
29	2	5	24
30	2	5	28
31	2	5	28
32	2	5	24
33	2	5	28
34	2	5	32
35	2	5	20
36	2	5	24
37	2	23	24
38	2	24	28
39	2	13	32
40	2	5	24
41	2	5	24
42	2	5	24
43	2	25	24
44	2	26	20
45	2	5	16
46	2	5	12
47	2	5	12
48	2	5	12
49	2	5	4
50	2	5	12
51	2	9	8
52	2	27	8
53	2	28	8
54	2	29	12
55	2	30	12
56	2	31	8
57	2	29	4
58	2	31	4
59	2	32	4
60	2	16	12
61	2	17	8
62	2	16	4
63	2	29	8
64	2	30	12
65	2	30	4
66	2	30	4
67	2	33	8
68	2	27	4
69	2	27	4
70	2	27	4
71	2	27	12
72	2	34	12
73	2	35	4
74	2	36	4
75	2	5	8
76	2	5	12
77	2	5	12
78	2	5	4
79	2	5	4
80	2	5	4
81	2	5	8
82	2	5	4
83	2	5	12
84	2	5	12
85	2	9	12
86	2	27	4
87	2	37	4
88	2	38	0
89	2	5	12
90	2	5	0
91	2	5	4
92	2	5	0
93	2	5	0
94	2	5	0
95	2	5	8
96	2	5	4
97	2	9	8
98	2	10	0
99	2	5	0
100	2	5	0
101	2	5	0
102	2	5	4
103	2	5	4
104	2	5	8
105	2	5	4
106	2	5	-4
107	2	5	0
108	2	5	4
109	2	5	0
110	2	5	8
111	2	5	0
112	2	5	0
113	2	5	4
114	2	5	4
115	2	5	-4
116	2	5	0
117	2	5	-4
118	2	6	4
119	2	17	0
120	2	32	0
121	2	16	4
122	2	32	0
123	2	32	-4
124	2	17	-4
125	2	32	0
126	2	10	4
127	2	5	0
128	2	12	0
0	3	20	0
1	3	39	-4
2	3	40	-4
3	3	41	-4
4	3	42	-4
5	3	43	0
6	3	5	0
7	3	5	4
8	3	5	0
9	3	5	4
10	3	44	8
11	3	45	8
12	3	5	16
13	3	5	12
14	3	12	12
15	3	20	16
16	3	46	20
17	3	47	20
18	3	24	16
19	3	20	20
20	3	20	20
21	3	20	16
22	3	13	20
23	3	5	24
24	3	5	20
25	3	5	16
26	3	5	24
27	3	5	24
28	3	5	28
29	3	5	20
30	3	5	28
31	3	5	32
32	3	12	32
33	3	20	28
34	3	20	36
35	3	13	40
36	3	5	36
37	3	23	40
38	3	24	40
39	3	13	36
40	3	5	40
41	3	5	40
42	3	25	28
43	3	26	32
44	3	5	32
45	3	5	28
46	3	5	28
47	3	5	12
48	3	5	16
49	3	5	12
50	3	5	16
51	3	5	8
52	3	9	12
53	3	28	8
54	3	48	8
55	3	49	12
56	3	50	12
57	3	51	8
58	3	52	8
59	3	51	4
60	3	30	4
61	3	52	4
62	3	50	8
63	3	50	12
64	3	51	12
65	3	52	4
66	3	53	12
67	3	5	8
68	3	5	8
69	3	5	4
70	3	5	4
71	3	5	8
72	3	5	8
73	3	5	8
74	3	5	12
75	3	5	8
76	3	5	8
77	3	5	8
78	3	5	12
79	3	5	8
80	3	5	12
81	3	5	12
82	3	5	4
83	3	5	12
84	3	5	8
85	3	5	4
86	3	9	4
87	3	10	4
88	3	5	8
89	3	5	8
90	3	5	12
91	3	5	4
92	3	5	4
93	3	5	12
94	3	5	4
95	3	5	4
96	3	5	4
97	3	5	12
98	3	5	4
99	3	5	0
100	3	5	4
101	3	5	0
102	3	5	4
103	3	5	8
104	3	5	4
105	3	5	8
106	3	5	0
107	3	5	8
108	3	5	8
109	3	5	0
110	3	5	8
111	3	5	8
112	3	5	8
113	3	5	0
114	3	5	8
115	3	5	8
116	3	5	0
117	3	9	0
118	3	28	0
119	3	32	0
120	3	17	4
121	3	16	0
122	3	32	0
123	3	16	0
124	3	54	4
125	3	5	0
126	3	5	-4
127	3	55	4
128	3	40	0
0	4	56	0
1	4	57	-4
2	4	58	4
3	4	59	-4
4	4	60	4
5	4	43	-4
6	4	5	0
7	4	5	8
8	4	5	8
9	4	5	4
10	4	5	4
11	4	5	16
12	4	5	16
13	4	23	20
14	4	61	20
15	4	26	16
16	4	5	20
17	4	23	24
18	4	47	24
19	4	47	24
20	4	47	20
21	4	24	16
22	4	13	24
23	4	5	16
24	4	5	28
25	4	5	24
26	4	5	32
27	4	5	28
28	4	5	40
29	4	5	40
30	4	5	44
31	4	23	40
32	4	47	40
33	4	61	40
34	4	26	48
35	4	5	44
36	4	5	40
37	4	23	52
38	4	24	48
39	4	13	52
40	4	5	48
41	4	23	48
42	4	24	44
43	4	13	48
44	4	5	44
45	4	5	32
46	4	5	28
47	4	5	24
48	4	12	24
49	4	13	20
50	4	5	16
51	4	5	20
52	4	62	20
53	4	63	24
54	4	64	12
55	4	65	20
56	4	66	12
57	4	65	16
58	4	66	20
59	4	67	12
60	4	68	12
61	4	69	20
62	4	70	12
63	4	30	20
64	4	30	12
65	4	71	16
66	4	5	20
67	4	5	12
68	4	5	12
69	4	5	20
70	4	5	16
71	4	5	20
72	4	5	12
73	4	5	12
74	4	5	20
75	4	5	12
76	4	5	16
77	4	5	12
78	4	5	12
79	4	5	20
80	4	5	8
81	4	5	16
82	4	5	8
83	4	5	16
84	4	5	12
85	4	5	16
86	4	5	8
87	4	5	16
88	4	5	16
89	4	5	12
90	4	5	8
91	4	5	8
92	4	5	12
93	4	5	16
94	4	5	12
95	4	5	8
96	4	5	4
97	4	5	12
98	4	5	12
99	4	5	8
100	4	5	8
101	4	5	12
102	4	5	8
103	4	5	12
104	4	5	8
105	4	5	4
106	4	5	4
107	4	5	12
108	4	5	4
109	4	5	8
110	4	5	12
111	4	5	12
112	4	5	8
113	4	5	12
114	4	5	8
115	4	5	4
116	4	5	4
117	4	6	8
118	4	16	8
119	4	32	4
120	4	17	4
121	4	17	4
122	4	17	0
123	4	72	0
124	4	5	4
125	4	5	4
126	4	73	4
127	4	74	0
128	4	75	0
0	5	76	0
1	5	77	0
2	5	57	0
3	5	77	-4
4	5	60	-4
5	5	43	-4
6	5	5	8
7	5	5	4
8	5	5	8
9	5	5	4
10	5	5	12
11	5	5	12
12	5	12	20
13	5	46	20
14	5	78	16
15	5	5	24
16	5	5	20
17	5	5	16
18	5	5	28
19	5	5	24
20	5	25	24
21	5	26	24
22	5	5	32
23	5	5	24
24	5	5	36
25	5	5	28
26	5	5	44
27	5	5	44
28	5	5	48
29	5	5	44
30	5	5	40
31	5	5	52
32	5	23	52
33	5	24	56
34	5	13	60
35	5	5	60
36	5	5	60
37	5	23	68
38	5	24	68
39	5	13	64
40	5	5	64
41	5	23	60
42	5	78	60
43	5	5	56
44	5	5	44
45	5	5	40
46	5	5	48
47	5	23	36
48	5	24	28
49	5	13	32
50	5	5	32
51	5	79	28
52	5	80	28
53	5	81	28
54	5	5	24
55	5	5	28
56	5	5	24
57	5	5	24
58	5	82	24
59	5	83	20
60	5	49	28
61	5	50	20
62	5	51	20
63	5	31	24
64	5	84	28
65	5	5	20
66	5	5	28
67	5	5	24
68	5	5	20
69	5	5	24
70	5	12	20
71	5	20	20
72	5	13	20
73	5	5	20
74	5	5	24
75	5	5	20
76	5	5	24
77	5	5	24
78	5	5	16
79	5	5	16
80	5	5	24
81	5	5	20
82	5	5	24
83	5	5	24
84	5	5	24
85	5	5	16
86	5	5	20
87	5	5	24
88	5	5	20
89	5	5	24
90	5	5	20
91	5	5	20
92	5	5	16
93	5	5	20
94	5	5	20
95	5	5	12
96	5	5	12
97	5	5	8
98	5	5	8
99	5	5	12
100	5	5	8
101	5	5	16
102	5	5	12
103	5	85	16
104	5	86	12
105	5	87	16
106	5	5	16
107	5	5	16
108	5	5	8
109	5	5	12
110	5	5	8
111	5	5	16
112	5	5	12
113	5	5	12
114	5	5	8
115	5	5	8
116	5	6	12
117	5	16	8
118	5	32	4
119	5	32	12
120	5	17	4
121	5	16	8
122	5	72	0
123	5	5	-4
124	5	5	0
125	5	73	12
126	5	88	16
127	5	89	0
128	5	90	0
0	6	75	0
1	6	75	-4
2	6	76	-4
3	6	58	-4
4	6	91	-4
5	6	5	0
6	6	5	4
7	6	5	4
8	6	5	12
9	6	5	16
10	6	5	12
11	6	23	12
12	6	24	16
13	6	13	16
14	6	5	16
15	6	5	24
16	6	5	16
17	6	5	24
18	6	5	20
19	6	23	28
20	6	78	32
21	6	5	32
22	6	5	32
23	6	5	40
24	6	5	36
25	6	5	40
26	6	5	44
27	6	5	44
28	6	5	48
29	6	5	60
30	6	5	56
31	6	5	52
32	6	23	56
33	6	78	64
34	6	5	64
35	6	5	72
36	6	5	76
37	6	25	80
38	6	26	80
39	6	5	76
40	6	12	80
41	6	20	72
42	6	20	68
43	6	13	60
44	6	5	56
45	6	5	48
46	6	5	48
47	6	23	44
48	6	24	44
49	6	13	36
50	6	9	40
51	6	10	28
52	6	5	32
53	6	12	28
54	6	20	32
55	6	13	28
56	6	5	32
57	6	79	32
58	6	92	28
59	6	32	36
60	6	93	36
61	6	51	28
62	6	30	28
63	6	71	24
64	6	5	32
65	6	5	28
66	6	5	24
67	6	5	24
68	6	5	28
69	6	23	24
70	6	61	28
71	6	94	24
72	6	20	24
73	6	13	32
74	6	5	28
75	6	5	32
76	6	5	24
77	6	5	28
78	6	5	24
79	6	5	28
80	6	5	32
81	6	5	28
82	6	5	20
83	6	5	28
84	6	5	24
85	6	5	20
86	6	5	28
87	6	5	20
88	6	5	24
89	6	5	28
90	6	5	28
91	6	5	28
92	6	5	20
93	6	5	24
94	6	5	28
95	6	5	24
96	6	5	16
97	6	5	24
98	6	5	28
99	6	5	12
