x	y	texture	height
0	0	0	0
1	0	0	0
2	0	1	0
3	0	0	0
4	0	0	0
5	0	1	0
6	0	1	0
7	0	1	0
8	0	1	0
9	0	1	0
10	0	1	0
11	0	2	0
12	0	1	0
13	0	2	0
14	0	2	0
15	0	0	0
16	0	0	0
17	0	2	0
18	0	2	0
19	0	3	0
20	0	4	0
21	0	1	0
22	0	2	0
23	0	2	0
24	0	2	0
25	0	0	0
26	0	0	0
27	0	0	0
28	0	0	0
29	0	5	0
30	0	6	0
31	0	7	0
32	0	2	0
33	0	8	0
34	0	9	0
35	0	10	0
36	0	11	0
37	0	8	0
38	0	11	0
39	0	1	0
40	0	0	0
41	0	0	0
42	0	8	0
43	0	9	0
44	0	12	0
45	0	7	0
46	0	2	0
47	0	1	0
48	0	1	0
49	0	8	0
50	0	13	0
51	0	9	0
52	0	7	0
53	0	0	0
54	0	1	0
55	0	1	0
56	0	2	0
57	0	1	0
58	0	8	0
59	0	11	0
60	0	14	0
61	0	15	0
62	0	4	0
63	0	14	0
64	0	7	0
65	0	0	0
66	0	0	0
67	0	1	0
68	0	0	0
69	0	0	0
70	0	1	0
71	0	0	0
72	0	2	0
73	0	2	0
74	0	0	0
75	0	1	0
76	0	2	0
77	0	1	0
78	0	1	0
79	0	1	0
80	0	2	0
81	0	0	0
82	0	2	0
83	0	1	0
84	0	0	0
85	0	1	0
86	0	1	0
87	0	16	0
88	0	17	0
89	0	2	0
90	0	0	0
91	0	2	0
92	0	0	0
93	0	2	0
94	0	2	0
95	0	2	0
96	0	16	0
97	0	17	0
98	0	16	0
99	0	18	0
100	0	19	0
101	0	0	0
102	0	2	0
103	0	20	0
104	0	21	0
105	0	22	0
106	0	19	0
107	0	0	0
108	0	23	0
109	0	24	0
110	0	20	0
111	0	22	0
112	0	25	0
113	0	26	0
114	0	27	0
115	0	28	0
116	0	29	0
117	0	19	0
118	0	20	0
119	0	22	0
120	0	30	0
121	0	10	0
122	0	11	0
123	0	14	0
124	0	7	0
125	0	8	0
126	0	9	0
127	0	7	0
128	0	2	0
0	1	2	0
1	1	2	0
2	1	0	0
3	1	8	-0.19129
4	1	13	0
5	1	11	0
6	1	0	0
7	1	1	0
8	1	0	0
9	1	1	0.75045
10	1	2	2.800748
11	1	0	2.607728
12	1	0	0.530836
13	1	3	0.089199
14	1	31	0
15	1	31	0
16	1	4	0
17	1	0	0
18	1	32	0
19	1	33	0
20	1	0	0
21	1	1	0
22	1	0	0
23	1	0	0
24	1	1	0
25	1	0	0.002332
26	1	2	0.049841
27	1	8	0.135185
28	1	13	0.172661
29	1	9	0.067982
30	1	10	0
31	1	13	0
32	1	34	0
33	1	35	0
34	1	35	0
35	1	36	0
36	1	9	0
37	1	10	0
38	1	13	0
39	1	13	0
40	1	13	0
41	1	9	0
42	1	12	0.001526
43	1	37	0.335734
44	1	38	4.577618
45	1	8	6.745332
46	1	11	4.795292
47	1	2	1.569507
48	1	14	0.28568
49	1	12	2.015583
50	1	37	3.109733
51	1	38	1.734786
52	1	3	0
53	1	4	0
54	1	1	-0.850018
55	1	1	-3.291918
56	1	2	-6.324742
57	1	14	-11.164716
58	1	10	-16.670382
59	1	34	-19.288364
60	1	39	-19.328339
61	1	40	-18.480038
62	1	41	-18.149588
63	1	10	-18.305967
64	1	11	-19.101891
65	1	2	-20.223507
66	1	1	-20.856466
67	1	2	-20.597561
68	1	1	-19.801208
69	1	2	-19.246172
70	1	0	-18.983461
71	1	2	-19.546745
72	1	1	-20.024834
73	1	1	-19.758938
74	1	2	-19.636105
75	1	1	-24.67235
76	1	0	-29.296114
77	1	2	-31.17079
78	1	0	-30.485954
79	1	0	-28.120529
80	1	0	-25.327711
81	1	0	-21.467346
82	1	2	-15.407491
