x	y	texture	height
0	0	0	0
1	0	1	0
2	0	2	0
3	0	3	0
4	0	4	0
5	0	5	0
6	0	6	0
7	0	7	0
8	0	8	0
9	0	9	0
10	0	10	0
11	0	11	0
12	0	12	0
13	0	13	0
14	0	1	0
15	0	14	0
16	0	11	0
17	0	12	0.098998
18	0	15	1.240956
19	0	16	1.896102
20	0	17	0.371897
21	0	17	0
22	0	18	0
23	0	19	0
24	0	20	0
25	0	2	0
26	0	3	0
27	0	11	0
28	0	2	0
29	0	21	0
30	0	22	0
31	0	23	0
32	0	24	0
33	0	25	0
34	0	26	0
35	0	9	0
36	0	9	0
37	0	27	0
38	0	3	0
39	0	12	0
40	0	13	0
41	0	1	0
42	0	13	0
43	0	28	0
44	0	22	0
45	0	10	0
46	0	29	0
47	0	27	0
48	0	3	0
49	0	11	0
50	0	30	0
51	0	31	0
52	0	32	0
53	0	33	0
54	0	9	0
55	0	34	0
56	0	35	0
57	0	36	0
58	0	37	0
59	0	38	0
60	0	9	0
61	0	0	0
62	0	39	0
63	0	40	0
64	0	41	0
65	0	32	0
66	0	42	0
67	0	43	0
68	0	44	0
69	0	45	0
70	0	46	0
71	0	47	0
72	0	48	0
73	0	49	0
74	0	50	0
75	0	51	0
76	0	29	0
77	0	27	0
78	0	21	0
79	0	3	0
80	0	14	0
81	0	29	0
82	0	52	0
83	0	53	0
84	0	54	0
85	0	55	0
86	0	56	0
87	0	54	0
88	0	55	0
89	0	57	0
90	0	58	0
91	0	11	0
92	0	12	0
93	0	11	0
94	0	11	0
95	0	12	0
96	0	11	0
97	0	14	0
98	0	14	0
99	0	11	0
100	0	12	0
101	0	12	0
102	0	12	0
103	0	11	0
104	0	11	0
105	0	12	0
106	0	14	0
107	0	11	0
108	0	14	0
109	0	14	0
110	0	14	0
111	0	11	0
112	0	59	0
113	0	60	0
114	0	61	0
115	0	62	0
116	0	62	0
117	0	63	0
118	0	60	0
119	0	61	0
120	0	63	0
121	0	61	0
122	0	62	0
123	0	63	0
124	0	64	0
125	0	64	0
126	0	60	0
127	0	61	0
128	0	10	0
0	1	2	0
1	1	22	6.533159
2	1	65	6.932714
3	1	66	11.503428
4	1	67	10.87524
5	1	68	1.283634
6	1	69	0.171582
7	1	70	1.847627
8	1	9	1.726535
9	1	65	6.046981
10	1	71	18.407005
11	1	3	26.495226
12	1	11	21.502392
13	1	12	8.593584
14	1	14	0.148529
15	1	14	0
16	1	14	0
17	1	72	1.652851
18	1	18	5.778557
19	1	2	7.242257
20	1	3	6.549866
21	1	15	4.087622
22	1	16	0.846139
23	1	18	0.172377
24	1	29	0
25	1	65	5.471886
26	1	5	11.945663
27	1	29	11.197803
28	1	0	8.860336
29	1	39	5.229438
30	1	73	1.478076
31	1	74	0
32	1	3	0
33	1	29	0
34	1	9	0
35	1	9	0
36	1	9	0
37	1	10	0
38	1	2	0
39	1	3	0
40	1	2	0
41	1	3	0
42	1	13	0
43	1	39	0
44	1	28	0
45	1	75	0
46	1	76	0
47	1	27	0
48	1	21	0
49	1	77	0
50	1	78	0
51	1	34	0
52	1	33	0
53	1	79	0
54	1	80	0.100259
55	1	37	2.987243
56	1	51	5.022923
57	1	11	4.551884
58	1	13	2.05821
59	1	39	0
60	1	28	0
61	1	21	0
62	1	77	0
63	1	78	0
64	1	34	1.688367
65	1	41	3.985422
66	1	32	5.589556
67	1	42	6.155988
68	1	81	5.515162
69	1	80	3.856727
70	1	51	1.526358
71	1	2	0.177144
72	1	77	0.581635
73	1	82	0
74	1	21	0
75	1	22	0
76	1	9	0
77	1	9	0
78	1	27	0
79	1	21	0
80	1	83	0
81	1	84	0
82	1	85	0
83	1	86	0
84	1	87	0
85	1	88	0
86	1	57	0
87	1	89	0
88	1	90	0
89	1	91	0
90	1	92	0
91	1	58	0
92	1	14	0
93	1	11	0
94	1	11	0
95	1	14	0
96	1	11	0
97	1	14	0
98	1	12	0
99	1	12	0
100	1	11	0
101	1	12	0
102	1	14	0
103	1	11	0.000043
104	1	11	0.000096
105	1	12	0.000045
106	1	14	0.000018
107	1	12	0
108	1	12	0
109	1	12	0
110	1	11	0
111	1	93	0
112	1	94	0
113	1	94	0
114	1	95	0
115	1	64	0
116	1	64	0
117	1	64	0
118	1	60	0
119	1	60	0
120	1	60	0
121	1	96	0
122	1	95	0
123	1	60	0
124	1	96	0
125	1	95	0
126	1	64	0
127	1	28	0
128	1	22	0
0	2	97	0
1	2	98	6.14792
2	2	99	12.353351
3	2	71	19.855709
4	2	100	20.289892
5	2	101	14.121909
6	2	102	18.275455
7	2	103	20.294735
8	2	98	14.768564
9	2	102	22.991035
10	2	104	43.05447
11	2	3	50.191639
12	2	14	40.213486
13	2	12	20.902519
14	2	14	5.091078
15	2	12	2.419303
16	2	2	2.335852
17	2	21	5.508376
18	2	22	9.944691
19	2	10	11.241079
20	2	72	10.191111
21	2	18	7.451911
22	2	2	3.611664
23	2	105	1.229184
24	2	98	4.242613
25	2	99	18.783953
26	2	106	34.51128
27	2	28	37.700314
28	2	3	29.528107
29	2	13	18.808111
30	2	107	8.603498
31	2	108	0.344672
32	2	109	0
33	2	110	0
34	2	0	0
35	2	76	0
36	2	27	0
37	2	75	0
38	2	1	0
39	2	13	0
40	2	1	0
41	2	2	0
42	2	3	0
43	2	29	0
44	2	10	0
45	2	13	0
46	2	39	0
47	2	111	0
48	2	112	0
49	2	9	0
50	2	34	0
51	2	113	1.885118
52	2	114	6.422311
53	2	42	8.557964
54	2	115	13.952953
55	2	116	17.634007
56	2	12	20.382456
57	2	2	18.070831
58	2	3	12.016878
59	2	117	5.085923
60	2	112	0.326378
61	2	9	0
62	2	9	0
63	2	118	0.731015
64	2	78	3.827525
65	2	34	6.635365
66	2	119	8.620276
67	2	35	10.360641
68	2	42	11.362243
69	2	115	10.386387
70	2	81	7.697316
71	2	47	11.092951
72	2	76	15.120745
73	2	0	10.203601
74	2	39	1.072377
75	2	76	0.984792
76	2	9	0.441563
77	2	0	0
78	2	39	0
79	2	120	0
80	2	121	0
81	2	22	0
82	2	9	0
83	2	9	0
84	2	122	0
85	2	123	0
86	2	57	0
87	2	124	0
88	2	58	0
89	2	125	0
90	2	91	0
91	2	11	0
92	2	14	0
93	2	11	0
94	2	12	0
95	2	14	0
96	2	11	0
97	2	12	0
98	2	12	0
99	2	12	0
100	2	12	0.000143
101	2	12	0.002033
102	2	12	0.011022
103	2	12	0.026693
104	2	12	0.039399
105	2	12	0.038674
106	2	12	0.024538
107	2	92	0.005621
108	2	124	0.000201
109	2	124	0
110	2	124	0.000078
111	2	124	0.000147
112	2	124	0.00004
113	2	126	0
114	2	64	0
115	2	60	0
116	2	64	0
117	2	60	0
118	2	60	0
119	2	127	0
120	2	128	0
121	2	63	0
122	2	60	0
123	2	129	0
124	2	59	0
125	2	64	0
126	2	22	0
127	2	130	0
128	2	131	0
0	3	132	0
1	3	133	4.647623
2	3	70	11.362958
3	3	65	20.824137
4	3	134	24.437183
5	3	135	28.183451
6	3	136	38.038998
7	3	133	41.813076
8	3	136	34.650444
9	3	137	42.134239
10	3	1	55.029575
11	3	14	54.681232
12	3	11	36.707394
13	3	2	23.063295
14	3	3	12.402126
15	3	13	8.68329
16	3	39	9.689732
17	3	76	11.06678
18	3	10	15.111462
19	3	14	15.860148
20	3	4	14.37939
21	3	106	11.070089
22	3	138	6.503831
23	3	69	2.554579
24	3	139	7.282048
25	3	67	24.847376
26	3	29	46.504841
27	3	10	51.032722
28	3	14	40.536541
29	3	19	26.652916
30	3	140	10.645473
31	3	140	0.896482
32	3	24	0
33	3	28	0
34	3	75	0
35	3	39	0
36	3	1	0
37	3	11	0
38	3	2	0
39	3	21	0
40	3	22	0
41	3	10	0
42	3	13	0
43	3	1	0
44	3	11	0
45	3	30	0
46	3	43	0
47	3	113	0
48	3	141	0
49	3	114	0
50	3	119	6.871777
51	3	119	17.052402
52	3	142	24.002016
53	3	119	41.816349
54	3	42	55.306026
55	3	115	57.828823
56	3	143	47.039211
57	3	1	38.463902
58	3	45	27.25798
59	3	46	13.892417
60	3	141	3.543816
61	3	47	0
62	3	39	0
63	3	111	1.82297
64	3	114	5.228954
65	3	119	8.627535
66	3	144	11.299255
67	3	145	15.349557
68	3	119	19.648661
69	3	35	22.866245
70	3	146	25.768755
71	3	75	42.354977
72	3	1	48.609684
73	3	2	32.402649
74	3	22	12.794188
75	3	9	10.014132
76	3	27	8.120782
77	3	21	1.329779
78	3	147	0
79	3	148	0
80	3	149	0
81	3	9	0
82	3	52	0
83	3	150	0
84	3	151	0
85	3	88	0
86	3	152	0
87	3	57	0
88	3	58	0
89	3	11	0
90	3	11	0
91	3	12	0
92	3	12	0
93	3	11	0
94	3	14	0
95	3	12	0
96	3	12	0
97	3	12	0
98	3	12	0.000003
99	3	14	0.000349
100	3	12	0.010357
101	3	14	0.140509
102	3	14	0.540547
103	3	11	1.109473
104	3	12	1.320401
105	3	12	1.581916
106	3	153	1.477143
107	3	123	0.948215
108	3	152	0.288251
109	3	152	0.210521
110	3	56	0.172321
111	3	56	0.087509
112	3	154	0.004429
113	3	155	0.000759
114	3	96	0.000496
115	3	95	0.000051
116	3	96	0
117	3	156	0
118	3	157	0
119	3	158	0
120	3	95	0
121	3	127	0
122	3	128	0
123	3	63	0
124	3	64	0
125	3	9	0
126	3	159	0
127	3	160	0
128	3	161	0
0	4	162	0
1	4	163	1.954432
2	4	164	7.607408
3	4	69	15.99136
4	4	135	21.647614
5	4	70	24.958633
6	4	165	35.861053
7	4	166	41.170696
8	4	1	37.578003
9	4	14	42.439926
10	4	12	46.024368
11	4	2	33.764065
12	4	22	17.926357
13	4	27	16.761971
14	4	3	14.976743
15	4	2	14.855692
16	4	75	16.975342
17	4	28	18.873083
18	4	3	21.526213
19	4	167	21.199236
20	4	67	19.295486
21	4	168	15.492971
22	4	169	9.270569
23	4	170	3.671993
24	4	171	6.163172
25	4	109	16.729113
26	4	172	30.943262
27	4	15	34.412083
28	4	173	27.107552
29	4	174	16.315401
30	4	175	6.366436
31	4	176	0.19696
32	4	177	0
33	4	104	0
34	4	178	0
35	4	5	0
36	4	2	0
37	4	75	0
38	4	39	0
39	4	39	0
40	4	1	0
41	4	14	0
42	4	14	0
43	4	30	0
44	4	179	0
45	4	180	0
46	4	180	0
47	4	181	0
48	4	119	0
49	4	144	4.568398
50	4	35	18.883982
51	4	145	31.775091
52	4	119	52.491215
53	4	36	77.907951
54	4	37	95.91993
55	4	51	92.10009
56	4	2	75.22937
57	4	182	55.362762
58	4	183	41.917393
59	4	184	24.284105
60	4	185	7.730419
61	4	3	0.42486
62	4	186	0
63	4	37	2.095523
64	4	187	5.590306
65	4	119	10.377016
66	4	35	15.614233
67	4	142	23.383825
68	4	142	30.723272
69	4	113	38.941441
70	4	188	49.712833
71	4	116	72.970413
72	4	13	88.679382
73	4	76	71.455711
74	4	0	44.029556
75	4	76	35.839588
76	4	9	26.734785
77	4	27	10.319522
78	4	189	0.098041
79	4	190	0
80	4	52	0
81	4	53	0
82	4	190	0
83	4	9	0
84	4	191	0
85	4	88	0
86	4	54	0
87	4	91	0
88	4	11	0
89	4	12	0
90	4	12	0
91	4	14	0
92	4	92	0
93	4	124	0
94	4	124	0
95	4	124	0
96	4	58	0
97	4	14	0
98	4	11	0.000061
99	4	14	0.004253
100	4	11	0.101772
101	4	11	1.024452
102	4	14	5.83028
103	4	11	10.445821
104	4	11	12.298828
105	4	153	10.616032
106	4	123	18.094423
107	4	56	17.988165
108	4	56	13.138506
109	4	123	7.830114
110	4	192	5.317487
111	4	193	0.46768
112	4	194	0.066447
113	4	195	0.096912
114	4	196	0.184297
115	4	195	0.120371
116	4	197	0.005537
117	4	10	0.004611
118	4	14	0.077615
119	4	93	0.010635
120	4	198	0.002701
121	4	199	0.000741
122	4	200	0.000083
123	4	64	0.000001
124	4	76	0
125	4	130	0
126	4	201	0
127	4	202	0
128	4	203	0
0	5	159	0
1	5	204	0.547524
2	5	205	6.798737
3	5	169	13.195169
4	5	206	12.352207
5	5	10	11.749404
6	5	14	15.645195
7	5	11	21.348404
8	5	14	20.571009
9	5	2	24.416952
10	5	22	22.959412
11	5	207	13.229124
12	5	208	7.206871
13	5	209	15.925525
14	5	75	19.260506
15	5	210	25.049368
16	5	211	31.016003
17	5	212	31.877291
18	5	213	27.770161
19	5	11	26.104874
20	5	29	24.108015
21	5	0	20.503305
22	5	76	11.673449
23	5	214	5.024071
24	5	215	4.199017
25	5	216	6.745187
26	5	173	11.907598
27	5	217	12.468439
28	5	26	9.579713
29	5	9	4.551939
30	5	218	3.077461
31	5	135	2.383364
32	5	102	1.346742
33	5	98	0.063561
34	5	219	0
35	5	75	0
36	5	28	0
37	5	21	0
38	5	3	0
39	5	2	0
40	5	3	0
41	5	12	0
42	5	186	0
43	5	220	0
44	5	221	0
45	5	221	0
46	5	222	0
47	5	35	0
48	5	119	0
49	5	144	11.179065
50	5	119	28.807001
51	5	36	49.620129
52	5	51	71.4814
53	5	11	97.807693
54	5	12	110.882141
55	5	29	108.128174
56	5	118	90.796684
57	5	78	68.666916
58	5	27	53.002403
59	5	22	31.190958
60	5	223	11.017606
61	5	116	0.809393
62	5	30	0
63	5	43	1.502387
64	5	119	4.81036
65	5	145	12.024764
66	5	119	20.124596
67	5	119	30.175617
68	5	144	41.715797
69	5	36	52.854439
70	5	51	63.202988
71	5	2	84.866409
72	5	22	108.222565
73	5	27	99.082146
74	5	22	72.816719
75	5	0	52.342052
76	5	76	35.906563
77	5	191	14.494021
78	5	224	0.912476
79	5	225	0
80	5	85	0
81	5	226	0.000073
82	5	149	0.0017
83	5	0	0.005515
84	5	227	0.007276
85	5	228	0.002232
86	5	58	0.000117
87	5	14	0.000037
88	5	92	0.000034
89	5	124	0.009368
90	5	124	0.04221
91	5	229	0.116937
92	5	152	0.109491
93	5	123	0.0476
94	5	56	0.019185
95	5	230	0.010422
96	5	11	0.005848
97	5	11	0.004438
98	5	11	0.008443
