x	y	texture	height
0	0	0	0
1	0	1	0
2	0	2	0
3	0	3	0
4	0	4	0
5	0	5	0
6	0	6	0
7	0	6	0
8	0	6	0
9	0	7	0
10	0	8	0
11	0	9	0
12	0	10	0
13	0	11	0
14	0	12	0
15	0	13	0
16	0	14	0
17	0	15	0
18	0	13	0
19	0	16	0
20	0	17	0
21	0	18	0
22	0	19	0
23	0	20	0
24	0	21	0
25	0	22	0
26	0	23	0
27	0	24	0
28	0	25	0
29	0	26	0
30	0	27	0
31	0	28	0
32	0	29	0
33	0	30	0
34	0	31	0
35	0	32	0
36	0	33	0
37	0	19	0
38	0	20	0
39	0	21	0
40	0	34	0
41	0	32	0
42	0	35	0
43	0	36	0
44	0	36	0
45	0	37	0
46	0	34	0
47	0	38	0
48	0	39	0
49	0	40	0
50	0	41	0
51	0	39	0
52	0	42	0
53	0	43	0
54	0	44	0
55	0	45	0
56	0	46	0
57	0	43	0
58	0	47	0
59	0	21	0
60	0	34	0
61	0	19	0
62	0	48	0
63	0	36	0
64	0	37	0
65	0	49	0
66	0	50	0
67	0	47	0
68	0	34	0
69	0	19	0
70	0	51	0
71	0	52	0
72	0	53	0
73	0	54	0
74	0	55	0
75	0	28	0
76	0	56	0
77	0	57	0
78	0	58	0
79	0	59	0
80	0	60	0
81	0	61	0
82	0	62	0
83	0	63	0
84	0	63	0
85	0	63	0
86	0	63	0
87	0	63	0
88	0	63	0
89	0	63	0
90	0	63	0
91	0	63	0
92	0	63	0
93	0	63	0
94	0	63	0
95	0	63	0
96	0	63	0
97	0	63	0
98	0	63	0
99	0	64	0
100	0	65	25
101	0	66	25
102	0	67	25
103	0	68	19.172388
104	0	69	0
105	0	70	0
106	0	68	0
107	0	68	0
108	0	68	0
109	0	69	0
110	0	71	0
111	0	71	0
112	0	71	0
113	0	70	0
114	0	68	0
115	0	69	0
116	0	70	0
117	0	68	0
118	0	69	0
119	0	70	0
120	0	68	0
121	0	69	0
122	0	71	0
123	0	71	0
124	0	71	0
125	0	70	0
126	0	68	0
127	0	72	0
128	0	73	0
0	1	74	0
1	1	75	140.746048
2	1	76	135.583435
3	1	77	146.548767
4	1	78	133.567352
5	1	79	141.637039
6	1	79	144.57724
7	1	80	172.966354
8	1	74	136.222717
9	1	81	59.999996
10	1	11	59.999996
11	1	13	53.611702
12	1	13	43.488007
13	1	82	44.693645
14	1	83	49.712753
15	1	84	56.917759
16	1	85	51.469086
17	1	86	49.974529
18	1	13	36.687908
19	1	87	23.914085
20	1	88	6.501939
21	1	19	7.032687
22	1	20	13.534833
23	1	21	12.730134
24	1	34	3.2
25	1	89	3
26	1	90	3
27	1	91	3
28	1	92	4.039048
29	1	93	6.943002
30	1	43	10.693892
31	1	94	-0.681346
32	1	95	0
33	1	96	0
34	1	89	0
35	1	91	0
36	1	97	5.345177
37	1	98	0
38	1	99	0
39	1	100	0
40	1	101	0
41	1	102	2.805934
42	1	103	1.428386
43	1	104	-6.001485
44	1	105	-4.945023
45	1	106	-2.394114
46	1	107	0
47	1	108	0
48	1	109	-4.953229
49	1	110	-3.740777
50	1	111	0
51	1	112	-4.279191
52	1	113	-5.614505
53	1	114	2.703489
54	1	115	0
55	1	115	1.252139
56	1	115	0
57	1	116	0
58	1	95	0
59	1	117	0
60	1	118	0
61	1	119	0
62	1	120	1.115054
63	1	121	-3.073543
64	1	122	-7.57469
65	1	123	1.762484
66	1	116	-9.754494
67	1	124	2.478665
68	1	30	0
69	1	125	0
70	1	126	0
71	1	28	0
72	1	127	0
73	1	128	0
74	1	129	-11.421664
75	1	130	0
76	1	131	0
77	1	132	0
78	1	133	0
79	1	134	107.323418
80	1	135	136.912628
81	1	136	156.999985
82	1	137	156.999985
83	1	136	156.999985
84	1	66	156.999985
85	1	66	156.999985
86	1	66	157.099991
87	1	66	157.199982
88	1	66	157.299988
89	1	66	157.399979
90	1	66	157.299988
91	1	67	157.199982
92	1	69	157.099991
93	1	138	156.999985
94	1	139	156.999985
95	1	140	156.999985
96	1	139	156.999985
97	1	139	156.999985
98	1	141	146.985352
99	1	142	132.223907
100	1	143	106.288216
101	1	144	70.676056
102	1	145	36.646202
103	1	146	22
104	1	147	0
105	1	148	-8.622212
106	1	149	0
107	1	145	2.326164
108	1	146	0
109	1	150	0
110	1	151	-2.488088
111	1	152	-6.136918
112	1	147	-7.976449
113	1	153	-5.890739
114	1	146	0
115	1	147	0
116	1	153	-5.121066
117	1	146	0
118	1	147	0
119	1	153	-8.5441
120	1	154	0
121	1	151	0
122	1	151	-6.717247
123	1	151	-6.819873
124	1	155	-8.342979
125	1	148	-7.762772
126	1	156	0
127	1	73	0
128	1	157	0
0	2	158	0
1	2	159	149.006058
2	2	160	126.226578
3	2	78	129.585907
4	2	80	129.965302
5	2	80	123.800018
6	2	161	136.052994
7	2	80	131.325394
8	2	162	123.800018
9	2	163	73.799995
10	2	163	63.402191
11	2	164	71.609718
12	2	165	69.408958
13	2	140	68.895775
14	2	166	66.795044
15	2	167	73.799995
16	2	168	66.06131
17	2	86	73.799995
18	2	169	62.985401
19	2	170	41.295895
20	2	92	7.948224
21	2	171	7.107026
22	2	172	13.527173
23	2	173	14.532294
24	2	174	5.639359
25	2	19	4.871236
26	2	19	6.942482
27	2	32	8.371558
28	2	175	6.649179
29	2	43	7.328248
30	2	176	13.453248
31	2	36	-0.52349
32	2	177	0
33	2	30	-12.907538
34	2	31	-8.093065
35	2	48	5.477905
36	2	36	12.64691
37	2	178	2.300699
38	2	32	-12.559797
39	2	179	-7.4866
40	2	180	0
41	2	21	2.457996
42	2	34	7.277453
43	2	32	8.057095
44	2	181	2.372608
45	2	182	8.501804
46	2	183	6.191928
47	2	106	6.317513
48	2	174	6.159063
49	2	19	1.871429
50	2	32	2.64254
51	2	184	2.251942
52	2	185	1.604285
53	2	36	3.913267
54	2	36	0
55	2	36	-10.328541
56	2	186	-8.251569
57	2	187	-6.321906
58	2	120	-9.918507
59	2	128	-9.456806
60	2	188	-8.768064
61	2	189	-8.225924
62	2	104	0
63	2	190	4.120034
64	2	186	-8.718479
65	2	191	-11.071394
66	2	121	-9.015594
67	2	192	-9.162183
68	2	193	-14.801198
69	2	194	0
70	2	195	-3.209204
71	2	196	-9.437843
72	2	197	0
73	2	198	0
74	2	19	-10.759354
75	2	131	0
76	2	199	0
77	2	200	0
78	2	201	0
79	2	202	69.339424
80	2	203	127.757271
81	2	204	141.740784
82	2	205	162.000122
83	2	143	167.043289
84	2	143	167.587128
85	2	143	162.078644
86	2	143	164.483154
87	2	143	167.045547
88	2	206	164.514725
89	2	207	163.688965
90	2	208	157.399979
91	2	209	159.661118
92	2	210	162.520935
93	2	71	157.56662
94	2	138	147.780594
95	2	139	146.852371
96	2	141	156.999985
97	2	141	152.947144
98	2	142	142.75119
99	2	143	126.394119
100	2	144	104.304909
101	2	211	73.385101
102	2	150	46.980995
103	2	152	24
104	2	212	0
105	2	213	-7.842623
106	2	211	-6.414766
107	2	150	2.134246
108	2	155	2.284929
109	2	153	-3.945397
110	2	154	-7.501751
111	2	152	0
112	2	150	0
113	2	151	-9.222041
114	2	151	-6.475622
115	2	151	-5.905086
116	2	151	-6.743734
117	2	152	-7.281336
118	2	214	-8.022817
119	2	147	-8.198929
120	2	148	-9.149681
121	2	215	-5.306257
122	2	215	0
123	2	216	2.205539
124	2	155	1.675215
125	2	217	0
126	2	73	-8.339563
127	2	218	0
128	2	219	0
0	3	160	0
1	3	220	149.373642
2	3	78	140.070984
3	3	161	132.835846
4	3	161	124.000015
5	3	161	123.800018
6	3	161	123.800018
7	3	221	134.169662
8	3	79	123.800018
9	3	221	86.399994
10	3	222	78.760574
11	3	223	86.399994
12	3	141	81.025932
13	3	139	86.399994
14	3	224	79.035179
15	3	225	86.399994
16	3	226	84.269135
17	3	227	110.408691
18	3	228	94.888756
19	3	229	46.946274
20	3	230	13.365168
21	3	231	8.004019
22	3	232	10.586373
23	3	233	10.29252
24	3	174	3.6
25	3	19	-2.927714
26	3	89	8.068543
27	3	234	13.277461
28	3	235	8.956193
29	3	236	12.177923
30	3	36	14.462942
31	3	37	0.896359
32	3	21	0
33	3	237	-12.210071
34	3	238	-11.28124
35	3	239	0
36	3	240	11.374502
37	3	241	2.455884
38	3	242	-14.982949
39	3	243	-10.658359
40	3	244	0
41	3	245	8.930589
42	3	246	3.530502
43	3	247	6.698551
44	3	19	6.946122
45	3	32	5.03861
46	3	179	5.233247
47	3	248	8.647579
48	3	31	6.474818
49	3	89	1.308162
50	3	249	4.088574
51	3	250	6.514436
52	3	251	4.440107
53	3	252	3.982681
54	3	253	0
55	3	254	-8.997619
56	3	255	-6.023168
57	3	256	0.564947
58	3	257	-9.138654
59	3	258	0
60	3	21	0
61	3	34	-10.13624
62	3	259	0
63	3	260	7.354968
64	3	261	0
65	3	36	1.742909
66	3	128	-8.59289
67	3	43	0
68	3	262	-17.944803
69	3	247	-17.833681
70	3	263	0
71	3	113	0
72	3	264	0
73	3	19	0
74	3	131	0
75	3	199	0
76	3	265	0
77	3	266	0
78	3	267	0
79	3	268	60.644478
80	3	269	110.771194
81	3	270	131.158447
82	3	271	145.361267
83	3	271	157.544128
84	3	272	166.451126
85	3	60	163.764954
86	3	60	166.127548
87	3	273	167.979721
88	3	274	170.652069
89	3	148	170.580109
90	3	156	170.007553
91	3	275	155.311493
92	3	276	157.299988
93	3	277	157.199982
94	3	140	157.099991
95	3	141	147.530472
96	3	141	148.569931
97	3	142	149.926941
98	3	143	137.724945
99	3	278	121.019341
100	3	154	104.420319
101	3	279	77.380508
102	3	211	47.553478
103	3	147	25
104	3	153	8.377381
105	3	154	3
106	3	279	-4.85305
107	3	216	4.539047
108	3	151	0
109	3	279	-8.197664
110	3	209	0
111	3	280	-6.637153
112	3	63	-5.694563
113	3	63	0
114	3	63	-5.99096
115	3	281	0
116	3	211	0
117	3	282	0
118	3	283	0
119	3	280	0
120	3	63	-9.663865
121	3	63	-8.420276
122	3	281	-7.106354
123	3	211	0
124	3	284	6.26833
125	3	73	0
126	3	285	0
127	3	286	-7.644927
128	3	77	0
0	4	220	0
1	4	287	136.80217
2	4	288	130.437897
3	4	221	130.701218
4	4	161	124.20002
5	4	157	124.000015
6	4	289	123.800018
7	4	289	131.812607
8	4	290	123.800018
9	4	157	100.199997
10	4	291	114.730652
11	4	140	124.746346
12	4	140	112.997581
13	4	224	125.788216
14	4	292	116.337967
15	4	293	107.939316
16	4	294	107.914871
17	4	295	100.199997
18	4	123	73.799995
19	4	115	35.423962
20	4	296	22.102739
21	4	89	3.2
22	4	90	-4.212696
23	4	297	3.6
24	4	298	3.8
25	4	31	3.6
26	4	97	11.898484
27	4	246	13.036621
28	4	299	9.893419
29	4	300	8.877994
30	4	301	6.878694
31	4	302	0
32	4	261	1.953704
33	4	36	-8.347365
34	4	128	-9.656106
35	4	43	-1.973791
36	4	198	7.366014
37	4	48	-16.422321
38	4	128	-16.568232
39	4	43	0
40	4	176	0
41	4	36	10.107665
42	4	303	-8.951245
43	4	304	2.599547
44	4	305	0.98472
45	4	230	-7.764303
46	4	306	-6.675608
47	4	307	7.488327
48	4	31	2.912175
49	4	20	2.450399
50	4	21	4.157806
51	4	308	4.050552
52	4	309	5.866731
53	4	113	1.436219
54	4	310	3.722779
55	4	93	0
56	4	43	0.937254
57	4	198	2.304492
58	4	311	4.262844
59	4	312	6.244636
60	4	88	0
61	4	32	0
62	4	313	7.322047
63	4	314	7.239749
64	4	186	6.934901
65	4	315	5.051544
66	4	316	2.945408
67	4	256	0
68	4	317	-13.100903
69	4	318	-11.657356
70	4	179	0
71	4	33	0
72	4	19	-11.364459
73	4	131	0
74	4	319	3.951222
75	4	320	6.083454
76	4	321	1.84707
77	4	322	0
78	4	323	0
79	4	324	51.870613
80	4	325	76.460762
81	4	282	94.057121
82	4	283	128.11467
83	4	326	144.250259
84	4	327	157.199982
85	4	328	151.79068
86	4	205	152.763779
87	4	329	167.238174
88	4	212	183.699982
89	4	330	184.699982
90	4	138	184.699982
91	4	331	168.571976
92	4	156	155.628311
93	4	141	157.299988
94	4	141	157.199982
95	4	140	157.099991
96	4	142	156.999985
97	4	143	149.015091
98	4	332	136.952866
99	4	279	125.562729
100	4	213	107.178223
101	4	216	85.788704
102	4	152	45.692135
103	4	150	26
104	4	333	26
105	4	63	7
106	4	63	-5.691241
107	4	63	-4.351696
108	4	63	-5.672995
109	4	334	0
110	4	335	0
111	4	336	0
112	4	336	0
113	4	337	0
114	4	331	0
115	4	211	10.492578
116	4	284	9.262919
117	4	335	10.721564
118	4	338	2.313667
119	4	339	0
120	4	337	-8.632724
121	4	331	0
122	4	211	7.426424
123	4	284	0
124	4	340	9.261308
125	4	341	1.903192
126	4	342	0
127	4	343	-5.926335
128	4	77	0
0	5	344	0
1	5	78	130.739273
2	5	157	124.400017
3	5	289	134.400528
4	5	345	124.400017
5	5	346	127.439667
6	5	347	124.000015
7	5	348	123.800018
8	5	349	123.800018
9	5	156	141.461884
10	5	140	105
11	5	140	105
12	5	224	105
13	5	292	109.052528
14	5	293	105
15	5	13	105
16	5	350	105
17	5	120	105
18	5	186	73.799995
19	5	351	31.901669
20	5	352	6.988996
21	5	353	3.4
22	5	354	-4.402844
23	5	355	-5.238193
24	5	307	0.115372
25	5	356	8.875167
26	5	36	7.291826
27	5	178	3.4
28	5	19	10.682633
29	5	19	9.323864
30	5	357	-2.784411
31	5	358	-9.81603
32	5	359	-7.554626
33	5	360	3.330039
34	5	115	0
35	5	361	0
36	5	362	0
37	5	363	-10.070618
38	5	27	-9.92205
39	5	256	0
40	5	253	0
41	5	364	2.477103
42	5	365	-6.458285
43	5	175	3.366457
44	5	43	2.643675
45	5	94	-9.141795
46	5	95	-7.609743
47	5	96	5.895611
48	5	20	4.218277
49	5	21	0
50	5	366	6.827403
51	5	90	0
52	5	367	-3.501328
53	5	179	3.518731
54	5	309	4.004129
55	5	114	4.466981
56	5	361	5.4754
57	5	368	0
