x	y	texture	height
0	0	0	0
1	0	1	0
2	0	2	0
3	0	3	0
4	0	4	0
5	0	5	0
6	0	6	0
7	0	7	0
8	0	7	0
9	0	6	0
10	0	8	0
11	0	9	0
12	0	5	0
13	0	6	0
14	0	6	0
15	0	10	0
16	0	2	0
17	0	11	0
18	0	12	0
19	0	13	0
20	0	4	0
21	0	14	0
22	0	13	0
23	0	4	0
24	0	10	0
25	0	6	0
26	0	14	0
27	0	15	0
28	0	15	0
29	0	15	0
30	0	13	0
31	0	16	0
32	0	0	0
33	0	13	0
34	0	17	0
35	0	18	0
36	0	3	0
37	0	4	0
38	0	6	0
39	0	7	0
40	0	5	0
41	0	6	0
42	0	7	0
43	0	6	0
44	0	10	0
45	0	7	0
46	0	6	0
47	0	6	0
48	0	5	0
49	0	5	0
50	0	5	0
51	0	6	0
52	0	10	0
53	0	19	0
54	0	20	0
55	0	21	0
56	0	22	0
57	0	23	0
58	0	24	0
59	0	25	0
60	0	26	0
61	0	27	0
62	0	28	0
63	0	29	0
64	0	30	0
65	0	28	0
66	0	28	0
67	0	28	0
68	0	28	0
69	0	27	0
70	0	31	0
71	0	32	0
72	0	33	0
73	0	34	0
74	0	35	0
75	0	36	0
76	0	37	0
77	0	38	0
78	0	39	0
79	0	40	0
80	0	6	0
81	0	5	0
82	0	10	0
83	0	41	0
84	0	42	0
85	0	43	0
86	0	44	0
87	0	45	0
88	0	45	0
89	0	46	0
90	0	47	0
91	0	48	0
92	0	49	0
93	0	6	0
94	0	6	0
95	0	10	0
96	0	7	0
97	0	50	0
98	0	51	0
99	0	52	0
100	0	53	0
101	0	54	0
102	0	55	0
103	0	56	0
104	0	57	0
105	0	58	0
106	0	3	0
107	0	59	0
108	0	60	0
109	0	42	0
110	0	61	0
111	0	60	0
112	0	42	0
113	0	46	0
114	0	62	0
115	0	63	0
116	0	64	0
117	0	45	0
118	0	46	0
119	0	48	0
120	0	48	0
121	0	62	0
122	0	64	0
123	0	43	0
124	0	7	0
125	0	5	0
126	0	5	0
127	0	7	0
128	0	65	0
0	1	13	0
1	1	66	2.87207
2	1	65	12.223416
3	1	13	13.187079
4	1	4	12.908856
5	1	10	10.019479
6	1	5	4.747528
7	1	10	3.99185
8	1	2	5.98347
9	1	4	7.468892
10	1	6	7.472995
11	1	5	6.241996
12	1	2	4.370282
13	1	4	1.690434
14	1	6	0.529535
15	1	8	2.604602
16	1	67	2.045619
17	1	68	0.826763
18	1	69	0.117902
19	1	70	0.116644
20	1	16	0.019978
21	1	71	1.43817
22	1	13	4.365385
23	1	4	4.36499
24	1	2	1.979024
25	1	16	3.586876
26	1	71	2.6924
27	1	0	0
28	1	15	0
29	1	71	0
30	1	69	0
31	1	65	0.03155
32	1	0	4.196082
33	1	72	10.11431
34	1	73	10.99289
35	1	69	5.62629
36	1	9	1.826803
37	1	2	1.477198
38	1	4	2.376424
39	1	6	5.105808
40	1	5	6.299595
41	1	5	5.075188
42	1	6	1.908493
43	1	7	0
44	1	5	0
45	1	5	0.329339
46	1	6	2.088046
47	1	7	3.926613
48	1	10	4.388954
49	1	6	3.141039
50	1	5	0.963783
51	1	10	0
52	1	74	0.344567
53	1	75	6.635294
54	1	76	16.033983
55	1	77	19.948343
56	1	78	29.739243
57	1	79	42.182804
58	1	80	43.341625
59	1	81	60.694885
60	1	26	52.680523
61	1	82	80
62	1	83	80
63	1	84	80
64	1	85	80
65	1	82	80
66	1	86	80
67	1	87	80
68	1	88	80
69	1	89	80
70	1	90	80
71	1	77	80
72	1	91	48.726757
73	1	92	49.148174
74	1	93	46.111816
75	1	39	24.919315
76	1	37	12.840356
77	1	94	12.668778
78	1	95	14.742428
79	1	5	12.386065
80	1	44	6.722166
81	1	43	6.666419
82	1	41	6.416249
83	1	96	6.515473
84	1	42	8.746948
85	1	46	13.763113
86	1	96	19.078911
87	1	48	12.472202
88	1	47	3.708513
89	1	62	0.06128
90	1	63	0.219954
91	1	97	2.055756
92	1	7	5.50063
93	1	10	8.39186
94	1	6	10.700206
95	1	2	12.773659
96	1	66	13.255788
97	1	98	8.133493
98	1	99	2.548837
99	1	100	0
100	1	56	0.266728
101	1	63	2.766451
102	1	97	3.645992
103	1	14	2.782236
104	1	15	3.672679
105	1	0	7.32164
106	1	13	10.571906
107	1	101	10.387828
108	1	102	6.058526
109	1	49	2.640196
110	1	41	3.918483
111	1	62	7.283273
112	1	57	9.951719
113	1	58	11.066034
114	1	4	9.460565
115	1	41	6.24181
116	1	47	2.134483
117	1	62	0.148739
118	1	60	0.066118
119	1	62	0.036238
120	1	97	0.153053
121	1	41	1.882768
122	1	42	1.129955
123	1	103	0.167158
124	1	4	3.389663
125	1	6	5.831491
126	1	6	5.681944
127	1	8	3.018783
128	1	98	0
0	2	9	0
1	2	14	7.253704
2	2	69	19.342043
3	2	70	19.700371
4	2	3	17.456234
5	2	4	14.319112
6	2	2	7.581122
7	2	66	7.970465
8	2	9	11.371915
9	2	10	13.756725
10	2	10	14.518577
11	2	8	13.603119
12	2	9	10.756579
13	2	10	6.371756
14	2	7	7.51568
15	2	104	5.828564
16	2	105	4.243309
17	2	13	1.398183
18	2	16	1.784908
19	2	71	1.819339
20	2	0	0.846858
21	2	69	3.803365
22	2	70	8.683683
23	2	16	9.095039
24	2	71	12.746497
25	2	0	14.48044
26	2	71	11.095519
27	2	15	3.348592
28	2	15	-0.035878
29	2	1	0
30	2	14	0
31	2	15	0.382582
32	2	71	8.226019
33	2	15	18.389866
34	2	1	20.859613
35	2	2	16.111137
36	2	66	7.142025
37	2	9	4.48958
38	2	7	5.561095
39	2	5	8.303226
40	2	10	9.398153
41	2	6	6.806474
42	2	5	2.555075
43	2	10	0.048544
44	2	7	1.714643
45	2	5	0.006451
46	2	10	0
47	2	6	0
48	2	10	0
49	2	10	0
50	2	19	0
51	2	106	0
52	2	107	0.014554
53	2	108	8.59053
54	2	91	23.813002
55	2	109	34.396439
56	2	110	55.551731
57	2	78	66.899132
58	2	111	73.546082
59	2	81	77.911285
60	2	33	80
61	2	112	80
62	2	113	80
63	2	114	80
64	2	111	80
65	2	115	80
66	2	116	80
67	2	117	80
68	2	62	80
69	2	118	80
70	2	119	80
71	2	120	80
72	2	121	80
73	2	122	81.076187
74	2	123	76.534187
75	2	124	46.42947
76	2	125	28.823605
77	2	5	17.073713
78	2	7	9.02433
79	2	41	1.442764
80	2	49	0.081653
81	2	126	0.828027
82	2	63	2.651526
83	2	60	5.320862
84	2	96	10.200994
85	2	47	15.276009
86	2	62	20.96102
87	2	63	16.198484
88	2	64	6.895912
89	2	43	4.578011
90	2	10	7.605148
91	2	10	10.267885
92	2	7	11.99589
93	2	10	12.051888
94	2	8	13.347957
95	2	9	14.879598
96	2	7	16.650475
97	2	7	11.283293
98	2	126	9.253837
99	2	97	10.234148
100	2	10	12.284377
101	2	6	13.957475
102	2	14	14.93193
103	2	69	15.890846
104	2	98	17.179157
105	2	65	27.387678
106	2	127	37.532463
107	2	51	37.891613
108	2	58	28.99531
109	2	59	17.872534
110	2	97	15.794312
111	2	8	18.382877
112	2	98	21.738472
113	2	70	23.70327
114	2	128	22.324354
115	2	129	16.916561
116	2	42	11.101541
117	2	61	6.308009
118	2	97	3.926283
119	2	7	2.929895
120	2	50	5.024909
121	2	130	16.19874
122	2	131	14.718574
123	2	1	5.744821
124	2	10	6.259786
125	2	7	8.773858
126	2	5	8.726511
127	2	10	4.991062
128	2	2	0
0	3	66	0
1	3	9	10.527855
2	3	14	24.13978
3	3	69	24.864273
4	3	9	20.950842
5	3	8	11.658911
6	3	9	5.800851
7	3	6	8.344927
8	3	6	17.165834
9	3	2	19.96628
10	3	4	25.603251
11	3	2	22.668146
12	3	3	16.136415
13	3	4	10.599337
14	3	132	7.860363
15	3	133	7.887834
16	3	134	7.39964
17	3	0	3.27373
18	3	71	6.914941
19	3	15	8.933572
20	3	13	4.781929
21	3	16	4.187476
22	3	0	7.448895
23	3	69	10.095557
24	3	65	15.699831
25	3	15	18.305637
26	3	0	12.575176
27	3	0	2.171289
28	3	13	-4.846326
29	3	16	-4.70427
30	3	69	-0.993609
31	3	98	0.166448
32	3	98	7.291138
33	3	70	17.438757
34	3	66	24.565996
35	3	9	24.080379
36	3	6	17.005445
37	3	10	7.567399
38	3	135	5.24722
39	3	136	5.850643
40	3	5	5.89622
41	3	6	4.05217
42	3	5	1.49016
43	3	6	1.493564
44	3	6	5.923328
45	3	5	0.136802
46	3	10	0
47	3	137	0
48	3	36	0
49	3	138	0
50	3	111	0
51	3	34	0
52	3	139	3.23129
53	3	140	12.404012
54	3	141	40.3498
55	3	142	74.112083
56	3	143	92.16629
57	3	144	96.045158
58	3	145	98.770821
59	3	33	100.479439
60	3	115	99.121155
61	3	116	93.855522
62	3	146	90.104095
63	3	147	92.740158
64	3	148	96.922691
65	3	148	93.22393
66	3	149	90.591423
67	3	150	91.386658
68	3	151	94.745865
69	3	152	97.850807
70	3	153	106.962608
71	3	154	119.349617
72	3	155	123.091118
73	3	34	118.581085
74	3	139	95.851852
75	3	156	65.710274
76	3	7	54.387028
77	3	10	42.296677
78	3	126	18.491802
79	3	64	3.319818
80	3	43	0
81	3	10	0
82	3	126	0
83	3	63	0.057402
84	3	60	7.753993
85	3	49	14.277549
86	3	10	18.513445
87	3	126	17.032314
88	3	97	16.876944
89	3	2	17.962978
90	3	3	19.620399
91	3	3	21.805124
92	3	4	23.108343
93	3	5	21.436649
94	3	6	16.410255
95	3	5	13.772724
96	3	6	13.950558
97	3	2	18.905027
98	3	3	25.938744
99	3	4	30.350515
100	3	7	30.222322
101	3	8	29.171165
102	3	9	29.527315
103	3	2	31.9618
104	3	16	39.063427
105	3	0	51.897934
106	3	0	61.950737
107	3	15	62.565926
108	3	13	54.102608
109	3	4	42.510239
110	3	7	33.998188
111	3	2	33.239399
112	3	16	36.365547
113	3	71	39.325581
114	3	127	37.710949
115	3	129	31.41991
116	3	157	25.218098
117	3	3	20.115105
118	3	3	15.848549
119	3	16	12.840256
120	3	13	16.774223
121	3	66	28.371
122	3	9	23.609457
123	3	6	15.332979
124	3	7	11.130886
125	3	7	9.315545
126	3	2	7.579704
127	3	66	4.330851
128	3	9	0
0	4	6	0
1	4	8	8.863174
2	4	9	26.023676
3	4	10	27.24749
4	4	7	22.039835
5	4	2	8.248021
6	4	4	3.40315
7	4	2	4.819032
8	4	66	11.751651
9	4	9	16.260042
10	4	8	18.953388
11	4	98	19.309772
12	4	9	17.66946
13	4	6	6.499536
14	4	132	6.794838
15	4	68	8.477979
16	4	15	8.091715
17	4	71	7.953763
18	4	15	12.382366
19	4	15	12.763318
20	4	15	8.614376
21	4	69	2.952868
22	4	9	3.173437
23	4	8	4.852704
24	4	98	9.288754
25	4	65	10.359694
26	4	69	4.853001
27	4	98	-10.561175
28	4	98	-16.695051
29	4	9	-13.863757
30	4	7	-8.390722
31	4	10	-0.384364
32	4	8	2.4263
33	4	9	12.017919
34	4	5	21.247999
35	4	10	24.333136
36	4	5	19.351318
37	4	158	9.029663
38	4	159	2.503598
39	4	7	2.400583
40	4	7	2.197416
41	4	7	1.351193
42	4	7	0.934478
43	4	7	2.782949
44	4	7	7.413038
45	4	10	0.429518
46	4	160	0.006751
47	4	161	0.000023
48	4	39	0
49	4	162	0
50	4	163	0
51	4	164	17.37689
52	4	39	27.398699
53	4	165	36.935539
54	4	166	77.3218
55	4	167	116.446251
56	4	168	133.747665
57	4	169	129.130173
58	4	25	113.568756
59	4	77	111.309212
60	4	77	113.432152
61	4	170	105.95153
62	4	42	97.171623
63	4	171	95.865555
64	4	172	105.454155
65	4	173	105.201141
66	4	174	99.378242
67	4	175	102.305542
68	4	118	105.12233
69	4	176	108.428123
70	4	177	126.156845
71	4	178	119.44075
72	4	179	112.259895
73	4	180	134.287918
74	4	181	121.71032
75	4	182	92.105896
76	4	6	84.693901
77	4	5	64.020477
78	4	41	29.498859
79	4	42	4.450203
80	4	43	0.704194
81	4	7	1.268088
82	4	44	0.413321
83	4	61	0.102578
84	4	64	9.053017
85	4	43	14.147386
86	4	5	17.949034
87	4	5	21.295826
88	4	14	26.215818
89	4	0	28.251768
90	4	0	31.519442
91	4	1	33.135662
92	4	7	30.704426
93	4	6	27.919601
94	4	2	19.485434
95	4	3	10.929291
96	4	16	15.847856
97	4	183	27.638508
98	4	184	40.462116
99	4	5	48.707676
100	4	7	49.977661
101	4	2	45.40514
102	4	16	44.151257
103	4	0	47.741318
104	4	0	57.014053
105	4	15	69.622536
106	4	15	78.942657
107	4	0	78.512901
108	4	1	70.606094
109	4	6	61.477596
110	4	8	52.845657
111	4	65	49.062912
112	4	0	52.49707
113	4	71	56.221283
114	4	185	56.149368
115	4	131	49.296356
116	4	0	41.395664
117	4	69	35.122501
118	4	98	30.001104
119	4	65	27.172905
120	4	13	29.270885
121	4	3	34.32822
122	4	186	30.041414
123	4	43	22.758295
124	4	7	16.658724
125	4	14	11.700205
126	4	1	6.675069
127	4	7	2.496678
128	4	10	0.021254
0	5	5	0
1	5	6	3.126088
2	5	2	23.010502
3	5	4	24.650295
4	5	8	19.573357
5	5	9	7.187452
6	5	14	2.152685
7	5	1	1.505988
8	5	2	2.825111
9	5	4	5.024691
10	5	10	8.752532
11	5	6	12.056401
12	5	7	9.106406
13	5	10	4.262612
14	5	8	2.510267
15	5	65	4.019643
16	5	69	7.229587
17	5	98	12.624853
18	5	65	15.945403
19	5	0	13.600662
20	5	1	8.529789
21	5	5	3.115957
22	5	7	1.170122
23	5	10	0.490802
24	5	8	2.115046
25	5	9	0.118688
26	5	5	-10.393843
27	5	7	-24.088694
28	5	2	-26.226957
29	5	3	-22.142944
30	5	3	-11.825531
31	5	4	-1.839693
32	5	5	-0.071985
33	5	135	3.019252
34	5	136	12.384967
35	5	5	17.253883
36	5	6	14.414757
37	5	5	5.547139
38	5	10	1.556906
39	5	6	2.127599
40	5	5	2.278179
41	5	5	1.471578
42	5	7	0.897651
