x	y	texture	height
0	0	0	0
1	0	1	0
2	0	2	0
3	0	3	0
4	0	4	0
5	0	5	0
6	0	5	0
7	0	3	0
8	0	6	0
9	0	7	0
10	0	8	0
11	0	9	0
12	0	1	0
13	0	1	0
14	0	10	0
15	0	11	0
16	0	12	0
17	0	13	0
18	0	14	0
19	0	7	0
20	0	1	0
21	0	10	0
22	0	8	0
23	0	9	0
24	0	9	0
25	0	15	0
26	0	16	0
27	0	17	0
28	0	2	0
29	0	18	0
30	0	19	0
31	0	7	0
32	0	15	0
33	0	14	0
34	0	20	0
35	0	20	0
36	0	21	0
37	0	22	0
38	0	5	0
39	0	3	0
40	0	23	0
41	0	24	0
42	0	25	0
43	0	26	0
44	0	27	0
45	0	28	0
46	0	9	0
47	0	29	0
48	0	30	0
49	0	31	0
50	0	32	0
51	0	33	0
52	0	34	0
53	0	35	0
54	0	36	0
55	0	32	0
56	0	37	0
57	0	38	0
58	0	39	0
59	0	40	0
60	0	40	0
61	0	40	0
62	0	40	0
63	0	40	0
64	0	41	0
65	0	42	0
66	0	39	0
67	0	41	0
68	0	43	0
69	0	40	0
70	0	40	0
71	0	40	0
72	0	40	0
73	0	40	0
74	0	44	0
75	0	45	0
76	0	46	0
77	0	47	0
78	0	40	0
79	0	40	0
80	0	40	0
81	0	40	0
82	0	40	0
83	0	40	0
84	0	40	0
85	0	40	0
86	0	41	0
87	0	42	0
88	0	48	0
89	0	35	0
90	0	35	0
91	0	35	0
92	0	49	0
93	0	50	0
94	0	51	0
95	0	52	0
96	0	31	0
97	0	33	0
98	0	35	0
99	0	35	0
100	0	35	0
101	0	53	0
102	0	54	0
103	0	33	0
104	0	35	0
105	0	36	0
106	0	32	0
107	0	33	0
108	0	36	0
109	0	55	0
110	0	5	0
111	0	5	0
112	0	56	0
113	0	9	0
114	0	8	0
115	0	10	0
116	0	8	0
117	0	29	0
118	0	57	0
119	0	2	0
120	0	5	0
121	0	58	0
122	0	59	0
123	0	60	0
124	0	37	0
125	0	31	0
126	0	32	0
127	0	37	0
128	0	56	0
0	1	10	0
1	1	8	0
2	1	11	0
3	1	17	0
4	1	9	0
5	1	8	0
6	1	61	0
7	1	62	-0.010366
8	1	17	-1.689761
9	1	8	-3.338196
10	1	8	-8.272371
11	1	10	-12.328983
12	1	10	-8.801538
13	1	9	-2.412457
14	1	1	-0.796827
15	1	11	-3.719507
16	1	63	-2.9487
17	1	63	-0.168308
18	1	17	0
19	1	10	0
20	1	8	0
21	1	9	0
22	1	9	0
23	1	8	0
24	1	11	0
25	1	17	0
26	1	9	0
27	1	8	-0.009212
28	1	8	-0.108729
29	1	64	-0.398499
30	1	7	-0.630641
31	1	11	-0.47676
32	1	63	-0.152097
33	1	63	0
34	1	63	0
35	1	65	0
36	1	66	0
37	1	67	0
38	1	11	0
39	1	68	0
40	1	35	0
41	1	69	0
42	1	70	0
43	1	71	0
44	1	72	0
45	1	9	0
46	1	73	0
47	1	36	0
48	1	33	0
49	1	74	0
50	1	75	0
51	1	74	0
52	1	75	0
53	1	35	0
54	1	34	0
55	1	49	0
56	1	71	0
57	1	76	-0.226018
58	1	77	-3.245584
59	1	39	-6.793638
60	1	40	-6.570848
61	1	40	-1.568577
62	1	40	0
63	1	40	0
64	1	44	0
65	1	76	0
66	1	40	0
67	1	40	0
68	1	40	0
69	1	77	-0.000116
70	1	78	-0.000693
71	1	39	-0.002652
72	1	79	-0.006783
73	1	80	-0.02355
74	1	43	-0.046383
75	1	77	-0.010125
76	1	39	0
77	1	40	0
78	1	40	-0.943614
79	1	40	-3.77204
80	1	40	-3.128681
81	1	77	-0.015093
82	1	78	-0.046904
83	1	39	-0.035773
84	1	77	-0.017355
85	1	39	-0.004679
86	1	44	-0.000008
87	1	34	0
88	1	34	0
89	1	53	0
90	1	81	0
91	1	82	0
92	1	83	0
93	1	84	0
94	1	84	0
95	1	51	0
96	1	85	0
97	1	85	0
98	1	75	0
99	1	34	0
100	1	86	0
101	1	87	0
102	1	34	0
103	1	34	0
104	1	35	0
105	1	35	0
106	1	35	0
107	1	34	0
108	1	88	0
109	1	57	0
110	1	29	0
111	1	59	0
112	1	57	0
113	1	9	0
114	1	1	0
115	1	8	0
116	1	89	0
117	1	90	0
118	1	29	0
119	1	59	0
120	1	91	0
121	1	34	0
122	1	34	0
123	1	69	0
124	1	92	0
125	1	34	0
126	1	49	0
127	1	10	0
128	1	10	0
0	2	1	0
1	2	1	0
2	2	15	0
3	2	93	-0.26122
4	2	94	-3.601555
5	2	95	-8.312675
6	2	96	-7.196599
7	2	8	-12.958232
8	2	97	-21.56259
9	2	98	-27.51379
10	2	13	-31.481319
11	2	99	-32.66946
12	2	10	-27.596155
13	2	8	-15.056069
14	2	9	-12.270926
15	2	10	-12.865444
16	2	97	-14.170785
17	2	98	-12.418905
18	2	13	-8.493943
19	2	13	-3.105162
20	2	99	-0.600789
21	2	1	-0.018031
22	2	1	0
23	2	15	0
24	2	99	0
25	2	9	-0.000932
26	2	15	-0.20136
27	2	13	-1.130219
28	2	14	-4.505597
29	2	7	-8.605743
30	2	9	-10.129897
31	2	15	-9.212891
32	2	99	-6.588663
33	2	9	-3.501405
34	2	10	-0.759277
35	2	100	0
36	2	101	0
37	2	8	0
38	2	73	0
39	2	102	0
40	2	90	-0.554454
41	2	103	-2.093199
42	2	104	-3.385301
43	2	105	-3.021788
44	2	106	-2.371265
45	2	107	-1.959954
46	2	35	-1.194622
47	2	74	-1.475422
48	2	108	-2.747095
49	2	33	-1.14876
50	2	49	0
51	2	71	-0.165604
52	2	34	-0.455535
53	2	34	-0.851504
54	2	36	-1.267362
55	2	33	-0.59907
56	2	109	-0.283988
57	2	110	-1.148226
58	2	42	-6.661279
59	2	39	-13.658677
60	2	40	-14.988679
61	2	77	-10.362503
62	2	39	-3.832683
63	2	41	-1.385809
64	2	42	-1.370104
65	2	39	-1.400348
66	2	40	-1.0375
67	2	40	0
68	2	111	-0.104668
69	2	112	-0.018418
70	2	109	-0.019414
71	2	113	-0.070859
72	2	114	-0.261854
73	2	115	-0.784123
74	2	44	-2.11833
75	2	76	-2.853053
76	2	77	-0.801286
77	2	39	-0.468279
78	2	40	-6.960152
79	2	40	-14.631509
80	2	41	-14.537888
81	2	116	-7.413347
82	2	109	-2.339359
83	2	117	-1.650205
84	2	118	-1.293687
85	2	119	-0.395782
86	2	75	-0.046987
87	2	74	-0.003065
88	2	120	0
89	2	121	0
90	2	122	0
91	2	123	0
92	2	123	0
93	2	124	0
94	2	50	0
95	2	125	0
96	2	123	0
97	2	126	0
98	2	75	0
99	2	127	0
100	2	128	0
101	2	75	0
102	2	74	0
103	2	85	0
104	2	75	0
105	2	35	-0.555297
106	2	74	-1.438211
107	2	75	-0.859824
108	2	129	0
109	2	107	0
110	2	35	0
111	2	129	0
112	2	67	0
113	2	1	0
114	2	10	0
115	2	10	0
116	2	9	0
117	2	73	0
118	2	34	0
119	2	102	0
120	2	130	0
121	2	131	0
122	2	72	0
123	2	89	0
124	2	130	0
125	2	132	0
126	2	15	0
127	2	99	0
128	2	9	0
0	3	133	0
1	3	134	0
2	3	135	-1.89337
3	3	136	-7.896717
4	3	96	-19.400789
5	3	133	-31.627975
6	3	94	-39.22678
7	3	137	-44.483994
8	3	138	-48.667015
9	3	139	-50.752289
10	3	140	-48.906147
11	3	99	-44.859493
12	3	8	-38.500961
13	3	8	-29.830584
14	3	10	-22.248304
15	3	103	-20.242285
16	3	141	-20.558662
17	3	20	-19.2694
18	3	142	-13.798998
19	3	143	-7.595267
20	3	10	-2.682841
21	3	1	-0.312262
22	3	11	0
23	3	17	-0.026345
24	3	10	-0.269358
25	3	11	-0.975883
26	3	63	-3.19538
27	3	63	-10.516549
28	3	12	-17.798244
29	3	99	-21.778591
30	3	11	-22.294113
31	3	17	-20.627136
32	3	15	-18.15703
33	3	144	-14.440928
34	3	145	-8.641287
35	3	146	-2.467491
36	3	67	0
37	3	89	0
38	3	147	-1.239182
39	3	148	-5.607098
40	3	149	-10.361439
41	3	56	-15.405694
42	3	150	-18.642828
43	3	52	-19.338318
44	3	51	-17.308062
45	3	75	-17.16857
46	3	36	-16.698906
47	3	151	-16.078493
48	3	75	-14.5426
49	3	36	-10.920071
50	3	33	-4.627264
51	3	35	-2.426179
52	3	35	-5.775553
53	3	34	-9.933907
54	3	35	-11.049173
55	3	35	-9.744084
56	3	76	-6.785634
57	3	41	-4.239401
58	3	43	-7.833524
59	3	40	-13.803426
60	3	41	-18.767658
61	3	42	-21.189266
62	3	78	-19.184532
63	3	48	-13.146233
64	3	109	-8.098528
65	3	78	-10.436234
66	3	39	-8.174392
67	3	152	-3.716357
68	3	153	-0.549071
69	3	154	-0.12064
70	3	154	-0.053667
71	3	155	-0.202746
72	3	156	-0.82449
73	3	110	-2.805303
74	3	43	-6.483236
75	3	157	-10.587242
76	3	158	-13.400587
77	3	159	-11.965895
78	3	40	-19.096973
79	3	77	-30.823072
80	3	117	-32.181435
81	3	85	-24.990938
82	3	52	-19.176044
83	3	84	-16.77923
84	3	31	-12.692849
85	3	151	-7.432808
86	3	52	-2.500987
87	3	160	-0.336027
88	3	161	-0.114594
89	3	160	-0.006523
90	3	162	0
91	3	163	0
92	3	164	0
93	3	83	0
94	3	160	0
95	3	162	-0.00431
96	3	161	-0.007055
97	3	51	0
98	3	75	0
99	3	36	0
100	3	151	0
101	3	52	0
102	3	83	0
103	3	51	0
104	3	75	-2.538928
105	3	36	-7.917005
106	3	33	-10.972628
107	3	36	-9.727202
108	3	33	-7.205584
109	3	34	-2.601424
110	3	49	0
111	3	165	-0.009597
112	3	148	-0.224721
113	3	148	-0.001921
114	3	148	0
115	3	67	0
116	3	89	0
117	3	131	0
118	3	72	0
119	3	8	0
120	3	73	0
121	3	72	0
122	3	97	0
123	3	166	-0.113494
124	3	30	0
125	3	167	0
126	3	17	0
127	3	133	0
128	3	168	0
0	4	169	0
1	4	136	-1.654716
2	4	96	-11.331232
3	4	133	-23.857597
4	4	168	-43.319874
5	4	170	-56.915489
6	4	171	-63.081856
7	4	172	-65.378494
8	4	173	-65.025696
9	4	26	-61.935692
10	4	146	-57.782478
11	4	148	-51.012016
12	4	148	-41.558529
13	4	148	-31.435425
14	4	174	-22.885904
15	4	173	-18.464981
16	4	26	-19.344582
17	4	175	-19.73237
18	4	176	-15.662966
19	4	144	-9.248818
20	4	148	-3.610834
21	4	148	-0.482797
22	4	148	-0.044197
23	4	148	-1.16275
24	4	67	-4.153838
25	4	1	-8.396559
26	4	1	-15.235947
27	4	11	-23.428339
28	4	12	-29.625231
29	4	99	-30.020725
30	4	15	-26.277597
31	4	14	-23.222483
32	4	21	-21.948275
33	4	22	-18.505611
34	4	177	-12.320836
35	4	178	-4.91706
36	4	10	-0.538493
37	4	2	-6.458321
38	4	5	-14.369432
39	4	66	-19.20031
40	4	148	-21.895054
41	4	149	-26.402666
42	4	70	-28.734308
43	4	83	-29.238283
44	4	51	-30.026175
45	4	85	-31.095797
46	4	52	-30.631735
47	4	51	-29.320873
48	4	75	-26.454041
49	4	35	-21.401802
50	4	34	-13.754254
51	4	35	-10.234715
52	4	45	-14.861544
53	4	154	-18.992851
54	4	116	-19.786509
55	4	76	-18.796757
56	4	40	-15.898472
57	4	40	-11.841011
58	4	77	-10.152302
59	4	78	-13.025804
60	4	48	-18.066345
61	4	45	-24.625027
62	4	154	-28.51466
63	4	116	-25.789072
64	4	34	-18.33886
65	4	109	-16.04426
66	4	39	-14.241792
67	4	77	-6.420386
68	4	39	-1.079683
69	4	79	-0.127985
70	4	179	-0.062494
71	4	48	-0.247233
72	4	76	-1.178873
73	4	77	-4.593625
74	4	180	-10.509521
75	4	181	-16.591978
76	4	182	-21.961618
77	4	183	-26.343056
78	4	184	-32.495735
79	4	82	-39.754185
80	4	84	-42.575237
81	4	84	-41.275635
82	4	125	-40.046898
83	4	185	-36.179367
84	4	186	-29.784584
85	4	124	-21.120295
86	4	83	-11.44897
87	4	84	-4.588169
88	4	84	-2.326661
89	4	83	-1.928247
90	4	187	-1.506303
91	4	188	-2.134849
92	4	50	-1.540716
93	4	83	-3.05637
94	4	83	-6.095098
95	4	50	-18.507854
96	4	83	-16.777401
97	4	71	-4.965192
98	4	35	-0.018349
99	4	49	0
100	4	84	0
101	4	83	0
102	4	50	0
103	4	51	-0.816032
104	4	75	-5.124
105	4	74	-13.883283
106	4	85	-20.04619
107	4	75	-22.435665
108	4	74	-19.439995
109	4	52	-10.796363
110	4	83	-2.403131
111	4	83	-4.895198
112	4	83	-11.398396
113	4	50	-9.768707
114	4	189	-0.369526
115	4	190	0
116	4	191	0
117	4	192	-0.030021
118	4	59	-0.132223
119	4	193	-0.203281
120	4	194	-0.075297
121	4	195	-0.219618
122	4	185	-5.76166
123	4	82	-10.587555
124	4	56	-10.023555
125	4	15	-4.292875
126	4	196	-1.030999
127	4	197	0
128	4	198	0
0	5	199	0
1	5	67	-7.261226
2	5	200	-23.519823
3	5	201	-43.396206
4	5	202	-61.021927
5	5	175	-74.519875
6	5	50	-80.599037
7	5	83	-80.824028
8	5	83	-77.343521
9	5	22	-70.55481
10	5	70	-60.932549
11	5	50	-50.78791
12	5	22	-39.916405
13	5	70	-30.00948
14	5	84	-23.187323
15	5	83	-19.242092
16	5	83	-19.038895
17	5	173	-21.438126
18	5	203	-17.889206
19	5	5	-9.673288
20	5	70	-3.0143
21	5	50	-0.172434
22	5	83	-0.312668
23	5	165	-5.371499
24	5	98	-15.371707
25	5	99	-24.214682
26	5	9	-29.676537
27	5	11	-31.908957
28	5	17	-29.983288
29	5	11	-23.120348
30	5	19	-13.923012
31	5	204	-10.70426
32	5	56	-12.646774
33	5	205	-11.867936
34	5	206	-8.497307
35	5	9	-3.530498
36	5	97	-3.577117
37	5	148	-14.091968
38	5	174	-25.186138
39	5	83	-27.970116
40	5	165	-25.400089
41	5	174	-27.77309
42	5	50	-28.168793
43	5	50	-28.008612
