x	y	texture	height
0	0	0	0
1	0	1	0
2	0	2	0
3	0	3	0
4	0	4	0
5	0	5	0
6	0	6	0
7	0	7	0
8	0	8	0
9	0	9	0
10	0	10	0
11	0	11	0
12	0	12	0
13	0	13	0
14	0	14	0
15	0	0	0
16	0	0	0
17	0	0	0
18	0	15	0
19	0	16	0
20	0	17	0
21	0	1	0
22	0	18	0
23	0	19	0
24	0	20	0
25	0	11	0
26	0	21	0
27	0	0	0
28	0	0	0
29	0	0	0
30	0	0	0
31	0	1	0
32	0	22	0
33	0	23	0
34	0	24	0
35	0	0	0
36	0	0	0
37	0	0	0
38	0	25	0
39	0	26	0
40	0	27	0
41	0	28	0
42	0	29	0
43	0	26	0
44	0	24	0
45	0	0	0
46	0	0	0
47	0	30	0
48	0	31	0
49	0	24	0
50	0	0	0
51	0	25	0
52	0	26	0
53	0	24	0
54	0	0	0
55	0	32	0
56	0	33	0
57	0	34	0
58	0	35	0
59	0	36	0
60	0	37	0
61	0	38	0
62	0	39	0
63	0	40	0
64	0	37	0
65	0	23	0
66	0	41	0
67	0	42	0
68	0	43	0
69	0	44	0
70	0	45	0
71	0	38	0
72	0	46	0
73	0	23	0
74	0	47	0
75	0	44	0
76	0	48	0
77	0	45	0
78	0	49	0
79	0	50	0
80	0	26	0
81	0	31	0
82	0	31	0
83	0	51	0
84	0	52	0
85	0	53	0
86	0	54	0
87	0	53	0
88	0	54	0
89	0	55	0
90	0	56	0
91	0	57	0
92	0	58	0
93	0	59	0
94	0	60	0
95	0	61	0
96	0	62	0
97	0	63	0
98	0	64	0
99	0	57	0
100	0	65	0
101	0	66	0
102	0	67	0
103	0	68	0
104	0	69	0
105	0	70	0
106	0	33	0
107	0	71	0
108	0	72	0
109	0	73	0
110	0	74	0
111	0	75	0
112	0	76	0
113	0	77	0
114	0	78	0
115	0	79	0
116	0	68	0
117	0	80	0
118	0	81	0
119	0	82	0
120	0	83	0
121	0	84	0
122	0	85	0
123	0	61	0
124	0	86	0
125	0	87	0
126	0	0	0
127	0	0	0
128	0	88	0
0	1	89	0
1	1	90	7.40692
2	1	91	13.006609
3	1	92	11.873953
4	1	93	11.568314
5	1	94	13.878225
6	1	95	8.995162
7	1	96	-2.922259
8	1	97	-10.118251
9	1	98	-7.322856
10	1	99	0.568516
11	1	89	5.338988
12	1	100	9.633101
13	1	101	15.005258
14	1	102	8.283049
15	1	103	0
16	1	17	0
17	1	1	1.253155
18	1	89	2.604791
19	1	14	4.035166
20	1	15	4.919826
21	1	104	5.17968
22	1	105	4.788866
23	1	89	2.998707
24	1	101	1.042013
25	1	106	-0.082818
26	1	107	0
27	1	106	0
28	1	0	-0.076609
29	1	0	0
30	1	15	0
31	1	108	0
32	1	109	0
33	1	29	0.090355
34	1	110	0.108058
35	1	17	0
36	1	0	0
37	1	30	0
38	1	23	0
39	1	27	0
40	1	111	0
41	1	112	0
42	1	113	0
43	1	111	0
44	1	114	0
45	1	25	0
46	1	26	0
47	1	31	0
48	1	111	0
49	1	115	0
50	1	26	0
51	1	28	0
52	1	29	0
53	1	114	0
54	1	116	0
55	1	117	0
56	1	117	0
57	1	118	0
58	1	42	0
59	1	39	0
60	1	119	0
61	1	36	0
62	1	37	0
63	1	27	0
64	1	31	0
65	1	38	-1.396662
66	1	119	-7.473649
67	1	120	-12.184095
68	1	121	-12.311109
69	1	122	-8.014398
70	1	123	-12.261925
71	1	124	-11.139587
72	1	49	-3.510786
73	1	125	-3.194424
74	1	126	0.760944
75	1	127	16.634756
76	1	128	33.719471
77	1	129	21.296068
78	1	130	5.548435
79	1	23	4.558858
80	1	23	0.919655
81	1	49	5.818272
82	1	131	7.249469
83	1	51	10.466174
84	1	132	9.200823
85	1	133	9.84439
86	1	134	8.755903
87	1	133	0.56021
88	1	134	0.143041
89	1	135	0.076926
90	1	136	0.207789
91	1	137	2.055412
92	1	138	5.690907
93	1	139	2.151776
94	1	140	0
95	1	141	0
96	1	142	0
97	1	62	-0.709485
98	1	63	-2.915121
99	1	143	-4.146752
100	1	144	-4.303376
101	1	144	-4.322625
102	1	145	-2.969561
103	1	146	-0.28362
104	1	147	0
105	1	148	0
106	1	149	-0.576699
107	1	150	-3.540643
108	1	151	-7.176373
109	1	152	-7.487199
110	1	153	-5.540358
111	1	154	-7.832053
112	1	155	-7.103804
113	1	156	-4.425488
114	1	157	-6.687342
115	1	67	-7.652937
116	1	158	-4.622011
117	1	159	-3.7695
118	1	160	-5.410383
119	1	146	-5.262736
120	1	161	-2.455648
121	1	162	1.318928
122	1	163	5.373664
123	1	164	5.931376
124	1	64	1.708051
125	1	87	0
126	1	165	0
127	1	166	0
128	1	11	0
0	2	12	0
1	2	90	19.384611
2	2	167	32.42791
3	2	168	39.022099
4	2	9	27.264963
5	2	169	10.788488
6	2	170	0.939025
7	2	171	-15.245478
8	2	166	-22.653122
9	2	100	-17.511995
10	2	91	-4.799747
11	2	13	8.789623
12	2	172	29.909618
13	2	173	39.156929
14	2	174	27.498363
15	2	21	7.825871
16	2	15	1.309234
17	2	12	3.449483
18	2	14	5.600112
19	2	175	7.287982
20	2	176	8.358697
21	2	177	8.677637
22	2	178	8.197757
23	2	179	5.002092
24	2	180	-0.128473
25	2	181	-2.371431
26	2	182	-5.80496
27	2	17	-9.483726
28	2	0	-8.489385
29	2	1	-4.331814
30	2	89	-0.68468
31	2	99	0.003727
32	2	183	4.142444
33	2	184	8.8835
34	2	185	10.86623
35	2	115	4.664986
36	2	26	0
37	2	23	0
38	2	27	0
39	2	28	-1.864152
40	2	186	-2.245043
41	2	30	-1.223392
42	2	28	0
43	2	29	0
44	2	26	0
45	2	23	0
46	2	27	0
47	2	28	0
48	2	113	0
49	2	28	0
50	2	186	0
51	2	187	0
52	2	29	0
53	2	115	0
54	2	114	0
55	2	188	0
56	2	189	0
57	2	190	-0.374315
58	2	191	-0.011168
59	2	118	0
60	2	192	0
61	2	113	-0.981141
62	2	27	-2.1088
63	2	38	-1.128701
64	2	119	-0.331117
65	2	193	-4.605937
66	2	194	-12.99596
67	2	195	-23.241888
68	2	196	-29.806984
69	2	197	-31.239498
70	2	198	-31.886955
71	2	129	-27.027601
72	2	199	-16.962631
73	2	200	-10.493575
74	2	201	-2.639652
75	2	127	17.800503
76	2	128	39.793781
77	2	131	38.239658
78	2	23	21.151836
79	2	49	18.470322
80	2	129	17.612228
81	2	198	23.336359
82	2	202	25.671734
83	2	202	22.909456
84	2	129	19.88459
85	2	130	20.051722
86	2	203	16.972195
87	2	198	4.003838
88	2	204	0.62292
89	2	205	0.372784
90	2	44	1.900468
91	2	48	9.865574
92	2	48	21.962906
93	2	206	22.663233
94	2	206	13.326709
95	2	207	3.108525
96	2	208	0.04095
97	2	209	-2.047369
98	2	210	-8.595795
99	2	211	-12.607595
100	2	0	-11.784469
101	2	212	-10.938441
102	2	213	-10.0542
103	2	78	-5.978351
104	2	193	-5.173144
105	2	35	-7.725984
106	2	214	-6.779857
107	2	78	-10.402415
108	2	215	-16.668249
109	2	216	-17.372402
110	2	217	-15.411524
111	2	218	-15.830696
112	2	219	-14.959808
113	2	220	-12.649185
114	2	221	-11.492143
115	2	222	-11.198446
116	2	223	-5.490408
117	2	63	-5.536982
118	2	67	-9.676739
119	2	224	-12.500357
120	2	225	-11.064279
121	2	226	-4.790585
122	2	162	6.871717
123	2	62	12.082449
124	2	210	7.05831
125	2	209	0.051104
126	2	227	0.708477
127	2	228	0
128	2	89	0
0	3	100	0
1	3	90	32.411602
2	3	229	49.41708
3	3	230	53.864059
4	3	231	36.247967
5	3	232	3.820928
6	3	233	-15.633351
7	3	234	-26.156101
8	3	235	-29.649868
9	3	13	-25.116344
10	3	91	-14.614782
11	3	236	1.192425
12	3	237	27.255419
13	3	238	40.353313
14	3	239	27.687067
15	3	240	4.791099
16	3	241	-2.989393
17	3	242	3.215353
18	3	243	6.657335
19	3	244	10.12715
20	3	245	11.502619
21	3	246	10.579984
22	3	180	7.362594
23	3	181	1.177774
24	3	247	-3.895977
25	3	248	-9.113871
26	3	16	-16.00104
27	3	88	-20.873634
28	3	89	-17.90794
29	3	13	-10.015762
30	3	11	-0.481658
31	3	12	9.772843
32	3	90	15.549783
33	3	249	24.236156
34	3	27	30.811563
35	3	27	20.478401
36	3	31	5.124111
37	3	28	-0.376167
38	3	29	-5.11959
39	3	115	-10.007339
40	3	26	-12.602898
41	3	111	-9.500366
42	3	26	-4.327816
43	3	28	-0.89693
44	3	250	0
45	3	113	0
46	3	111	0
47	3	26	0
48	3	24	0
49	3	25	-0.347553
50	3	115	-0.499887
51	3	26	-0.049599
52	3	28	0
53	3	186	0
54	3	251	0
55	3	252	-0.085514
56	3	253	-3.313738
57	3	254	-4.950487
58	3	255	-3.315828
59	3	256	-0.354525
60	3	26	-1.458429
61	3	27	-6.12637
62	3	41	-8.846719
63	3	257	-8.615356
64	3	257	-6.316299
65	3	258	-8.033627
66	3	196	-16.050848
67	3	259	-29.673344
68	3	128	-39.888683
69	3	125	-48.729401
70	3	128	-42.80497
71	3	125	-31.176987
72	3	260	-19.00967
73	3	261	-13.825953
74	3	262	-7.042665
75	3	44	4.28848
76	3	128	20.789806
77	3	131	25.079329
78	3	263	28.224329
79	3	264	30.038332
80	3	265	24.240459
81	3	48	25.162182
82	3	48	19.68314
83	3	128	14.350771
84	3	202	16.865486
85	3	131	21.218069
86	3	266	22.23332
87	3	267	8.504807
88	3	125	-0.237971
89	3	206	-2.490765
90	3	48	4.92901
91	3	206	16.055693
92	3	44	22.468649
93	3	126	29.082035
94	3	268	24.875015
95	3	269	15.59913
96	3	208	12.995954
97	3	74	4.897681
98	3	208	-13.329325
99	3	211	-19.964365
100	3	270	-10.717601
101	3	271	-3.844629
102	3	148	-10.682946
103	3	193	-12.944
104	3	272	-15.108684
105	3	272	-18.177828
106	3	215	-16.579908
107	3	273	-16.523956
108	3	274	-21.736782
109	3	275	-20.581139
110	3	276	-16.414558
111	3	277	-15.283662
112	3	278	-15.008065
113	3	253	-12.153277
114	3	279	-11.547944
115	3	280	-9.098563
116	3	80	-2.913811
117	3	61	-1.783789
118	3	163	-11.507491
119	3	281	-20.563278
120	3	282	-22.758268
121	3	283	-15.24405
122	3	254	-1.329804
123	3	284	13.058414
124	3	285	10.946125
125	3	286	3.601662
126	3	287	6.468397
127	3	12	2.891216
128	3	288	0
0	4	234	0
1	4	289	21.124344
2	4	169	48.544052
3	4	290	54.629295
4	4	291	26.549644
5	4	292	-6.769685
6	4	7	-24.355875
7	4	293	-30.388779
8	4	12	-29.835484
9	4	288	-29.383001
10	4	294	-30.169083
11	4	295	-16.631851
12	4	296	2.735811
13	4	297	15.610678
14	4	298	4.775427
15	4	299	-8.341293
16	4	181	-12.790221
17	4	300	-8.422235
18	4	181	-1.563214
19	4	301	1.65052
20	4	300	5.946522
21	4	302	6.152583
22	4	303	1.078795
23	4	304	-2.139386
24	4	16	-5.232445
25	4	89	-11.018801
26	4	90	-17.563238
27	4	11	-23.616247
28	4	12	-17.85593
29	4	99	-8.76522
30	4	305	4.46025
31	4	306	22.546844
32	4	307	20.270945
33	4	308	17.560776
34	4	309	26.547701
35	4	28	20.259733
36	4	29	6.499656
37	4	26	-1.801583
38	4	23	-9.540163
39	4	27	-19.52276
40	4	31	-24.701811
41	4	27	-21.191031
42	4	111	-13.637938
43	4	115	-6.950713
44	4	112	-1.022717
45	4	113	0
46	4	23	0
47	4	111	0
48	4	26	-0.894539
49	4	31	-2.880689
50	4	31	-2.926642
51	4	111	-1.192879
52	4	115	0
53	4	26	0
54	4	310	-0.308835
55	4	311	-3.641899
56	4	312	-11.087111
57	4	313	-20.109919
58	4	314	-20.618664
59	4	202	-15.102924
60	4	202	-7.255925
61	4	202	-11.20978
62	4	202	-15.372619
63	4	202	-15.357933
64	4	315	-12.173182
65	4	120	-12.054216
66	4	206	-16.816084
67	4	126	-28.86911
68	4	127	-53.278137
69	4	260	-62.271908
70	4	316	-49.940849
71	4	130	-20.649422
72	4	317	-14.394
73	4	318	-15.971755
74	4	126	-10.365547
75	4	127	-2.039284
76	4	128	4.143897
77	4	319	19.527853
78	4	320	39.056107
79	4	321	45.585842
80	4	322	21.92783
81	4	48	9.531208
82	4	206	3.834859
83	4	206	6.863907
84	4	128	16.831038
85	4	323	21.257862
86	4	324	23.920437
87	4	127	16.892021
88	4	48	-13.662785
89	4	44	-20.555977
90	4	206	-1.400469
91	4	44	28.522758
92	4	207	44.458977
93	4	208	25.25618
94	4	325	19.348722
95	4	269	24.750259
96	4	326	23.07205
97	4	327	10.001522
98	4	328	-17.411682
99	4	188	-16.348267
100	4	329	4.843847
101	4	330	6.929386
102	4	331	-3.536036
103	4	35	-14.173957
104	4	215	-16.407913
105	4	82	-19.888458
106	4	332	-17.645901
107	4	333	-16.584225
108	4	334	-21.464128
109	4	335	-18.601063
110	4	336	-8.809353
111	4	337	-5.775215
112	4	338	-4.459681
113	4	339	-4.275913
114	4	340	-6.233377
115	4	341	-9.916804
116	4	342	-7.437792
117	4	343	-2.119392
118	4	283	-11.921428
119	4	279	-23.854544
120	4	344	-24.235552
121	4	208	-15.785193
122	4	345	-3.008254
123	4	346	12.198062
124	4	347	15.695045
125	4	348	11.877828
126	4	349	12.095195
127	4	350	5.613779
128	4	351	0
0	5	230	0
1	5	352	3.959612
2	5	353	20.578983
3	5	354	28.046507
4	5	355	13.448779
5	5	7	-15.518843
6	5	356	-31.368286
7	5	349	-34.4958
8	5	357	-28.081036
9	5	358	-35.925766
10	5	359	-38.579037
11	5	360	-30.333221
12	5	299	-14.567628
13	5	361	-6.22302
14	5	362	-9.948486
15	5	363	-14.975745
16	5	364	-19.462549
17	5	365	-20.509445
18	5	363	-16.18218
19	5	366	-10.337338
20	5	367	-2.151671
21	5	368	2.253389
22	5	115	2.531479
23	5	369	1.12317
24	5	370	-3.663915
25	5	370	-6.302467
26	5	16	-7.540705
27	5	89	-8.965508
28	5	371	-4.712374
