x	y	texture	height
0	0	0	0
1	0	1	0
2	0	2	0
3	0	0	0
4	0	3	0
5	0	4	0
6	0	5	0
7	0	3	0
8	0	4	0
9	0	6	0
10	0	7	0
11	0	7	0
12	0	8	0
13	0	7	0
14	0	8	0
15	0	7	0
16	0	9	0
17	0	10	0
18	0	10	0
19	0	11	0
20	0	12	0
21	0	13	0
22	0	14	0
23	0	15	0
24	0	16	0
25	0	17	0
26	0	18	0
27	0	19	0
28	0	20	0
29	0	21	0
30	0	22	0
31	0	23	0
32	0	24	0
33	0	23	0
34	0	25	0
35	0	26	0
36	0	27	0
37	0	24	0
38	0	28	0
39	0	29	0
40	0	30	0
41	0	30	0
42	0	31	0
43	0	4	0
44	0	4	0
45	0	4	0
46	0	32	0
47	0	33	0
48	0	34	0
49	0	35	0
50	0	36	0
51	0	36	0
52	0	36	0
53	0	36	0
54	0	36	0
55	0	36	0
56	0	36	0
57	0	36	0
58	0	36	0
59	0	36	0
60	0	36	0
61	0	36	0
62	0	36	0
63	0	37	0
64	0	38	0
65	0	39	0
66	0	40	0
67	0	41	0
68	0	42	0
69	0	43	0
70	0	44	0
71	0	45	0
72	0	46	0
73	0	47	0
74	0	48	0
75	0	49	0
76	0	50	0
77	0	51	0
78	0	49	0
79	0	44	0
80	0	45	0
81	0	46	0
82	0	47	0
83	0	48	0
84	0	52	0
85	0	33	0
86	0	33	0
87	0	33	0
88	0	33	0
89	0	33	0
90	0	33	0
91	0	33	0
92	0	33	0
93	0	33	0
94	0	33	0
95	0	33	0
96	0	33	0
97	0	33	0
98	0	40	0
99	0	53	0
100	0	53	0
101	0	41	0
102	0	33	0
103	0	54	0
104	0	55	0
105	0	56	0
106	0	57	0
107	0	58	0
108	0	59	0
109	0	33	0
110	0	40	0
111	0	60	0
112	0	61	0
113	0	62	0
114	0	63	0
115	0	64	0
116	0	65	0
117	0	62	0
118	0	66	0
119	0	58	0
120	0	67	0
121	0	41	0
122	0	68	0
123	0	69	0
124	0	41	0
125	0	33	0
126	0	33	0
127	0	33	0
128	0	15	0
0	1	6	0
1	1	70	0
2	1	4	0
3	1	4	0
4	1	4	0
5	1	71	0
6	1	15	-1.395371
7	1	71	-4.661984
8	1	72	-7.467051
9	1	73	-5.44288
10	1	1	-0.127229
11	1	8	0
12	1	74	0
13	1	75	-0.289537
14	1	7	-4.503916
15	1	7	-12.007586
16	1	74	-23.788071
17	1	75	-27.876854
18	1	9	-24.866463
19	1	76	-16.122334
20	1	5	-7.365372
21	1	77	-3.133664
22	1	78	-1.320437
23	1	79	-0.090178
24	1	80	2.36505
25	1	81	13.638629
26	1	7	31.360741
27	1	2	35.428867
28	1	82	13.028753
29	1	83	0.673538
30	1	84	0
31	1	85	0
32	1	29	0
33	1	86	0
34	1	24	0
35	1	28	0
36	1	85	0
37	1	29	-14.52211
38	1	31	-19.76569
39	1	87	-21.439127
40	1	88	-25.484928
41	1	87	-28.478729
42	1	89	-24.800205
43	1	89	-9.380283
44	1	89	-0.857017
45	1	90	-0.364408
46	1	91	0
47	1	33	-12
48	1	34	-16.530266
49	1	35	-17.222004
50	1	36	-3.801678
51	1	36	-0.619911
52	1	92	0
53	1	35	0
54	1	36	0
55	1	36	0
56	1	36	0
57	1	36	0
58	1	36	0
59	1	36	0
60	1	36	0
61	1	36	0
62	1	93	0
63	1	94	-0.143805
64	1	95	0
65	1	96	0
66	1	97	0
67	1	51	0
68	1	47	0
69	1	43	-0.088108
70	1	44	0
71	1	33	0
72	1	45	0
73	1	52	0
74	1	45	0
75	1	46	0
76	1	49	0
77	1	51	0
78	1	49	0
79	1	44	0
80	1	33	0
81	1	45	0
82	1	49	0
83	1	50	0
84	1	98	0
85	1	99	0
86	1	100	-0.155824
87	1	101	-0.794413
88	1	102	-2.364573
89	1	102	-3.625953
90	1	103	-3.639905
91	1	33	-2.67502
92	1	33	-2.723722
93	1	33	-11.072974
94	1	33	-21.472956
95	1	33	-20.598101
96	1	33	-10.796827
97	1	104	-3.791951
98	1	105	-5.442429
99	1	105	-14.837029
100	1	106	-23.535746
101	1	41	-24.80876
102	1	54	-19.533056
103	1	107	-14.932548
104	1	53	-11.13157
105	1	108	-10.115473
106	1	109	-6.88843
107	1	110	-2.875826
108	1	40	-0.803855
109	1	111	-0.035825
110	1	112	0
111	1	113	0
112	1	114	0
113	1	115	0
114	1	116	0
115	1	63	0
116	1	117	0
117	1	118	0
118	1	119	0
119	1	120	0
120	1	56	0
121	1	54	0
122	1	55	0
123	1	56	0
124	1	33	0
125	1	33	0
126	1	33	0
127	1	11	0
128	1	121	0
0	2	3	0
1	2	4	0
2	2	122	0
3	2	21	0
4	2	123	0
5	2	13	-0.209607
6	2	124	-8.126068
7	2	125	-24.993536
8	2	126	-36.599033
9	2	127	-35.604797
10	2	7	-32.370621
11	2	9	-21.750521
12	2	128	-16.616579
13	2	8	-36.340542
14	2	129	-66.049782
15	2	130	-86.386887
16	2	128	-103.411278
17	2	8	-113.903191
18	2	20	-104.491997
19	2	131	-90.548737
20	2	132	-75.23455
21	2	133	-65.07225
22	2	134	-58.176628
23	2	135	-11.905238
24	2	81	9.038322
25	2	74	39.369511
26	2	136	47.003769
27	2	132	37.034084
28	2	3	16.220079
29	2	22	0.37541
30	2	29	0
31	2	31	0
32	2	137	0
33	2	84	0
34	2	85	0
35	2	29	-1.56076
36	2	31	-0.160246
37	2	4	-24.561796
38	2	138	-29.75672
39	2	139	-31.699682
40	2	140	-39.93404
41	2	141	-34.581837
42	2	142	-27.834198
43	2	141	-17.919611
44	2	139	-7.186311
45	2	143	-7.146948
46	2	144	-2.128757
47	2	145	-12.054628
48	2	34	-24.065781
49	2	35	-24.66589
50	2	92	-17.297886
51	2	146	-5.187741
52	2	147	-0.517741
53	2	36	0
54	2	36	0
55	2	36	0
56	2	36	0
57	2	36	0
58	2	36	0
59	2	36	0
60	2	148	0
61	2	149	-0.696798
62	2	36	-6.364754
63	2	150	-8.255274
64	2	56	-3.080294
65	2	42	-1.013822
66	2	151	-0.755805
67	2	42	-2.905425
68	2	48	-6.769446
69	2	49	-8.341924
70	2	50	-8.09695
71	2	50	-4.287284
72	2	50	-0.023619
73	2	44	0
74	2	33	0
75	2	45	0
76	2	52	0
77	2	45	0
78	2	52	0
79	2	33	0
80	2	33	0
81	2	45	0
82	2	152	0
83	2	153	0
84	2	154	0
85	2	155	-1.303591
86	2	156	-3.973017
87	2	157	-9.118634
88	2	158	-14.677023
89	2	159	-17.408672
90	2	160	-15.575041
91	2	33	-11.359139
92	2	33	-10.042005
93	2	33	-17.546244
94	2	161	-25.369493
95	2	33	-23.082384
96	2	40	-17.226633
97	2	41	-14.348843
98	2	40	-17.115076
99	2	96	-26.841576
100	2	106	-35.220863
101	2	96	-33.477772
102	2	162	-27.415335
103	2	163	-22.0476
104	2	164	-19.385599
105	2	57	-16.332897
106	2	58	-11.095328
107	2	165	-5.982594
108	2	166	-2.114062
109	2	162	-0.233143
110	2	167	0
111	2	168	0
112	2	116	0
113	2	169	0
114	2	170	0
115	2	116	0
116	2	66	0
117	2	171	0
118	2	172	0
119	2	53	0
120	2	111	0
121	2	107	0
122	2	41	0
123	2	33	0
124	2	33	0
125	2	33	0
126	2	173	0
127	2	174	0
128	2	15	0
0	3	4	0
1	3	6	-0.000001
2	3	20	0
3	3	131	0
4	3	175	-1.193649
5	3	176	-4.043215
6	3	177	-13.982545
7	3	10	-37.301659
8	3	128	-53.952003
9	3	7	-53.61729
10	3	8	-54.483788
11	3	7	-60.489475
12	3	178	-76.33548
13	3	179	-116.965141
14	3	180	-141.077789
15	3	181	-170.39183
16	3	182	-192.193848
17	3	183	-206.497986
18	3	1	-186.251999
19	3	20	-166.342026
20	3	184	-166.51001
21	3	17	-151.549713
22	3	185	-135.581467
23	3	186	-90.514648
24	3	187	-17.648695
25	3	188	52.737175
26	3	82	101.102837
27	3	21	77.273651
28	3	137	22.026464
29	3	31	3.154351
30	3	71	0.022923
31	3	15	0.015388
32	3	137	0.009897
33	3	30	0
34	3	86	-6.313288
35	3	189	-20.213169
36	3	89	-25.748268
37	3	89	-38.598576
38	3	140	-43.198177
39	3	141	-48.050583
40	3	139	-44.87471
41	3	190	-37.199474
42	3	191	-26.705757
43	3	192	-7.421948
44	3	193	-16.864775
45	3	36	-23.362045
46	3	194	-17.025541
47	3	33	-15.738534
48	3	34	-30.828686
49	3	195	-28.820126
50	3	34	-23.732143
51	3	196	-14.152921
52	3	196	-8.476583
53	3	35	-6.230422
54	3	36	-8.175304
55	3	36	-7.144334
56	3	36	-1.728678
57	3	36	0
58	3	36	0
59	3	93	0
60	3	197	0
61	3	198	-3.112521
62	3	39	-12.849618
63	3	33	-18.60774
64	3	45	-11.620585
65	3	52	-8.583778
66	3	45	-13.406133
67	3	49	-15.604826
68	3	199	-20.058298
69	3	48	-21.665516
70	3	46	-22.265976
71	3	46	-18.559645
72	3	49	-7.96934
73	3	50	-0.535512
74	3	44	-2.1288
75	3	33	-3.246451
76	3	33	-2.669242
77	3	33	-1.739952
78	3	33	-1.595252
79	3	33	-0.280886
80	3	161	0
81	3	200	0
82	3	201	-0.103833
83	3	202	-0.512952
84	3	203	-2.661063
85	3	204	-9.939746
86	3	155	-20.455416
87	3	205	-31.829487
88	3	154	-39.714081
89	3	206	-42.151371
90	3	33	-38.147491
91	3	33	-29.254221
92	3	33	-20.099627
93	3	207	-20.368275
94	3	40	-24.479309
95	3	96	-22.72057
96	3	56	-19.98284
97	3	104	-20.117537
98	3	56	-25.342371
99	3	104	-33.715134
100	3	56	-37.085491
101	3	68	-33.422783
102	3	113	-26.402166
103	3	56	-21.401783
104	3	208	-18.959093
105	3	118	-16.316023
106	3	119	-11.552866
107	3	209	-6.464849
108	3	208	-2.284063
109	3	66	-0.222511
110	3	210	0
111	3	118	0
112	3	119	0
113	3	211	0
114	3	169	0
115	3	169	0
116	3	66	0
117	3	165	0
118	3	163	0
119	3	212	0
120	3	55	0
121	3	56	0
122	3	33	0
123	3	33	0
124	3	33	0
125	3	213	0
126	3	12	0
127	3	214	0
128	3	4	0
0	4	6	0
1	4	8	0
2	4	8	0
3	4	173	-0.548844
4	4	174	-7.979348
5	4	127	-20.402386
6	4	74	-32.850979
7	4	75	-50.093426
8	4	74	-54.032639
9	4	181	-62.578075
10	4	181	-102.23304
11	4	181	-107.010361
12	4	181	-150.233795
13	4	181	-245.20401
14	4	181	-245.20401
15	4	215	-245.20401
16	4	216	-225.17601
17	4	217	-206.497986
18	4	7	-186.251999
19	4	9	-166.51001
20	4	218	-166.51001
21	4	125	-266.51001
22	4	185	-203.630219
23	4	81	-147.82579
24	4	20	-87.057846
25	4	175	14.140525
26	4	176	96.068947
27	4	4	67.310677
28	4	71	35.040894
29	4	219	18.407965
30	4	220	1.49424
31	4	26	1.911067
32	4	25	1.608963
33	4	221	-0.065494
34	4	222	-9.779625
35	4	223	-34.063644
36	4	223	-45.271984
37	4	142	-50.18771
38	4	224	-53.505463
39	4	190	-48.791824
40	4	225	-35.730316
41	4	226	-27.945004
42	4	227	-5.699928
43	4	228	-4.742039
44	4	36	-32.678329
45	4	194	-49.679077
46	4	33	-45.256542
47	4	33	-19.15674
48	4	229	-17.328938
49	4	145	-28.765663
50	4	33	-26.964878
51	4	229	-25.950344
52	4	230	-25.52389
53	4	35	-22.812983
54	4	36	-23.033701
55	4	36	-18.949272
56	4	36	-5.688817
57	4	36	-0.105336
58	4	148	0
59	4	231	0
60	4	55	-0.605964
61	4	56	-3.967323
62	4	33	-8.94247
63	4	33	-13.530589
64	4	232	-12.370978
65	4	50	-18.31741
66	4	51	-30.517988
67	4	46	-27.822523
68	4	52	-19.766809
69	4	33	-15.63567
70	4	232	-20.276323
71	4	199	-26.0576
72	4	233	-17.506182
73	4	43	-8.033319
74	4	50	-7.193542
75	4	50	-6.345874
76	4	234	-5.469934
77	4	100	-6.0644
78	4	100	-8.233606
79	4	235	-5.985709
80	4	236	-1.114212
81	4	237	-0.527879
82	4	238	-1.506958
83	4	239	-4.534218
84	4	240	-17.821373
85	4	241	-34.239983
86	4	242	-53.436596
87	4	154	-70.627266
88	4	206	-80.682953
89	4	33	-81.313904
90	4	33	-70.45536
91	4	33	-53.14201
92	4	40	-34.490158
93	4	111	-20.750477
94	4	107	-19.226198
95	4	53	-19.640369
96	4	41	-19.053183
97	4	33	-21.672705
98	4	33	-27.161352
99	4	40	-32.161812
100	4	243	-32.153088
101	4	244	-24.658829
102	4	53	-16.171368
103	4	108	-12.512535
104	4	245	-12.277688
105	4	210	-11.442402
106	4	246	-8.351361
107	4	247	-4.23441
108	4	169	-0.981109
109	4	211	-0.01905
110	4	246	0
111	4	248	0
112	4	249	0
113	4	250	0
114	4	251	0
115	4	252	0
116	4	109	0
117	4	253	0
118	4	163	0
119	4	107	0
120	4	53	0
121	4	41	0
122	4	33	0
123	4	33	0
124	4	187	0
125	4	76	0
126	4	4	0
127	4	122	0
128	4	175	0
0	5	75	0
1	5	8	0
2	5	20	0
3	5	177	-1.558264
4	5	128	-14.890205
5	5	173	-39.767403
6	5	254	-65.918564
7	5	181	-72.260368
8	5	181	-74.019424
9	5	181	-90.37323
10	5	255	-127.691299
11	5	256	-245.20401
12	5	256	-245.20401
13	5	256	-245.20401
14	5	257	-245.20401
15	5	256	-245.20401
16	5	4	-225.17601
17	5	4	-206.497986
18	5	258	-186.251999
19	5	259	-166.51001
20	5	79	-166.51001
21	5	218	-266.51001
22	5	260	-247.329727
23	5	0	-222.711258
24	5	77	-158.292587
25	5	11	-76.408974
26	5	261	5.24286
27	5	184	52.116615
28	5	262	58.682484
29	5	76	56.695332
30	5	137	19.562044
31	5	263	9.359318
32	5	140	10.103546
33	5	264	2.583519
34	5	122	-6.174143
35	5	265	-31.65852
36	5	266	-49.155956
37	5	223	-64.108795
38	5	225	-60.421776
39	5	87	-53.546768
40	5	267	-38.785339
41	5	268	-22.36664
42	5	269	-2.035825
43	5	36	-5.419654
