x	y	texture	height
0	0	0	0
1	0	1	0
2	0	0	0
3	0	2	0
4	0	3	0
5	0	4	0
6	0	5	0
7	0	6	0
8	0	7	0
9	0	8	0
10	0	9	0
11	0	10	0
12	0	11	0
13	0	12	0
14	0	13	0
15	0	5	0
16	0	14	0
17	0	15	0
18	0	16	0
19	0	17	0
20	0	18	0
21	0	19	0
22	0	20	0
23	0	21	0
24	0	22	0
25	0	23	0
26	0	24	0
27	0	10	0
28	0	25	0
29	0	25	0
30	0	11	0
31	0	26	0
32	0	27	0
33	0	5	0
34	0	14	0
35	0	14	0
36	0	14	0
37	0	14	0
38	0	28	0
39	0	29	0
40	0	30	0
41	0	31	0
42	0	13	0
43	0	22	0
44	0	32	0
45	0	33	0
46	0	34	0
47	0	35	0
48	0	13	0
49	0	36	0
50	0	37	0
51	0	38	0
52	0	39	0
53	0	40	0
54	0	40	0
55	0	40	0
56	0	34	0
57	0	33	0
58	0	40	0
59	0	24	0
60	0	40	0
61	0	24	0
62	0	41	0
63	0	40	0
64	0	40	0
65	0	42	0
66	0	39	0
67	0	40	0
68	0	40	0
69	0	43	0
70	0	44	0
71	0	45	0
72	0	30	0
73	0	46	0
74	0	18	0
75	0	30	0
76	0	39	0
77	0	43	0
78	0	47	0
79	0	48	0
80	0	40	0
81	0	49	0
82	0	50	0
83	0	51	0
84	0	52	0
85	0	53	0
86	0	54	0
87	0	55	0
88	0	56	0
89	0	57	0
90	0	58	0
91	0	59	0
92	0	60	0
93	0	61	0
94	0	62	0
95	0	58	0
96	0	58	0
97	0	58	0
98	0	63	0
99	0	64	0
100	0	65	0
101	0	66	0
102	0	67	0
103	0	68	0
104	0	69	0
105	0	70	0
106	0	65	0
107	0	71	0
108	0	72	0
109	0	73	0
110	0	74	0
111	0	50	0
112	0	75	0
113	0	76	0
114	0	77	0
115	0	78	0
116	0	79	0
117	0	80	0
118	0	81	0
119	0	82	0
120	0	63	0
121	0	83	0
122	0	69	0
123	0	84	0
124	0	85	0
125	0	63	0
126	0	86	0
127	0	46	0
128	0	19	0
0	1	87	0
1	1	6	0.167153
2	1	88	0.599289
3	1	89	1.034029
4	1	15	0.77204
5	1	90	1.629242
6	1	91	4.71319
7	1	92	6.000073
8	1	8	3.810783
9	1	36	0.288456
10	1	93	0.074368
11	1	10	0.044156
12	1	11	0
13	1	27	0.635935
14	1	94	2.13674
15	1	95	4.278775
16	1	90	4.73409
17	1	5	3.472357
18	1	14	1.599762
19	1	14	0.520382
20	1	14	0.061709
21	1	96	0.000054
22	1	27	0
23	1	9	0
24	1	97	0
25	1	93	0
26	1	41	0
27	1	97	0
28	1	26	0
29	1	27	2.043622
30	1	98	1.400535
31	1	90	5.282216
32	1	16	7.346369
33	1	99	3.496398
34	1	98	0
35	1	16	0
36	1	100	0
37	1	101	0
38	1	102	0
39	1	39	0
40	1	34	0
41	1	35	0
42	1	23	-0.878814
43	1	42	-1.943336
44	1	39	0
45	1	43	0
46	1	103	0
47	1	12	0
48	1	25	0
49	1	23	0.109645
50	1	34	0
51	1	33	0
52	1	40	1.063394
53	1	40	0.817062
54	1	34	0
55	1	102	-0.285429
56	1	39	-4.117053
57	1	40	-4.667698
58	1	40	-0.579326
59	1	24	0
60	1	24	0
61	1	41	0
62	1	24	0
63	1	41	0
64	1	40	0
65	1	41	0
66	1	24	0
67	1	34	-0.924077
68	1	45	-2.229977
69	1	30	-1.643322
70	1	46	-0.175145
71	1	44	0
72	1	45	0
73	1	18	-0.50781
74	1	44	-2.034831
75	1	33	-2.526426
76	1	42	-2.433177
77	1	39	-1.452338
78	1	41	-1.080289
79	1	24	-0.803363
80	1	104	0
81	1	105	0
82	1	106	-0.746782
83	1	107	-2.864603
84	1	108	-4.84562
85	1	109	-9.920814
86	1	110	-12.823761
87	1	51	-11.780318
88	1	111	-9.055736
89	1	112	-5.908216
90	1	113	-2.599995
91	1	114	0.69173
92	1	62	3.017582
93	1	115	2.060521
94	1	116	2.165603
95	1	117	8.425798
96	1	118	16.981297
97	1	113	21.517391
98	1	119	20.362816
99	1	120	14.470608
100	1	121	5.705318
101	1	122	0.543389
102	1	123	0.00969
103	1	124	-0.079284
104	1	125	-0.049902
105	1	126	-0.000108
106	1	114	0
107	1	112	0
108	1	127	0
109	1	128	0
110	1	129	-0.61125
111	1	130	-3.372542
112	1	131	-4.562212
113	1	50	-0.535517
114	1	123	0
115	1	132	-0.111659
116	1	41	-0.213364
117	1	133	-0.129295
118	1	134	-0.024624
119	1	135	-0.021468
120	1	136	-0.12188
121	1	71	-0.143461
122	1	137	-0.122882
123	1	115	-0.145476
124	1	138	-0.28167
125	1	139	-0.87005
126	1	42	-1.16093
127	1	18	-0.774627
128	1	140	0
0	2	141	0
1	2	142	0.963253
2	2	143	3.149187
3	2	144	5.509236
4	2	145	7.84967
5	2	90	11.463167
6	2	91	14.884186
7	2	146	16.517012
8	2	98	14.067581
9	2	36	8.024317
10	2	26	3.948702
11	2	147	2.721358
12	2	148	4.347878
13	2	149	8.754418
14	2	150	13.348594
15	2	94	16.469206
16	2	151	16.784536
17	2	99	13.108613
18	2	90	8.017093
19	2	98	3.839877
20	2	98	1.270457
21	2	90	0.126395
22	2	36	0
23	2	27	0
24	2	36	0
25	2	93	0
26	2	21	0
27	2	98	1.792998
28	2	16	8.46231
29	2	99	11.314954
30	2	90	10.248403
31	2	152	14.468539
32	2	4	18.901934
33	2	98	13.050843
34	2	152	4.839681
35	2	0	6.009189
36	2	153	4.193223
37	2	39	0.354243
38	2	40	-0.736484
39	2	42	-4.669483
40	2	154	-5.741182
41	2	33	-7.370305
42	2	34	-14.881375
43	2	155	-14.837736
44	2	156	-8.932023
45	2	28	-3.859906
46	2	23	-0.324992
47	2	40	0.254735
48	2	34	7.653708
49	2	45	9.1435
50	2	157	3.776958
51	2	97	5.594246
52	2	158	10.871363
53	2	45	9.070662
54	2	44	2.241328
55	2	159	-5.252102
56	2	33	-13.089409
57	2	41	-14.801743
58	2	40	-9.45768
59	2	24	-0.639045
60	2	41	0
61	2	41	0
62	2	40	0
63	2	34	0
64	2	33	0
65	2	24	0
66	2	42	-2.157089
67	2	38	-5.390359
68	2	154	-6.908621
69	2	45	-4.425036
70	2	30	-1.898464
71	2	38	-1.86028
72	2	46	-2.005868
73	2	30	-3.232962
74	2	39	-5.02382
75	2	41	-6.373969
76	2	40	-4.919644
77	2	41	-3.72164
78	2	49	-3.413715
79	2	160	-2.438082
80	2	161	-1.310868
81	2	162	-1.859996
82	2	38	-5.034898
83	2	163	-9.234107
84	2	164	-12.550611
85	2	165	-17.78039
86	2	111	-19.320988
87	2	166	-18.472694
88	2	167	-15.608974
89	2	168	-10.554117
90	2	169	-6.490622
91	2	170	-3.582947
92	2	171	-2.733059
93	2	172	-2.186118
94	2	173	2.25112
95	2	174	13.73278
96	2	112	28.588411
97	2	175	35.075291
98	2	176	32.840252
99	2	177	21.670683
100	2	178	10.588354
101	2	179	2.396591
102	2	180	-0.629736
103	2	181	-1.898929
104	2	182	-1.813271
105	2	183	-0.7625
106	2	184	0
107	2	185	-0.08376
108	2	186	-0.454521
109	2	187	-1.831874
110	2	188	-5.747691
111	2	176	-13.346114
112	2	177	-22.727861
113	2	105	-24.922947
114	2	48	-19.373577
115	2	49	-11.904616
116	2	189	-6.820196
117	2	190	-7.374816
118	2	124	-7.328081
119	2	138	-3.239626
120	2	191	-2.556102
121	2	192	-2.049604
122	2	193	-2.132358
123	2	194	-2.88556
124	2	195	-5.274052
125	2	33	-8.83478
126	2	196	-7.251823
127	2	197	-3.655841
128	2	198	0
0	3	199	0
1	3	200	3.391177
2	3	201	7.456517
3	3	202	13.180449
4	3	90	21.161779
5	3	90	28.256643
6	3	203	29.994524
7	3	204	30.061646
8	3	205	29.617058
9	3	206	24.99157
10	3	5	18.87163
11	3	207	15.573922
12	3	208	16.299866
13	3	209	19.679995
14	3	210	24.940289
15	3	211	30.888723
16	3	212	33.523628
17	3	90	28.767515
18	3	98	18.197538
19	3	16	10.08404
20	3	100	4.356289
21	3	100	0.808215
22	3	99	-0.037838
23	3	90	0
24	3	36	-0.249976
25	3	27	-0.271348
26	3	90	3.210635
27	3	5	9.441603
28	3	15	17.932093
29	3	98	19.797417
30	3	5	14.471699
31	3	15	18.279659
32	3	16	26.426281
33	3	87	25.373732
34	3	28	19.814079
35	3	23	18.298363
36	3	97	12.411021
37	3	26	3.646566
38	3	93	-6.655507
39	3	42	-11.731101
40	3	39	-14.448653
41	3	213	-18.156969
42	3	15	-21.350372
43	3	22	-21.666946
44	3	23	-18.228525
45	3	40	-13.635019
46	3	40	-7.792666
47	3	43	5.293517
48	3	30	15.955971
49	3	39	16.61758
50	3	10	10.183891
51	3	214	10.501427
52	3	38	19.618076
53	3	38	15.578211
54	3	46	5.161838
55	3	44	-6.83013
56	3	159	-17.081459
57	3	33	-19.999937
58	3	41	-15.446144
59	3	41	-5.238559
60	3	41	0.012017
61	3	40	0.318826
62	3	42	2.633222
63	3	39	2.311679
64	3	40	0.23108
65	3	24	-1.950127
66	3	41	-7.023703
67	3	42	-13.246993
68	3	38	-15.076777
69	3	39	-10.726913
70	3	40	-6.425438
71	3	42	-6.205004
72	3	39	-7.015713
73	3	40	-6.581165
74	3	40	-7.018416
75	3	24	-6.144718
76	3	40	-4.594043
77	3	104	-3.713846
78	3	215	-3.829089
79	3	216	-3.408868
80	3	161	-2.468506
81	3	217	-4.603008
82	3	160	-9.37504
83	3	218	-12.273203
84	3	219	-14.096224
85	3	166	-18.660278
86	3	18	-20.286337
87	3	220	-19.905346
88	3	215	-16.852083
89	3	49	-12.694262
90	3	221	-10.161287
91	3	222	-9.166636
92	3	45	-8.96536
93	3	18	-8.155827
94	3	223	-4.393574
95	3	224	6.507319
96	3	185	23.151535
97	3	225	33.797756
98	3	226	30.678251
99	3	227	20.992739
100	3	121	10.776737
101	3	228	1.642668
102	3	229	-3.963444
103	3	230	-6.937319
104	3	231	-7.641228
105	3	232	-6.070875
106	3	63	-1.892951
107	3	233	-2.965857
108	3	234	-3.302576
109	3	164	-4.775251
110	3	235	-9.485853
111	3	236	-19.258785
112	3	237	-34.375595
113	3	238	-40.042389
114	3	239	-37.584908
115	3	240	-30.632069
116	3	241	-24.976254
117	3	242	-23.078922
118	3	113	-19.975962
119	3	243	-13.597656
120	3	187	-8.6094
121	3	244	-6.891054
122	3	245	-7.129004
123	3	246	-9.491262
124	3	247	-14.856467
125	3	197	-18.632977
126	3	248	-15.212667
127	3	249	-8.315866
128	3	250	0
0	4	251	0
1	4	252	6.972813
2	4	253	12.475991
3	4	94	19.95335
4	4	254	33.670925
5	4	255	43.269093
6	4	256	41.604958
7	4	257	40.982166
8	4	258	44.970074
9	4	206	44.451252
10	4	259	40.832623
11	4	260	36.280281
12	4	261	31.505463
13	4	262	28.447659
14	4	263	30.092264
15	4	264	39.025497
16	4	265	52.015331
17	4	98	46.706135
18	4	5	29.360069
19	4	14	17.451538
20	4	14	8.504659
21	4	15	1.456895
22	4	98	-1.910601
23	4	90	-2.865304
24	4	98	-3.265808
25	4	98	-0.071878
26	4	90	4.341809
27	4	90	11.642909
28	4	98	15.932823
29	4	90	13.604092
30	4	90	9.699783
31	4	5	15.040157
32	4	28	26.980955
33	4	23	31.108723
34	4	34	29.662798
35	4	266	22.272335
36	4	90	9.881344
37	4	36	-1.081613
38	4	93	-10.711614
39	4	40	-14.895455
40	4	21	-16.379835
41	4	22	-17.360027
42	4	11	-18.034155
43	4	93	-18.427092
44	4	97	-19.213194
45	4	93	-19.59392
46	4	42	-16.905754
47	4	39	-5.32548
48	4	34	8.274342
49	4	33	4.022714
50	4	24	1.066187
51	4	41	4.466555
52	4	24	12.56501
53	4	42	11.047839
54	4	38	3.154221
55	4	38	-4.803024
56	4	39	-15.840491
57	4	40	-20.786247
58	4	41	-16.456932
59	4	41	-5.998282
60	4	40	6.645468
61	4	41	13.095415
62	4	41	14.53093
63	4	24	10.281069
64	4	24	3.108718
65	4	24	-5.982756
66	4	41	-14.205808
67	4	41	-19.419729
68	4	41	-21.652708
69	4	40	-18.164413
70	4	41	-14.250655
71	4	24	-12.980819
72	4	24	-12.349008
73	4	24	-10.916993
74	4	40	-8.151637
75	4	40	-5.131527
76	4	216	-3.110008
77	4	48	-3.1409
78	4	24	-3.219478
79	4	104	-3.697858
80	4	267	-4.329573
81	4	75	-7.029458
82	4	160	-9.600773
83	4	268	-9.29475
84	4	269	-7.994503
85	4	46	-12.226396
86	4	47	-16.206951
87	4	48	-15.666294
88	4	216	-12.381684
89	4	270	-8.505767
90	4	268	-7.41054
91	4	56	-7.773977
92	4	57	-7.071717
93	4	271	-8.681049
94	4	272	-8.721684
95	4	273	-2.985038
96	4	81	3.635126
97	4	49	9.997636
98	4	50	13.129385
99	4	274	9.572257
100	4	275	3.849626
101	4	276	-4.027568
102	4	277	-11.658571
103	4	278	-15.105904
104	4	279	-16.5721
105	4	135	-16.922762
106	4	280	-17.323997
107	4	281	-11.089294
108	4	282	-7.435789
109	4	283	-6.476433
110	4	284	-9.207201
111	4	285	-18.16995
112	4	286	-33.948261
113	4	81	-44.617359
114	4	287	-46.996391
115	4	288	-43.801594
116	4	289	-38.67326
117	4	72	-34.156792
118	4	290	-28.860321
119	4	244	-22.19339
120	4	105	-16.651997
121	4	291	-13.637116
122	4	292	-14.017263
123	4	293	-17.657576
124	4	294	-23.507998
125	4	142	-26.997288
126	4	145	-21.507786
127	4	295	-11.258547
128	4	296	0
0	5	297	0
1	5	264	8.335085
2	5	210	14.411474
3	5	298	19.840637
4	5	299	36.094906
5	5	300	42.306026
6	5	301	42.822842
7	5	302	45.473713
8	5	303	56.992065
9	5	95	57.984142
10	5	304	59.191673
11	5	305	59.89537
12	5	306	46.414673
13	5	100	32.779907
14	5	307	27.131596
15	5	308	30.402084
16	5	90	38.701294
17	5	98	34.75206
18	5	90	30.142965
19	5	16	23.964054
20	5	99	11.974241
21	5	90	0.386699
