x	y	texture	height
0	0	0	0
1	0	0	0
2	0	1	0
3	0	2	0
4	0	0	0
5	0	1	0
6	0	2	0
7	0	3	0
8	0	1	0
9	0	4	0
10	0	5	0
11	0	6	0
12	0	7	0
13	0	8	0
14	0	2	0
15	0	0	0
16	0	0	0
17	0	3	0
18	0	3	0
19	0	3	0
20	0	1	0
21	0	9	0
22	0	10	0
23	0	5	0
24	0	3	0
25	0	1	0
26	0	11	0
27	0	9	0
28	0	12	0
29	0	6	0
30	0	13	0
31	0	5	0
32	0	1	0
33	0	11	0
34	0	2	0
35	0	0	0
36	0	1	0
37	0	2	0
38	0	0	0
39	0	6	0
40	0	5	0
41	0	3	0
42	0	3	0
43	0	6	0
44	0	13	0
45	0	5	0
46	0	0	0
47	0	0	0
48	0	3	0
49	0	0	0
50	0	3	0
51	0	3	0
52	0	0	0
53	0	0	0
54	0	0	0
55	0	3	0
56	0	3	0
57	0	3	0
58	0	0	0
59	0	3	0
60	0	0	0
61	0	14	0
62	0	15	0
63	0	16	0
64	0	17	0
65	0	17	0
66	0	18	0
67	0	19	0
68	0	19	0
69	0	20	0
70	0	21	0
71	0	17	0
72	0	18	0
73	0	22	0
74	0	17	0
75	0	17	0
76	0	23	0
77	0	24	0
78	0	18	0
79	0	22	0
80	0	18	0
81	0	19	0
82	0	25	0
83	0	26	0
84	0	9	0
85	0	12	0
86	0	3	0
87	0	3	0
88	0	3	0
89	0	3	0
90	0	3	0
91	0	3	0
92	0	3	0
93	0	3	0
94	0	3	0
95	0	3	0
96	0	3	0
97	0	0	0
98	0	3	0
99	0	0	0
100	0	1	0
101	0	2	0
102	0	1	0
103	0	2	0
104	0	0	0
105	0	3	0
106	0	1	0
107	0	2	0
108	0	3	0
109	0	0	0
110	0	0	0
111	0	3	0
112	0	3	0
113	0	3	0
114	0	0	0
115	0	3	0
116	0	27	0
117	0	28	0
118	0	0	0
119	0	0	0
120	0	3	0
121	0	0	0
122	0	0	0
123	0	0	0
124	0	0	0
125	0	3	0
126	0	3	0
127	0	0	0
128	0	3	0
0	1	3	0
1	1	29	14.690042
2	1	12	19.540455
3	1	3	23.886482
4	1	30	27.709623
5	1	31	30.912125
6	1	1	34.244671
7	1	9	36.97382
8	1	32	37.490391
9	1	33	38.23428
10	1	34	42.380684
11	1	35	45.203983
12	1	36	41.559418
13	1	37	38.187881
14	1	2	35.672291
15	1	1	30.780952
16	1	4	24.383053
17	1	13	18.498962
18	1	38	14.11903
19	1	9	12.193511
20	1	39	12.911068
21	1	40	14.544594
22	1	41	17.733334
23	1	11	19.295055
24	1	9	15.268086
25	1	42	6.883348
26	1	43	-1.697681
27	1	44	-6.592964
28	1	45	-7.725162
29	1	46	-7.132927
30	1	33	-6.943194
31	1	30	-6.913946
32	1	36	-7.326437
33	1	31	-7.616406
34	1	3	-7.026125
35	1	29	-7.400769
36	1	10	-6.294193
37	1	13	-6.361547
38	1	45	-3.710082
39	1	47	1.905238
40	1	5	4.774118
41	1	6	2.450058
42	1	45	1.068478
43	1	48	-6.028543
44	1	49	-12.294077
45	1	3	-14.094808
46	1	0	-15.170394
47	1	3	-15.324441
48	1	3	-15.410658
49	1	3	-15.01208
50	1	3	-13.557481
51	1	0	-10.279998
52	1	0	-4.665256
53	1	3	2.279034
54	1	3	8.00853
55	1	3	10.204713
56	1	0	11.477365
57	1	3	16.798117
58	1	1	22.807213
59	1	11	25.23115
60	1	50	23.898165
61	1	51	20.308264
62	1	52	15.972015
63	1	17	12.600519
64	1	17	11.300964
65	1	17	11.979488
66	1	17	12.108516
67	1	53	10.932544
68	1	54	6.891854
69	1	55	1.059075
70	1	56	-4.043813
71	1	17	-7.32353
72	1	17	-9.052605
73	1	57	-9.697606
