x	y	texture	height
0	0	0	0
1	0	1	0
2	0	2	0
3	0	3	0
4	0	4	0
5	0	5	0
6	0	6	0
7	0	7	0
8	0	8	0
9	0	9	0
10	0	10	0
11	0	10	0
12	0	10	0
13	0	11	0
14	0	5	0
15	0	10	0
16	0	10	0
17	0	10	0
18	0	6	0
19	0	12	0
20	0	4	0
21	0	13	0
22	0	9	0
23	0	13	0
24	0	8	0
25	0	9	0
26	0	11	0
27	0	13	0
28	0	14	0
29	0	2	0
30	0	2	0
31	0	2	0
32	0	15	0
33	0	0	0
34	0	16	0
35	0	1	0
36	0	2	0
37	0	3	0
38	0	4	0
39	0	17	0
40	0	18	0
41	0	10	0
42	0	11	0
43	0	11	0
44	0	5	0
45	0	11	0
46	0	6	0
47	0	19	0
48	0	16	0
49	0	19	0
50	0	19	0
51	0	1	0
52	0	2	0
53	0	18	0
54	0	6	0
55	0	1	0
56	0	2	0
57	0	18	0
58	0	6	0
59	0	19	0
60	0	16	0
61	0	20	0
62	0	21	0
63	0	21	0
64	0	21	0
65	0	22	0
66	0	23	0
67	0	24	0
68	0	23	0
69	0	25	0
70	0	25	0
71	0	25	0
72	0	25	0
73	0	26	0
74	0	27	0
75	0	25	0
76	0	24	0
77	0	23	-0.031782
78	0	25	0
79	0	25	0
80	0	25	0
81	0	25	0
82	0	25	0
83	0	26	0
84	0	22	0
85	0	28	0
86	0	12	0
87	0	19	0
88	0	7	0
89	0	9	0
90	0	17	0
91	0	18	0
92	0	10	0
93	0	11	0
94	0	10	0
95	0	10	0
96	0	5	0
97	0	10	0
98	0	11	0
99	0	17	0
100	0	29	0
101	0	30	0
102	0	31	0
103	0	32	0
104	0	33	0
105	0	34	0
106	0	35	0
107	0	35	0
108	0	35	0
109	0	35	0
110	0	36	0
111	0	34	0
112	0	35	0
113	0	37	0
114	0	12	0
115	0	38	0
116	0	39	0
117	0	40	0
118	0	34	0
119	0	35	0
120	0	36	0
121	0	33	0
122	0	41	0
123	0	42	0
124	0	43	0
125	0	44	0
126	0	19	0
127	0	12	0
128	0	16	0
0	1	7	0
1	1	8	0
2	1	14	0
3	1	18	-0.19129
4	1	5	0
5	1	17	0
6	1	2	0
7	1	2	0
8	1	15	0
9	1	9	0.75045
10	1	5	2.800748
11	1	13	2.607728
12	1	9	0.530836
13	1	10	0.089199
14	1	10	0
15	1	13	0
16	1	9	0
17	1	17	0
18	1	2	0
19	1	18	0
20	1	17	0
21	1	18	0
22	1	17	0
23	1	3	0
24	1	7	0
25	1	9	0
26	1	6	0
27	1	7	0
28	1	9	0
29	1	5	0
30	1	13	0
31	1	0	0
32	1	12	0
33	1	16	0
34	1	7	0
35	1	8	0
36	1	0	0
37	1	7	0
38	1	8	0
39	1	8	0
40	1	8	0
41	1	9	0
42	1	13	0.001526
43	1	8	0.335734
44	1	9	4.577618
45	1	17	6.745332
46	1	2	4.795292
47	1	3	1.569507
48	1	19	0.28568
49	1	16	2.015583
50	1	4	3.109733
51	1	11	1.734786
52	1	10	0
53	1	17	0
54	1	18	0
55	1	10	0
56	1	13	0.43467
57	1	0	0.927523
58	1	20	0.265691
59	1	21	0
60	1	27	0
61	1	25	0
62	1	24	0
63	1	45	0
64	1	46	0
65	1	27	0
66	1	26	0
67	1	27	0
68	1	24	0
69	1	23	0
70	1	25	0
71	1	25	0
72	1	25	0
73	1	25	0
74	1	25	0
75	1	47	-0.006418
76	1	48	-1.000953
77	1	45	-1.486318
78	1	23	-0.856982
79	1	24	0
80	1	23	0
81	1	24	0
82	1	45	0
83	1	28	0
84	1	1	0
85	1	3	0
86	1	19	0
87	1	19	0
88	1	7	-0.000998
89	1	9	0
90	1	10	0
91	1	10	0
92	1	5	0
93	1	10	-0.085197
94	1	11	-2.381146
95	1	10	-5.710961
96	1	5	-9.552805
97	1	13	-14.728034
98	1	9	-18.48892
99	1	5	-20.433056
100	1	10	-18.05335
101	1	13	-14.706336
102	1	49	-8.34323
103	1	50	-2.070069
104	1	50	-0.550102
105	1	51	-0.050295
106	1	35	0.002953
107	1	35	0
108	1	39	0
109	1	51	0
110	1	35	0
111	1	39	0
112	1	40	0
113	1	41	0
114	1	52	0
115	1	40	0
116	1	34	0
117	1	39	0
118	1	50	0
119	1	50	0
120	1	51	0
121	1	36	0
122	1	43	0
123	1	44	0
124	1	16	0
125	1	12	0
126	1	16	0
127	1	12	0
128	1	1	0
0	2	3	0
1	2	4	-0.020938
2	2	13	-1.979063
3	2	9	-4.112165
4	2	11	-3.19857
5	2	11	-0.056263
6	2	5	0
7	2	17	0
8	2	18	0
9	2	5	2.837328
10	2	6	8.840598
11	2	7	7.48708
12	2	9	3.374941
13	2	13	0.766569
14	2	14	0.07956
15	2	18	0.048458
16	2	13	0.00789
17	2	9	0.000561
18	2	10	0
19	2	5	0
20	2	10	0
21	2	5	0
22	2	6	0
23	2	1	0
24	2	18	0
25	2	17	0
26	2	3	0
27	2	4	0
28	2	5	0
29	2	17	0.894413
30	2	2	0.693473
31	2	2	0
32	2	3	0
33	2	16	0
34	2	12	0
35	2	19	0
36	2	16	0
37	2	12	0
38	2	19	0
39	2	12	0
40	2	4	0
41	2	17	0.021701
42	2	53	0.553282
43	2	54	5.113925
44	2	13	13.088925
45	2	9	17.66852
46	2	17	13.083692
47	2	2	5.469827
48	2	3	3.892469
49	2	7	7.095511
50	2	8	8.271434
51	2	8	4.659256
52	2	9	3.957933
53	2	11	3.106561
54	2	13	0.906785
55	2	14	0.205348
56	2	3	2.833184
57	2	48	3.841753
58	2	45	2.795135
59	2	45	0.658059
60	2	45	0
61	2	28	0
62	2	12	0
63	2	48	0
64	2	45	0
65	2	23	0.116702
66	2	25	0
67	2	47	0
68	2	55	-0.046355
69	2	25	0
70	2	25	0
71	2	25	-0.039626
72	2	25	-0.377434
73	2	24	-1.327358
74	2	46	-3.52543
75	2	21	-4.740649
76	2	21	-4.73003
77	2	22	-3.608971
78	2	46	-1.933873
79	2	27	-0.267205
80	2	47	0
81	2	19	0
82	2	12	0
83	2	4	0
84	2	17	0
85	2	2	0
86	2	2	-0.26584
87	2	2	-0.818433
88	2	15	-1.529131
89	2	9	-2.005326
90	2	10	-4.893132
91	2	13	-9.418258
92	2	9	-14.820482
93	2	13	-21.043886
94	2	8	-25.545324
95	2	9	-28.053408
96	2	17	-35.868244
97	2	15	-39.846897
98	2	8	-38.589188
99	2	9	-35.358856
100	2	17	-30.346205
101	2	2	-26.380924
102	2	3	-22.330729
103	2	19	-12.528112
104	2	52	-3.143877
105	2	50	0.986663
106	2	51	1.600039
107	2	36	0.89903
108	2	34	0.143225
109	2	35	0
110	2	37	0
111	2	38	0
112	2	37	0
113	2	19	0
114	2	38	0
115	2	39	0
116	2	44	0
117	2	56	0
118	2	57	0
119	2	52	0
120	2	51	0
121	2	37	0
122	2	12	0
123	2	19	0
124	2	19	0
125	2	12	0
126	2	2	0
127	2	15	0
128	2	0	0
0	3	4	0
1	3	17	-0.614362
2	3	18	-6.447498
3	3	10	-13.38649
4	3	11	-10.96145
5	3	10	-3.272368
6	3	11	0
7	3	5	0
8	3	11	0
9	3	17	1.752469
10	3	3	6.88271
11	3	4	7.430768
12	3	6	4.805754
13	3	4	3.914256
14	3	13	3.185207
15	3	14	0.758029
16	3	18	0.289397
17	3	13	0.125404
18	3	9	0.033792
19	3	10	0.181263
20	3	5	0.375584
21	3	17	0.06302
22	3	15	1.55725
23	3	9	4.136234
24	3	11	3.595846
25	3	17	6.187526
26	3	18	7.794199
27	3	5	3.639523
28	3	11	3.255642
29	3	5	6.025056
30	3	5	6.328107
31	3	6	3.626348
32	3	16	0.1099
33	3	19	0
34	3	1	-0.050142
35	3	2	-0.899464
36	3	3	-1.111073
37	3	12	-0.623697
38	3	19	0
39	3	7	0
40	3	58	0
41	3	59	0.111919
42	3	60	2.151644
43	3	61	9.358077
44	3	18	19.944775
45	3	10	27.587036
46	3	11	18.559589
47	3	6	9.357684
48	3	1	8.598767
49	3	3	13.787201
50	3	16	11.019709
51	3	4	5.147797
52	3	13	9.490057
53	3	0	13.745447
54	3	7	8.01815
55	3	0	1.558761
56	3	1	2.713382
57	3	2	6.258475
58	3	2	4.627228
59	3	3	1.820269
60	3	12	0
61	3	1	0
62	3	2	0.304392
63	3	2	0.093583
64	3	62	2.849417
65	3	23	6.151969
66	3	26	5.72274
67	3	22	-0.727184
68	3	23	-3.754666
69	3	24	-3.48333
70	3	23	-3.05624
71	3	24	-5.550303
72	3	46	-8.693584
73	3	27	-10.779988
74	3	25	-12.517532
75	3	25	-11.941714
76	3	26	-8.690207
77	3	22	-4.790029
78	3	45	-1.826116
79	3	28	-0.210635
80	3	16	0
81	3	19	0
82	3	7	0
83	3	9	0
84	3	5	-0.342537
85	3	13	-2.044416
86	3	9	-4.502351
87	3	17	-7.51722
88	3	15	-12.020081
89	3	8	-17.695677
90	3	14	-24.780237
91	3	15	-31.128607
92	3	0	-37.326134
93	3	1	-39.735497
94	3	18	-40.652916
95	3	5	-47.914593
96	3	6	-50.925751
97	3	56	-49.45752
98	3	63	-47.02467
99	3	11	-43.466167
100	3	10	-39.424885
101	3	6	-30.489473
102	3	19	-11.941769
103	3	19	-3.711065
104	3	19	3.690764
105	3	38	13.098653
106	3	39	18.114748
107	3	50	13.293092
108	3	51	1.804971
109	3	36	0.03658
110	3	43	0
111	3	44	0
112	3	16	0
113	3	52	0
114	3	44	0
115	3	19	0
116	3	64	0
117	3	65	0
118	3	16	0
119	3	52	0
120	3	44	0
121	3	16	0.087733
122	3	19	0.042265
123	3	19	0
124	3	12	0
125	3	9	0
126	3	17	0
127	3	2	0
128	3	15	0
0	4	9	0
1	4	10	-0.27834
2	4	5	-9.540233
3	4	11	-19.756327
4	4	5	-17.979939
5	4	11	-6.804734
6	4	10	-0.607115
7	4	11	-0.628398
8	4	5	-0.021892
9	4	17	0
10	4	15	0.310149
11	4	14	2.467858
12	4	18	5.754536
13	4	17	9.840588
14	4	18	8.610765
15	4	11	4.070425
16	4	17	1.762067
17	4	18	0.75213
18	4	10	2.186893
19	4	11	6.394489
20	4	13	7.653071
21	4	14	6.87792
22	4	18	10.010739
23	4	10	14.419481
24	4	13	16.78647
25	4	9	26.631626
26	4	5	31.697882
27	4	5	22.960203
28	4	11	17.018175
29	4	5	15.968865
30	4	17	15.111951
31	4	2	7.988644
32	4	2	1.738165
33	4	15	-0.107698
34	4	9	-2.125519
35	4	6	-5.012241
36	4	19	-6.770864
37	4	1	-5.641716
38	4	2	-3.006027
39	4	66	-0.207624
40	4	67	0
41	4	59	0.1421
42	4	68	2.700742
43	4	5	11.610903
44	4	11	22.985916
45	4	10	30.067507
46	4	6	22.323229
47	4	4	11.687593
48	4	6	14.912884
49	4	16	20.141991
50	4	7	12.261654
51	4	14	1.502975
52	4	2	13.031549
53	4	3	27.028542
54	4	1	19.132374
55	4	18	6.407571
56	4	10	1.801332
57	4	11	5.294362
58	4	6	4.43988
59	4	1	1.716057
60	4	18	0.0201
61	4	5	2.099665
62	4	11	3.208027
63	4	6	5.551322
64	4	48	13.593249
65	4	23	20.73518
66	4	26	17.379307
67	4	22	3.9256
68	4	46	-9.72859
69	4	27	-11.259536
70	4	26	-10.086227
71	4	22	-13.993534
72	4	23	-18.992256
73	4	25	-20.039923
74	4	25	-17.776325
75	4	24	-13.019811
76	4	28	-7.572823
77	4	12	-2.929923
78	4	56	-0.659782
79	4	69	0
80	4	57	0
81	4	12	0
82	4	7	-0.075108
83	4	9	-1.60823
84	4	6	-5.816788
85	4	4	-11.834559
86	4	11	-17.945061
87	4	6	-23.893085
88	4	16	-29.399137
89	4	7	-34.293484
90	4	0	-38.371433
91	4	1	-42.278965
92	4	15	-46.47617
93	4	9	-48.203751
94	4	13	-53.698025
95	4	0	-62.519836
96	4	64	-63.247341
97	4	70	-59.799637
98	4	11	-55.771431
99	4	5	-51.452766
100	4	17	-47.684383
101	4	3	-16.158764
102	4	12	1.412683
103	4	16	9.596513
104	4	52	18.298546
105	4	44	26.97183
106	4	42	29.363754
107	4	43	25.004864
108	4	51	9.618904
109	4	37	1.240957
110	4	12	0
111	4	19	0
112	4	12	0
113	4	19	0
114	4	56	0
115	4	71	0
116	4	72	0
117	4	57	5.093571
118	4	19	12.039245
119	4	56	9.956015
120	4	57	15.228946
121	4	12	9.347453
122	4	12	0.861436
123	4	16	0.101617
124	4	7	0.070231
125	4	9	0
126	4	5	0
127	4	17	0
128	4	18	0
0	5	11	0
1	5	11	-0.023968
2	5	10	-7.245293
3	5	11	-16.491226
4	5	5	-15.797248
5	5	11	-10.177781
6	5	5	-7.077348
7	5	11	-7.119601
8	5	13	-4.422575
9	5	14	-1.623201
10	5	15	-0.010208
11	5	9	-0.281688
12	5	10	5.210596
13	5	10	11.636948
14	5	5	14.493269
15	5	11	10.858447
16	5	5	4.89569
17	5	13	0.475688
18	5	9	3.012415
19	5	6	7.959239
20	5	7	10.041296
21	5	9	8.855816
22	5	10	11.86811
23	5	17	19.594507
24	5	18	25.495556
25	5	5	38.611912
26	5	5	46.5303
27	5	11	38.999359
28	5	11	27.096575
29	5	10	23.248123
30	5	5	22.966162
31	5	5	13.523495
32	5	17	2.010712
33	5	18	-0.419352
34	5	17	-3.343832
35	5	3	-8.072894
36	5	7	-11.115576
37	5	9	-11.633112
38	5	17	-8.637063
39	5	73	-4.361727
40	5	68	-2.041287
41	5	11	-2.75287
42	5	11	0.707261
43	5	11	11.148468
44	5	11	20.848406
45	5	6	25.770155
46	5	4	18.903934
47	5	17	12.932986
48	5	2	17.256222
49	5	2	23.38419
50	5	18	12.384726
51	5	11	1.153499
52	5	6	13.452305
53	5	4	35.657459
54	5	10	31.854931
55	5	5	15.877913
56	5	74	5.602731
57	5	75	4.169151
58	5	76	2.433385
59	5	77	0.397323
60	5	5	1.334169
61	5	11	4.05431
62	5	6	6.927783
63	5	12	13.358262
64	5	55	26.247833
65	5	25	35.119198
66	5	26	31.216051
67	5	22	10.643807
