x	y	texture	height
0	0	0	0
1	0	0	0
2	0	1	0
3	0	0	0
4	0	0	0
5	0	1	0
6	0	0	0
7	0	1	0
8	0	0	0
9	0	1	0
10	0	0	0
11	0	1	0
12	0	1	0
13	0	1	0
14	0	0	0
15	0	2	0
16	0	2	0
17	0	2	0
18	0	1	0
19	0	2	0
20	0	2	0
21	0	0	0
22	0	2	0
23	0	1	0
24	0	1	0
25	0	1	0
26	0	0	0
27	0	1	0
28	0	2	0
29	0	1	0
30	0	0	0
31	0	2	0
32	0	2	0
33	0	2	0
34	0	1	0
35	0	1	0
36	0	2	0
37	0	2	0
38	0	2	0
39	0	1	0
40	0	0	0
41	0	0	0
42	0	1	0
43	0	2	0
44	0	3	0
45	0	4	0
46	0	5	0
47	0	4	0
48	0	5	0
49	0	5	0
50	0	5	0
51	0	4	0
52	0	5	0
53	0	4	0
54	0	4	0
55	0	4	0
56	0	4	0
57	0	5	0
58	0	6	0
59	0	7	0
60	0	4	0
61	0	5	0
62	0	8	0
63	0	9	0
64	0	10	0
65	0	10	0
66	0	10	0
67	0	10	0
68	0	11	0
69	0	12	0
70	0	13	0
71	0	14	0
72	0	15	0
73	0	16	0
74	0	17	0
75	0	18	0
76	0	4	0
77	0	5	0
78	0	5	0
79	0	19	0
80	0	14	0
81	0	20	0
82	0	21	0
83	0	14	0
84	0	14	0
85	0	14	0
86	0	22	0
87	0	23	0
88	0	14	0
89	0	20	0
90	0	1	0
91	0	1	0
92	0	2	0
93	0	1	0
94	0	1	0
95	0	2	0
96	0	2	0
97	0	0	0
98	0	1	0
99	0	1	0
100	0	2	0
101	0	0	0
102	0	2	0
103	0	0	0
104	0	2	0
105	0	1	0
106	0	0	0
107	0	2	0
108	0	1	0
109	0	0	0
110	0	2	0
111	0	0	0
112	0	2	0
113	0	2	0
114	0	24	0
115	0	25	0
116	0	26	0
117	0	16	0
118	0	16	0
119	0	16	0
120	0	16	0
121	0	16	0
122	0	16	0
123	0	16	0
124	0	16	0
125	0	16	0
126	0	16	0
127	0	27	0
128	0	2	0
0	1	1	0
1	1	2	0
2	1	1	0
3	1	2	0
4	1	1	0
5	1	0	0
6	1	24	0
7	1	28	0
8	1	2	0
9	1	1	0
10	1	0	0
11	1	0	0
12	1	1	0
13	1	2	0
14	1	0	0
15	1	1	0
16	1	0	0
17	1	1	-0.382051
18	1	0	-1.239893
19	1	0	-2.697855
20	1	0	-3.90037
21	1	0	-5.380238
22	1	0	-6.592604
23	1	1	-8.702962
24	1	0	-11.094682
25	1	2	-12.928927
26	1	0	-13.774743
27	1	2	-13.647985
28	1	1	-12.868206
29	1	0	-12.483746
30	1	1	-11.335864
31	1	2	-8.983338
32	1	0	-6.342009
33	1	2	-6.168537
34	1	1	-7.519975
35	1	1	-7.206077
36	1	2	-5.149096
37	1	0	-1.790012
38	1	0	0
39	1	2	0
40	1	1	0
41	1	2	0
42	1	2	0
43	1	29	0
44	1	30	0
45	1	7	0
46	1	4	0
47	1	4	0
48	1	5	0
49	1	4	0
50	1	6	0
51	1	7	0
52	1	5	0
53	1	4	-0.761207
54	1	5	-3.488446
55	1	5	-0.272118
56	1	4	8.892784
57	1	31	20.734358
58	1	32	30.278894
59	1	5	33.88092
60	1	4	36.097164
61	1	8	41.997875
62	1	9	51.565762
63	1	10	55.459965
64	1	10	101.717323
65	1	10	95.766373
66	1	10	92.350418
67	1	10	96.622986
68	1	11	101.633804
69	1	33	94.203362
70	1	0	28.783337
71	1	21	22.903013
72	1	15	18.47925
73	1	34	14.269384
74	1	35	9.339126
75	1	5	0.51411
76	1	4	0
77	1	4	0
78	1	31	0
79	1	36	0
80	1	2	0
81	1	2	0
82	1	1	0
83	1	1	0
84	1	0	0
