x	y	texture	height
0	0	0	0
1	0	1	0
2	0	2	0
3	0	3	0
4	0	1	0
5	0	3	0
6	0	0	0
7	0	2	0
8	0	0	0
9	0	3	0
10	0	1	0
11	0	2	0
12	0	2	0
13	0	1	0
14	0	1	0
15	0	0	0
16	0	1	0
17	0	2	0
18	0	1	0
19	0	0	0
20	0	1	0
21	0	1	0
22	0	1	0
23	0	0	0
24	0	2	0
25	0	2	0
26	0	0	0
27	0	2	0
28	0	0	0
29	0	1	0
30	0	0	0
31	0	3	0
32	0	3	0
33	0	3	0
34	0	3	0
35	0	1	0
36	0	0	0
37	0	1	0
38	0	3	0
39	0	1	0
40	0	1	0
41	0	0	0
42	0	3	0
43	0	0	0
44	0	3	0
45	0	0	0
46	0	1	0
47	0	3	0
48	0	3	0
49	0	2	0
50	0	1	0
51	0	0	0
52	0	2	0
53	0	1	0
54	0	4	0
55	0	3	0
56	0	3	0
57	0	2	0
58	0	2	0
59	0	0	0
60	0	0	0
61	0	1	0
62	0	2	0
63	0	1	0
64	0	1	0
65	0	3	0
66	0	2	0
67	0	0	0
68	0	2	0
69	0	2	0
70	0	5	0
71	0	0	0
72	0	3	0
73	0	2	0
74	0	1	0
75	0	2	0
76	0	1	0
77	0	2	0
78	0	0	0
79	0	2	0
80	0	3	0
81	0	2	0
82	0	1	0
83	0	1	0
84	0	3	0
85	0	3	0
86	0	1	0
87	0	0	0
88	0	1	0
89	0	3	0
90	0	1	0
91	0	1	0
92	0	2	0
93	0	3	0
94	0	3	0
95	0	3	0
96	0	2	0
97	0	0	0
98	0	1	0
99	0	2	0
100	0	0	0
101	0	3	0
102	0	1	0
103	0	2	0
104	0	2	0
105	0	0	0
106	0	3	0
107	0	3	0
108	0	6	0
109	0	7	0
110	0	7	0
111	0	7	0
112	0	7	0
113	0	7	0
114	0	7	0
115	0	7	0
116	0	7	0
117	0	7	0
118	0	7	0
119	0	7	0
120	0	7	0
121	0	7	0
122	0	7	0
123	0	7	0
124	0	8	0
125	0	2	0
126	0	1	0
127	0	2	0
128	0	2	0
0	1	2	0
1	1	2	8
2	1	6	8
3	1	7	8
4	1	7	8
5	1	7	8
6	1	7	8
7	1	7	8
8	1	7	8
9	1	7	8
10	1	7	8
11	1	7	8
12	1	7	8
13	1	7	8
14	1	7	8
15	1	7	8
16	1	7	8
17	1	7	8
18	1	8	8
19	1	0	8
20	1	3	8
21	1	1	8
22	1	1	8
23	1	1	8
24	1	0	8
25	1	3	8
26	1	0	8
27	1	1	8
28	1	3	8
29	1	2	8
30	1	0	8
31	1	1	8
32	1	3	8
33	1	3	8
34	1	3	8
35	1	3	8
36	1	0	8
37	1	0	8
38	1	3	8
39	1	0	8
40	1	3	8
41	1	3	8
42	1	1	8
43	1	2	8
44	1	3	8
45	1	2	8
46	1	2	8
47	1	2	8
48	1	1	8
49	1	0	8
50	1	0	8
51	1	0	8
52	1	3	8
53	1	4	8
54	1	9	8
55	1	9	8
56	1	10	8
57	1	9	8
58	1	10	8
59	1	9	8
60	1	10	8
61	1	9	8
62	1	9	8
63	1	9	8
64	1	10	8
65	1	10	8
66	1	9	8
67	1	9	8
68	1	10	8
69	1	11	8
70	1	2	8
71	1	2	8
72	1	0	8
73	1	3	8
74	1	2	8
75	1	1	8
76	1	1	8
77	1	3	8
78	1	2	8
79	1	2	8
80	1	3	8
81	1	2	8
82	1	2	8
83	1	2	8
84	1	3	8
85	1	0	8
86	1	2	8
87	1	0	8
88	1	3	8
89	1	1	8
90	1	3	8
91	1	1	8
92	1	1	8
93	1	0	8
94	1	2	8
95	1	2	8
96	1	0	8
97	1	6	8
98	1	7	8
99	1	8	8
100	1	2	8
101	1	2	8
102	1	2	8
103	1	0	8
104	1	0	8
105	1	3	8
106	1	3	8
107	1	4	8
108	1	9	8
109	1	10	8
110	1	10	8
111	1	9	8
112	1	9	8
113	1	9	8
114	1	9	8
115	1	10	8
116	1	9	8
117	1	10	8
118	1	9	8
119	1	9	8
120	1	10	8
121	1	9	8
122	1	9	8
123	1	5	8
124	1	0	8
125	1	1	8
126	1	3	8
127	1	3	8
128	1	1	0
0	2	2	0
1	2	4	8
2	2	10	8
3	2	9	8
4	2	9	8
5	2	9	8
6	2	9	8
7	2	9	8
8	2	9	8
9	2	9	8
10	2	10	8
11	2	9	8
12	2	10	8
13	2	9	8
14	2	9	8
15	2	10	8
16	2	9	8
17	2	12	8
18	2	13	8
19	2	13	8
20	2	13	8
21	2	13	8
22	2	13	8
23	2	13	8
24	2	14	8
25	2	8	8
26	2	0	8
27	2	6	8
28	2	7	8
29	2	7	8
30	2	7	8
31	2	8	8
32	2	6	8
33	2	7	8
34	2	7	8
35	2	7	8
36	2	8	8
37	2	6	8
38	2	7	8
39	2	7	8
40	2	7	8
41	2	8	8
42	2	6	8
43	2	7	8
44	2	7	8
45	2	7	8
46	2	8	8
47	2	6	8
48	2	7	8
49	2	7	8
50	2	7	8
51	2	8	8
52	2	4	8
53	2	9	8
54	2	15	8
55	2	16	8
56	2	16	304
57	2	17	304
58	2	17	304
59	2	17	304
60	2	17	304
61	2	17	304
62	2	17	304
63	2	17	304
64	2	16	304
65	2	16	304
66	2	15	304
67	2	9	304
68	2	18	304
69	2	13	304
70	2	13	8
71	2	13	8
72	2	13	8
73	2	13	8
74	2	13	8
75	2	14	8
76	2	7	8
77	2	7	8
78	2	7	8
79	2	7	8
80	2	8	8
81	2	6	8
82	2	7	8
83	2	7	8
84	2	7	8
85	2	8	8
86	2	6	8
87	2	7	8
88	2	7	8
89	2	7	8
90	2	8	8
91	2	6	8
92	2	7	8
93	2	7	8
94	2	7	8
95	2	8	8
96	2	4	8
97	2	19	8
98	2	20	8
99	2	7	8
100	2	8	8
101	2	6	8
102	2	7	8
103	2	7	8
104	2	7	8
105	2	8	8
106	2	4	8
107	2	10	8
108	2	15	8
109	2	17	8
110	2	17	304
111	2	17	304
112	2	17	304
113	2	17	304
114	2	17	304
115	2	17	304
116	2	17	304
117	2	17	304
118	2	17	304
119	2	17	304
120	2	15	304
121	2	9	304
122	2	5	304
123	2	0	304
124	2	0	8
125	2	0	8
126	2	0	8
127	2	0	8
128	2	0	0
0	3	4	0
1	3	9	8
2	3	17	8
3	3	17	8
4	3	17	8
5	3	17	304
6	3	17	304
7	3	17	304
8	3	17	304
9	3	17	304
10	3	17	304
11	3	17	304
12	3	17	304
13	3	17	304
14	3	17	304
15	3	10	304
16	3	21	304
17	3	22	304
18	3	22	304
19	3	22	8
20	3	22	8
21	3	22	38.383999
22	3	22	69.05603
23	3	22	102.631973
24	3	20	137.59993
25	3	7	168.115768
26	3	23	202.664078
27	3	9	202.664078
28	3	10	8
29	3	10	8
30	3	20	8
31	3	23	8
32	3	10	8
33	3	10	8
34	3	10	8
35	3	20	8
36	3	23	8
37	3	9	8
38	3	9	8
39	3	10	8
40	3	20	8
41	3	23	8
42	3	10	8
43	3	22	8
44	3	22	8
45	3	22	8
46	3	22	204
47	3	22	204
48	3	22	193.639969
49	3	22	165.440063
50	3	22	135.439972
51	3	22	107.167908
52	3	10	80.791931
53	3	15	54.464005
54	3	16	30.080002
55	3	16	8
56	3	24	304
57	3	24	304
58	3	25	356
59	3	25	303.959412
60	3	25	303.959412
61	3	24	303.959412
62	3	24	303.959412
63	3	16	303.959412
64	3	16	303.959412
65	3	15	303.959412
66	3	26	303.959412
67	3	27	356
68	3	28	304
69	3	22	304
70	3	22	8
71	3	22	8
72	3	22	40.735992
73	3	22	72.559975
74	3	29	102.72789
75	3	19	135.103897
76	3	9	166.327927
77	3	10	166.327927
78	3	10	8
79	3	20	8
80	3	23	8
81	3	9	8
82	3	10	8
83	3	10	8
84	3	20	8
85	3	23	8
86	3	9	8
87	3	10	8
88	3	10	8
89	3	20	8
90	3	23	8
91	3	10	8
92	3	10	8
93	3	10	8
94	3	30	8
95	3	31	8
96	3	32	8
97	3	21	8
98	3	22	8
99	3	22	8
100	3	22	204
101	3	22	204
102	3	22	178.184128
103	3	22	151.999939
104	3	22	125.744011
105	3	22	102.967995
106	3	9	80.744003
107	3	15	51.128002
108	3	16	24.871996
109	3	16	8
110	3	25	304
111	3	25	304
112	3	24	304
113	3	25	304
114	3	25	304
115	3	24	304
116	3	24	304
117	3	16	304
118	3	16	304
119	3	15	304
120	3	10	304
121	3	5	304
122	3	1	304
123	3	2	304
124	3	0	8
125	3	1	8
126	3	0	8
127	3	1	8
128	3	4	0
0	4	9	0
1	4	15	8
2	4	16	8
3	4	16	8
4	4	25	8
5	4	24	304
6	4	24	304
7	4	25	304
8	4	24	304
9	4	25	304
10	4	25	304
11	4	16	304
12	4	16	304
13	4	15	304
14	4	9	304
15	4	9	304
16	4	10	304
17	4	9	304
18	4	10	304
19	4	10	8
20	4	10	8
21	4	9	38.383999
22	4	10	69.05603
23	4	9	102.631973
24	4	9	137.59993
25	4	10	168.115768
26	4	9	202.664078
27	4	16	202.664078
28	4	10	8
29	4	10	8
30	4	9	8
31	4	9	264
32	4	16	264
33	4	9	8
34	4	9	8
35	4	9	8
36	4	10	264
37	4	16	264
38	4	9	8
39	4	10	8
40	4	10	8
41	4	9	264
42	4	22	264
43	4	10	8
44	4	9	8
45	4	9	8
46	4	10	204
47	4	16	204
48	4	10	193.639969
49	4	9	165.440063
50	4	10	135.439972
51	4	10	107.167908
52	4	15	80.791931
53	4	24	54.464005
54	4	33	30.080002
55	4	33	8
56	4	33	304
57	4	33	304
58	4	33	264
59	4	33	264
60	4	33	264
61	4	33	264
62	4	33	264
63	4	24	264
64	4	15	264
65	4	34	264
66	4	35	264
67	4	36	264
68	4	9	304
69	4	9	304
70	4	9	8
71	4	10	8
72	4	9	40.735992
73	4	37	72.559975
74	4	10	102.72789
75	4	35	135.103897
76	4	16	166.327927
77	4	9	166.327927
78	4	9	8
79	4	10	8
80	4	10	264
81	4	16	264
82	4	9	8
83	4	9	8
84	4	10	8
85	4	9	264
86	4	16	264
87	4	9	8
88	4	9	8
89	4	10	8
90	4	9	264
91	4	16	264
92	4	9	8
93	4	10	8
94	4	10	8
95	4	10	264
96	4	38	264
97	4	9	8
98	4	9	8
99	4	9	8
100	4	9	204
101	4	16	204
102	4	9	178.184128
103	4	9	151.999939
104	4	10	125.744011
105	4	10	102.967995
106	4	15	80.744003
107	4	16	51.128002
108	4	16	24.871996
109	4	33	8
110	4	33	304
111	4	33	304
112	4	33	356
113	4	33	264
114	4	33	264
115	4	33	264
116	4	16	264
117	4	16	264
118	4	15	264
119	4	9	264
120	4	5	264
121	4	1	356
122	4	0	304
123	4	2	304
124	4	2	8
125	4	2	8
126	4	0	8
127	4	4	8
128	4	10	0
0	5	15	0
1	5	16	8
2	5	16	8
3	5	33	8
4	5	33	8
5	5	33	304
6	5	33	304
7	5	33	356
8	5	33	264
9	5	33	264
10	5	16	264
11	5	16	264
12	5	15	264
13	5	10	264
14	5	39	264
15	5	39	264
16	5	40	356
17	5	41	304
18	5	41	304
19	5	42	284
20	5	39	284
21	5	43	264
22	5	43	264
23	5	43	284
24	5	39	284
25	5	43	284
26	5	43	202.664078
27	5	39	202.664078
28	5	39	284
29	5	43	284
30	5	43	284
31	5	39	264
32	5	43	264
33	5	43	284
34	5	39	284
35	5	39	284
36	5	39	264
37	5	43	264
38	5	43	284
39	5	43	284
40	5	39	284
41	5	39	264
42	5	39	264
43	5	43	284
44	5	43	284
45	5	43	284
46	5	39	204
47	5	43	204
48	5	43	284
49	5	43	284
50	5	43	284
51	5	15	264
52	5	24	264
53	5	33	284
54	5	33	284
55	5	33	284
56	5	33	304
57	5	33	304
58	5	33	264
59	5	33	264
60	5	33	264
61	5	33	264
62	5	24	264
63	5	15	264
64	5	44	264
65	5	45	264
66	5	46	264
67	5	41	264
68	5	42	304
69	5	39	304
70	5	39	284
71	5	39	284
72	5	43	264
73	5	43	264
74	5	39	284
75	5	43	284
76	5	39	204
77	5	39	204
78	5	39	284
79	5	39	284
80	5	43	264
81	5	39	264
82	5	39	284
83	5	39	284
84	5	39	284
85	5	43	264
86	5	39	264
87	5	43	284
88	5	43	284
89	5	43	284
90	5	39	264
91	5	43	264
92	5	47	284
93	5	48	284
94	5	49	284
95	5	39	264
96	5	39	264
97	5	43	284
98	5	39	284
99	5	43	284
100	5	39	204
101	5	43	204
102	5	43	284
103	5	43	284
104	5	10	284
105	5	15	264
106	5	24	264
107	5	33	284
108	5	33	284
109	5	33	284
110	5	33	304
111	5	33	304
112	5	33	264
113	5	33	264
114	5	33	264
115	5	33	264
116	5	25	264
117	5	15	264
118	5	10	264
119	5	5	264
120	5	1	264
121	5	1	264
122	5	0	304
123	5	0	304
124	5	3	8
125	5	0	8
126	5	50	8
127	5	10	8
128	5	15	0
0	6	24	0
1	6	33	8
2	6	33	8
3	6	33	8
4	6	33	8
5	6	33	304
6	6	33	304
7	6	33	264
8	6	33	264
9	6	33	264
10	6	24	264
11	6	15	264
12	6	10	264
13	6	39	264
14	6	43	264
15	6	33	264
16	6	33	264
17	6	33	304
18	6	33	304
19	6	33	204
20	6	33	204
21	6	33	204
22	6	33	204
23	6	33	204
24	6	33	204
25	6	33	204
26	6	33	204
27	6	33	204
28	6	33	204
29	6	33	204
30	6	33	204
31	6	33	204
32	6	51	204
33	6	51	204
34	6	51	204
35	6	33	204
36	6	33	204
37	6	33	204
38	6	33	204
39	6	33	204
40	6	33	204
41	6	33	204
42	6	33	204
43	6	33	204
44	6	33	204
45	6	33	204
46	6	33	204
47	6	52	204
48	6	52	204
49	6	52	204
50	6	33	204
51	6	33	204
52	6	33	204
53	6	33	204
54	6	33	224
55	6	33	244
56	6	33	264
57	6	33	264
58	6	33	264
59	6	33	264
60	6	33	264
61	6	25	264
62	6	15	264
63	6	10	264
64	6	43	264
65	6	43	264
66	6	33	264
67	6	33	264
68	6	33	304
69	6	33	304
70	6	33	195.279984
71	6	33	197.689987
72	6	33	194.712158
73	6	33	204
74	6	33	204
75	6	33	204
76	6	33	204
77	6	33	204
78	6	33	204
