x	y	texture	height
0	0	0	8
1	0	1	8
2	0	2	8
3	0	3	8
4	0	1	8
5	0	3	8
6	0	0	8
7	0	2	8
8	0	0	8
9	0	3	8
10	0	1	8
11	0	2	8
12	0	2	8
13	0	1	8
14	0	1	8
15	0	0	8
16	0	1	8
17	0	2	8
18	0	1	8
19	0	0	8
20	0	1	8
21	0	1	8
22	0	1	8
23	0	0	8
24	0	2	8
25	0	2	8
26	0	0	8
27	0	2	8
28	0	0	8
29	0	1	8
30	0	0	8
31	0	3	8
32	0	3	8
33	0	3	8
34	0	3	8
35	0	1	8
36	0	0	8
37	0	1	8
38	0	3	8
39	0	1	8
40	0	1	8
41	0	0	8
42	0	3	8
43	0	0	8
44	0	3	8
45	0	0	8
46	0	1	8
47	0	3	8
48	0	3	8
49	0	2	8
50	0	1	8
51	0	0	8
52	0	2	8
53	0	1	8
54	0	4	8
55	0	3	8
56	0	3	8
57	0	2	8
58	0	2	8
59	0	0	8
60	0	0	8
61	0	1	8
62	0	2	8
63	0	1	8
64	0	1	8
65	0	3	8
66	0	2	8
67	0	0	8
68	0	2	8
69	0	2	8
70	0	5	8
71	0	0	8
72	0	3	8
73	0	2	8
74	0	1	8
75	0	2	8
76	0	1	8
77	0	2	8
78	0	0	8
79	0	2	8
80	0	3	8
81	0	2	8
82	0	1	8
83	0	1	8
84	0	3	8
85	0	3	8
86	0	1	8
87	0	0	8
88	0	1	8
89	0	3	8
90	0	1	8
91	0	1	8
92	0	2	8
93	0	3	8
94	0	3	8
95	0	3	8
96	0	2	8
97	0	0	8
98	0	1	8
99	0	2	8
100	0	0	8
101	0	3	8
102	0	1	8
103	0	2	8
104	0	2	8
105	0	0	8
106	0	3	8
107	0	3	8
108	0	6	8
109	0	7	8
110	0	7	8
111	0	7	8
112	0	7	8
113	0	7	8
114	0	7	8
115	0	7	8
116	0	7	8
117	0	7	8
118	0	7	8
119	0	7	8
120	0	7	8
121	0	7	8
122	0	7	8
123	0	7	8
124	0	8	8
125	0	2	8
126	0	1	8
127	0	2	8
128	0	2	8
0	1	2	8
1	1	2	8
2	1	6	8
3	1	7	8
4	1	7	8
5	1	7	8
6	1	7	8
7	1	7	8
8	1	7	8
9	1	7	8
10	1	7	8
11	1	7	8
12	1	7	8
13	1	7	8
14	1	7	8
15	1	7	8
16	1	7	8
17	1	7	8
18	1	8	8
19	1	0	8
20	1	3	8
21	1	1	8
22	1	1	8
23	1	1	8
24	1	0	8
25	1	3	8
26	1	3	8
27	1	3	8
28	1	0	8
29	1	2	8
30	1	0	8
31	1	1	8
32	1	3	8
33	1	3	8
34	1	3	8
35	1	3	8
36	1	0	8
37	1	0	8
38	1	3	8
39	1	0	8
40	1	3	8
41	1	3	8
42	1	1	8
43	1	2	8
44	1	3	8
45	1	2	8
46	1	2	8
47	1	2	8
48	1	1	8
49	1	0	8
50	1	0	8
51	1	0	8
52	1	3	8
53	1	4	8
54	1	9	8
55	1	9	8
56	1	10	8
57	1	9	8
58	1	10	8
59	1	9	8
60	1	10	8
61	1	9	8
62	1	9	8
63	1	9	8
64	1	10	8
65	1	10	8
66	1	9	8
67	1	9	8
68	1	10	8
69	1	11	8
70	1	2	8
71	1	2	8
72	1	0	8
73	1	3	8
74	1	2	8
75	1	1	8
76	1	1	8
77	1	3	8
78	1	2	8
79	1	2	8
80	1	3	8
81	1	2	8
82	1	2	8
83	1	2	8
84	1	3	8
85	1	0	8
86	1	2	8
87	1	0	8
88	1	3	8
89	1	1	8
90	1	3	8
91	1	1	8
92	1	1	8
93	1	0	8
94	1	2	8
95	1	2	8
96	1	0	8
97	1	1	8
98	1	1	8
99	1	2	8
100	1	2	8
101	1	2	8
102	1	2	8
103	1	0	8
104	1	0	8
105	1	3	8
106	1	3	8
107	1	4	8
108	1	9	8
109	1	10	8
110	1	10	8
111	1	9	8
112	1	9	8
113	1	9	8
114	1	9	8
115	1	10	8
116	1	9	8
117	1	10	8
118	1	9	8
119	1	9	8
120	1	10	8
121	1	9	8
122	1	9	8
123	1	5	8
124	1	0	8
125	1	1	8
126	1	3	8
127	1	3	8
128	1	1	8
0	2	2	8
1	2	4	8
2	2	10	8
3	2	9	8
4	2	9	8
5	2	9	8
6	2	9	8
7	2	9	8
8	2	9	8
9	2	9	8
10	2	10	8
11	2	9	8
12	2	10	8
13	2	9	8
14	2	9	8
15	2	10	8
16	2	9	8
17	2	12	8
18	2	7	8
19	2	7	8
20	2	7	8
21	2	8	8
22	2	6	8
23	2	7	8
24	2	7	8
25	2	7	8
26	2	8	8
27	2	6	8
28	2	7	8
29	2	7	8
