x	y	texture	height
0	0	0	0
1	0	0	0
2	0	1	0
3	0	1	0
4	0	0	0
5	0	2	0
6	0	0	0
7	0	0	0
8	0	1	0
9	0	1	0
10	0	1	0
11	0	0	0
12	0	0	0
13	0	1	0
14	0	2	0
15	0	2	0
16	0	2	0
17	0	2	0
18	0	3	0
19	0	4	0
20	0	5	0
21	0	6	0
22	0	6	0
23	0	7	0
24	0	5	0
25	0	7	0
26	0	6	0
27	0	6	0
28	0	8	0
29	0	9	0
30	0	10	0
31	0	11	0
32	0	12	0
33	0	13	0
34	0	14	0
35	0	11	0
36	0	15	0
37	0	12	0
38	0	16	0
39	0	15	0
40	0	12	0
41	0	15	0
42	0	11	0
43	0	11	0
44	0	11	0
45	0	12	0
46	0	12	0
47	0	11	0
48	0	12	0
49	0	11	0
50	0	12	0
51	0	12	0
52	0	11	0
53	0	11	0
54	0	16	0
55	0	11	0
56	0	16	0
57	0	16	0
58	0	15	0
59	0	12	0
60	0	12	0
61	0	11	0
62	0	12	0
63	0	16	0
64	0	11	0
65	0	11	0
66	0	11	0
67	0	12	0
68	0	15	0
69	0	15	0
70	0	12	0
71	0	16	0
72	0	12	0
73	0	11	0
74	0	12	0
75	0	11	0
76	0	16	0
77	0	15	0
78	0	12	0
79	0	11	0
80	0	11	0
81	0	11	0
82	0	11	0
83	0	11	0
84	0	12	0
85	0	11	0
86	0	16	0
87	0	11	0
88	0	11	0
89	0	16	0
90	0	11	0
91	0	11	0
92	0	16	0
93	0	11	0
94	0	15	0
95	0	15	0
96	0	16	0
97	0	15	0
98	0	15	0
99	0	16	0
100	0	15	0
101	0	12	0
102	0	11	0
103	0	16	0
104	0	15	0
105	0	15	0
106	0	16	0
107	0	11	0
108	0	11	0
109	0	12	0
110	0	16	0
111	0	15	0
112	0	15	0
113	0	12	0
114	0	16	0
115	0	11	0
116	0	15	0
117	0	15	0
118	0	17	0
119	0	18	0
120	0	19	0
121	0	20	0
122	0	15	0
123	0	11	0
124	0	15	0
125	0	15	0
126	0	11	0
127	0	15	0
128	0	1	0
0	1	21	0
1	1	22	0.467477
2	1	23	2.995286
3	1	1	9.721941
4	1	2	11.294893
5	1	2	8.692386
6	1	1	9.630329
7	1	1	14.941312
8	1	2	7.009604
9	1	2	11.062107
10	1	2	14.110753
11	1	2	20.41868
12	1	0	23.74515
13	1	2	18.425461
14	1	1	10.12902
15	1	24	7.22113
16	1	25	6.889301
17	1	26	5.459354
18	1	5	5.207709
19	1	27	8.156963
20	1	6	8.608185
21	1	5	15.288053
22	1	27	18.920851
23	1	7	21.007206
24	1	7	28.346855
25	1	27	34.51387
26	1	27	38.567421
27	1	7	37.410145
28	1	5	40.325165
29	1	28	29.899637
30	1	16	19.481903
31	1	16	10.620327
32	1	12	8.246291
33	1	11	6.813154
34	1	12	14.326489
35	1	16	24.512091
36	1	12	26.641771
37	1	15	18.325163
38	1	16	20.624432
39	1	12	13.440742
40	1	15	18.385292
41	1	16	13.548337
42	1	15	20.607483
43	1	29	22.724108
44	1	30	12.544313
45	1	31	5.028352
46	1	11	0.537259
47	1	16	0
48	1	11	-0.000982
49	1	11	-0.4775
50	1	15	-1.322985
51	1	11	-2.179037
52	1	11	-3.182399
53	1	15	-3.986755
54	1	16	-4.36318
55	1	15	-4.255945
56	1	15	-3.792727
57	1	15	-2.943355
58	1	15	-1.859562
59	1	16	-0.69424
60	1	16	0
61	1	11	0
62	1	12	0
63	1	15	-0.155842
64	1	16	0
65	1	16	-0.084848
66	1	29	-3.489018
67	1	30	-5.370731
68	1	31	-3.568653
69	1	11	1.502303
70	1	16	12.694444
71	1	16	16.315571
72	1	11	15.686728
73	1	16	12.982333
74	1	11	22.665968
75	1	17	18.297873
76	1	32	19.2486
