x	y	texture	height
0	0	0	0
1	0	1	0
2	0	2	0
3	0	2	0
4	0	3	0
5	0	3	0
6	0	3	0
7	0	4	0
8	0	3	0
9	0	2	0
10	0	1	0
11	0	3	0
12	0	4	0
13	0	1	0
14	0	2	0
15	0	4	0
16	0	4	0
17	0	2	0
18	0	2	0
19	0	1	0
20	0	1	0
21	0	1	0
22	0	3	0
23	0	2	0
24	0	3	0
25	0	2	0
26	0	3	0
27	0	1	0
28	0	1	0
29	0	2	0
30	0	2	0
31	0	1	0
32	0	3	0
33	0	4	0
34	0	3	0
35	0	1	0
36	0	1	0
37	0	2	0
38	0	1	0
39	0	1	0
40	0	5	0
41	0	6	0
42	0	3	0
43	0	3	0
44	0	2	0
45	0	5	0
46	0	7	0
47	0	7	0
48	0	8	0
49	0	9	0
50	0	10	0
51	0	11	0
52	0	12	0
53	0	13	0
54	0	13	0
55	0	13	0
56	0	14	0
57	0	15	0
58	0	16	0
59	0	16	0
60	0	15	0
61	0	15	0
62	0	10	0
63	0	15	0
64	0	15	0
65	0	16	0
66	0	15	0
67	0	16	0
68	0	15	0
69	0	16	0
70	0	10	0
71	0	16	0
72	0	16	0
73	0	15	0
74	0	15	0
75	0	15	0
76	0	16	0
77	0	15	0
78	0	10	0
79	0	10	0
80	0	15	0
81	0	15	0
82	0	16	0
83	0	16	0
84	0	15	0
85	0	15	0
86	0	16	0
87	0	15	0
88	0	16	0
89	0	10	0
90	0	17	0
91	0	18	0
92	0	2	0
93	0	2	0
94	0	2	0
95	0	2	0
96	0	4	0
97	0	2	0
98	0	4	0
99	0	1	0
100	0	2	0
101	0	19	0
102	0	20	0
103	0	21	0
104	0	1	0
105	0	3	0
106	0	2	0
107	0	3	0
108	0	3	0
109	0	4	0
110	0	4	0
111	0	2	0
112	0	1	0
113	0	2	0
114	0	2	0
115	0	4	0
116	0	4	0
117	0	1	0
118	0	4	0
119	0	3	0
120	0	4	0
121	0	3	0
122	0	3	0
123	0	1	0
124	0	4	0
125	0	3	0
126	0	1	0
127	0	3	0
128	0	2	0
0	1	3	0
1	1	1	1.611096
2	1	1	2.713733
3	1	1	4.786603
4	1	3	6.700154
5	1	1	9.191335
6	1	2	13.174401
7	1	3	18.03038
8	1	2	24.660284
9	1	4	32.158382
10	1	4	39.983723
11	1	4	45.774025
12	1	2	47.43515
13	1	4	45.158173
14	1	3	39.933826
15	1	2	32.520641
16	1	3	23.46825
17	1	4	14.888162
18	1	4	7.906075
19	1	4	3.209785
20	1	4	1.550999
21	1	4	1.457004
22	1	2	1.597184
23	1	3	1.42117
24	1	4	1.185012
25	1	3	1.301478
26	1	1	1.743109
27	1	4	2.794005
28	1	1	3.767758
29	1	3	4.821003
30	1	2	6.32001
31	1	1	7.414126
32	1	2	8.612898
33	1	22	9.1465
34	1	23	9.330562
35	1	4	8.931339
36	1	4	8.183079
37	1	1	9.629216
38	1	24	10.49507
39	1	25	11.191957
40	1	6	13.026566
41	1	4	14.036961
42	1	24	15.60783
43	1	26	17.759356
44	1	25	20.618511
45	1	8	24.929821
46	1	27	29.150454
47	1	12	33.625233
48	1	14	39.549046
49	1	16	45.783829
50	1	28	53.093422
51	1	14	60.556198
52	1	15	67.925415
53	1	16	75.592987
54	1	10	83.454018
55	1	16	89.081375
56	1	10	91.395782
57	1	10	89.778999
58	1	10	84.155586
59	1	16	76.749474
60	1	16	68.791008
61	1	10	63.444195
62	1	16	63.057175
63	1	16	68.345917
64	1	16	65.839615
65	1	10	53.933598
66	1	16	43.675968
67	1	10	50.062069
68	1	16	66.374649
69	1	16	75.530586
70	1	15	74.131828
71	1	10	71.317711
72	1	16	68.62516
73	1	16	62.431759
74	1	10	54.455696
75	1	10	45.986523
76	1	10	34.802811
77	1	15	22.727951
78	1	10	13.159098
79	1	15	5.539551
80	1	15	3.121998
81	1	16	2.868881
82	1	29	2.291889
83	1	30	1.582357
84	1	30	2.083817
85	1	30	3.499351
86	1	30	4.730016
87	1	30	5.870995
88	1	31	7.47307
89	1	32	8.630173
90	1	2	9.320272
91	1	1	9.529703
92	1	2	9.254493
93	1	1	8.500741
94	1	1	7.283953
95	1	4	5.627502
96	1	3	3.993343
97	1	3	2.646198
98	1	3	1.126518
99	1	4	0
100	1	3	0
101	1	2	0
102	1	1	0
103	1	3	0
104	1	1	0
105	1	2	0
106	1	3	0
107	1	4	0.00366
108	1	3	0
109	1	4	0
110	1	22	0.262057
111	1	33	0.618629
112	1	33	0.761058
113	1	33	0.687017
114	1	33	0.39772
115	1	33	0
116	1	33	0
117	1	33	0
118	1	33	0
119	1	33	0
120	1	33	0
121	1	33	0
122	1	23	0
123	1	4	0
124	1	2	0
125	1	4	0
126	1	3	0
127	1	1	0
128	1	4	0
0	2	2	0
1	2	2	2.888817
2	2	3	5.242227
3	2	2	7.579319
4	2	4	11.8854
5	2	2	18.323889
6	2	24	26.522511
7	2	26	37.555325
8	2	26	50.240227
9	2	26	63.878922
10	2	26	74.678436
11	2	26	81.155037
12	2	26	83.042747
13	2	34	80.239532
14	2	2	72.830017
15	2	4	62.013756
16	2	2	50.008888
17	2	3	36.832508
18	2	3	25.160311
19	2	4	15.519982
20	2	4	8.895207
21	2	2	6.531276
22	2	2	6.370404
23	2	3	7.719373
24	2	4	8.78244
25	2	4	12.470212
26	2	2	15.837688
27	2	1	16.826578
28	2	4	17.815344
29	2	1	17.644093
30	2	2	17.334244
31	2	22	17.820431
32	2	35	18.644154
33	2	32	20.257654
34	2	4	21.131577
35	2	22	21.560461
36	2	33	21.898535
37	2	36	21.45048
38	2	37	21.58116
39	2	38	24.377991
40	2	39	27.312868
41	2	40	30.292171
42	2	41	32.315292
43	2	41	34.998737
44	2	42	37.796291
45	2	13	40.587753
46	2	14	44.146896
47	2	17	50.67532
48	2	43	59.817368
49	2	43	68.996132
50	2	43	76.938927
51	2	44	84.993858
52	2	16	94.518547
53	2	15	105.95842
54	2	16	116.212379
55	2	15	123.290085
56	2	15	126.077553
57	2	10	124.444168
58	2	10	119.678574
59	2	10	115.796066
60	2	16	105.642258
61	2	10	95.142723
62	2	15	94.481712
63	2	15	99.205666
64	2	10	97.835892
65	2	10	86.774849
66	2	10	78.918182
67	2	10	82.509315
68	2	10	102.177071
69	2	15	115.710625
70	2	10	111.211876
71	2	15	102.515892
72	2	15	100.175041
73	2	15	97.746239
74	2	10	99.328537
75	2	16	96.423004
76	2	10	77.668228
77	2	10	49.049458
78	2	10	34.33313
79	2	15	22.360641
80	2	17	15.254044
81	2	45	12.66533
82	2	7	13.509919
83	2	8	14.048748
84	2	7	12.892732
85	2	8	10.538853
86	2	27	9.262836
87	2	46	11.390346
88	2	47	13.125458
89	2	34	14.382652
90	2	3	15.133832
91	2	22	15.575775
92	2	33	15.308415
93	2	33	14.306736
94	2	33	12.915701
95	2	33	11.122122
96	2	33	8.893993
97	2	33	6.271296
98	2	33	3.530464
99	2	33	1.75236
100	2	33	0
101	2	33	0
102	2	33	0.200945
103	2	33	1.44238
104	2	33	0.492685
105	2	33	0
106	2	33	2.242461
107	2	33	5.501482
108	2	33	5.841078
109	2	35	3.486954
110	2	15	3.139004
111	2	10	3.523688
112	2	16	3.677507
113	2	16	3.597534
114	2	10	3.285296
115	2	15	2.746633
116	2	15	1.991171
117	2	15	1.031517
118	2	10	0
119	2	16	0
120	2	16	0
121	2	48	0
122	2	33	0
123	2	33	0
124	2	23	0
125	2	2	0
126	2	2	0
127	2	3	0
128	2	4	0
0	3	4	0
1	3	4	4.994192
2	3	3	7.80478
3	3	3	12.817198
4	3	1	20.794699
5	3	5	31.051147
6	3	8	45.141426
7	3	8	61.80423
8	3	27	80.342773
9	3	7	96.708328
10	3	7	108.810432
11	3	49	116.133842
12	3	6	118.314445
13	3	1	115.201378
14	3	2	107.21682
15	3	4	95.124619
16	3	3	79.586166
17	3	2	63.644291
18	3	3	47.46011
19	3	22	33.781872
20	3	33	22.855841
21	3	33	16.073975
22	3	33	17.186745
23	3	33	25.391172
24	3	33	34.264862
25	3	33	40.316372
26	3	33	43.68581
27	3	23	45.290211
28	3	3	44.953529
29	3	2	43.610508
30	3	50	41.542171
31	3	43	38.957626
32	3	18	36.821342
33	3	2	35.539883
34	3	51	35.628803
35	3	10	37.437923
36	3	17	38.117512
37	3	52	39.658794
38	3	41	43.995369
39	3	53	47.414333
40	3	32	47.233391
41	3	2	48.060429
42	3	4	50.984802
43	3	51	53.927738
44	3	16	56.473305
45	3	16	60.288589
46	3	32	64.720245
47	3	4	73.438011
48	3	2	82.987091
49	3	3	93.434433
50	3	51	103.994003
51	3	10	114.250481
52	3	16	127.061531
53	3	10	140.263794
54	3	15	150.61055
55	3	15	157.279694
56	3	15	159.651749
57	3	16	158.33844
58	3	16	160.429153
59	3	15	162.138107
60	3	10	155.303009
61	3	10	140.627014
62	3	17	132.379471
63	3	43	134.621094
64	3	44	136.255661
65	3	15	131.595535
66	3	16	123.819595
67	3	16	122.332703
68	3	10	131.893555
69	3	15	144.404099
70	3	10	143.625443
71	3	10	143.810501
72	3	16	144.57135
73	3	16	145.167099
74	3	15	164.290543
75	3	15	173.94014
76	3	15	141.380508
77	3	10	93.470947
78	3	16	63.236485
79	3	48	49.408089
80	3	36	39.124565
81	3	13	36.489338
82	3	13	35.215828
83	3	13	34.375828
84	3	13	33.307758
85	3	13	33.947041
86	3	13	32.915665
87	3	13	26.103758
88	3	54	20.54912
89	3	33	22.489611
90	3	35	23.804777
91	3	15	24.320118
92	3	10	24.024063
93	3	15	22.926666
94	3	16	21.057978
95	3	15	18.464066
96	3	10	15.201798
97	3	10	11.333641
98	3	10	8.130747
99	3	10	4.628757
100	3	16	1.938942
101	3	16	1.279099
102	3	15	7.88712
103	3	10	13.274849
104	3	16	11.550167
105	3	15	6.74922
106	3	15	9.504244
107	3	16	14.132562
108	3	10	12.427211
109	3	16	8.433986
110	3	17	6.965651
111	3	44	7.264621
112	3	16	7.474875
113	3	15	7.270279
114	3	16	6.598299
115	3	15	5.584071
116	3	15	4.767715
117	3	15	3.734514
118	3	16	2.502387
119	3	15	1.090228
120	3	15	0
121	3	10	0
122	3	15	0
123	3	32	0
124	3	4	0
125	3	4	0
126	3	1	0
127	3	22	0
128	3	33	0
0	4	33	0
1	4	33	7.033228
2	4	33	11.720825
3	4	33	20.239639
4	4	40	31.31119
5	4	41	46.768547
6	4	41	65.871155
7	4	41	87.992538
8	4	42	110.143402
9	4	13	128.448563
10	4	13	142.134811
11	4	54	150.515579
12	4	55	153.085464
13	4	26	150.044861
14	4	39	141.863632
15	4	55	128.381668
16	4	34	111.061218
17	4	22	91.63549
18	4	35	72.328308
19	4	10	55.683781
20	4	15	45.027355
21	4	10	41.454136
22	4	16	46.878922
23	4	16	57.109154
24	4	10	66.85955
25	4	16	74.028595
26	4	32	78.032516
27	4	4	79.570625
28	4	2	78.06665
29	4	22	76.315346
30	4	33	73.070717
31	4	33	68.801605
32	4	23	64.461655
33	4	50	59.238533
34	4	43	57.080029
35	4	18	57.154655
36	4	1	63.383553
37	4	2	69.54245
38	4	50	75.527878
39	4	18	76.504417
40	4	1	71.898338
41	4	2	67.475327
42	4	51	68.920044
43	4	16	72.990906
44	4	10	77.068153
45	4	48	80.641327
46	4	33	87.145981
47	4	23	96.92318
48	4	2	107.949745
49	4	50	119.589249
50	4	44	131.477386
51	4	15	145.013458
52	4	16	160.875717
53	4	10	174.683609
54	4	16	184.658783
55	4	16	190.927612
56	4	15	193.054779
57	4	15	192.39679
58	4	15	198.797043
59	4	10	206.591568
60	4	15	202.439743
61	4	32	186.293137
62	4	1	168.766937
63	4	50	167.277802
64	4	44	176.896255
65	4	16	180.211624
66	4	10	169.42804
67	4	10	153.697479
68	4	10	151.942322
69	4	15	159.228317
70	4	10	175.386642
71	4	10	194.59436
72	4	10	203.185715
73	4	15	192.475662
74	4	16	206.184464
75	4	16	217.399872
76	4	10	186.545349
77	4	15	129.984787
78	4	15	97.41127
79	4	10	86.508232
80	4	16	74.976479
81	4	10	69.730751
82	4	15	64.680641
83	4	16	61.339565
84	4	16	57.411308
85	4	10	66.090782
86	4	16	71.041252
87	4	16	58.201744
88	4	16	39.942108
89	4	15	33.758541
90	4	15	33.916321
91	4	10	34.824734
92	4	16	34.616741
93	4	10	33.304226
94	4	15	30.929415
95	4	15	27.558271
96	4	10	23.272066
97	4	15	18.912018
98	4	16	14.183402
99	4	16	9.792752
100	4	10	6.084935
101	4	16	5.84541
102	4	15	13.772584
103	4	10	24.184359
104	4	10	24.088442
105	4	16	17.445253
106	4	10	17.94095
107	4	17	19.229502
108	4	43	16.990702
109	4	56	15.172448
110	4	35	15.298612
111	4	15	14.97749
112	4	15	13.347153
113	4	16	13.377054
114	4	15	13.690936
115	4	15	11.652108
116	4	10	9.446427
117	4	15	7.461537
118	4	16	5.54307
119	4	15	3.563383
120	4	16	1.887793
121	4	15	0.069216
122	4	32	0
123	4	1	0
124	4	2	0
125	4	22	0
126	4	35	0
127	4	10	0
128	4	10	0
0	5	10	0
1	5	16	9.585174
2	5	16	17.091465
3	5	32	28.029638
4	5	4	42.984558
5	5	4	62.813129
6	5	4	86.716049
7	5	51	113.451355
8	5	10	138.042587
9	5	10	158.645493
10	5	10	174.258041
11	5	28	183.968033
12	5	13	187.303986
13	5	14	184.799225
14	5	28	175.466843
15	5	54	161.052032
16	5	57	141.628815
17	5	43	120.801735
18	5	43	101.846527
19	5	43	87.509247
20	5	43	78.10434
21	5	44	78.102737
22	5	16	83.323662
23	5	15	92.125832
24	5	10	101.300461
25	5	48	108.983322
26	5	23	114.818695
27	5	1	116.986633
28	5	51	117.289719
29	5	16	113.452141
30	5	16	107.791321
31	5	32	101.401466
32	5	1	94.14016
33	5	4	89.237137
34	5	2	88.170914
35	5	2	90.738342
36	5	4	95.52195
37	5	1	101.286827
38	5	4	104.050415
39	5	3	99.125977
40	5	22	91.308678
41	5	35	86.033432
42	5	10	86.955299
43	5	15	92.040138
44	5	16	96.912506
