x	y	texture	height
0	0	0	0
1	0	1	0
2	0	2	0
3	0	0	0
4	0	1	0
5	0	2	0
6	0	2	0
7	0	2	0
8	0	0	0
9	0	1	0
10	0	2	0
11	0	0	0
12	0	2	0
13	0	1	0
14	0	0	0
15	0	1	0
16	0	2	0
17	0	2	0
18	0	1	0
19	0	1	0
20	0	0	0
21	0	1	0
22	0	1	0
23	0	1	0
24	0	2	0
25	0	1	0
26	0	1	0
27	0	2	0
28	0	2	0
29	0	1	0
30	0	2	0
31	0	1	0
32	0	0	0
33	0	1	0
34	0	1	0
35	0	0	0
36	0	1	0
37	0	0	0
38	0	2	0
39	0	0	0
40	0	2	0
41	0	0	0
42	0	0	0
43	0	0	0
44	0	2	0
45	0	2	0
46	0	1	0
47	0	1	0
48	0	0	0
49	0	2	0
50	0	0	0
51	0	0	0
52	0	0	0
53	0	0	0
54	0	1	0
55	0	1	0
56	0	2	0
57	0	1	0
58	0	1	0
59	0	0	0
60	0	1	0
61	0	0	0
62	0	1	0
63	0	2	0
64	0	0	0
65	0	0	0
66	0	0	0
67	0	1	0
68	0	1	0
69	0	1	0
70	0	2	0
71	0	1	0
72	0	2	0
73	0	0	0
74	0	1	0
75	0	0	0
76	0	0	0
77	0	2	0
78	0	0	0
79	0	0	0
80	0	1	0
81	0	1	0
82	0	2	0
83	0	1	0
84	0	2	0
85	0	0	0
86	0	0	0
87	0	0	0
88	0	2	0
89	0	2	0
90	0	2	0
91	0	3	0
92	0	4	0
93	0	3	0
94	0	4	0
95	0	2	0
96	0	0	0
97	0	2	0
98	0	2	0
99	0	1	0
100	0	2	0
101	0	0	0
102	0	1	0
103	0	2	0
104	0	2	0
105	0	2	0
106	0	1	0
107	0	0	0
108	0	2	0
109	0	2	0
110	0	1	0
111	0	0	0
112	0	0	0
113	0	0	0
114	0	1	0
115	0	1	0
116	0	0	0
117	0	2	0
118	0	0	0
119	0	1	0
120	0	0	0
121	0	1	0
122	0	2	0
123	0	0	0
124	0	2	0
125	0	0	0
126	0	1	0
127	0	2	0
128	0	0	0
0	1	1	0
1	1	1	356
2	1	1	356
3	1	0	280
4	1	0	280
5	1	1	280
6	1	2	188
7	1	2	168
8	1	1	168
9	1	1	164
10	1	2	172
11	1	0	188
12	1	1	216
13	1	1	248
14	1	2	268
15	1	0	280
16	1	0	216
17	1	0	216
18	1	2	220
19	1	2	120
20	1	0	36
21	1	1	8
22	1	2	12
23	1	1	12
24	1	2	8
25	1	0	4
26	1	2	8
27	1	0	4
28	1	0	8
29	1	0	4
30	1	1	4
31	1	0	8
32	1	1	4
33	1	1	4
34	1	2	8
35	1	0	8
36	1	2	8
37	1	0	4
38	1	2	8
39	1	1	8
40	1	2	8
41	1	2	8
42	1	1	4
43	1	0	4
44	1	0	4
45	1	0	8
46	1	1	8
47	1	0	8
48	1	1	8
49	1	0	8
50	1	1	20
51	1	0	24
52	1	1	32
53	1	1	64
54	1	0	72
55	1	0	36
56	1	2	24
57	1	0	36
58	1	0	36
59	1	0	28
60	1	0	64
61	1	0	72
62	1	0	40
63	1	0	52
64	1	2	48
65	1	2	36
66	1	1	76
67	1	2	112
68	1	1	72
69	1	2	60
70	1	0	40
71	1	1	28
72	1	2	52
73	1	2	76
74	1	2	80
75	1	2	48
76	1	1	44
77	1	2	56
78	1	2	44
79	1	0	40
80	1	0	12
81	1	2	12
82	1	1	12
83	1	1	16
84	1	1	8
85	1	2	12
86	1	1	12
87	1	2	12
88	1	1	16
89	1	2	16
90	1	5	12
91	1	6	-26
92	1	7	-26
93	1	8	-26
94	1	1	8
95	1	2	8
96	1	2	8
97	1	2	8
98	1	1	8
99	1	1	8
100	1	2	8
101	1	0	8
102	1	2	8
103	1	1	8
104	1	0	8
105	1	2	16
106	1	0	36
107	1	1	52
108	1	2	72
109	1	2	76
110	1	0	76
111	1	2	72
112	1	0	76
113	1	2	76
114	1	2	72
115	1	1	68
116	1	2	80
117	1	1	68
118	1	1	84
119	1	2	28
120	1	1	100
121	1	1	176
122	1	2	208
123	1	1	280
124	1	2	340
125	1	0	356
126	1	0	356
127	1	2	356
128	1	1	0
0	2	0	0
1	2	2	356
2	2	1	356
3	2	1	280
4	2	1	280
5	2	1	280
6	2	2	216
7	2	1	216
8	2	2	216
9	2	0	216
10	2	0	216
11	2	2	216
12	2	1	216
13	2	1	216
14	2	2	216
15	2	2	216
16	2	0	216
17	2	0	216
18	2	0	216
19	2	1	168
20	2	0	168
21	2	2	36
22	2	2	8
23	2	0	8
24	2	2	4
25	2	1	4
26	2	0	4
27	2	1	4
28	2	2	4
29	2	1	4
30	2	0	4
31	2	1	8
32	2	0	8
33	2	1	4
34	2	2	4
35	2	0	4
36	2	2	4
37	2	2	4
38	2	1	4
39	2	0	4
40	2	2	4
41	2	1	4
42	2	1	4
43	2	1	4
44	2	1	4
45	2	2	4
46	2	0	4
47	2	0	4
48	2	1	4
49	2	2	4
50	2	0	20
51	2	2	28
52	2	1	28
53	2	0	64
54	2	1	68
55	2	0	36
56	2	2	24
57	2	1	36
58	2	2	36
59	2	1	36
60	2	2	68
61	2	2	68
62	2	0	40
63	2	0	48
64	2	0	48
65	2	0	36
66	2	0	76
67	2	2	104
68	2	1	68
69	2	1	56
70	2	0	40
71	2	2	28
72	2	0	52
73	2	1	76
74	2	0	76
75	2	2	48
76	2	1	32
77	2	1	120
78	2	1	108
79	2	3	44
80	2	9	12
81	2	9	12
82	2	4	12
83	2	2	12
84	2	0	8
85	2	0	8
86	2	2	8
87	2	1	8
88	2	3	8
89	2	10	8
90	2	11	-26
91	2	8	-26
92	2	0	-26
93	2	0	-26
94	2	1	4
95	2	0	8
96	2	1	4
97	2	1	4
98	2	2	4
99	2	0	4
100	2	2	4
101	2	2	4
102	2	0	4
103	2	0	12
104	2	1	48
105	2	0	124
106	2	0	204
107	2	1	248
108	2	2	272
109	2	0	280
110	2	0	280
111	2	2	280
112	2	0	284
113	2	1	280
114	2	0	276
115	2	0	264
116	2	0	260
117	2	1	244
118	2	1	240
119	2	0	220
120	2	0	192
121	2	2	280
122	2	1	328
123	2	1	356
124	2	2	356
125	2	1	356
126	2	2	356
127	2	2	356
128	2	2	0
0	3	0	0
1	3	0	356
2	3	2	356
3	3	0	356
4	3	2	356
5	3	2	356
6	3	1	216
7	3	0	216
8	3	2	216
9	3	0	216
10	3	1	216
11	3	1	216
12	3	0	216
13	3	1	216
14	3	0	216
15	3	1	216
16	3	2	216
17	3	0	216
18	3	0	216
19	3	0	168
20	3	1	168
21	3	0	184
22	3	2	36
23	3	0	4
24	3	0	4
25	3	2	4
26	3	0	4
27	3	2	4
28	3	2	4
29	3	0	4
30	3	2	4
31	3	0	16
32	3	0	20
33	3	2	8
34	3	1	4
35	3	0	4
36	3	0	8
37	3	2	4
38	3	0	4
39	3	0	4
40	3	2	4
41	3	1	4
42	3	1	4
43	3	1	4
44	3	2	4
45	3	0	4
46	3	1	4
47	3	2	4
48	3	0	4
49	3	0	4
50	3	1	20
51	3	2	24
52	3	0	32
53	3	0	68
54	3	2	68
55	3	0	36
56	3	2	24
57	3	1	36
58	3	2	44
59	3	1	44
60	3	2	72
61	3	1	68
62	3	0	40
63	3	1	52
64	3	2	44
65	3	1	36
66	3	2	76
67	3	2	104
68	3	0	68
69	3	2	60
70	3	0	40
71	3	2	28
72	3	2	52
73	3	0	76
74	3	1	80
75	3	0	52
76	3	2	80
77	3	3	80
78	3	10	104
79	3	11	40
80	3	12	8
81	3	6	8
82	3	9	8
83	3	9	8
84	3	4	4
85	3	1	4
86	3	2	4
87	3	5	4
88	3	11	4
89	3	8	4
90	3	1	-26
91	3	0	-26
92	3	2	-26
93	3	0	-26
94	3	0	4
95	3	0	4
96	3	1	8
97	3	0	4
98	3	2	4
99	3	2	8
100	3	0	8
101	3	13	4
102	3	14	20
103	3	14	100
104	3	14	236
105	3	14	368.345245
106	3	14	385.592316
107	3	14	369.38382
108	3	14	356
109	3	14	356
110	3	14	356
111	3	14	356
112	3	14	356
113	3	14	356
114	3	15	356
115	3	16	356
116	3	14	356
117	3	14	356
118	3	14	356
119	3	14	356
120	3	17	356
121	3	0	356
122	3	2	356
123	3	2	356
124	3	1	356
125	3	2	356
126	3	1	356
127	3	2	356
128	3	0	0
0	4	2	0
1	4	2	356
2	4	0	356
3	4	0	356
4	4	0	356
5	4	0	356
6	4	0	356
7	4	0	216
8	4	0	216
9	4	1	216
10	4	0	216
11	4	0	216
12	4	0	216
13	4	2	216
14	4	1	216
15	4	0	216
16	4	0	216
17	4	1	216
18	4	1	216
19	4	1	216
20	4	1	184
21	4	1	184
22	4	0	192
23	4	1	48
24	4	0	4
25	4	1	4
26	4	0	4
27	4	1	4
28	4	1	4
29	4	1	0
30	4	0	8
31	4	2	40
32	4	0	60
33	4	2	52
34	4	0	24
35	4	2	8
36	4	1	4
37	4	1	4
38	4	1	4
39	4	1	4
40	4	0	4
41	4	2	4
42	4	0	4
43	4	0	4
44	4	0	4
45	4	0	4
46	4	2	4
47	4	2	4
48	4	1	4
49	4	2	4
50	4	2	16
51	4	2	20
52	4	0	28
53	4	1	64
54	4	2	68
55	4	1	36
56	4	2	20
57	4	1	24
58	4	2	44
59	4	2	56
60	4	2	76
61	4	2	68
62	4	0	36
63	4	1	52
64	4	2	44
65	4	0	36
66	4	1	80
67	4	0	104
68	4	0	64
69	4	1	56
70	4	2	36
71	4	0	28
72	4	1	48
73	4	0	76
74	4	3	76
75	4	9	48
76	4	10	72
77	4	11	44
78	4	8	80
79	4	18	28
80	4	19	4
81	4	19	4
82	4	12	4
83	4	6	4
84	4	9	4
85	4	9	4
86	4	10	4
87	4	20	4
88	4	1	4
89	4	1	4
90	4	0	-26
91	4	2	-26
92	4	2	-26
93	4	0	4
94	4	0	4
95	4	2	8
96	4	2	4
97	4	2	4
98	4	2	8
99	4	13	4
100	4	21	4
101	4	22	28
102	4	23	136
103	4	24	288
104	4	24	388.920166
105	4	24	356
106	4	24	356
107	4	24	356
108	4	24	356
109	4	24	356
110	4	24	356
111	4	24	356
112	4	24	356
113	4	25	356
114	4	16	356
115	4	24	356
116	4	24	356
117	4	24	356
118	4	24	356
119	4	26	356
120	4	1	356
121	4	0	356
122	4	0	356
123	4	1	356
124	4	0	356
125	4	1	356
126	4	0	356
127	4	2	356
128	4	0	0
0	5	0	0
1	5	2	324
2	5	1	356
3	5	2	356
4	5	1	356
5	5	1	356
6	5	1	356
7	5	1	356
8	5	0	356
9	5	0	216
10	5	2	216
11	5	2	216
12	5	0	216
13	5	1	216
14	5	2	216
15	5	1	216
16	5	1	216
17	5	2	216
18	5	1	216
19	5	1	216
20	5	1	216
21	5	2	192
22	5	0	192
23	5	2	220
24	5	2	52
25	5	0	8
26	5	0	8
27	5	0	12
28	5	1	12
29	5	0	8
30	5	0	16
31	5	2	112
32	5	2	160
33	5	0	160
34	5	0	124
35	5	1	32
36	5	1	8
37	5	2	12
38	5	2	8
39	5	0	0
40	5	1	0
41	5	0	0
42	5	2	0
43	5	0	4
44	5	0	4
45	5	1	4
46	5	2	0
47	5	0	4
48	5	2	4
49	5	1	4
50	5	0	12
51	5	0	20
52	5	2	32
53	5	0	68
54	5	1	64
55	5	2	36
56	5	2	20
57	5	1	16
58	5	0	44
59	5	1	88
60	5	0	112
61	5	2	76
62	5	1	36
63	5	2	52
64	5	2	48
65	5	2	36
66	5	0	80
67	5	0	104
68	5	1	64
69	5	0	52
70	5	2	36
71	5	1	24
72	5	1	48
73	5	5	76
74	5	11	76
75	5	19	68
76	5	8	108
77	5	1	108
78	5	2	68
79	5	1	8
80	5	0	8
81	5	18	8
82	5	19	12
83	5	19	8
84	5	19	4
85	5	12	4
86	5	6	4
87	5	4	4
88	5	2	4
89	5	0	4
90	5	2	-26
91	5	0	-26
92	5	1	-26
93	5	0	8
94	5	1	4
95	5	1	4
96	5	1	8
97	5	2	4
98	5	27	4
99	5	24	4
100	5	28	16
101	5	29	120
102	5	30	300
103	5	30	395.809174
104	5	30	356
105	5	30	356
106	5	30	356
107	5	30	356
108	5	30	356
109	5	30	356
110	5	30	356
111	5	30	347.372101
112	5	30	356
113	5	16	356
114	5	24	356
115	5	24	356
116	5	24	356
117	5	24	356
118	5	26	356
119	5	0	356
120	5	0	356
121	5	2	356
122	5	1	356
123	5	2	356
124	5	0	356
125	5	1	356
126	5	1	356
127	5	2	336
128	5	2	0
0	6	2	0
1	6	0	164
2	6	1	308
3	6	1	352
4	6	1	356
5	6	0	356
6	6	2	356
7	6	2	356
8	6	0	356
9	6	0	356
10	6	0	252
11	6	1	252
12	6	2	252
13	6	2	172
14	6	1	172
15	6	0	172
16	6	1	216
17	6	0	216
18	6	1	216
19	6	0	216
20	6	0	216
21	6	1	216
22	6	1	216
23	6	0	216
24	6	2	216
25	6	1	144
26	6	1	132
27	6	1	152
28	6	0	140
29	6	2	112
30	6	0	104
31	6	0	196
32	6	1	220
33	6	1	212
34	6	1	228
35	6	2	180
36	6	0	160
37	6	0	148
38	6	0	84
39	6	1	24
40	6	1	0
41	6	1	0
42	6	2	4
43	6	0	4
44	6	2	4
45	6	0	4
46	6	2	4
47	6	2	4
48	6	1	4
49	6	2	4
50	6	2	12
51	6	2	20
52	6	1	32
53	6	0	68
54	6	1	64
55	6	0	36
56	6	2	20
57	6	0	8
58	6	0	36
59	6	1	84
60	6	2	112
61	6	0	76
62	6	0	40
63	6	0	52
64	6	0	52
65	6	1	44
66	6	1	84
67	6	2	104
68	6	2	64
69	6	2	52
70	6	3	36
71	6	9	24
72	6	7	52
73	6	8	76
74	6	2	72
75	6	2	92
76	6	1	140
77	6	1	100
78	6	0	28
79	6	2	12
80	6	2	16
81	6	2	24
82	6	0	28
83	6	2	12
84	6	5	8
85	6	31	4
86	6	20	4
87	6	0	4
88	6	2	4
89	6	0	4
90	6	0	4
91	6	2	-26
92	6	0	-26
93	6	0	4
94	6	0	4
95	6	32	4
96	6	33	4
97	6	34	4
98	6	35	4
