x	y	texture	height
0	0	0	0
1	0	1	0
2	0	1	0
3	0	2	0
4	0	3	0
5	0	0	0
6	0	2	0
7	0	3	0
8	0	4	0
9	0	4	0
10	0	0	0
11	0	3	0
12	0	4	0
13	0	5	0
14	0	6	0
15	0	7	0
16	0	8	0
17	0	9	0
18	0	10	0
19	0	11	0
20	0	12	0
21	0	13	0
22	0	14	0
23	0	15	0
24	0	15	0
25	0	16	0
26	0	17	0
27	0	15	0
28	0	15	0
29	0	15	0
30	0	15	0
31	0	16	0
32	0	18	0
33	0	19	0
34	0	20	0
35	0	21	0
36	0	22	0
37	0	11	0
38	0	23	0
39	0	12	0
40	0	24	0
41	0	23	0
42	0	23	0
43	0	12	0
44	0	12	0
45	0	23	0
46	0	23	0
47	0	25	0
48	0	25	0
49	0	24	0
50	0	12	0
51	0	24	0
52	0	26	0
53	0	27	0
54	0	12	0
55	0	26	0
56	0	27	0
57	0	23	0
58	0	23	0
59	0	25	0
60	0	23	0
61	0	24	0
62	0	25	0
63	0	28	0
64	0	29	0
65	0	30	0
66	0	25	0
67	0	24	0
68	0	12	0
69	0	12	0
70	0	25	0
71	0	23	0
72	0	12	0
73	0	25	0
74	0	24	0
75	0	24	0
76	0	25	0
77	0	24	0
78	0	12	0
79	0	25	0
80	0	12	0
81	0	25	0
82	0	24	0
83	0	24	0
84	0	24	0
85	0	24	0
86	0	25	0
87	0	25	0
88	0	25	0
89	0	24	0
90	0	12	0
91	0	25	0
92	0	23	0
93	0	12	0
94	0	12	0
95	0	23	0
96	0	12	0
97	0	25	0
98	0	23	0
99	0	12	0
100	0	12	0
101	0	12	0
102	0	12	0
103	0	12	0
104	0	12	0
105	0	12	0
106	0	12	0
107	0	25	0
108	0	12	0
109	0	23	0
110	0	12	0
111	0	23	0
112	0	12	0
113	0	25	0
114	0	12	0
115	0	23	0
116	0	24	0
117	0	24	0
118	0	25	0
119	0	24	0
120	0	23	0
121	0	12	0
122	0	24	0
123	0	23	0
124	0	23	0
125	0	12	0
126	0	25	0
127	0	23	0
128	0	1	0
0	1	31	0
1	1	32	0
2	1	33	0
3	1	34	0
4	1	34	0
5	1	34	0
6	1	34	0
7	1	34	0
8	1	34	0
9	1	34	0
10	1	34	0
11	1	35	0
12	1	36	0
13	1	37	0
14	1	37	0
15	1	38	0
16	1	39	0
17	1	40	-0.208546
18	1	41	-9.248468
19	1	42	-23.771997
20	1	14	-39.545067
21	1	15	-54.68145
22	1	43	-51.765854
23	1	44	-76.435577
24	1	44	-128.444458
25	1	44	-181.824326
26	1	44	-181.784012
27	1	44	-162.804108
28	1	44	-161.425293
29	1	44	-182.924881
30	1	44	-178.360336
31	1	44	-173.183975
32	1	45	-166.088028
33	1	46	-125.255157
34	1	47	-67.899765
35	1	48	-12.431673
36	1	49	0
37	1	50	0.172115
38	1	51	1.286715
39	1	24	6.066337
40	1	23	14.704304
41	1	23	21.924307
42	1	24	19.537209
43	1	25	11.372985
44	1	12	3.518984
45	1	24	1.211091
46	1	12	1.426217
47	1	24	3.801676
48	1	12	6.231041
49	1	24	7.344144
50	1	23	4.13739
51	1	52	4.13739
52	1	53	2.565145
53	1	25	1.996413
54	1	52	8.021397
55	1	54	17.179848
56	1	27	20.394754
57	1	25	13.898363
58	1	24	7.792901
59	1	12	10.485235
60	1	12	13.426979
61	1	23	9.040727
62	1	25	4.818414
63	1	23	2.681919
64	1	23	1.720379
65	1	12	0
66	1	25	0
67	1	23	0
68	1	24	0
69	1	24	0
70	1	24	0.141742
71	1	25	0
72	1	23	0
73	1	23	0
74	1	25	0
75	1	12	0
76	1	12	0
77	1	25	0
78	1	23	0
79	1	24	0
80	1	23	0
81	1	12	0
82	1	23	0
83	1	25	0
84	1	12	0
85	1	23	0
86	1	23	0
87	1	23	0
88	1	23	0.106601
89	1	24	0.87711
90	1	23	1.47001
91	1	25	4.289408
92	1	12	5.88813
93	1	12	3.258651
94	1	25	0
95	1	25	5.368158
96	1	23	15.011792
97	1	24	18.541666
98	1	25	12.789568
99	1	24	4.319653
100	1	25	3.256337
101	1	12	10.729442
102	1	24	17.669662
103	1	24	16.757135
104	1	23	9.300072
105	1	12	0.753336
106	1	12	0
107	1	25	0
108	1	25	0
109	1	23	0
110	1	24	0
111	1	24	0
112	1	24	0
113	1	12	0
114	1	24	1.383736
115	1	23	9.463774
116	1	12	17.595837
117	1	12	22.00407
118	1	24	18.646173
119	1	24	17.618788
120	1	12	20.442139
121	1	12	24.836559
122	1	12	24.752508
123	1	23	21.237213
124	1	12	21.272789
125	1	24	24.333599
126	1	23	24.288816
127	1	2	17.470654
128	1	3	0
0	2	55	0
1	2	56	0
2	2	57	0
3	2	57	0
4	2	57	0
5	2	57	0
6	2	57	0
7	2	57	0
8	2	57	0
9	2	57	0
10	2	58	0
11	2	36	0
12	2	37	0
13	2	59	0
14	2	60	0
15	2	61	0
16	2	62	0
17	2	63	-5.892257
18	2	64	-22.67576
19	2	65	-42.676155
20	2	44	-75.782677
21	2	66	-92.271828
22	2	67	-86.728905
23	2	68	-109.597092
24	2	67	-164.715912
25	2	68	-206.541473
26	2	68	-202.452118
27	2	67	-177.500015
28	2	68	-176.800354
29	2	67	-183.832718
30	2	69	-168.561859
31	2	70	-166.56221
32	2	71	-159.297867
33	2	72	-127.430199
34	2	73	-68.208168
35	2	61	-11.702829
36	2	62	0
37	2	74	0.851591
38	2	12	4.971244
39	2	75	15.576238
40	2	76	28.631582
41	2	23	33.574772
42	2	23	28.14282
43	2	75	15.264693
44	2	76	4.012578
45	2	24	0.502761
46	2	23	1.022578
47	2	24	2.91457
48	2	25	1.928022
49	2	23	1.928022
50	2	24	4.13739
51	2	12	4.13739
52	2	24	4.014034
53	2	25	7.458177
54	2	52	20.735743
55	2	54	36.841343
56	2	27	40.855473
57	2	12	27.901123
58	2	24	17.009378
59	2	23	15.203281
60	2	12	18.693115
61	2	25	14.128043
62	2	24	10.077876
63	2	12	8.424488
64	2	24	6.112119
65	2	12	1.982178
66	2	24	0
67	2	25	0.792264
68	2	24	1.252961
69	2	23	5.190434
70	2	23	10.043482
71	2	23	9.422479
72	2	24	3.140004
73	2	12	0
74	2	25	0
75	2	24	0
76	2	24	0
77	2	12	0.029427
78	2	23	6.317955
79	2	23	10.678177
80	2	25	7.736791
81	2	12	0.561196
82	2	25	2.65177
83	2	25	5.049869
84	2	24	3.957764
85	2	23	0.151801
86	2	24	0
87	2	23	0.736432
88	2	25	2.737807
89	2	25	4.068729
90	2	24	9.401525
91	2	24	16.962807
92	2	23	19.012613
93	2	24	13.188466
94	2	24	5.463656
95	2	24	12.029572
96	2	23	25.385893
97	2	23	32.34137
98	2	23	24.186827
99	2	12	10.737866
100	2	23	8.163315
101	2	12	19.470884
102	2	23	31.741337
103	2	24	30.70986
104	2	23	16.964495
105	2	23	3.897831
106	2	25	0
107	2	23	0
108	2	24	0
109	2	25	0
110	2	12	0
111	2	23	0.199227
112	2	24	0.615243
113	2	12	1.124949
114	2	24	3.33801
115	2	24	11.900452
116	2	12	23.445902
117	2	23	32.475697
118	2	12	31.038338
119	2	23	26.431498
120	2	23	31.537035
121	2	23	38.943562
122	2	23	37.757042
123	2	25	33.097851
124	2	25	33.245735
125	2	25	37.544785
126	2	2	39.375999
127	2	1	29.695961
128	2	77	0
0	3	57	0
1	3	57	0
2	3	57	0
3	3	57	0
4	3	57	63.239883
5	3	57	63.239883
6	3	57	63.239883
7	3	57	0
8	3	57	0
9	3	78	37.296013
10	3	79	37.632008
11	3	37	37.296013
12	3	80	0
13	3	81	0
14	3	82	0
15	3	83	0
16	3	84	-4.569284
17	3	85	-19.259678
18	3	86	-40.938599
19	3	68	-73.866486
20	3	68	-98.690552
21	3	67	-114.149117
22	3	67	-111.812912
23	3	67	-124.682831
24	3	67	-160.248184
25	3	67	-186.190033
26	3	68	-186.942932
27	3	67	-166.789078
28	3	69	-166.668015
29	3	87	-169.995148
30	3	88	-144.70253
31	3	89	-140.291153
32	3	90	-134.702103
33	3	91	-106.942917
34	3	92	-50.800968
35	3	93	-7.665175
36	3	51	0
37	3	24	3.638052
38	3	94	14.013247
39	3	95	27.831455
40	3	24	40.347363
41	3	24	41.157421
42	3	96	29.467459
43	3	97	14.529754
44	3	98	4.40999
45	3	76	0.518643
46	3	24	0.080918
47	3	24	0.907955
48	3	12	1.928022
49	3	23	1.928022
50	3	25	3.275953
51	3	25	3.275953
52	3	25	3.275953
53	3	12	15.029533
54	3	52	30.905548
55	3	53	45.405659
56	3	25	47.448902
57	3	12	33.268162
58	3	23	25.159922
59	3	12	33.814266
60	3	23	42.907516
61	3	25	35.041847
62	3	24	13.863578
63	3	12	13.863578
64	3	24	12.03487
65	3	12	8.615461
66	3	12	8.615461
67	3	24	14.286701
68	3	24	9.673782
69	3	24	20.910728
70	3	24	30.569328
71	3	24	28.540054
72	3	23	15.830728
73	3	24	1.797268
74	3	12	0
75	3	23	0
76	3	23	0
77	3	23	6.507965
78	3	12	21.435806
79	3	24	28.833904
80	3	12	22.476122
81	3	12	13.502678
82	3	25	13.117254
83	3	24	18.643196
84	3	23	14.785421
85	3	23	6.258651
86	3	12	1.186852
87	3	23	4.246361
88	3	24	9.475968
89	3	24	13.726368
90	3	25	21.73329
91	3	24	27.491337
92	3	99	31.056465
93	3	100	20.221149
94	3	12	11.091813
95	3	12	17.148157
96	3	25	35.51173
97	3	99	45.651009
98	3	101	37.11058
99	3	100	20.148306
100	3	23	13.448364
101	3	12	29.519745
102	3	12	49.79171
103	3	12	50.958004
104	3	12	31.405392
105	3	23	8.399398
106	3	12	1.251222
107	3	12	1.96569
108	3	25	4.408903
109	3	12	5.3737
110	3	12	4.423205
111	3	23	4.321144
112	3	24	5.102612
113	3	24	5.879562
114	3	23	8.130519
115	3	12	13.537886
116	3	24	28.206144
117	3	23	42.3993
118	3	23	44.870937
119	3	24	44.568604
120	3	25	52.098328
121	3	25	58.922104
122	3	24	56.240841
123	3	24	40.749477
124	3	24	35.534958
125	3	1	36.247375
126	3	1	37.071301
127	3	77	29.069824
128	3	57	0
0	4	57	0
1	4	57	0
2	4	57	0
3	4	57	0
4	4	57	63.239883
5	4	57	63.239883
6	4	57	63.239883
7	4	57	0
8	4	102	-0.336011
9	4	103	37.632008
10	4	37	77.465935
11	4	104	37.632008
12	4	105	0
13	4	106	0
14	4	84	0
15	4	107	-1.349511
16	4	108	-12.118888
17	4	109	-33.637989
18	4	68	-65.528152
19	4	68	-95.019157
20	4	67	-107.9785
21	4	68	-119.942055
22	4	68	-118.177429
23	4	68	-127.579292
24	4	67	-149.157654
25	4	68	-174.765457
26	4	69	-187.72995
27	4	87	-183.440704
28	4	88	-175.548965
29	4	110	-160.07045
30	4	89	-143.348083
31	4	111	-132.282639
32	4	112	-119.064362
33	4	113	-84.644051
34	4	114	-38.573559
35	4	115	-3.151152
36	4	116	0.12107
37	4	117	7.089053
38	4	118	22.357521
39	4	12	37.689556
40	4	12	44.424366
41	4	12	36.092861
42	4	96	24.575598
43	4	119	14.940722
44	4	120	9.77232
45	4	23	7.323247
46	4	24	3.151943
47	4	24	0
48	4	25	1.928022
49	4	23	1.928022
50	4	25	3.275953
51	4	25	3.275953
52	4	24	3.275953
53	4	25	25.462244
54	4	23	13.863578
55	4	25	13.863578
56	4	24	41.548386
57	4	25	44.087177
58	4	23	13.863578
59	4	25	13.863578
60	4	23	13.863578
61	4	25	13.863578
62	4	24	13.863578
63	4	23	13.922272
64	4	12	14.010727
65	4	25	8.615461
66	4	23	8.615461
67	4	12	13.863578
68	4	23	13.863578
69	4	23	38.553596
70	4	25	49.899876
71	4	24	50.247871
72	4	25	31.568758
73	4	25	10.876372
74	4	24	0
75	4	25	0
76	4	24	1.89069
77	4	25	21.661982
78	4	24	41.645687
79	4	24	51.177731
80	4	23	35.114449
81	4	23	25.009226
82	4	12	28.651432
83	4	25	39.588135
84	4	23	31.633219
85	4	23	20.77754
86	4	12	17.425678
87	4	23	24.752842
88	4	25	32.137547
89	4	24	30.21896
90	4	24	29.181194
91	4	121	29.030724
92	4	122	25.605009
93	4	99	18.080265
94	4	100	11.248302
95	4	23	17.785618
96	4	123	38.129787
97	4	124	48.068008
98	4	125	42.849979
99	4	25	24.170305
100	4	24	20.666716
101	4	25	40.807987
102	4	23	68.592422
103	4	12	69.917435
104	4	25	45.73592
105	4	25	19.827713
106	4	12	13.835204
107	4	24	19.641087
108	4	24	24.650171
109	4	99	24.132019
110	4	100	16.145903
111	4	25	11.244044
112	4	25	10.289637
113	4	25	11.687033
114	4	25	13.243462
115	4	25	18.845718
116	4	24	37.156334
117	4	12	54.032612
118	4	23	63.246395
119	4	12	72.411064
120	4	23	77.165741
121	4	25	76.27417
122	4	25	63.526665
123	4	24	43.155537
124	4	2	28.239105
125	4	2	25.930908
126	4	77	23.267492
127	4	57	17.076244
128	4	57	0
0	5	57	0
1	5	57	0
2	5	126	0
3	5	127	0
4	5	57	63.239883
5	5	57	123.672165
6	5	57	63.239883
7	5	128	0
8	5	129	0
9	5	37	37.296013
10	5	130	37.632008
11	5	131	37.296013
12	5	132	0
13	5	110	0
14	5	133	0
15	5	134	-1.761873
16	5	67	-17.989883
17	5	68	-40.578419
18	5	68	-82.861519
19	5	68	-107.652283
20	5	68	-117.733253
21	5	68	-116.842201
22	5	67	-127.317307
23	5	68	-133.046616
24	5	68	-152.547546
25	5	135	-178.660843
26	5	88	-201.571091
27	5	110	-198.362289
28	5	136	-185.011917
29	5	137	-156.75087
30	5	138	-136.00473
31	5	112	-121.001648
32	5	139	-102.526642
33	5	115	-63.120277
34	5	140	-24.228712
35	5	141	-1.614387
36	5	118	0.930367
37	5	25	9.761762
38	5	25	28.938622
39	5	25	42.924068
40	5	12	43.307419
41	5	24	33.135204
42	5	12	24.264782
43	5	24	19.779854
44	5	12	17.668579
45	5	23	14.417043
46	5	23	7.660787
47	5	23	2.980661
48	5	12	9.008653
49	5	24	6.040932
50	5	24	6.040932
