x	y	texture	height
0	0	0	0
1	0	0	0
2	0	0	0
3	0	0	0
4	0	0	0
5	0	0	0
6	0	0	0
7	0	0	0
8	0	0	0
9	0	0	0
10	0	0	0
11	0	0	0
12	0	0	0
13	0	0	0
14	0	0	0
15	0	0	0
16	0	0	0
17	0	0	0
18	0	0	0
19	0	0	0
20	0	0	0
21	0	0	0
22	0	0	0
23	0	0	0
24	0	0	0
25	0	0	0
26	0	0	0
27	0	0	0
28	0	0	0
29	0	0	0
30	0	0	0
31	0	0	0
32	0	0	0
33	0	0	0
34	0	0	0
35	0	0	0
36	0	0	0
37	0	1	0
38	0	2	0
39	0	2	0
40	0	3	0
41	0	0	0
42	0	0	0
43	0	0	0
44	0	0	0
45	0	0	0
46	0	0	0
47	0	0	0
48	0	0	0
49	0	0	0
50	0	0	0
51	0	0	0
52	0	0	0
53	0	0	0
54	0	0	0
55	0	0	0
56	0	0	0
57	0	0	0
58	0	0	0
59	0	0	0
60	0	0	0
61	0	0	0
62	0	0	0
63	0	0	0
64	0	0	0
65	0	1	0
66	0	2	0
67	0	3	0
68	0	0	0
69	0	0	0
70	0	0	0
71	0	0	0
72	0	0	0
73	0	0	0
74	0	0	0
75	0	0	0
76	0	0	0
77	0	0	0
78	0	0	0
79	0	0	0
80	0	0	0
81	0	0	0
82	0	0	0
83	0	0	0
84	0	0	0
85	0	0	0
86	0	0	0
87	0	0	0
88	0	4	0
89	0	0	0
90	0	5	0
91	0	0	0
92	0	0	0
93	0	0	0
94	0	0	0
95	0	0	0
96	0	0	0
97	0	0	0
98	0	0	0
99	0	0	0
100	0	0	0
101	0	6	0
102	0	7	0
103	0	8	0
104	0	0	0
105	0	0	0
106	0	0	0
107	0	0	0
108	0	0	0
109	0	0	0
110	0	0	0
111	0	0	0
112	0	0	0
113	0	0	0
114	0	9	0
115	0	10	0
116	0	0	0
117	0	0	0
118	0	9	0
119	0	10	0
120	0	0	0
121	0	0	0
122	0	0	0
123	0	0	0
124	0	0	0
125	0	0	0
126	0	0	0
127	0	0	0
128	0	0	0
0	1	11	0
1	1	0	-20
2	1	0	0
3	1	0	0
4	1	5	0
5	1	11	0
6	1	11	0
7	1	5	0
8	1	0	0
9	1	0	0
10	1	0	0
11	1	0	0
12	1	0	0
13	1	0	4
14	1	0	4
15	1	0	4
16	1	0	8
17	1	0	4
18	1	0	4
19	1	0	4
20	1	0	4
21	1	0	4
22	1	0	4
23	1	0	4
24	1	0	8
25	1	0	8
26	1	0	8
27	1	0	8
28	1	0	4
29	1	0	4
30	1	0	4
31	1	0	4
32	1	0	4
33	1	0	4
34	1	0	4
35	1	0	4
36	1	6	4
37	1	7	4
38	1	7	4
39	1	8	44
40	1	0	4
41	1	0	4
42	1	0	4
43	1	0	4
44	1	0	4
45	1	0	4
46	1	0	4
47	1	0	4
48	1	0	4
49	1	0	4
50	1	0	4
51	1	0	4
52	1	0	8
53	1	0	12
54	1	0	16
55	1	0	16
56	1	0	16
57	1	0	16
58	1	0	20
59	1	0	20
60	1	0	20
61	1	0	24
62	1	0	28
63	1	1	28
64	1	12	32
65	1	7	28
66	1	8	32
67	1	0	32
68	1	0	32
69	1	0	32
70	1	0	36
71	1	0	32
72	1	0	32
73	1	0	28
74	1	0	24
75	1	0	24
76	1	0	28
77	1	0	20
78	1	0	16
79	1	0	24
80	1	4	20
81	1	0	12
82	1	0	12
83	1	0	12
84	1	0	12
85	1	0	8
86	1	0	8
87	1	11	12
88	1	0	8
89	1	5	4
90	1	5	4
91	1	5	4
92	1	0	4
93	1	0	4
94	1	0	4
95	1	0	4
96	1	0	4
97	1	0	4
98	1	0	4
99	1	0	4
100	1	6	4
101	1	7	4
102	1	8	44
103	1	0	0
104	1	0	4
