x	y	texture	height
0	0	0	0
1	0	1	0
2	0	2	0
3	0	2	0
4	0	2	0
5	0	1	0
6	0	3	0
7	0	4	0
8	0	5	0
9	0	6	0
10	0	7	0
11	0	7	0
12	0	8	0
13	0	9	0
14	0	10	0
15	0	10	0
16	0	11	0
17	0	12	0
18	0	13	0
19	0	14	0
20	0	15	0
21	0	16	0
22	0	14	0
23	0	10	0
24	0	9	0
25	0	10	0
26	0	17	0
27	0	17	0
28	0	10	0
29	0	17	0
30	0	9	0
31	0	17	0
32	0	17	0
33	0	9	0
34	0	17	0
35	0	10	0
36	0	15	0
37	0	16	0
38	0	16	0
39	0	16	0
40	0	16	0
41	0	14	0
42	0	17	0
43	0	10	0
44	0	15	0
45	0	16	0
46	0	16	0
47	0	14	0
48	0	15	0
49	0	16	0
50	0	16	0
51	0	18	0
52	0	12	0
53	0	13	0
54	0	14	0
55	0	19	0
56	0	17	0
57	0	9	0
58	0	17	0
59	0	20	0
60	0	21	0
61	0	21	0
62	0	21	0
63	0	22	0
64	0	3	0
65	0	3	0
66	0	23	0
67	0	21	0
68	0	21	0
69	0	21	0
70	0	22	0
71	0	1	0
72	0	23	0
73	0	21	0
74	0	21	0
75	0	21	0
76	0	21	0
77	0	21	0
78	0	24	0
79	0	20	0
80	0	21	0
81	0	21	0
82	0	24	0
83	0	9	0
84	0	19	0
85	0	19	0
86	0	9	0
87	0	19	0
88	0	25	0
89	0	0	0
90	0	3	0
91	0	3	0
92	0	1	0
93	0	4	0
94	0	26	0
95	0	12	0
96	0	6	0
97	0	27	0
98	0	1	0
99	0	0	0
100	0	0	0
101	0	4	0
102	0	12	0
103	0	12	0
104	0	28	0
105	0	4	0
106	0	12	0
107	0	12	0
108	0	26	0
109	0	5	0
110	0	26	0
111	0	12	0
112	0	12	0
113	0	5	0
114	0	12	0
115	0	12	0
116	0	12	0
117	0	26	0
118	0	12	0
119	0	6	0
120	0	7	0
121	0	29	0
122	0	12	0
123	0	12	0
124	0	12	0
125	0	28	0
126	0	1	0
127	0	23	0
128	0	1	0
0	1	30	0
1	1	7	-36.681232
2	1	7	-36.681232
3	1	7	-36.681232
4	1	27	-36.681232
5	1	1	-36.681232
6	1	31	-36.681232
7	1	32	-36.681232
8	1	5	-36.681232
9	1	12	-36.681232
10	1	26	-67.569405
11	1	13	-46.639626
12	1	16	-46.274704
13	1	16	-31.572445
14	1	16	-14.061353
15	1	18	-13.388304
16	1	5	-30.476959
17	1	26	-12.244824
18	1	13	25.632658
19	1	18	27.264053
20	1	26	-8.827514
21	1	13	-43.143978
22	1	16	3.495519
23	1	16	2.407369
24	1	16	-26.79521
25	1	16	-26.618273
26	1	16	-3.152413
27	1	16	-3.893368
28	1	16	-26.296864
29	1	16	-12.819916
30	1	16	-3.687601
31	1	16	-11.035843
32	1	16	-3.761445
33	1	16	5.50981
34	1	16	-6.921365
35	1	18	-37.034218
36	1	26	-29.625837
37	1	5	-1.247336
38	1	12	-9.390981
39	1	26	-23.965405
40	1	13	-2.784965
41	1	16	8.380894
42	1	16	-14.52739
43	1	18	13.399667
44	1	5	49.488087
45	1	26	15.386299
46	1	13	8.292377
47	1	18	24.097355
48	1	12	23.832123
49	1	5	11.172552
50	1	12	35.287151
51	1	26	54.342716
52	1	12	29.710249
53	1	13	-24.093462
54	1	16	-31.301907
55	1	16	22.216097
56	1	16	42.605648
57	1	16	9.947409
58	1	33	-12.777285
59	1	7	7.764934
60	1	7	14.470649
61	1	7	-11.397609
62	1	7	-42.307201
63	1	7	-49.873005
64	1	7	-37.373646
65	1	27	-17.744875
66	1	1	-18.58395
67	1	1	-62.196117
68	1	1	-52.547916
69	1	2	-8.317157
70	1	1	10.018055
71	1	0	-34.344307
72	1	3	-36.41777
73	1	0	-35.647919
74	1	2	-28.715279
75	1	1	-15.896166
76	1	2	-7.830953
77	1	23	-6.861521
78	1	34	-4.848425
79	1	7	-17.445751
80	1	7	-35.272675
81	1	35	-39.027092
82	1	16	-57.356888
83	1	16	-61.06279
84	1	16	-40.864864
85	1	36	0.970065
86	1	21	11.675478
87	1	22	-28.566727
88	1	2	-32.713402
89	1	30	12.711602
90	1	7	23.478361
91	1	7	-19.328938
92	1	29	-24.975677
93	1	5	8.380792
94	1	26	36.937584
95	1	26	55.854053
96	1	6	37.570068
97	1	7	-8.535303
98	1	7	-15.231917
99	1	7	19.612419
100	1	29	7.195665
101	1	37	-37.665993
102	1	38	-50.157112
103	1	39	-24.212618
104	1	31	12.161462
105	1	32	23.132719
106	1	26	-13.12769
107	1	26	-36.342758
108	1	26	-31.367376
109	1	5	-39.61348
110	1	12	-54.340652
111	1	5	-39.06134
112	1	12	-42.965187
113	1	26	-76.027969
114	1	12	-81.925598
115	1	5	-57.473667
116	1	12	-41.754627
117	1	26	-42.361126
118	1	12	-35.306168
119	1	5	-15.854751
120	1	5	-12.461055
121	1	5	-31.593227
122	1	26	-52.407536
123	1	12	-61.994904
124	1	6	-48.219646
125	1	27	-21.30492
126	1	0	3.147988
127	1	0	-15.07532
128	1	4	0
0	2	5	0
1	2	26	-38.601986
2	2	5	-36.344841
3	2	6	-41.153339
4	2	7	-41.153339
5	2	7	-41.153339
6	2	29	-41.153339
7	2	12	-56.114697
8	2	5	-83.498924
9	2	26	-56.114697
10	2	5	-22.352631
11	2	5	-51.031597
12	2	12	-50.442265
13	2	26	-36.438416
14	2	12	-19.318419
15	2	5	-21.446653
16	2	5	-36.254086
17	2	26	-18.648058
18	2	26	26.597767
19	2	26	28.64444
20	2	5	-4.222297
21	2	26	-3.857265
22	2	12	30.936504
23	2	12	32.489162
24	2	5	10.468535
25	2	5	27.684448
26	2	5	54.261631
27	2	12	-53.572758
28	2	12	-18.335142
29	2	12	-10.812542
30	2	12	-11.31642
31	2	12	-20.478029
32	2	26	-18.704842
33	2	5	1.351719
34	2	5	-8.512202
35	2	26	-35.790039
36	2	26	-17.857847
37	2	5	24.98938
38	2	12	24.582773
39	2	12	6.275254
40	2	26	13.0304
41	2	26	11.388463
42	2	26	-1.765518
43	2	12	21.426151
44	2	12	53.445484
45	2	12	20.876364
46	2	12	-7.718756
47	2	5	-7.832005
48	2	5	-11.112273
49	2	12	-21.984196
50	2	5	0.830301
51	2	26	26.259983
52	2	12	2.766487
53	2	5	-41.871132
54	2	26	-27.753565
55	2	12	29.908077
56	2	5	46.593319
57	2	12	3.385098
58	2	12	-20.847754
59	2	5	3.678595
60	2	12	20.820114
61	2	12	-10.870702
62	2	26	-42.973171
63	2	12	-55.581161
64	2	28	-41.471741
65	2	0	-22.460051
66	2	0	-38.691086
67	2	3	-64.251434
68	2	0	-47.388481
69	2	0	1.682617
70	2	2	-16.927132
71	2	0	-21.256119
72	2	2	-15.53157
73	2	3	-6.22243
74	2	2	-7.787608
75	2	2	-15.599892
76	2	30	-22.093126
77	2	29	-28.593712
78	2	12	-28.019489
79	2	12	-20.836594
80	2	26	-19.013611
81	2	12	-19.46575
82	2	5	-44.727909
83	2	26	-62.025761
84	2	6	-41.532787
85	2	7	17.946127
86	2	7	34.620052
87	2	7	-9.671402
88	2	29	-17.573565
89	2	26	46.970016
90	2	26	62.700783
91	2	26	34.267067
92	2	12	3.653186
93	2	26	7.940742
94	2	26	43.908878
95	2	5	86.144096
96	2	26	96.516449
97	2	12	47.47879
98	2	5	23.152184
99	2	12	53.962906
100	2	6	54.228462
101	2	7	6.240407
102	2	7	-13.106205
103	2	7	5.984422
104	2	29	36.364643
105	2	26	48.103321
106	2	5	20.755823
107	2	26	-8.052878
108	2	5	-26.939821
109	2	26	-38.318596
110	2	12	-34.024532
111	2	12	1.461642
112	2	5	7.43121
113	2	12	-26.478628
114	2	12	-44.83823
115	2	5	-31.480726
116	2	12	-31.209852
117	2	12	-36.060867
118	2	26	-29.488474
119	2	26	-5.135704
120	2	5	-4.196918
121	2	5	-14.335843
122	2	26	-35.820305
123	2	5	-46.398289
124	2	28	-38.254059
125	2	0	-0.638452
126	2	0	13.150754
127	2	31	-25.197985
128	2	32	0
0	3	26	0
1	3	12	-51.872795
2	3	26	-89.696869
3	3	5	-60.023441
4	3	12	-45.690182
5	3	5	-21.689896
6	3	5	-21.689896
7	3	26	-45.690182
8	3	5	-84.023735
9	3	5	8.430931
10	3	12	-25.455957
11	3	26	-25.455957
12	3	5	-25.455957
13	3	26	-44.434391
14	3	12	-36.458763
15	3	5	-37.361935
16	3	5	-47.979641
17	3	12	-38.802147
18	3	26	-21.624126
19	3	5	-9.500894
20	3	26	-27.94887
21	3	26	-19.103859
22	3	26	-16.749138
23	3	12	14.760507
24	3	5	15.879458
25	3	26	-25.418343
26	3	5	-9.793489
27	3	26	-57.445782
28	3	5	-40.622353
29	3	12	-44.401329
30	3	12	-45.339844
31	3	12	-58.09938
32	3	12	-48.89257
33	3	26	-30.136724
34	3	5	-28.143604
35	3	26	-48.849995
36	3	12	-35.828636
37	3	26	-6.232351
38	3	26	-3.029088
39	3	12	-18.001554
40	3	5	-22.774654
41	3	5	-30.329853
42	3	12	-36.827515
43	3	5	-9.600235
44	3	26	11.350739
45	3	12	-19.897829
46	3	12	-54.379402
47	3	5	-51.380371
48	3	5	-58.653534
49	3	12	-67.430885
50	3	5	-51.409946
51	3	12	-41.567959
52	3	26	-51.345665
53	3	26	-66.646057
54	3	26	-43.278484
55	3	26	-3.25679
56	3	26	1.840467
57	3	12	-25.142664
58	3	5	-38.308254
59	3	12	-16.998537
60	3	12	-7.976542
61	3	37	-26.481342
62	3	38	-56.279064
63	3	39	-64.416023
64	3	2	-79.780396
65	3	1	-66.171318
66	3	0	-67.553177
67	3	2	-82.412025
68	3	30	-112.006386
69	3	7	-82.878365
70	3	7	-74.608322
71	3	7	-79.230804
72	3	7	-60.799046
73	3	27	-44.515747
74	3	1	-51.830639
75	3	4	-69.308853
76	3	5	-89.551315
77	3	12	-93.449944
78	3	26	-84.302757
79	3	26	-60.845287
80	3	26	-39.912998
81	3	26	-44.323376
82	3	12	-69.41774
83	3	5	-91.214066
84	3	5	-77.107391
85	3	12	-41.389496
86	3	26	-21.072569
87	3	12	-42.448471
88	3	5	-46.274456
89	3	5	4.63947
90	3	12	30.511738
91	3	5	7.028172
92	3	12	-10.167698
93	3	26	-36.419765
94	3	12	-24.45014
95	3	5	44.096279
96	3	12	74.314003
97	3	26	43.044113
98	3	5	26.95546
99	3	5	54.007454
100	3	12	70.905434
101	3	26	54.65543
102	3	26	30.460585
103	3	12	20.043074
104	3	26	17.908253
105	3	5	25.491043
106	3	5	23.043852
107	3	26	-12.772915
108	3	12	-43.775383
109	3	5	-48.396519
110	3	5	-28.34314
111	3	26	18.21891
112	3	26	27.716825
113	3	12	4.235361
114	3	26	-28.849762
115	3	26	-34.284924
116	3	5	-32.03001
117	3	26	-41.001747
118	3	12	-37.662189
119	3	26	-33.801285
120	3	26	-38.993011
121	3	26	-43.842255
122	3	26	-39.879948
123	3	28	-52.901604
124	3	2	-57.437202
125	3	3	-22.702862
126	3	1	-13.52915
127	3	4	-55.998772
128	3	12	0
0	4	12	0
1	4	26	0.126587
2	4	5	-15.569301
3	4	12	-15.569301
4	4	5	-96
5	4	12	-68
6	4	26	-68
7	4	5	-68
8	4	12	-68
9	4	12	-96
10	4	12	-96
11	4	5	-96
12	4	12	-96
13	4	12	-51.407993
14	4	12	-53.744648
15	4	5	-77.752136
16	4	12	-77.759483
17	4	12	-77.759483
18	4	26	-76.417343
19	4	5	-72.019958
20	4	26	-73.360153
21	4	5	-189.381912
22	4	12	-5.187783
23	4	5	-2.53202
24	4	26	-96.730377
25	4	26	-66.336784
26	4	12	-61.019558
27	4	26	-95.496689
28	4	5	-65.930977
29	4	12	-66.309166
30	4	26	-67.726799
31	4	12	-68
32	4	12	-63.652977
33	4	5	-50.430984
34	4	26	-45.461174
35	4	26	-54.983608
36	4	12	-63.833935
37	4	5	-53.449738
38	4	12	-49.45261
39	4	12	-52.435055
40	4	26	-52.087421
41	4	26	-62.338734
42	4	12	-66.569969
43	4	26	-46.725616
44	4	26	-38.529247
45	4	5	-48.419926
46	4	5	-55.478451
47	4	12	-57.957268
48	4	26	-60.784397
49	4	5	-64.21241
50	4	26	-66.807365
51	4	26	-62.039505
52	4	5	-60.815567
53	4	5	-61.516155
54	4	26	-47.187595
55	4	12	-33.439411
56	4	26	-41.756325
57	4	12	-44.6152
58	4	26	-35.07922
59	4	12	-26.697525
60	4	6	-27.038082
61	4	27	-41.55164
62	4	1	-56.067589
63	4	2	-67.361954
64	4	0	-5.617024
65	4	3	-7.15505
66	4	0	-8.904932
67	4	4	-9.509148
68	4	5	-47.476395
69	4	12	-42.066227
70	4	5	-121.62851
71	4	26	-125.347519
72	4	28	-109.784889
73	4	1	-91.959343
74	4	4	-89.692703
75	4	26	-102.074974
76	4	5	-72.272858
77	4	5	-75.500725
78	4	12	-111.774002
79	4	5	-93.23465
80	4	12	-82.950195
81	4	12	-89.596237
82	4	26	-107.695885
83	4	5	-106.39843
84	4	26	-98.299461
85	4	12	-88.251762
86	4	5	-83.504997
87	4	37	-91.94809
88	4	38	-81.778885
89	4	32	-61.459961
90	4	5	-52.487228
91	4	5	-48.513809
92	4	12	-64.887321
93	4	26	-79.347481
94	4	12	-79.020149
95	4	5	-44.945118
96	4	12	-7.790622
97	4	26	-9.364357
98	4	26	-16.27507
99	4	5	11.72508
100	4	12	58.72345
101	4	12	67.453957
102	4	12	45.213772
103	4	26	10.738805
104	4	5	-14.670337
105	4	26	3.773696
106	4	12	10.461411
107	4	5	-30.727737
108	4	26	-64.886108
109	4	12	-55.249111
110	4	26	-28.029642
111	4	12	3.625812
112	4	12	1.803853
113	4	26	-30.688612
114	4	12	-46.223507
115	4	26	-56.338387
116	4	5	-53.442539
117	4	26	-45.299835
118	4	26	-48.597599
119	4	12	-61.204777
120	4	12	-77.572273
121	4	12	-71.911949
122	4	28	-51.477455
123	4	2	-55.398533
124	4	3	-57.526108
125	4	2	-39.560982
