x	y	texture	height
0	0	0	8
1	0	1	8
2	0	2	8
3	0	3	8
4	0	4	8
5	0	5	8
6	0	6	8
7	0	7	8
8	0	8	8
9	0	9	8
10	0	6	8
11	0	6	8
12	0	6	8
13	0	10	8
14	0	11	8
15	0	12	8
16	0	6	8
17	0	7	8
18	0	8	8
19	0	8	8
20	0	8	8
21	0	8	8
22	0	8	8
23	0	8	8
24	0	8	8
25	0	9	8
26	0	6	8
27	0	6	8
28	0	6	8
29	0	13	8
30	0	14	8
31	0	14	8
32	0	12	8
33	0	13	8
34	0	15	8
35	0	16	8
36	0	14	8
37	0	12	8
38	0	13	8
39	0	14	8
40	0	14	8
41	0	14	8
42	0	14	8
43	0	17	8.098133
44	0	18	9.723495
45	0	18	10.990627
46	0	18	11.52891
47	0	18	11.580307
48	0	18	11.040496
49	0	19	9.950339
50	0	17	9.086525
51	0	19	8.159223
52	0	17	8
53	0	18	8
54	0	18	8
55	0	18	8
56	0	18	8
57	0	18	8
58	0	18	8
59	0	18	8.362173
60	0	20	8.862968
61	0	21	8.981619
62	0	4	8.496728
63	0	20	8
64	0	4	8
65	0	18	8
66	0	18	8
67	0	20	8
68	0	21	8
69	0	22	8
70	0	21	8
71	0	21	8
72	0	22	8
73	0	21	8
74	0	22	8
75	0	22	8
76	0	21	8
77	0	22	8
78	0	22	8
79	0	23	8
80	0	24	8
81	0	21	8
82	0	25	8
83	0	26	8
84	0	26	8
85	0	26	8
86	0	26	8
87	0	26	8
88	0	27	8
89	0	28	8
90	0	28	8
91	0	28	8
92	0	28	8
93	0	28	8.022148
94	0	29	8.258962
95	0	28	8.237346
96	0	30	8
97	0	27	8
98	0	29	8.215528
99	0	28	9.528752
100	0	28	10.310813
101	0	28	10.28635
102	0	29	9.70454
103	0	28	8.770741
104	0	29	8.092052
105	0	28	8
106	0	29	8
107	0	28	8
108	0	29	8
109	0	29	8
110	0	28	8
111	0	30	8
112	0	27	8
113	0	31	8
114	0	32	8
115	0	28	8
116	0	29	8
117	0	29	8
118	0	28	8
119	0	28	8
120	0	29	8
121	0	28	8
122	0	28	8
123	0	29	8
124	0	29	8
125	0	31	8
126	0	32	8
127	0	28	8
128	0	33	8
0	1	34	8
1	1	35	8
2	1	36	8
3	1	37	8
4	1	38	8
5	1	9	8
6	1	39	8
7	1	29	8
8	1	40	8
9	1	9	8
10	1	6	8
11	1	6	8
12	1	10	8.055693
13	1	35	8.042075
14	1	41	8
15	1	6	8
16	1	39	8.16548
17	1	28	9.333259
18	1	29	11.611717
19	1	28	13.20914
20	1	28	13.455688
21	1	28	12.332163
22	1	29	10.534822
23	1	28	9.049378
24	1	40	8.098055
25	1	8	8
26	1	8	8
27	1	9	8
28	1	10	8
29	1	35	8
30	1	35	8
31	1	11	8
32	1	42	8
33	1	35	8
34	1	35	8
35	1	35	8
36	1	11	8
37	1	42	8
38	1	35	8
39	1	35	8
40	1	35	8
41	1	35	8
42	1	43	9.409816
43	1	2	12.68082
44	1	2	15.060963
45	1	3	16.395723
46	1	21	16.688551
47	1	22	16.317369
48	1	34	15.05245
49	1	44	14.640079
50	1	34	15.49905
51	1	44	15.67407
52	1	21	15.034435
53	1	1	13.900278
54	1	3	11.71164
55	1	22	8.776084
56	1	22	8
57	1	22	8.665504
58	1	21	10.692595
59	1	22	13.469365
60	1	22	16.433399
61	1	21	18.758724
62	1	21	19.600033
63	1	21	18.037716
64	1	22	13.841639
65	1	22	8.230825
66	1	22	8
67	1	21	8
68	1	21	8
69	1	22	8
70	1	21	8.269896
71	1	22	8.600566
72	1	22	8.667575
73	1	21	8.466328
74	1	21	8.010324
75	1	21	8
76	1	22	8
77	1	23	8
78	1	45	8
79	1	46	8
80	1	21	8
81	1	22	8
82	1	21	8
83	1	21	8
84	1	21	8
85	1	21	8
86	1	22	8
87	1	25	8
88	1	26	8
89	1	26	8
90	1	26	8
91	1	26	8.802117
92	1	26	11.059387
93	1	26	12.44274
94	1	26	12.731806
95	1	47	12.034747
96	1	25	10.757087
97	1	26	12.231341
98	1	26	14.193668
99	1	26	16.034693
100	1	27	16.950111
101	1	28	16.631313
102	1	28	15.09944
103	1	29	12.689483
104	1	30	10.33766
105	1	26	8.62127
106	1	26	8
107	1	26	8
108	1	27	8
109	1	28	8
110	1	48	8
111	1	45	8
112	1	49	8
113	1	50	8
114	1	51	8
115	1	51	8
116	1	51	8
117	1	51	8
118	1	51	8
119	1	32	8
120	1	28	8
121	1	31	8
122	1	32	8
123	1	28	8
124	1	40	8
125	1	52	8
126	1	29	8
127	1	53	8
128	1	54	8
0	2	55	8
