x	y	texture	height
0	0	0	0
1	0	1	0
2	0	0	0
3	0	0	0
4	0	1	0
5	0	1	0
6	0	0	0
7	0	0	0
8	0	0	0
9	0	1	0
10	0	0	0
11	0	1	0
12	0	1	0
13	0	1	0
14	0	1	0
15	0	1	0
16	0	0	0
17	0	0	0
18	0	0	0
19	0	0	0
20	0	1	0
21	0	1	0
22	0	1	0
23	0	1	0
24	0	1	0
25	0	0	0
26	0	1	0
27	0	0	0
28	0	1	0
29	0	1	0
30	0	0	0
31	0	1	0
32	0	0	0
33	0	1	0
34	0	1	0
35	0	0	0
36	0	1	0
37	0	0	0
38	0	0	0
39	0	0	0
40	0	1	0
41	0	0	0
42	0	0	0
43	0	0	0
44	0	1	0
45	0	0	0
46	0	1	0
47	0	0	0
48	0	0	0
49	0	1	0
50	0	1	0
51	0	0	0
52	0	1	0
53	0	1	0
54	0	0	0
55	0	1	0
56	0	0	0
57	0	1	0
58	0	1	0
59	0	0	0
60	0	1	0
61	0	0	0
62	0	0	0
63	0	1	0
64	0	2	0
65	0	3	0
66	0	4	0
67	0	4	0
68	0	5	0
69	0	5	0
70	0	6	0
71	0	3	0
72	0	3	0
73	0	3	0
74	0	3	0
75	0	3	0
76	0	6	0
77	0	7	0
78	0	0	0
79	0	1	0
80	0	1	0
81	0	0	0
82	0	0	0
83	0	0	0
84	0	0	0
85	0	0	0
86	0	0	0
87	0	1	0
88	0	1	0
89	0	1	0
90	0	0	0
91	0	1	0
92	0	0	0
93	0	0	0
94	0	0	0
95	0	1	0
96	0	0	0
97	0	1	0
98	0	0	0
99	0	1	0
100	0	1	0
101	0	1	0
102	0	0	0
103	0	0	0
104	0	1	0
105	0	0	0
106	0	0	0
107	0	0	0
108	0	8	0
109	0	9	0
110	0	10	0
111	0	10	0
112	0	10	0
113	0	10	0
114	0	10	0
115	0	10	0
116	0	10	0
117	0	10	0
118	0	10	0
119	0	10	0
120	0	10	0
121	0	10	0
122	0	10	0
123	0	10	0
124	0	10	0
125	0	10	0
126	0	10	0
127	0	10	0
128	0	0	0
0	1	0	0
1	1	1	-7.224095
2	1	1	0.775972
3	1	1	0.775972
4	1	1	0.775972
5	1	1	0.775972
6	1	0	0.775972
7	1	1	0.775972
8	1	1	0.775972
9	1	0	0.775972
10	1	1	0.775972
11	1	1	0.775972
12	1	0	0.775972
13	1	0	0.775972
14	1	1	0.775972
15	1	0	0.775972
16	1	1	0.775972
17	1	1	0.775972
18	1	0	0.775972
19	1	11	0.775972
20	1	12	0.775972
21	1	12	0.775972
22	1	12	0.775972
23	1	12	0.775972
24	1	12	0.775972
25	1	12	0.775972
26	1	12	0.775972
27	1	12	0.775972
28	1	13	0.775972
29	1	1	0.775972
30	1	1	0.775972
31	1	0	0.775972
32	1	14	0.775972
33	1	15	0.775972
34	1	16	0.775972
35	1	0	0.775972
36	1	0	0.775972
37	1	1	0.775972
38	1	1	0.775972
39	1	1	0.775972
40	1	1	0.775972
41	1	1	0.775972
42	1	1	0.775972
43	1	1	0.775972
44	1	0	0.775972
45	1	1	0.775972
46	1	0	0.775972
47	1	1	0.775972
48	1	0	0.775972
49	1	1	0.775972
50	1	0	0.775972
51	1	0	0.775972
52	1	0	0.775972
53	1	0	0.775972
54	1	1	0.775972
55	1	0	0.775972
56	1	1	0.775972
57	1	1	0.775972
58	1	0	4.776
59	1	0	40.776081
60	1	0	4.776
61	1	0	0.775972
62	1	0	0.775972
63	1	2	0.775972
64	1	3	0.775972
65	1	17	0.775972
66	1	18	0.775972
67	1	19	0.775972
68	1	3	0.775972
69	1	5	0.775972
70	1	17	0.775972
71	1	20	0.775972
72	1	18	0.775972
73	1	3	0.775972
74	1	4	0.775972
75	1	6	0.775972
76	1	7	0.775972
77	1	0	0.775972
78	1	1	0.775972
79	1	1	0.775972
80	1	1	0.775972
81	1	1	0.775972
82	1	0	0.775972
83	1	1	0.775972
84	1	0	0.775972
85	1	0	0.775972
86	1	1	0.775972
87	1	0	0.775972
88	1	1	0.775972
89	1	1	0.775972
90	1	1	0.775972
91	1	1	0.775972
92	1	1	0.775972
93	1	1	0.775972
94	1	0	0.775972
95	1	0	0.775972
96	1	1	0.775972
97	1	0	0.775972
98	1	0	0.775972
99	1	0	0.775972
100	1	0	0.775972
101	1	0	0.775972
102	1	0	0.775972
103	1	0	0.775972
104	1	0	0.775972
105	1	0	0.775972
106	1	0	0.775972
107	1	21	0.775972
108	1	10	0.775972
109	1	10	0.775972
110	1	10	0.775972
111	1	10	0.775972
112	1	10	0.775972
113	1	10	0.775972
114	1	10	0.775972
115	1	10	0.775972
116	1	10	0.775972
117	1	10	0.775972
118	1	10	0.775972
119	1	10	0.775972
120	1	10	0.775972
121	1	10	0.775972
122	1	10	0.775972
123	1	10	0.775972
124	1	10	0.775972
125	1	10	0.775972
126	1	10	0.775972
127	1	1	0.775972
128	1	0	0
0	2	1	0
1	2	0	-3.224077
2	2	0	0.775972
3	2	0	0.775972
4	2	0	0.775972
5	2	0	0.775972
6	2	0	0.775972
7	2	0	0.775972
8	2	1	0.775972
9	2	1	0.775972
10	2	0	0.775972
11	2	22	0.775972
12	2	23	0.775972
13	2	24	0.775972
14	2	1	0.775972
15	2	1	0.775972
16	2	0	0.775972
17	2	0	0.775972
18	2	25	0.775972
19	2	26	0.775972
20	2	27	0.775972
21	2	28	0.775972
22	2	28	12.77605
23	2	29	0.775972
24	2	26	0.775972
25	2	26	0.775972
26	2	26	4.776
27	2	30	8.776001
28	2	0	4.776
29	2	0	0.775972
30	2	1	0.775972
31	2	31	0.775972
32	2	32	0.775972
33	2	33	0.775972
34	2	0	0.775972
35	2	1	0.775972
36	2	1	0.775972
37	2	1	0.775972
38	2	1	0.775972
39	2	1	0.775972
40	2	0	0.775972
41	2	1	0.775972
42	2	1	0.775972
43	2	0	0.775972
44	2	0	0.775972
45	2	1	0.775972
46	2	0	0.775972
47	2	1	0.775972
48	2	0	0.775972
49	2	22	0.775972
50	2	23	0.775972
51	2	24	0.775972
52	2	1	0.775972
53	2	1	0.775972
54	2	0	0.775972
55	2	1	0.775972
56	2	1	-3.224077
57	2	0	144.77594
58	2	0	348.031647
59	2	1	328.031738
60	2	0	260.031647
61	2	0	0.775972
62	2	2	0.775972
63	2	4	0.775972
64	2	34	0.775972
65	2	35	0.775972
66	2	6	0.775972
67	2	3	0.775972
68	2	19	0.775972
69	2	36	0.775972
70	2	10	0.775972
71	2	37	0.775972
72	2	18	0.775972
73	2	3	0.775972
74	2	19	0.775972
75	2	7	0.775972
76	2	0	0.775972
77	2	1	0.775972
78	2	1	0.775972
79	2	0	0.775972
80	2	0	0.775972
81	2	0	0.775972
82	2	1	0.775972
83	2	1	0.775972
84	2	1	0.775972
85	2	0	0.775972
86	2	0	0.775972
87	2	1	0.775972
88	2	0	0.775972
89	2	1	0.775972
90	2	1	0.775972
91	2	0	0.775972
92	2	0	0.775972
93	2	1	0.775972
94	2	0	0.775972
95	2	1	0.775972
96	2	0	0.775972
97	2	1	0.775972
98	2	0	0.775972
99	2	1	0.775972
100	2	1	0.775972
101	2	0	0.775972
102	2	1	0.775972
103	2	0	0.775972
104	2	0	0.775972
105	2	1	0.775972
106	2	21	0.775972
107	2	10	0.775972
108	2	10	0.775972
109	2	10	0.775972
110	2	10	0.775972
111	2	10	0.775972
112	2	10	0.775972
113	2	10	0.775972
114	2	10	0.775972
115	2	10	0.775972
116	2	10	0.775972
117	2	10	0.775972
118	2	10	0.775972
119	2	10	0.775972
120	2	10	0.775972
121	2	10	0.775972
122	2	10	0.775972
123	2	10	0.775972
124	2	10	0.775972
125	2	10	0.775972
126	2	1	0.775972
127	2	1	0.775972
128	2	0	0
0	3	0	0
1	3	1	0.775972
2	3	1	0.775972
3	3	1	0.775972
4	3	1	104.77607
5	3	0	144.77594
6	3	1	128.775986
7	3	1	144.77594
8	3	0	144.77594
9	3	1	116.776009
10	3	38	0.775972
11	3	39	0.775972
12	3	40	0.775972
13	3	1	0.775972
14	3	0	0.775972
15	3	0	0.775972
16	3	0	0.775972
17	3	25	0.775972
18	3	26	0.775972
19	3	41	0.775972
20	3	42	0.775972
21	3	42	24.776072
22	3	43	272.031647
23	3	28	312.031738
24	3	28	308.031738
25	3	29	304.031738
26	3	44	300.031708
27	3	13	296.031677
28	3	1	292.031677
29	3	1	8.776001
30	3	45	0.775972
31	3	46	0.775972
32	3	47	0.775972
33	3	0	0.775972
34	3	1	0.775972
35	3	0	0.775972
36	3	1	0.775972
37	3	0	0.775972
38	3	0	0.775972
39	3	0	20.776052
40	3	1	260.031647
41	3	48	252.031677
42	3	49	260.031647
43	3	50	248.031723
44	3	1	272.031647
45	3	0	216.031845
46	3	1	0.775972
47	3	1	0.775972
48	3	38	0.775972
49	3	51	0.775972
50	3	40	0.775972
51	3	1	0.775972
52	3	0	7.976014
53	3	1	9.576019
54	3	1	0.775972
55	3	1	0.775972
56	3	1	-11.224097
57	3	0	216.776184
58	3	1	352.031616
59	3	1	356.031586
60	3	1	268.031616
61	3	52	0.775972
62	3	20	0.775972
63	3	20	0.775972
64	3	20	0.775972
65	3	20	0.775972
66	3	20	0.775972
67	3	20	0.775972
68	3	53	0.775972
69	3	10	0.775972
70	3	54	0.775972
71	3	35	0.775972
72	3	6	0.775972
73	3	3	0.775972
74	3	7	0.775972
75	3	0	0.775972
76	3	1	0.775972
77	3	0	0.775972
78	3	0	0.775972
79	3	0	0.775972
80	3	0	0.775972
81	3	1	0.775972
82	3	0	0.775972
83	3	1	0.775972
84	3	1	0.775972
85	3	0	0.775972
86	3	0	0.775972
87	3	1	0.775972
88	3	1	0.775972
89	3	1	0.775972
90	3	1	0.775972
91	3	0	0.775972
92	3	0	0.775972
93	3	0	0.775972
94	3	1	0.775972
95	3	0	0.775972
96	3	1	0.775972
97	3	1	0.775972
98	3	1	0.775972
99	3	1	0.775972
100	3	1	0.775972
101	3	1	0.775972
102	3	0	0.775972
103	3	0	0.775972
104	3	1	0.775972
105	3	55	0.775972
106	3	56	0.775972
107	3	10	0.775972
108	3	10	0.775972
109	3	57	0.775972
110	3	58	0.775972
111	3	10	0.775972
112	3	10	0.775972
113	3	10	0.775972
114	3	10	0.775972
115	3	10	0.775972
116	3	10	0.775972
117	3	10	0.775972
118	3	10	0.775972
119	3	10	0.775972
120	3	10	0.775972
121	3	10	0.775972
122	3	10	0.775972
123	3	10	0.775972
124	3	10	0.775972
125	3	0	0.775972
126	3	1	0.775972
127	3	1	0.775972
128	3	0	0
0	4	0	0
1	4	1	0.775972
2	4	0	0.775972
3	4	0	0.775972
4	4	0	160.775955
5	4	0	200.776154
6	4	1	200.776154
7	4	0	188.776108
8	4	0	200.776154
9	4	59	188.776108
10	4	60	0.775972
11	4	61	0.775972
12	4	1	0.775972
13	4	1	0.775972
14	4	1	0.775972
15	4	0	0.775972
16	4	25	0.775972
17	4	26	0.775972
18	4	41	0.775972
19	4	42	0.775972
20	4	42	-3.224077
21	4	42	16.776062
22	4	42	340.031677
23	4	42	356.031586
24	4	62	356.031586
25	4	63	356.031586
26	4	30	356.031586
27	4	0	356.031586
28	4	1	356.031586
29	4	1	308.031738
30	4	0	12.77605
31	4	0	0.775972
32	4	1	0.775972
33	4	1	0.775972
34	4	1	0.775972
35	4	1	0.775972
36	4	0	0.775972
37	4	0	0.775972
38	4	1	0.775972
39	4	1	28.776068
40	4	64	332.031708
41	4	65	324.031738
42	4	66	320.031738
43	4	1	328.031738
44	4	0	328.031738
45	4	0	264.031647
46	4	0	0.775972
47	4	59	0.775972
48	4	60	0.775972
49	4	61	0.775972
50	4	0	0.775972
51	4	1	0.775972
52	4	1	8.776001
53	4	0	12.77605
54	4	1	0.775972
55	4	0	0.775972
56	4	0	-7.224095
57	4	1	212.776184
58	4	1	344.031677
59	4	1	356.031586
60	4	21	292.031677
61	4	10	0.775972
62	4	10	0.775972
63	4	10	0.775972
64	4	10	0.775972
65	4	10	0.775972
66	4	10	0.775972
67	4	10	0.775972
68	4	10	0.775972
69	4	67	0.775972
70	4	3	0.775972
71	4	3	0.775972
72	4	5	0.775972
73	4	7	0.775972
74	4	0	0.775972
75	4	1	0.775972
76	4	1	0.775972
77	4	0	0.775972
78	4	0	0.775972
79	4	0	0.775972
80	4	1	0.775972
81	4	0	0.775972
82	4	0	0.775972
83	4	0	0.775972
84	4	0	0.775972
85	4	0	0.775972
86	4	0	0.775972
87	4	1	0.775972
88	4	1	0.775972
89	4	0	0.775972
90	4	0	0.775972
91	4	0	0.775972
92	4	1	0.775972
93	4	1	0.775972
94	4	1	0.775972
95	4	1	0.775972
96	4	0	0.775972
97	4	0	0.775972
98	4	1	0.775972
99	4	0	0.775972
100	4	0	0.775972
101	4	1	0.775972
102	4	1	0.775972
103	4	1	0.775972
104	4	1	0.775972
105	4	21	0.775972
106	4	10	0.775972
107	4	10	0.775972
108	4	68	0.775972
109	4	69	0.775972
110	4	10	0.775972
111	4	10	0.775972
112	4	10	0.775972
113	4	10	0.775972
114	4	10	0.775972
115	4	10	0.775972
116	4	10	0.775972
117	4	10	0.775972
118	4	10	0.775972
119	4	10	0.775972
120	4	10	0.775972
121	4	10	0.775972
122	4	10	0.775972
123	4	10	0.775972
124	4	0	0.775972
125	4	0	0.775972
126	4	0	0.775972
127	4	0	0.775972
128	4	1	0
0	5	0	0
1	5	0	0.775972
2	5	1	0.775972
3	5	1	0.775972
4	5	1	144.77594
5	5	0	176.776031
6	5	0	188.776108
7	5	1	184.776077
8	5	1	184.776077
9	5	1	176.776031
10	5	1	0.775972
11	5	1	0.775972
12	5	0	0.775972
13	5	1	0.775972
14	5	0	0.775972
15	5	25	0.775972
16	5	26	0.775972
17	5	41	0.775972
18	5	42	0.775972
19	5	42	0.775972
20	5	42	0.775972
21	5	42	20.776052
22	5	42	332.031708
23	5	70	348.031647
24	5	71	356.031586
25	5	72	356.031586
26	5	1	356.031586
27	5	0	356.031586
28	5	0	356.031586
29	5	0	316.031738
30	5	1	76.776108
