x	y	texture	height
0	0	0	0
1	0	1	0
2	0	2	0
3	0	0	0
4	0	0	0
5	0	1	0
6	0	1	0
7	0	1	0
8	0	2	0
9	0	2	0
10	0	0	0
11	0	1	0
12	0	0	0
13	0	2	0
14	0	1	0
15	0	2	0
16	0	2	0
17	0	3	0
18	0	3	0
19	0	1	0
20	0	0	0
21	0	3	0
22	0	2	0
23	0	0	0
24	0	0	0
25	0	2	0
26	0	3	0
27	0	2	0
28	0	3	0
29	0	1	0
30	0	1	0
31	0	3	0
32	0	0	0
33	0	0	0
34	0	3	0
35	0	1	0
36	0	0	0
37	0	2	0
38	0	0	0
39	0	2	0
40	0	0	0
41	0	3	0
42	0	3	0
43	0	4	0
44	0	5	0
45	0	3	0
46	0	2	0
47	0	2	0
48	0	0	0
49	0	2	0
50	0	3	0
51	0	1	0
52	0	3	0
53	0	1	0
54	0	0	0
55	0	3	0
56	0	3	0
57	0	2	0
58	0	1	0
59	0	1	0
60	0	2	0
61	0	3	0
62	0	3	0
63	0	1	0
64	0	1	0
65	0	1	0
66	0	0	0
67	0	2	0
68	0	3	0
69	0	3	0
70	0	0	0
71	0	2	0
72	0	1	0
73	0	2	0
74	0	1	0
75	0	3	0
76	0	1	0
77	0	0	-0.396311
78	0	3	-1.134608
79	0	2	-2.148066
80	0	3	-2.89681
81	0	0	-3.42044
82	0	1	-3.805285
83	0	1	-3.943015
84	0	3	-3.805918
85	0	0	-3.605964
86	0	3	-3.178707
87	0	1	-2.52562
88	0	0	-1.798678
89	0	3	-1.136355
90	0	0	-0.573003
91	0	0	-0.129645
92	0	1	0
93	0	1	0
94	0	0	0
95	0	1	0
96	0	2	0
97	0	0	0
98	0	0	0
99	0	1	0
100	0	0	0
101	0	0	0
102	0	1	0
103	0	2	0
104	0	3	0
105	0	2	0
106	0	1	0
107	0	0	0
108	0	0	0
109	0	3	0
110	0	2	0
111	0	3	0
112	0	2	0
113	0	3	0
114	0	0	0
115	0	3	0
116	0	0	0
117	0	1	0
118	0	2	0
119	0	3	0
120	0	0	0
121	0	0	0
122	0	1	0
123	0	2	0
124	0	2	0
125	0	0	0
126	0	2	0
127	0	1	0
128	0	1	0
0	1	3	0
1	1	2	0
2	1	1	0
3	1	1	0
4	1	3	0
5	1	2	0
6	1	0	0
7	1	2	0
8	1	3	0
9	1	0	0
10	1	0	0
11	1	0	0
12	1	0	0
13	1	1	0
14	1	3	0
15	1	0	0
16	1	3	0
17	1	3	0
18	1	2	0
19	1	2	0
20	1	3	0
21	1	2	0
22	1	1	0
23	1	0	0
24	1	2	0
25	1	2	0
26	1	2	0
27	1	3	0
28	1	2	0
29	1	1	0
30	1	3	0
31	1	1	0
32	1	0	0
33	1	0	0
34	1	3	0
35	1	0	0
36	1	2	0
37	1	2	0
38	1	2	0
39	1	1	0
40	1	2	0
41	1	2	0
42	1	6	0
43	1	7	0
44	1	8	0
45	1	8	0
46	1	8	0
47	1	8	0
48	1	5	0
49	1	1	0
50	1	3	0
51	1	0	0
52	1	2	0
53	1	0	0
54	1	3	0
55	1	1	0
56	1	1	0
57	1	1	0
58	1	1	0
59	1	1	0
60	1	0	0
61	1	1	0
62	1	3	0
63	1	3	0
64	1	2	0
65	1	0	0
66	1	2	0
67	1	1	0
68	1	3	0
69	1	1	0
70	1	2	0
71	1	2	0
72	1	1	0
73	1	3	0
74	1	0	-0.200205
75	1	1	-1.850042
76	1	2	-3.685865
77	1	0	-5.826206
78	1	1	-7.764166
79	1	0	-9.113923
80	1	1	-9.774435
81	1	3	-9.88366
82	1	1	-9.40046
83	1	2	-8.637842
84	1	1	-7.750761
85	1	0	-6.663752
86	1	3	-5.595366
87	1	3	-4.654481
88	1	0	-3.509641
89	1	2	-2.404105
90	1	3	-1.482625
91	1	0	-0.72963
92	1	3	-0.172775
93	1	1	0
94	1	0	0
95	1	1	0
96	1	1	0
97	1	1	0
98	1	2	0
99	1	1	0
100	1	0	0
101	1	3	0
102	1	1	0
103	1	1	0
104	1	0	0
105	1	2	0
106	1	0	0
107	1	1	0
108	1	1	0
109	1	3	0
110	1	3	0
111	1	2	0
112	1	3	0
113	1	0	0
114	1	2	0
115	1	0	0
116	1	3	0
117	1	1	0
118	1	2	0
119	1	3	0
120	1	2	0
121	1	0	0
122	1	1	0
123	1	0	0
124	1	2	0
125	1	0	0
126	1	2	0
127	1	2	0
128	1	3	0
0	2	2	0
1	2	1	0
2	2	2	0
3	2	0	0
4	2	2	0
5	2	2	0
6	2	1	0
7	2	0	0
8	2	2	0
9	2	1	0
10	2	0	0
11	2	0	0
12	2	0	0
13	2	3	0
14	2	0	0
15	2	0	0
16	2	0	0
17	2	1	0
18	2	3	0
19	2	3	0
20	2	1	0
21	2	3	0
22	2	0	0
23	2	0	0
24	2	3	0
25	2	3	0
26	2	0	0
27	2	2	0
28	2	3	0
29	2	1	0
30	2	0	0
31	2	4	0
32	2	8	0
33	2	8	0
34	2	8	0
35	2	8	0
36	2	5	0
37	2	0	0
38	2	2	0
39	2	1	0
40	2	4	0
41	2	9	0
42	2	10	0
43	2	11	0
44	2	12	0
45	2	12	0
46	2	12	0
47	2	7	0
48	2	8	0
49	2	5	0
50	2	2	0
51	2	0	0
52	2	1	0
53	2	1	0
54	2	2	0
55	2	2	0
56	2	3	0
57	2	1	0
58	2	3	0
59	2	3	0
60	2	0	0
61	2	1	0
62	2	0	0
63	2	1	0
64	2	3	0
65	2	3	0
66	2	1	0
67	2	0	0
68	2	2	0
69	2	1	0
70	2	1	0
71	2	3	0
72	2	0	0
73	2	13	-1.605036
74	2	14	-4.544635
75	2	14	-7.56691
76	2	14	-11.172648
77	2	14	-14.306477
78	2	15	-17.216825
79	2	0	-19.61986
80	2	13	-20.808475
81	2	14	-20.581367
82	2	14	-18.928303
83	2	14	-16.42082
84	2	15	-14.082664
85	2	0	-11.967401
86	2	2	-9.955984
87	2	3	-7.771334
88	2	2	-5.880535
89	2	3	-3.911964
90	2	3	-2.554308
91	2	3	-1.409384
92	2	2	-0.61404
93	2	0	-0.086478
94	2	2	0
95	2	2	0
96	2	2	0
97	2	1	0
98	2	2	0
99	2	1	0
100	2	2	0
101	2	0	0
102	2	1	0
103	2	3	0
104	2	3	0
105	2	3	0
106	2	1	0
107	2	2	0
108	2	1	0
109	2	3	0
110	2	1	0
111	2	2	0
112	2	0	0
113	2	0	0
114	2	3	0
115	2	3	0
116	2	3	0
117	2	1	0
118	2	2	0
119	2	1	0
120	2	3	0
121	2	1	0
122	2	1	0
123	2	0	0
124	2	1	0
125	2	2	0
126	2	3	0
127	2	1	0
128	2	1	0
0	3	2	0
1	3	2	0
2	3	1	0
3	3	2	0
4	3	1	0
5	3	0	0
6	3	2	0
7	3	1	0
8	3	2	0
9	3	2	0
10	3	3	0
11	3	1	0
12	3	3	0
13	3	3	0
14	3	0	0
15	3	1	0
16	3	1	0
17	3	2	0
18	3	3	0
19	3	2	0
20	3	2	0
21	3	2	0
22	3	2	0
23	3	0	0
24	3	2	0
25	3	4	0
26	3	8	0
27	3	8	0
28	3	8	0
29	3	8	0
30	3	16	0
31	3	17	0
32	3	17	0
33	3	11	0
34	3	12	0
35	3	7	0
36	3	8	0
37	3	8	0
38	3	8	0
39	3	16	0
40	3	7	0
41	3	16	0
42	3	11	0
43	3	17	0
44	3	12	0
45	3	11	0
46	3	12	0
47	3	11	0
48	3	7	0
49	3	8	0
50	3	8	0
51	3	5	0
52	3	2	0
53	3	2	0
54	3	3	0
55	3	0	0
56	3	2	0
57	3	0	0
58	3	0	0
59	3	1	0
60	3	0	0
61	3	3	0
62	3	2	0
63	3	2	0
64	3	0	0
65	3	0	0
66	3	2	0
67	3	0	0
68	3	0	0
69	3	0	0
70	3	13	0
71	3	14	-0.163191
72	3	18	-2.708488
73	3	19	-6.676428
74	3	20	-10.847133
75	3	20	-16.000118
76	3	21	-21.465614
77	3	22	-27.02997
78	3	14	-31.420961
79	3	18	-34.307663
80	3	23	-35.352753
81	3	23	-34.328949
82	3	19	-33.992043
83	3	24	-32.796581
84	3	13	-30.100628
85	3	15	-26.655388
86	3	1	-22.591902
87	3	0	-18.11541
88	3	3	-13.641733
89	3	0	-9.18434
90	3	3	-5.682557
91	3	1	-3.065349
92	3	2	-1.8938
93	3	1	-1.03271
94	3	3	-0.525051
95	3	3	-0.343005
96	3	1	-0.049779
97	3	1	0
98	3	3	0
99	3	1	0
100	3	0	0
101	3	2	0
102	3	2	0
103	3	3	0
104	3	2	0
105	3	1	0
106	3	3	0
107	3	1	0
108	3	3	0
109	3	2	0
110	3	2	0
111	3	1	0
112	3	2	0
113	3	0	0
114	3	3	0
115	3	0	0
116	3	1	0
117	3	1	0
118	3	0	0
119	3	1	0
120	3	1	0
121	3	3	0
122	3	0	0
123	3	1	0
124	3	1	0
125	3	3	0
126	3	1	0
127	3	3	0
128	3	0	0
0	4	1	0
1	4	3	0
2	4	1	0
3	4	2	0
4	4	1	0
5	4	2	0
6	4	0	0
7	4	1	0
8	4	3	0
9	4	0	0
10	4	1	0
11	4	3	0
12	4	0	0
13	4	3	0
14	4	3	0
15	4	3	0
16	4	1	0
17	4	2	0
18	4	3	0
19	4	2	0
20	4	2	0
21	4	1	0
22	4	1	0
23	4	2	0
24	4	25	0
25	4	26	0
26	4	26	0
27	4	26	0
28	4	27	0
29	4	10	0
30	4	17	0
31	4	17	0
32	4	11	0
33	4	12	0
34	4	17	0
35	4	12	0
36	4	17	0
37	4	11	0
38	4	12	0
39	4	17	0
40	4	12	0
41	4	17	0
42	4	12	0
43	4	12	0
44	4	12	0
45	4	11	0
46	4	11	0
47	4	11	0
48	4	28	0
49	4	29	0
50	4	30	0
51	4	3	0
52	4	3	0
53	4	0	0
54	4	1	0
55	4	1	0
56	4	2	0
57	4	2	0
58	4	0	0
59	4	0	0
60	4	2	0
61	4	3	0
62	4	0	0
63	4	3	0
64	4	0	0
65	4	2	0
66	4	2	0
67	4	0	0
68	4	31	0
69	4	32	0
70	4	20	-0.238435
71	4	33	-2.968128
72	4	34	-7.432922
73	4	35	-12.522992
74	4	36	-19.098377
75	4	37	-27.350197
76	4	20	-36.936893
77	4	20	-45.885761
78	4	38	-53.077328
79	4	39	-56.897907
80	4	40	-58.771271
81	4	41	-60.979134
82	4	42	-60.395512
83	4	32	-57.373768
84	4	43	-52.273762
85	4	14	-46.145847
86	4	15	-41.175068
87	4	3	-35.516178
88	4	2	-29.0233
89	4	3	-22.548138
90	4	0	-15.319907
91	4	3	-9.26421
92	4	0	-5.310021
93	4	2	-3.838406
94	4	2	-3.298519
95	4	2	-2.747356
96	4	0	-2.042731
97	4	2	-1.121581
98	4	3	-0.207586
99	4	2	0
100	4	0	0
101	4	0	0
102	4	0	0
103	4	3	0
104	4	44	0
105	4	45	0
106	4	45	0
107	4	46	0
108	4	2	0
109	4	2	0
110	4	1	0
111	4	1	0
112	4	3	0
113	4	0	0
114	4	1	0
115	4	3	0
116	4	1	0
117	4	3	0
118	4	3	0
119	4	0	0
120	4	2	0
121	4	3	0
122	4	0	0
123	4	1	0
124	4	0	0
125	4	2	0
126	4	2	0
127	4	2	0
128	4	3	0
0	5	3	0
1	5	1	0
2	5	0	0
3	5	3	0
4	5	2	0
5	5	3	0
6	5	1	0
7	5	3	0
8	5	0	0
9	5	3	0
10	5	2	0
11	5	3	0
12	5	1	0
13	5	0	0
14	5	2	0
15	5	2	0
16	5	3	0
17	5	0	0
18	5	3	0
19	5	3	0
20	5	3	0
21	5	13	0
22	5	14	0
23	5	18	0
24	5	47	0
25	5	39	0
26	5	48	0
27	5	22	0
28	5	49	-0.083518
29	5	11	-0.411199
30	5	11	-0.84251
31	5	28	-1.190918
32	5	29	-1.508373
33	5	10	-1.575919
34	5	28	-1.458775
35	5	10	-1.257503
36	5	17	-0.865184
37	5	17	-0.471027
38	5	12	-0.137998
39	5	17	0
40	5	11	0
41	5	17	0
42	5	12	0
43	5	17	0
44	5	28	0
45	5	10	0
46	5	12	0
47	5	7	0
48	5	8	0
49	5	5	0
50	5	1	0
51	5	0	0
52	5	2	0
53	5	0	0
54	5	2	0
55	5	2	0
56	5	1	0
57	5	2	0
58	5	0	0
59	5	3	0
60	5	3	0
61	5	0	0
62	5	3	0
63	5	1	0
64	5	0	0
65	5	3	0
66	5	31	0
67	5	50	0
68	5	51	0
69	5	52	-0.023876
70	5	53	-2.464285
71	5	54	-6.75679
72	5	55	-12.41357
73	5	36	-21.032955
74	5	36	-33.804142
75	5	56	-48.346649
76	5	56	-63.338284
77	5	57	-76.293129
78	5	58	-85.416473
79	5	59	-90.862579
80	5	60	-95.502289
81	5	56	-95.473907
82	5	56	-92.702965
83	5	37	-87.181396
84	5	20	-80.885315
85	5	43	-73.207809
86	5	14	-65.520103
87	5	15	-58.281216
88	5	1	-49.875805
89	5	2	-41.291676
90	5	3	-32.516289
91	5	3	-24.008307
92	5	1	-17.998297
93	5	3	-14.06589
94	5	3	-11.672809
95	5	0	-10.449562
96	5	1	-8.404864
97	5	1	-5.887509
98	5	1	-3.203751
99	5	2	-1.001892
100	5	44	0
101	5	45	0
102	5	45	0
103	5	61	0
104	5	62	0
105	5	63	0
106	5	64	0
107	5	46	0
108	5	1	0
109	5	0	4.25391
110	5	2	5.528058
111	5	0	0.141929
112	5	1	0
113	5	2	0
114	5	2	0
115	5	1	0
116	5	1	0
117	5	3	0
118	5	1	0
119	5	2	0
120	5	3	0
121	5	2	0
122	5	3	0
123	5	3	0
124	5	2	0
125	5	2	0
126	5	2	0
127	5	1	0
128	5	2	0
0	6	1	0
1	6	0	0
2	6	2	0
3	6	1	0
4	6	2	0
5	6	1	0
6	6	1	0
7	6	2	0
8	6	0	0
9	6	0	0
10	6	0	0
11	6	2	0
12	6	0	0
13	6	2	0
14	6	0	0
15	6	0	0
16	6	3	0
17	6	13	0
18	6	14	0
19	6	14	0
20	6	18	0
21	6	19	0
22	6	20	0
23	6	65	0
24	6	66	0
25	6	67	-0.221944
