x	y	texture	height
0	0	0	0
1	0	1	0
2	0	0	0
3	0	2	0
4	0	0	0
5	0	2	0
6	0	1	0
7	0	2	0
8	0	1	0
9	0	1	0
10	0	2	0
11	0	1	0
12	0	0	0
13	0	1	0
14	0	1	0
15	0	0	0
16	0	0	0
17	0	1	0
18	0	2	0
19	0	0	0
20	0	0	0
21	0	2	0
22	0	0	0
23	0	1	0
24	0	1	0
25	0	2	0
26	0	0	0
27	0	0	0
28	0	0	0
29	0	0	0
30	0	0	0
31	0	1	0
32	0	0	0
33	0	1	0
34	0	0	0
35	0	2	0
36	0	2	0
37	0	1	0
38	0	2	0
39	0	1	0
40	0	2	0
41	0	0	0
42	0	1	0
43	0	0	0
44	0	2	0
45	0	0	0
46	0	0	0
47	0	2	0
48	0	1	0
49	0	0	0
50	0	1	0
51	0	1	0
52	0	1	0
53	0	2	0
54	0	2	0
55	0	0	0
56	0	0	0
57	0	0	0
58	0	2	0
59	0	1	0
60	0	2	0
61	0	0	0
62	0	1	0
63	0	2	0
64	0	1	0
65	0	1	0
66	0	0	0
67	0	2	0
68	0	2	0
69	0	1	0
70	0	1	0
71	0	1	0
72	0	1	0
73	0	1	0
74	0	1	0
75	0	0	0
76	0	0	0
77	0	2	0
78	0	2	0
79	0	1	0
80	0	1	0
81	0	2	0
82	0	2	0
83	0	2	0
84	0	1	0
85	0	1	0
86	0	1	0
87	0	1	0
88	0	0	0
89	0	0	0
90	0	1	0
91	0	1	0
92	0	0	0
93	0	1	0
94	0	1	0
95	0	1	0
96	0	2	0
97	0	1	0
98	0	1	0
99	0	1	0
100	0	1	0
101	0	2	0
102	0	0	0
103	0	0	0
104	0	0	0
105	0	1	0
106	0	2	0
107	0	1	0
108	0	1	0
109	0	0	0
110	0	2	0
111	0	2	0
112	0	0	0
113	0	1	0
114	0	0	0
115	0	2	0
116	0	2	0
117	0	1	0
118	0	0	0
119	0	0	0
120	0	0	0
121	0	2	0
122	0	2	0
123	0	2	0
124	0	1	0
125	0	0	0
126	0	1	0
127	0	0	0
128	0	2	0
0	1	2	0
1	1	1	0
2	1	2	0
3	1	2	0
4	1	2	0
5	1	1	0
6	1	2	0
7	1	1	0
8	1	2	0
9	1	0	0
10	1	1	0
11	1	1	0
12	1	1	0
13	1	1	0
14	1	0	0
15	1	1	0
16	1	2	0
17	1	1	0
18	1	0	0
19	1	0	0
20	1	1	0
21	1	0	0
22	1	0	0
23	1	1	0
24	1	0	0
25	1	0	0
26	1	0	0
27	1	2	0
28	1	1	0
29	1	2	0
30	1	1	0
31	1	3	0
32	1	4	0
33	1	1	1.818
34	1	2	1.818
35	1	2	1.818
36	1	3	1.818
37	1	4	1.818
38	1	2	1.818
39	1	2	1.818
40	1	1	0
41	1	3	0
42	1	4	0
43	1	1	0
44	1	1	0
45	1	0	2.382
46	1	0	2.382
47	1	2	2.382
48	1	2	0
49	1	0	0
50	1	2	0
51	1	0	1.159746
52	1	0	0
53	1	0	0
54	1	0	0
55	1	0	0
56	1	1	0
57	1	1	2.505884
58	1	2	1.430416
59	1	2	3.88163
60	1	0	5.674507
61	1	1	5.845268
62	1	2	0.455748
63	1	2	0.905613
64	1	2	6.70095
65	1	0	6.958267
66	1	0	1.327315
67	1	1	0
68	1	0	0
69	1	1	0
70	1	1	0
71	1	5	0
72	1	6	0
73	1	7	0
74	1	0	0
75	1	0	0
76	1	2	0
77	1	2	0
78	1	1	0
79	1	1	0
80	1	0	0
81	1	1	0.968522
82	1	1	7.418973
83	1	1	9.126503
84	1	0	5.028605
85	1	1	0.315916
86	1	0	0
87	1	0	0
88	1	1	0
89	1	2	0
90	1	2	0
91	1	2	0
92	1	0	0
93	1	0	0
94	1	2	0
95	1	8	0
96	1	9	0
97	1	1	0
98	1	0	0
99	1	0	0
100	1	1	0
101	1	0	0
102	1	1	0
103	1	2	0
104	1	2	0
105	1	2	0
106	1	2	0
107	1	1	0
108	1	2	0
109	1	0	0
110	1	2	0
111	1	1	0
112	1	2	0
113	1	2	0
114	1	1	0
115	1	1	0
116	1	2	0
117	1	2	0
118	1	1	0
119	1	0	0
120	1	2	0
121	1	0	0
122	1	0	1.624679
123	1	2	12.220031
124	1	1	24.034821
125	1	1	20.465683
126	1	2	8.11827
127	1	0	0.159633
128	1	1	0
0	2	10	0
1	2	11	0
2	2	12	0
3	2	0	5.395465
4	2	1	0
5	2	2	0
6	2	1	0.021139
7	2	13	0.105968
8	2	12	0
9	2	0	0
10	2	0	0
11	2	1	0
12	2	0	0
13	2	0	0
14	2	2	0
15	2	2	0
16	2	0	0
17	2	1	0
18	2	2	0
19	2	3	0
20	2	4	0
21	2	0	0
22	2	1	0
23	2	0	0
24	2	2	0
25	2	2	0
26	2	1	0
27	2	2	0
28	2	0	0
29	2	0	0
30	2	14	0.107188
31	2	15	0
32	2	2	0
33	2	3	0
34	2	4	1.818
35	2	14	1.818
36	2	15	1.818
37	2	2	1.818
38	2	2	1.818
39	2	2	1.818
40	2	16	1.818
41	2	17	0
42	2	2	4.076355
43	2	1	3.155029
44	2	1	3.788953
45	2	1	2.994138
46	2	0	1.690924
47	2	2	1.528219
48	2	2	1.917775
49	2	0	20.626781
50	2	5	19.602781
51	2	6	19.792799
52	2	7	21.867069
53	2	3	0
54	2	4	5.117556
55	2	0	12.380743
56	2	1	16.980839
57	2	1	20.128778
58	2	2	9.706807
59	2	0	8.720936
60	2	5	43.154934
61	2	7	13.874015
62	2	2	6.025871
63	2	1	-0.020474
64	2	0	12.192221
65	2	0	14.742354
66	2	2	0
67	2	2	0
68	2	1	0
69	2	5	0
70	2	18	0
71	2	19	0
72	2	20	0
73	2	0	0
74	2	2	0
75	2	0	0
76	2	2	0
77	2	2	0
78	2	1	0
79	2	0	0
80	2	5	2.840533
81	2	7	9.241235
82	2	2	17.789038
83	2	2	20.175795
84	2	1	11.006183
85	2	1	1.825108
86	2	1	0
87	2	2	0
88	2	2	0
89	2	0	0
90	2	2	0
91	2	0	0
92	2	1	0
93	2	0	0
94	2	21	0
95	2	22	0
96	2	0	0
97	2	0	0
98	2	2	0
99	2	0	0
100	2	0	0
101	2	0	0
102	2	1	0
103	2	1	0
104	2	2	0
105	2	1	0
106	2	8	0
107	2	9	0
108	2	1	0
109	2	1	0
110	2	2	0
111	2	0	0
112	2	0	0
113	2	1	0
114	2	2	0
115	2	0	0
116	2	1	0
117	2	1	0
118	2	8	0
119	2	9	0
120	2	0	0
121	2	0	0
122	2	2	0.285681
123	2	2	5.384871
124	2	0	11.606262
125	2	1	9.993805
126	2	2	1.931329
127	2	13	0
128	2	23	0
0	3	24	0
1	3	25	0
2	3	12	0
3	3	13	10.114355
4	3	12	0.222031
5	3	0	4.394001
6	3	26	7.392717
7	3	27	4.911676
8	3	1	1.636242
9	3	0	0
10	3	1	0
11	3	3	0
12	3	28	0
13	3	28	0
14	3	4	0
15	3	0	0
16	3	3	0
17	3	28	0
18	3	29	0
19	3	15	0
20	3	1	0.028144
21	3	1	0.038724
22	3	0	1.187379
23	3	2	3.208137
24	3	30	1.915821
25	3	31	0
26	3	0	0
27	3	0	0
28	3	1	3.849174
29	3	2	10.935263
30	3	2	8.306911
31	3	3	1.906583
32	3	29	0
33	3	15	0
34	3	0	0
35	3	1	1.818
36	3	1	1.818
37	3	5	1.818
38	3	6	1.818
39	3	32	1.646981
40	3	33	11.564945
41	3	28	0.903725
42	3	4	-0.941488
43	3	3	0.609167
44	3	4	-6.381663
45	3	3	-5.077082
46	3	4	12.320815
47	3	2	12.285621
48	3	0	8.403692
49	3	34	4.802105
50	3	19	11.352435
51	3	20	4.996366
52	3	16	29.994507
53	3	17	28.951607
54	3	2	0.700248
55	3	2	7.597346
56	3	0	11.282497
57	3	2	13.214063
58	3	0	32.893295
59	3	34	13.934377
60	3	20	-0.996268
61	3	2	2.144386
62	3	1	-4.195761
63	3	0	-9.50669
64	3	2	4.076462
65	3	0	6.088688
66	3	2	5.917533
67	3	1	0
68	3	35	-1.528734
69	3	36	-0.338736
70	3	37	0
71	3	6	0
72	3	7	2.427333
73	3	0	10.957933
74	3	1	14.418451
75	3	0	9.894011
76	3	0	3.292857
77	3	5	0
78	3	6	0
79	3	38	4.650276
80	3	39	20.628702
81	3	1	37.81406
82	3	2	37.408878
83	3	0	23.970047
84	3	1	9.756902
85	3	1	1.14422
86	3	0	0
87	3	0	0
88	3	0	0
89	3	1	0
90	3	1	0
91	3	0	0
92	3	1	0
93	3	40	0
94	3	41	0
95	3	2	0
96	3	2	0
97	3	1	0
98	3	2	0
99	3	8	0
100	3	9	0
101	3	1	0
102	3	1	0
103	3	2	0
104	3	2	0
105	3	40	0
106	3	41	0
107	3	0	0
108	3	0	0
109	3	1	0
110	3	0	0
111	3	0	0
112	3	8	0
113	3	9	0
114	3	0	0
115	3	0	0
116	3	0	0
117	3	40	0
118	3	41	0
119	3	1	0
120	3	0	0
121	3	0	0
122	3	2	0
123	3	2	0.050191
124	3	0	0.558719
125	3	2	0
126	3	26	0
127	3	42	0
128	3	43	0
0	4	44	0
1	4	45	0
2	4	46	10.431249
3	4	45	11.329843
4	4	0	11.815664
5	4	46	11.555929
6	4	45	19.369562
7	4	2	18.072895
8	4	1	8.239126
9	4	2	0.012096
10	4	14	0
11	4	47	0
12	4	47	0
13	4	15	0
14	4	2	0
15	4	14	0
16	4	48	0
17	4	49	0
18	4	0	0
19	4	1	3.937171
20	4	1	8.000178
21	4	1	6.122062
22	4	3	9.514232
23	4	50	16.697605
24	4	51	11.934548
25	4	52	1.931399
26	4	53	0
27	4	2	3.178473
28	4	2	15.589195
29	4	2	27.925816
30	4	14	25.031887
31	4	15	6.979427
32	4	0	0
33	4	1	0
34	4	1	1.409544
35	4	0	2.670787
36	4	34	2.711761
37	4	19	1.818
38	4	54	1.428821
39	4	55	-0.750728
40	4	47	0.104555
41	4	56	-6.208154
42	4	57	-4.798668
43	4	17	-0.095827
44	4	14	12.523838
45	4	56	18.394222
46	4	7	19.48604
47	4	3	21.366095
48	4	4	10.69064
49	4	1	7.13435
50	4	2	3.524249
51	4	14	6.876493
52	4	15	7.015188
53	4	5	12.774513
54	4	6	15.589179
55	4	7	10.978912
56	4	2	-5.759458
57	4	0	-3.584544
58	4	2	3.109339
59	4	0	-1.47307
60	4	1	-1.847881
61	4	0	1.966681
62	4	2	2.453795
63	4	2	-0.705453
64	4	0	-0.189813
65	4	1	0
66	4	1	-1.049585
67	4	35	-6.613171
68	4	58	-0.621856
69	4	59	0
70	4	60	-2.564054
71	4	39	4.154255
72	4	1	21.713079
73	4	0	41.51421
74	4	2	44.659004
75	4	5	27.937946
76	4	38	9.580196
77	4	61	0.902377
78	4	19	0.061564
79	4	20	18.609562
80	4	1	56.202118
81	4	1	72.121719
82	4	8	47.779358
83	4	9	19.039272
84	4	2	3.144531
85	4	0	0
86	4	1	0
87	4	8	0
88	4	9	0
89	4	1	0
90	4	0	0
91	4	0	0
92	4	0	0
93	4	0	0
94	4	0	0
95	4	1	0
96	4	2	0
97	4	0	0
98	4	40	0
99	4	41	0
100	4	0	0
101	4	1	0
102	4	2	0
103	4	2	0
104	4	2	0
105	4	1	0
106	4	2	0
107	4	1	0
108	4	2	0
109	4	0	0
110	4	1	0
111	4	40	0
112	4	41	0
113	4	1	0
114	4	1	0
115	4	1	0
116	4	1	0
117	4	2	0
118	4	2	0
119	4	1	0
120	4	0	0
121	4	0	0
122	4	1	0
123	4	1	0
124	4	1	0
125	4	46	0
126	4	62	0
127	4	24	0
128	4	25	0
0	5	63	0
1	5	64	0
2	5	0	0
3	5	0	0.491637
4	5	2	9.408324
5	5	1	19.874941
6	5	2	27.890717
7	5	2	25.242058
8	5	2	13.701369
9	5	10	3.061522
10	5	65	0
11	5	66	0
12	5	0	0
13	5	1	0
14	5	30	0
15	5	67	0
16	5	68	0
17	5	69	0.728333
18	5	52	9.83425
19	5	53	22.389805
20	5	1	24.812237
21	5	14	18.743786
22	5	70	32.940651
23	5	71	43.192619
24	5	72	35.413502
25	5	73	7.225461
26	5	0	0
27	5	0	7.662767
28	5	1	21.057423
29	5	0	33.899147
30	5	1	29.22254
31	5	0	7.473964
32	5	0	0.456616
33	5	2	3.360852
34	5	2	10.29762
35	5	2	12.203906
36	5	5	6.269706
37	5	38	3.062824
38	5	39	2.77966
39	5	2	1.916515
40	5	35	17.903404
41	5	55	5.981808
42	5	15	8.195815
43	5	3	0
44	5	74	16.588207
45	5	20	26.334618
46	5	75	19.701471
47	5	49	8.471337
48	5	0	0.063742
49	5	3	6.471764
50	5	76	3.640411
51	5	7	12.424056
52	5	34	1.962232
53	5	54	0
54	5	39	1.592431
55	5	1	2.947222
56	5	0	8.701741
57	5	2	8.33495
58	5	5	-1.091067
59	5	7	6.05716
60	5	0	2.769876
61	5	0	6.304777
62	5	0	2.919703
63	5	1	0
64	5	1	-8.643517
65	5	2	0
66	5	34	-1.289778
67	5	77	0
68	5	78	-6.598606
69	5	79	0
70	5	80	-5.474677
71	5	2	8.051644
72	5	0	31.076269
73	5	0	56.021793
74	5	34	53.651638
75	5	19	29.812803
76	5	20	9.325574
77	5	2	0.633879
78	5	0	2.639531
79	5	0	28.554123
80	5	1	67.582802
81	5	40	77.781113
82	5	41	40.715218
83	5	1	10.129284
84	5	2	0
85	5	0	0
86	5	40	0
87	5	41	0
88	5	2	0
89	5	0	0
90	5	1	0
91	5	2	0
92	5	2	0
93	5	0	0
94	5	2	0
95	5	0	0
96	5	1	0
97	5	0	0
98	5	1	0
99	5	2	0
100	5	1	0
101	5	1	0
102	5	1	0
103	5	2	0
104	5	1	0
105	5	0	0
106	5	81	0
107	5	82	0
108	5	83	0
109	5	83	0
110	5	83	0
111	5	84	0
112	5	85	0
113	5	0	0
114	5	1	0
115	5	1	0
116	5	0	0
117	5	2	0
118	5	0	0
119	5	0	0
120	5	2	0
121	5	0	0
122	5	1	0
123	5	0	0
124	5	2	0
125	5	46	0
126	5	25	0
127	5	86	0
128	5	87	0
