x	y	texture	height
0	0	0	0
1	0	0	0
2	0	1	0
3	0	2	0
4	0	3	0
5	0	4	0
6	0	0	0
7	0	5	0
8	0	0	0
9	0	6	0
10	0	4	0
11	0	5	0
12	0	7	0
13	0	5	0
14	0	5	0
15	0	7	0
16	0	0	0
17	0	0	0
18	0	8	0
19	0	9	0
20	0	10	0
21	0	8	0
22	0	9	0
23	0	10	0
24	0	0	0
25	0	1	0
26	0	11	0
27	0	12	0
28	0	13	0
29	0	14	0
30	0	15	0
31	0	16	0
32	0	2	0
33	0	2	0
34	0	2	0
35	0	15	0
36	0	2	0
37	0	2	0
38	0	15	0
39	0	16	0
40	0	2	0
41	0	2	0
42	0	2	0
43	0	17	0
44	0	18	0
45	0	2	0
46	0	16	0
47	0	15	0
48	0	2	0
49	0	17	0
50	0	19	0
51	0	18	0
52	0	17	0
53	0	19	0
54	0	19	0
55	0	20	0
56	0	21	0
57	0	18	0
58	0	17	0
59	0	18	0
60	0	2	0
61	0	15	0
62	0	22	0
63	0	23	0
64	0	24	0
65	0	16	0
66	0	15	0
67	0	2	0
68	0	25	0
69	0	26	0
70	0	27	0
71	0	28	0
72	0	29	0
73	0	24	0
74	0	22	0
75	0	30	0
76	0	15	0
77	0	16	0
78	0	15	0
79	0	16	0
80	0	15	0
81	0	16	0
82	0	15	0
83	0	2	0
84	0	15	0
85	0	2	0
86	0	2	0
87	0	16	0
88	0	31	0
89	0	32	0
90	0	33	0
91	0	34	0
92	0	16	0
93	0	2	0
94	0	35	0
95	0	36	0
96	0	36	0
97	0	37	0
98	0	38	0
99	0	39	0
100	0	15	0
101	0	16	0
102	0	35	0
103	0	36	0
104	0	40	0
105	0	41	0
106	0	41	0
107	0	42	0
108	0	43	0
109	0	44	0
110	0	30	0
111	0	35	0
112	0	45	0
113	0	46	0
114	0	47	0
115	0	30	0
116	0	16	0
117	0	15	0
118	0	2	0
119	0	17	0
120	0	19	0
121	0	19	0
122	0	18	0
123	0	15	0
124	0	48	0
125	0	24	0
126	0	16	0
127	0	16	0
128	0	0	0
0	1	0	0
1	1	1	2.572885
2	1	15	2.376647
3	1	49	2.042419
4	1	10	1.583429
5	1	5	1.013894
6	1	0	0.51486
7	1	5	0.223556
8	1	5	0.084816
9	1	8	0.02812
10	1	50	0.009561
11	1	50	0.002945
12	1	50	0.000455
13	1	51	0.000023
14	1	7	0
15	1	5	0
16	1	52	0
17	1	53	0
18	1	54	0.285957
19	1	55	0.613277
20	1	56	0.533354
21	1	14	0.116825
22	1	57	0
23	1	7	0
24	1	1	0
25	1	58	0
26	1	59	0
27	1	60	0
28	1	12	0
29	1	61	0
30	1	16	0
31	1	15	0
32	1	15	0
33	1	2	0
34	1	2	0
35	1	16	0
36	1	2	0
37	1	2	0
38	1	2	0
39	1	17	-0.001658
40	1	19	-0.400379
41	1	19	-3.447911
42	1	47	-5.925017
43	1	46	-7.261545
44	1	18	-6.947995
45	1	2	-6.499049
46	1	16	-4.403407
47	1	17	1.327226
48	1	47	1.862036
49	1	23	2.36311
50	1	21	1.877931
51	1	47	0.429882
52	1	23	0
53	1	62	0
54	1	30	0
55	1	48	0
56	1	24	0
57	1	48	0
58	1	24	0
59	1	17	0
60	1	19	0
61	1	20	0
62	1	24	0
63	1	2	0
64	1	17	0
65	1	18	0
66	1	16	0
67	1	63	0
68	1	28	0
69	1	64	0
70	1	65	0
71	1	66	0
72	1	19	0
73	1	47	0
74	1	30	0
75	1	16	0
76	1	2	0
77	1	16	0
78	1	16	0
79	1	15	0
80	1	15	0
81	1	15	0
82	1	2	0
83	1	16	0
84	1	15	0
85	1	31	0
86	1	67	0
87	1	32	0
88	1	33	0
89	1	68	0
90	1	69	0
91	1	15	0
92	1	16	0
