x	y	texture	height
0	0	0	0
1	0	0	0
2	0	0	0
3	0	1	0
4	0	2	0
5	0	2	0
6	0	3	0
7	0	4	0
8	0	5	0
9	0	6	0
10	0	7	0
11	0	4	0
12	0	5	0
13	0	6	0
14	0	4	0
15	0	4	0
16	0	6	0
17	0	4	0
18	0	7	0
19	0	5	0
20	0	6	0
21	0	4	0
22	0	6	0
23	0	4	0
24	0	6	0
25	0	4	0
26	0	5	0
27	0	5	0
28	0	6	0
29	0	7	0
30	0	4	0
31	0	6	0
32	0	7	0
33	0	4	0
34	0	5	0
35	0	5	0
36	0	5	0
37	0	5	0
38	0	4	0
39	0	5	0
40	0	8	0
41	0	9	0
42	0	6	0
43	0	6	0
44	0	4	0
45	0	8	0
46	0	10	0
47	0	11	0
48	0	11	0
49	0	12	0
50	0	13	0
51	0	14	0
52	0	10	0
53	0	10	0
54	0	11	0
55	0	11	0
56	0	9	0
57	0	4	0
58	0	7	0
59	0	5	0
60	0	5	0
61	0	4	0
62	0	15	0
63	0	16	0
64	0	16	0
65	0	13	0
66	0	13	0
67	0	13	0
68	0	17	0
69	0	16	0
70	0	16	0
71	0	13	0
72	0	17	0
73	0	13	0
74	0	13	0
75	0	13	0
76	0	13	0
77	0	16	0
78	0	17	0
79	0	16	0
80	0	17	0
81	0	13	0
82	0	17	0
83	0	13	0
84	0	13	0
85	0	16	0
86	0	17	0
87	0	17	0
88	0	16	0
89	0	13	0
90	0	18	0
91	0	19	0
92	0	4	0
93	0	6	0
94	0	6	0
95	0	5	0
96	0	5	0
97	0	4	0
98	0	5	0
99	0	20	0
100	0	21	0
101	0	22	0
102	0	13	0
103	0	23	0
104	0	5	0
105	0	6	0
106	0	6	0
107	0	4	0
108	0	5	0
109	0	6	0
110	0	6	0
111	0	5	0
112	0	5	0
113	0	6	0
114	0	6	0
115	0	7	0
116	0	7	0
117	0	5	0
118	0	6	0
119	0	6	0
120	0	6	0
121	0	7	0
122	0	7	0
123	0	4	0
124	0	6	0
125	0	5	0
126	0	4	0
127	0	7	0
128	0	24	0
0	1	10	0
1	1	0	-8.279296
2	1	10	-14.615164
3	1	0	-22.151188
4	1	0	-28.228249
5	1	9	-27.601608
6	1	6	-22.415854
7	1	5	-12.990462
8	1	7	-1.323781
9	1	7	7.454535
10	1	4	10.760892
11	1	4	14.629045
12	1	4	19.539692
13	1	4	24.413614
14	1	5	29.244732
15	1	6	35.310131
16	1	7	4.267686
17	1	7	15.707898
18	1	5	-0.833677
19	1	4	5.511649
20	1	4	16.638321
21	1	7	26.201702
22	1	4	34.482895
23	1	7	7.283317
24	1	6	14.720219
25	1	4	21.083744
26	1	7	24.044529
27	1	4	29.65332
28	1	7	35.130714
29	1	7	39.391083
30	1	5	43.341995
31	1	5	46.850742
32	1	5	50.693562
33	1	20	56.206497
34	1	25	60.858318
35	1	6	65.110519
36	1	4	69.386368
37	1	7	45.212723
38	1	26	49.928276
39	1	27	56.492874
40	1	9	63.120964
41	1	7	68.386253
42	1	26	72.415504
43	1	2	76.069275
44	1	27	78.791519
45	1	24	80.995651
46	1	24	82.790283
47	1	28	82.97197
48	1	29	81.238586
49	1	13	78.594315
50	1	14	52.293743
51	1	11	48.212811
52	1	24	44.010933
53	1	0	64.073761
54	1	0	58.613495
55	1	1	54.770836
56	1	2	50.874474
57	1	2	46.390957
58	1	2	69.875313
59	1	2	67.313324
60	1	30	63.687138
61	1	22	59.896622
62	1	16	54.733063
63	1	17	49.315334
64	1	17	43.429947
65	1	16	38.951233
66	1	17	43.714317
67	1	17	38.901691
68	1	13	32.45145
69	1	17	42.154091
70	1	17	39.205574
71	1	17	35.989841
72	1	17	31.61997
73	1	31	47.221783
74	1	32	44.898357
75	1	33	43.302273
