x	y	texture	height
0	0	0	0
1	0	1	0
2	0	2	0
3	0	3	0
4	0	4	0
5	0	5	0
6	0	6	0
7	0	7	0
8	0	8	0
9	0	9	0
10	0	10	0
11	0	11	0
12	0	11	0
13	0	12	0
14	0	1	0
15	0	13	0
16	0	11	0
17	0	14	0
18	0	15	0
19	0	16	0
20	0	17	0
21	0	18	0
22	0	19	0
23	0	20	0
24	0	21	0
25	0	22	0
26	0	23	0
27	0	14	0
28	0	2	0
29	0	24	0
30	0	25	0
31	0	26	0
32	0	27	0
33	0	28	0
34	0	29	0
35	0	9	0
36	0	9	0
37	0	30	0
38	0	3	0
39	0	11	0
40	0	12	0
41	0	1	0
42	0	31	0
43	0	32	0
44	0	33	0
45	0	34	0
46	0	35	0
47	0	36	0
48	0	3	0
49	0	22	0
50	0	35	0
51	0	37	0
52	0	38	0
53	0	33	0
54	0	34	0
55	0	38	0
56	0	35	0
57	0	38	0
58	0	39	0
59	0	40	0
60	0	9	0
61	0	0	0
62	0	41	0
63	0	9	0
64	0	9	0
65	0	9	0
66	0	42	0
67	0	43	0
68	0	44	0
69	0	35	0
70	0	45	0
71	0	42	0
72	0	46	0
73	0	47	0
74	0	9	0
75	0	30	0
76	0	25	0
77	0	30	0
78	0	24	0
79	0	3	0
80	0	13	0
81	0	48	0
82	0	42	0
83	0	34	0
84	0	39	0
85	0	32	0
86	0	37	0
87	0	39	0
88	0	32	0
89	0	49	0
90	0	50	0
91	0	13	0
92	0	11	0
93	0	14	0
94	0	11	0
95	0	2	0
96	0	24	0
97	0	51	0
98	0	52	0
99	0	1	0
100	0	14	0
101	0	14	0
102	0	13	0
103	0	14	0
104	0	14	0
105	0	13	0
106	0	14	0
107	0	11	0
108	0	13	0
109	0	11	0
110	0	14	0
111	0	13	0
112	0	53	0
113	0	54	0
114	0	55	0
115	0	53	0
116	0	56	0
117	0	57	0
118	0	58	0
119	0	59	0
120	0	60	0
121	0	59	0
122	0	61	0
123	0	60	0
124	0	62	0
125	0	63	0
126	0	63	0
127	0	59	0
128	0	10	0
0	1	2	0
1	1	25	5.707413
2	1	64	6.88302
3	1	65	10.164929
4	1	66	9.650468
5	1	67	5.32518
6	1	68	4.826193
7	1	69	6.055799
8	1	9	7.595921
9	1	64	11.236395
10	1	70	15.791151
11	1	3	18.865088
12	1	11	17.109161
13	1	13	10.449863
14	1	14	4.621862
15	1	11	2.157906
16	1	14	1.743252
17	1	71	2.869686
18	1	72	5.389092
19	1	73	6.581055
20	1	74	6.042471
21	1	75	3.971629
22	1	76	1.238377
23	1	49	0.627947
24	1	76	1.485944
25	1	49	6.83311
26	1	50	12.061148
27	1	48	12.770396
28	1	0	10.838398
29	1	52	7.261057
30	1	77	3.525777
31	1	78	1.201444
32	1	3	0.281597
33	1	48	0.050327
34	1	9	0.007088
35	1	9	0.000852
36	1	9	0.00009
37	1	10	0.000008
38	1	2	0.000002
39	1	3	0.000002
40	1	2	0.000003
41	1	79	0
42	1	76	0.000032
43	1	38	0.000254
44	1	38	0.001188
45	1	39	0.004792
46	1	40	0.018256
47	1	30	0.062979
48	1	80	0.18869
49	1	81	0.468104
50	1	35	0.994004
51	1	37	1.766758
52	1	38	2.559639
53	1	38	3.173728
54	1	37	3.49139
55	1	38	4.991359
56	1	39	5.852244
57	1	82	4.830909
58	1	12	2.123321
59	1	52	0
60	1	83	0
61	1	25	0
62	1	9	0
63	1	9	0.044432
64	1	9	1.724404
65	1	84	3.781564
66	1	85	5.193711
67	1	34	5.80086
68	1	35	5.516162
69	1	33	4.444539
70	1	34	3.061253
71	1	45	2.313615
72	1	42	2.280599
73	1	43	1.13955
74	1	9	0.383468
75	1	9	0.040192
76	1	9	0
77	1	9	0
78	1	30	0
79	1	24	0
80	1	86	0
81	1	87	0
82	1	88	0
83	1	89	0
84	1	80	0
85	1	81	0
86	1	49	0
87	1	90	0
88	1	91	0
89	1	82	0
90	1	92	0
91	1	50	0
92	1	13	0
93	1	2	0
94	1	25	0
95	1	0	0
96	1	1	0
97	1	13	0
98	1	11	0
99	1	14	0
100	1	11	0
101	1	11	0
102	1	14	0
103	1	11	0.000043
104	1	13	0.000096
105	1	11	0.000045
106	1	13	0.000018
107	1	13	0
108	1	13	0.000017
109	1	14	0.000866
110	1	14	0.002713
111	1	57	0.003953
112	1	55	0.003501
113	1	13	0.002976
114	1	57	0.00325
115	1	55	0.003785
116	1	53	0.003443
117	1	60	0.002308
118	1	62	0.001124
119	1	63	0.0004
120	1	62	0.000091
121	1	93	0.000008
122	1	58	0
123	1	62	0
124	1	93	0
125	1	58	0
126	1	63	0
127	1	83	0
128	1	25	0
0	2	42	0
1	2	94	5.784182
2	2	95	11.226408
3	2	70	15.992447
4	2	96	16.777655
5	2	97	15.345273
6	2	98	16.323072
7	2	99	17.23785
8	2	100	18.283184
9	2	98	20.724426
10	2	101	23.497236
11	2	3	25.482309
12	2	14	23.968554
13	2	14	17.166552
14	2	14	10.409842
15	2	13	6.859119
16	2	2	6.139278
17	2	24	7.425189
18	2	86	9.474649
19	2	102	10.516637
20	2	76	9.687946
21	2	39	7.335016
22	2	32	4.507915
23	2	103	3.430446
24	2	104	6.801601
25	2	105	15.377337
26	2	106	23.40543
27	2	83	25.13423
28	2	3	21.059916
29	2	12	14.396614
30	2	107	7.711473
31	2	108	2.77261
32	2	109	0.76664
33	2	110	0.168887
34	2	0	0.033083
35	2	41	0.006515
36	2	30	0.001248
37	2	51	0.000229
38	2	111	0.000064
39	2	112	0.000106
40	2	34	0.000213
41	2	35	0.000496
42	2	39	0.001506
43	2	32	0.005952
44	2	49	0.018222
45	2	113	0.050934
46	2	52	0.14413
47	2	114	0.40678
48	2	34	1.062244
49	2	37	2.461236
50	2	35	4.871237
51	2	37	8.467299
52	2	38	12.924189
53	2	37	16.963978
54	2	38	20.649057
55	2	49	22.362181
56	2	115	22.116106
57	2	115	18.607172
58	2	50	12.325293
59	2	48	5.189625
60	2	9	0.326378
61	2	9	0.001813
62	2	9	0.070012
63	2	9	1.005948
64	2	42	3.723434
65	2	34	6.359548
66	2	37	8.5581
67	2	35	10.484512
68	2	35	11.841179
69	2	116	12.247562
70	2	117	12.746055
71	2	34	15.562201
72	2	45	17.161095
73	2	0	12.528397
74	2	52	4.690938
75	2	41	2.33623
76	2	9	0.90796
77	2	0	0.012293
78	2	52	0
79	2	118	0.001405
80	2	36	0.000239
81	2	25	0.000022
82	2	9	0.000002
83	2	9	0.000001
84	2	44	0.000001
85	2	35	0.000001
86	2	49	0
87	2	115	0.000001
88	2	50	0.000001
89	2	31	0.000002
90	2	119	0.000003
91	2	3	0.000002
92	2	48	0
93	2	0	0
94	2	1	0
95	2	11	0
96	2	11	0
97	2	14	0
98	2	11	0
99	2	11	0
100	2	11	0.000143
101	2	13	0.002033
102	2	11	0.011022
103	2	11	0.026693
104	2	14	0.039399
105	2	13	0.038674
106	2	11	0.024538
107	2	13	0.028843
108	2	14	0.093302
109	2	13	0.146738
110	2	14	0.157008
111	2	92	0.133836
112	2	50	0.100158
113	2	13	0.094155
114	2	53	0.116496
115	2	60	0.13185
116	2	93	0.1226
117	2	58	0.088822
118	2	62	0.048792
119	2	120	0.01939
120	2	121	0.005399
121	2	60	0.001013
122	2	63	0.000153
123	2	122	0.000008
124	2	123	0
125	2	62	0
126	2	86	0
127	2	124	0
128	2	34	0
0	3	125	0
1	3	126	5.022258
2	3	127	10.800032
3	3	64	16.598682
4	3	128	19.489687
5	3	129	21.232559
6	3	130	22.873091
7	3	131	23.97979
8	3	130	24.617479
9	3	132	25.241539
10	3	1	26.443094
11	3	14	27.295326
12	3	14	25.736099
13	3	2	20.826815
14	3	3	16.09269
15	3	12	13.429428
16	3	52	12.94591
17	3	133	13.764737
18	3	81	14.881814
19	3	39	15.079381
20	3	75	13.725899
21	3	90	11.072425
22	3	134	8.19721
23	3	135	7.181066
24	3	136	10.50641
25	3	66	17.812202
26	3	48	25.102072
27	3	10	27.232336
28	3	14	23.592793
29	3	137	16.735031
30	3	138	9.517541
31	3	138	4.193048
32	3	27	1.462613
33	3	83	0.456775
34	3	51	0.13741
35	3	52	0.040432
36	3	1	0.011908
37	3	31	0.003682
38	3	88	0.001658
39	3	81	0.001998
40	3	35	0.004614
41	3	49	0.010528
42	3	90	0.025613
43	3	91	0.061806
44	3	75	0.143454
45	3	115	0.307582
46	3	76	0.676358
47	3	35	1.554327
48	3	38	3.488604
49	3	35	7.138659
50	3	35	12.997489
51	3	37	20.708773
52	3	35	29.363615
53	3	35	38.221638
54	3	35	44.926445
55	3	38	47.237053
56	3	39	43.569183
57	3	82	36.244305
58	3	48	26.21365
59	3	9	14.370496
60	3	9	4.083063
61	3	0	0.466191
62	3	114	0.365252
63	3	46	2.072264
64	3	139	5.089687
65	3	139	8.509953
66	3	81	12.075495
67	3	35	16.213909
68	3	140	20.46867
69	3	141	24.721245
70	3	142	30.548155
71	3	143	39.717571
72	3	1	43.075363
73	3	2	34.273445
74	3	25	20.733873
75	3	9	13.707627
76	3	30	9.211216
77	3	24	2.496615
78	3	144	0.295134
79	3	145	0.040686
80	3	43	0.004058
81	3	9	0.00043
82	3	146	0.000206
83	3	147	0.000296
84	3	148	0.000353
85	3	149	0.000312
86	3	35	0.000232
87	3	49	0.00023
88	3	150	0.000391
89	3	51	0.000669
90	3	1	0.000832
91	3	12	0.000708
92	3	1	0.000375
93	3	11	0.000097
94	3	14	0
95	3	11	0
96	3	11	0
97	3	13	0
98	3	11	0.000003
99	3	14	0.000349
100	3	11	0.010357
101	3	11	0.140509
102	3	11	0.540547
103	3	14	1.109473
104	3	14	1.320401
105	3	14	1.581916
106	3	13	1.897765
107	3	92	2.375571
108	3	115	2.440377
109	3	115	2.23234
110	3	76	1.585792
111	3	23	1.020942
112	3	11	0.724187
113	3	57	0.78284
114	3	151	0.97421
115	3	152	1.100462
116	3	54	1.03913
117	3	151	0.799114
118	3	153	0.49001
119	3	154	0.241579
120	3	58	0.096001
121	3	120	0.03068
122	3	121	0.007488
123	3	60	0.001159
124	3	63	0.000099
125	3	84	0
126	3	81	0
127	3	38	0
128	3	35	0
0	4	37	0
1	4	33	3.711769
2	4	155	8.688434
3	4	156	13.77669
4	4	129	17.07025
5	4	69	19.408031
6	4	157	21.688938
7	4	158	23.54978
8	4	1	24.562441
9	4	11	25.184965
10	4	11	26.386784
11	4	92	27.043079
12	4	159	25.922537
13	4	30	23.485573
14	4	3	21.599241
15	4	2	20.860163
16	4	51	21.118372
17	4	133	21.716972
18	4	160	21.858383
19	4	31	20.926432
20	4	82	18.750267
21	4	161	15.649279
22	4	162	12.593976
23	4	89	11.1155
24	4	163	12.718515
25	4	109	17.052452
26	4	164	21.438259
27	4	15	22.916826
28	4	165	20.432381
29	4	166	15.323533
30	4	167	9.713246
31	4	168	5.247539
32	4	169	2.511596
33	4	101	1.117545
34	4	170	0.490074
35	4	5	0.212582
36	4	2	0.089082
37	4	51	0.038322
38	4	171	0.021597
39	4	32	0.022383
40	4	35	0.041282
41	4	23	0.091375
42	4	92	0.187329
43	4	76	0.364408
44	4	35	0.661013
45	4	35	1.151198
46	4	38	2.082979
47	4	37	4.021641
48	4	38	7.80264
49	4	37	14.178105
50	4	37	23.253429
51	4	37	34.344921
52	4	35	46.352993
53	4	38	57.401157
54	4	39	64.999527
55	4	82	66.54248
56	4	2	61.408615
57	4	25	50.982208
58	4	9	38.054886
59	4	9	23.57601
60	4	30	10.050238
61	4	172	2.397798
62	4	173	0.919392
63	4	41	2.479662
64	4	9	5.700357
65	4	174	10.244314
66	4	142	15.922915
67	4	175	22.784464
68	4	176	30.148323
69	4	177	38.302433
70	4	178	48.680008
71	4	179	61.017887
72	4	12	67.564064
73	4	41	60.281734
74	4	0	44.854507
75	4	41	33.255241
76	4	9	22.86911
77	4	30	10.31072
78	4	172	1.685284
79	4	45	0.209657
80	4	146	0.024544
81	4	180	0.007214
82	4	181	0.010298
83	4	182	0.015488
84	4	183	0.017654
85	4	81	0.015191
86	4	184	0.010498
87	4	143	0.009381
88	4	1	0.016194
89	4	13	0.03005
90	4	14	0.043277
91	4	13	0.043891
92	4	92	0.030468
93	4	115	0.013481
94	4	50	0.003117
95	4	92	0
96	4	50	0
97	4	11	0
98	4	14	0.000061
99	4	13	0.004253
100	4	14	0.101772
101	4	13	1.024452
102	4	14	5.83028
103	4	13	10.445821
104	4	13	12.303027
105	4	13	11.279671
106	4	31	17.307941
107	4	32	15.596733
108	4	39	11.260754
109	4	32	7.378506
110	4	185	4.733485
111	4	56	3.082272
112	4	14	2.670586
113	4	53	3.043247
114	4	54	3.706249
115	4	152	4.127981
116	4	186	3.963728
117	4	3	3.198663
118	4	14	2.17615
119	4	57	1.266299
120	4	187	0.656899
121	4	188	0.306486
122	4	189	0.122936
123	4	63	0.036687
124	4	41	0.006157
125	4	44	0.000475
126	4	35	0
127	4	38	0
128	4	184	0
0	5	139	0
1	5	81	2.800069
2	5	125	6.698018
3	5	190	10.28277
4	5	191	12.636131
5	5	10	14.155709
6	5	11	14.87844
7	5	11	15.321194
8	5	192	17.615042
9	5	192	21.035049
10	5	193	24.213287
11	5	194	26.044287
12	5	195	26.431419
13	5	102	26.733644
14	5	113	27.401497
15	5	196	28.49563
16	5	197	29.680779
17	5	198	30.377867
18	5	199	30.013704
19	5	50	28.294897
20	5	48	25.363153
21	5	0	21.767117
22	5	41	18.321791
23	5	200	16.125149
24	5	201	15.901908
25	5	202	17.530626
26	5	165	19.515272
27	5	203	20.017143
28	5	29	18.273691
29	5	42	14.772738
30	5	94	10.770505
31	5	130	7.381184
32	5	191	4.759202
33	5	204	2.853413
34	5	205	1.605136
35	5	51	0.89253
36	5	83	0.479112
37	5	79	0.266391
38	5	76	0.16536
39	5	38	0.15294
40	5	49	0.226138
41	5	90	0.424017
42	5	91	0.776865
43	5	32	1.276393
44	5	35	1.921206
45	5	37	2.856257
46	5	35	4.501102
47	5	38	7.674428
48	5	37	13.294233
