x	y	texture	height
0	0	0	0
1	0	1	0
2	0	2	0
3	0	3	0
4	0	4	0
5	0	5	0
6	0	6	0
7	0	7	0
8	0	8	0
9	0	9	0
10	0	10	0
11	0	11	0
12	0	12	0.007067
13	0	13	0
14	0	14	0
15	0	15	0
16	0	16	0
17	0	17	0.041242
18	0	18	0.020012
19	0	19	0
20	0	20	0
21	0	21	0
22	0	22	0
23	0	23	0
24	0	10	0
25	0	24	0
26	0	25	0
27	0	23	0
28	0	25	0
29	0	26	0
30	0	27	0
31	0	28	0
32	0	29	0.039839
33	0	18	0.0504
34	0	30	0
35	0	30	0
36	0	31	0
37	0	32	0
38	0	33	0
39	0	34	0
40	0	35	0
41	0	36	0
42	0	37	0
43	0	30	0
44	0	38	0
45	0	39	0
46	0	20	0
47	0	40	0
48	0	41	0
49	0	42	0
50	0	43	0
51	0	44	0
52	0	45	0
53	0	46	0
54	0	47	0
55	0	43	0
56	0	48	0
57	0	49	0
58	0	50	0
59	0	51	0
60	0	52	0
61	0	53	0
62	0	54	0
63	0	55	0
64	0	56	0
65	0	57	0
66	0	51	0
67	0	56	0
68	0	58	0
69	0	55	0
70	0	59	0
71	0	60	0
72	0	61	0
73	0	62	0
74	0	62	0
75	0	63	0
76	0	64	0
77	0	65	0
78	0	66	0
79	0	67	0
80	0	68	0
81	0	62	0
82	0	69	0
83	0	61	0
84	0	69	0
85	0	70	0
86	0	71	0
87	0	72	0
88	0	73	0
89	0	61	0
90	0	74	0
91	0	69	0
92	0	61	0
93	0	62	0
94	0	62	0
95	0	69	0
96	0	61	0
97	0	74	0
98	0	75	0
99	0	76	0
100	0	61	0
101	0	77	0
102	0	78	0
103	0	79	0
104	0	80	0
105	0	81	0
106	0	82	0
107	0	83	0
108	0	84	0
109	0	85	0
110	0	30	0
111	0	86	0
112	0	87	0
113	0	88	0
114	0	89	0
115	0	90	0
116	0	91	0
117	0	92	0
118	0	93	0
119	0	51	0
120	0	51	0
121	0	94	0
122	0	95	0
123	0	96	0
124	0	97	0
125	0	98	0
126	0	99	0
127	0	100	0
128	0	101	0
0	1	102	0
1	1	103	10.843741
2	1	104	25.753277
3	1	105	36.455452
4	1	106	37.377964
5	1	107	36.090687
6	1	108	32.610786
7	1	109	29.969019
8	1	110	21.015842
9	1	111	10.665144
10	1	112	14.246427
11	1	13	16.916702
12	1	74	24.593382
13	1	113	24.178513
14	1	114	25.745724
15	1	22	22.971493
16	1	115	19.721945
17	1	116	20.522594
18	1	117	24.054623
19	1	24	26.111254
20	1	118	24.273045
21	1	10	22.388376
22	1	21	20.89706
23	1	23	23.365297
24	1	119	23.501915
25	1	16	18.348499
26	1	25	18.344631
27	1	23	17.66667
28	1	25	19.478159
29	1	120	16.328884
30	1	121	18.591095
31	1	122	17.403534
32	1	116	10.825663
33	1	116	6.426465
34	1	116	5.6598
35	1	123	5.994658
36	1	124	4.719646
37	1	125	0.575804
38	1	122	0
39	1	126	1.784567
40	1	127	4.601658
41	1	128	5.42342
42	1	30	3.626145
43	1	36	0.369319
44	1	129	0
45	1	130	0
46	1	131	0
47	1	47	0
48	1	44	0
49	1	132	0
50	1	133	0
51	1	132	0
52	1	133	0
53	1	45	0
54	1	46	0
55	1	134	0
56	1	135	0
57	1	136	0
58	1	137	0
59	1	50	0.028116
60	1	52	0.238059
61	1	138	0.172806
62	1	139	0
63	1	51	0
64	1	137	0
65	1	50	0
66	1	140	0
67	1	141	0
68	1	142	-0.071178
69	1	143	0
70	1	144	0.309273
71	1	145	1.326763
72	1	77	2.359767
73	1	146	2.706778
74	1	142	3.167518
75	1	147	3.602954
76	1	51	2.748896
77	1	148	1.794532
78	1	149	0.678659
79	1	150	0
80	1	74	0
81	1	77	0
82	1	151	0
83	1	152	-0.025182
84	1	69	0
85	1	153	0
86	1	154	0
87	1	155	0
88	1	77	0
89	1	152	0
90	1	74	0
91	1	156	0.000066
92	1	145	0
93	1	63	0
94	1	138	0
95	1	53	0
96	1	74	0
97	1	157	0
98	1	158	0
99	1	146	0
100	1	159	0
101	1	160	0
102	1	161	-0.71319
103	1	162	-3.508136
104	1	163	-5.918207
105	1	82	-6.715729
106	1	30	-4.751169
107	1	30	-1.600758
108	1	164	0
109	1	67	0
110	1	164	-0.000806
111	1	165	-0.100416
112	1	91	-0.232916
113	1	166	-0.003569
114	1	167	-0.032663
115	1	92	0
116	1	93	0
117	1	51	0
118	1	168	0
119	1	169	-0.1929
120	1	170	-0.313363
121	1	171	-0.04117
122	1	172	0
123	1	91	0
124	1	173	0
125	1	174	0
126	1	167	0
127	1	175	0
128	1	176	0
0	2	177	0
1	2	178	18.835602
2	2	179	39.187798
3	2	180	54.090801
4	2	181	65.131378
5	2	182	61.166893
6	2	183	51.779877
7	2	183	47.122643
8	2	184	40.319275
9	2	185	28.160797
10	2	152	28.160372
11	2	74	36.228935
12	2	62	40.300777
13	2	16	47.507786
14	2	10	47.646877
15	2	24	45.20924
16	2	118	37.510777
17	2	118	37.879982
18	2	186	42.268078
19	2	151	45.860718
20	2	187	46.863815
21	2	10	44.085888
22	2	21	44.666042
23	2	188	44.534725
24	2	74	48.615837
25	2	16	46.199745
26	2	186	45.177231
27	2	189	43.916096
28	2	18	40.635353
29	2	19	33.929028
30	2	190	29.482155
31	2	29	27.628616
32	2	191	24.338892
33	2	190	23.064724
34	2	190	26.97788
35	2	192	22.616652
36	2	193	12.699399
37	2	190	4.018103
38	2	131	0.194094
39	2	194	3.791591
40	2	116	7.397087
41	2	195	9.28723
42	2	196	6.322108
43	2	197	2.131375
44	2	198	0
45	2	199	0
46	2	132	0
47	2	200	0
48	2	201	0
49	2	201	0
50	2	201	0
51	2	201	0
52	2	201	0
53	2	202	0
54	2	47	0
55	2	44	0
56	2	203	0
57	2	204	0
58	2	205	0
59	2	50	-0.625731
60	2	51	-2.234066
61	2	137	-1.287804
62	2	206	-1.850103
63	2	207	-2.227616
64	2	208	-1.930272
65	2	141	-1.680122
66	2	209	-1.971167
67	2	60	-4.033522
68	2	70	-5.415381
69	2	210	-0.380758
70	2	211	6.032476
71	2	157	5.971418
72	2	212	5.890835
73	2	210	5.241394
74	2	213	4.707425
75	2	214	2.898381
76	2	215	2.735522
77	2	216	2.652726
78	2	61	1.451699
79	2	156	-0.101973
80	2	159	-2.404605
81	2	160	-3.907969
82	2	217	-4.619404
83	2	151	-3.488482
84	2	152	-1.137328
85	2	74	0
86	2	62	0
87	2	218	0
88	2	150	0
89	2	62	0.00539
90	2	69	0.01971
91	2	61	0.070443
92	2	219	0.08827
93	2	147	0
94	2	220	0.701354
95	2	156	0.95703
96	2	221	0.246314
97	2	222	-0.699627
98	2	223	-1.297656
99	2	224	-0.85852
100	2	225	-0.465115
101	2	226	-0.205268
102	2	227	-3.743313
103	2	228	-7.817188
104	2	222	-10.472669
105	2	96	-10.159783
106	2	229	-5.78608
107	2	230	0.946367
108	2	231	5.897797
109	2	232	4.857416
110	2	233	-0.419511
111	2	234	-4.431011
112	2	65	-7.169201
113	2	235	-8.413121
114	2	236	-6.997277
115	2	148	-4.200197
116	2	147	-1.957523
117	2	237	-1.567291
118	2	238	-4.067466
119	2	173	-5.379269
120	2	239	-4.977036
121	2	240	-3.543566
122	2	166	-1.448791
123	2	241	-0.044105
124	2	210	0
125	2	210	0
126	2	242	0
127	2	19	0
128	2	29	0
0	3	243	0
1	3	244	21.173412
2	3	245	44.373936
3	3	24	63.293121
4	3	10	76.416489
5	3	24	58.875183
6	3	17	48.734207
7	3	246	45.462654
8	3	247	40.027134
9	3	248	38.466114
10	3	14	41.723213
11	3	249	46.109283
12	3	188	51.058331
13	3	16	51.302357
14	3	25	50.746326
15	3	188	50.398216
16	3	77	48.190506
17	3	222	47.587082
18	3	250	52.860077
19	3	251	58.596474
20	3	252	62.299023
21	3	130	61.302158
22	3	253	62.217319
23	3	74	58.966862
24	3	254	61.895222
25	3	115	64.093773
26	3	116	64.334435
27	3	116	63.980083
28	3	255	58.48278
29	3	191	48.793293
30	3	122	38.619946
31	3	117	38.160866
32	3	29	42.264812
33	3	198	47.021793
34	3	256	45.21146
35	3	257	35.207516
36	3	125	18.714474
37	3	258	9.595819
38	3	259	2.868566
39	3	260	5.653015
40	3	261	8.71331
41	3	262	9.538969
42	3	263	6.28931
43	3	264	1.879248
44	3	265	-1.028467
45	3	266	-0.542625
46	3	267	0
47	3	268	0
48	3	269	0
49	3	268	0
50	3	269	0
51	3	268	0
52	3	270	0
53	3	46	0
54	3	46	0
55	3	46	0
56	3	136	0
57	3	56	0
58	3	57	0
59	3	51	-1.803147
60	3	271	-4.291807
61	3	272	-6.408477
62	3	157	-7.862236
63	3	273	-7.473649
64	3	209	-8.24194
65	3	60	-8.582705
66	3	274	-8.801374
67	3	275	-9.975937
68	3	210	-6.621235
69	3	211	0.556762
70	3	77	7.021105
71	3	276	7.013208
72	3	277	2.731903
73	3	278	-1.287566
74	3	279	-3.135065
75	3	230	-3.056893
76	3	52	-3.157964
77	3	280	-2.352096
78	3	209	-1.763776
79	3	210	-4.023788
80	3	210	-6.704435
81	3	281	-8.67807
82	3	282	-9.434134
83	3	283	-7.20628
84	3	145	-2.604316
85	3	62	0.448585
86	3	284	0.621396
87	3	144	0.600472
88	3	145	0.347478
89	3	74	0.336737
90	3	62	0.473707
91	3	285	0.936367
92	3	286	2.741199
93	3	287	5.252069
94	3	288	7.619202
95	3	289	7.525045
96	3	72	6.348146
97	3	290	5.668655
98	3	291	4.347013
99	3	292	2.985549
100	3	293	4.362155
101	3	226	4.038213
102	3	294	0.360784
103	3	96	-3.207161
104	3	172	-6.857936
105	3	295	-7.202552
106	3	296	-1.890021
107	3	297	7.818055
108	3	298	15.652817
109	3	299	14.741951
110	3	300	4.25921
111	3	301	-7.297628
112	3	302	-16.837519
113	3	303	-20.828312
114	3	304	-19.886433
115	3	305	-15.700537
116	3	149	-11.937114
117	3	174	-12.264573
118	3	210	-13.313504
119	3	306	-15.261973
120	3	278	-14.362356
121	3	79	-10.692196
122	3	210	-6.035676
123	3	210	-1.833601
124	3	210	-0.058653
125	3	307	0
126	3	308	0
127	3	309	0
128	3	264	0
0	4	310	0
1	4	311	20.341534
2	4	21	46.298855
3	4	312	76.788269
4	4	313	96.880379
5	4	314	66.084068
6	4	315	47.003368
7	4	316	39.130539
8	4	317	38.94244
9	4	105	39.637165
10	4	318	44.617893
11	4	119	51.380978
12	4	62	54.625103
13	4	319	52.497826
14	4	320	48.295689
15	4	321	46.51104
16	4	322	49.002331
17	4	323	46.285244
18	4	324	49.779648
19	4	325	59.772556
20	4	326	65.653229
21	4	104	67.969986
22	4	327	66.291313
23	4	319	64.655464
24	4	125	65.271179
25	4	20	68.941864
26	4	328	69.643555
27	4	122	69.570091
28	4	255	65.291954
29	4	191	54.94371
30	4	29	42.087605
31	4	18	46.454014
32	4	31	54.914139
33	4	32	58.645454
34	4	33	54.068512
35	4	262	43.243519
36	4	130	27.602432
37	4	2	22.233515
38	4	33	17.683033
39	4	124	13.810257
40	4	260	15.66709
41	4	329	12.906713
42	4	195	8.207278
43	4	316	-0.230311
44	4	330	-3.236167
45	4	267	-1.456419
46	4	268	-1.26922
47	4	269	0
48	4	268	0
49	4	269	0
50	4	268	0
51	4	270	0
52	4	331	0
53	4	332	0
54	4	333	0
55	4	136	0
56	4	51	0
57	4	51	0
58	4	137	0
59	4	334	-1.514612
60	4	62	-6.292772
61	4	62	-10.061607
62	4	69	-10.836667
63	4	153	-11.064133
64	4	61	-11.899411
65	4	218	-12.367517
66	4	335	-11.160137
67	4	216	-9.347899
68	4	336	-4.251685
69	4	337	3.608541
70	4	68	10.58435
71	4	82	10.446744
72	4	30	2.861094
73	4	338	-3.887654
74	4	51	-6.59993
75	4	51	-6.738955
76	4	304	-5.900804
77	4	65	-5.616117
78	4	65	-5.902108
79	4	235	-6.327432
80	4	291	-7.58208
81	4	339	-7.434116
82	4	340	-6.839133
83	4	211	-3.346804
84	4	156	2.260195
85	4	341	5.674057
86	4	153	6.213909
87	4	61	6.009727
88	4	63	4.832658
89	4	53	3.339824
90	4	342	2.675883
91	4	343	4.979693
92	4	98	9.150709
93	4	344	13.983616
94	4	345	17.261497
95	4	346	18.491789
96	4	347	18.883204
97	4	348	18.875998
98	4	349	15.203631
99	4	295	11.605159
100	4	304	10.489214
101	4	350	15.07811
102	4	351	13.627575
103	4	352	6.794476
104	4	353	-0.495028
105	4	354	-2.919317
106	4	355	3.54827
107	4	356	15.888957
108	4	357	27.285755
109	4	358	30.050774
110	4	230	14.931016
111	4	51	-4.153421
112	4	51	-20.539558
113	4	148	-30.867947
114	4	359	-32.175243
115	4	278	-29.755035
116	4	79	-27.971033
117	4	306	-28.203688
118	4	289	-28.09877
119	4	72	-28.358023
120	4	223	-25.531769
121	4	210	-19.562967
122	4	241	-12.284267
123	4	210	-5.335002
124	4	360	-0.651605
125	4	361	-0.008748
126	4	362	0
127	4	195	0
128	4	316	0
0	5	363	0
1	5	125	15.917579
2	5	2	39.508846
3	5	364	78.276985
4	5	365	106.366943
5	5	366	80.007378
6	5	367	58.303982
7	5	367	45.466591
8	5	368	45.9515
9	5	15	53.895477
10	5	62	64.823662
11	5	62	63.223637
12	5	369	56.245365
13	5	3	48.940334
14	5	370	42.583298
15	5	371	38.684177
16	5	372	36.217876
17	5	372	35.191315
18	5	373	43.51189
19	5	374	47.471249
20	5	375	54.886806
21	5	376	63.336124
22	5	377	62.955143
23	5	363	60.000549
24	5	378	59.170158
25	5	191	61.702473
26	5	20	63.576248
27	5	122	65.124992
28	5	117	62.159386
29	5	122	53.835197
30	5	379	43.873619
31	5	380	47.971066
32	5	262	54.657986
33	5	328	60.190845
34	5	190	57.162209
35	5	328	45.739601
36	5	381	32.779163
37	5	260	27.115377
38	5	382	26.869669
39	5	42	19.558674
40	5	383	21.15654
41	5	41	19.053711
42	5	42	12.772924
43	5	43	1.775856
44	5	267	-0.19096
45	5	269	3.295401
46	5	268	3.305434
