x	y	texture	height
0	0	0	0
1	0	1	0
2	0	1	0
3	0	0	0
4	0	1	0
5	0	1	0
6	0	2	0
7	0	1	0
8	0	1	0
9	0	2	0
10	0	0	0
11	0	2	0
12	0	2	0
13	0	1	0
14	0	0	0
15	0	1	0
16	0	1	0
17	0	0	0
18	0	2	0
19	0	2	0
20	0	2	0
21	0	2	0
22	0	1	0
23	0	1	0
24	0	0	0
25	0	0	0
26	0	2	0
27	0	2	0
28	0	1	0
29	0	2	0
30	0	1	0
31	0	0	0
32	0	2	0
33	0	2	0
34	0	1	0
35	0	1	0
36	0	0	0
37	0	1	0
38	0	0	0
39	0	1	0
40	0	2	0
41	0	2	0
42	0	1	0
43	0	0	0
44	0	2	0
45	0	2	0
46	0	1	0
47	0	2	0
48	0	1	0
49	0	1	0
50	0	2	0
51	0	0	0
52	0	1	0
53	0	1	0
54	0	2	0
55	0	2	0
56	0	2	0
57	0	2	0
58	0	2	0
59	0	0	0
60	0	2	0
61	0	1	0
62	0	1	0
63	0	2	0
64	0	2	0
65	0	1	0
66	0	0	0
67	0	1	0
68	0	2	0
69	0	2	0
70	0	1	0
71	0	0	0
72	0	2	0
73	0	2	0
74	0	2	0
75	0	2	0
76	0	0	0
77	0	0	0
78	0	0	0
79	0	0	0
80	0	2	0
81	0	0	0
82	0	2	0
83	0	2	0
84	0	2	0
85	0	1	0
86	0	0	0
87	0	0	0
88	0	0	0
89	0	0	0
90	0	1	0
91	0	2	0
92	0	2	0
93	0	2	0
94	0	1	0
95	0	2	0
96	0	0	0
97	0	1	0
98	0	0	0
99	0	0	0
100	0	0	0
101	0	0	0
102	0	0	0
103	0	0	0
104	0	2	0
105	0	2	0
106	0	1	0
107	0	2	0
108	0	0	0
109	0	1	0
110	0	0	0
111	0	0	0
112	0	1	0
113	0	0	0
114	0	2	0
115	0	2	0
116	0	2	0
117	0	0	0
118	0	0	0
119	0	2	0
120	0	1	0
121	0	1	0
122	0	1	0
123	0	0	0
124	0	2	0
125	0	2	0
126	0	2	0
127	0	2	0
128	0	1	0
0	1	2	0
1	1	1	10.332
2	1	0	10.332
3	1	0	12.99
4	1	1	12.99
5	1	1	12.99
6	1	1	12.99
7	1	1	9.852001
8	1	0	9.852001
9	1	1	9.852001
10	1	1	9.852001
11	1	0	9.852001
12	1	1	11.909996
13	1	0	11.909996
14	1	1	11.909996
15	1	0	11.909996
16	1	2	11.909996
17	1	2	11.909996
18	1	2	8.195997
19	1	1	5.153999
20	1	2	5.153999
21	1	2	5.153999
22	1	0	5.153999
23	1	1	5.153999
24	1	1	5.153999
25	1	0	0
26	1	2	0
27	1	0	2.34
28	1	1	2.34
29	1	0	2.34
30	1	1	2.34
31	1	1	2.34
32	1	2	3.354
33	1	2	3.354
34	1	1	7.818004
35	1	2	7.818004
36	1	0	3.354
37	1	0	3.354
38	1	0	3.354
39	1	1	8.334004
40	1	1	3.354
41	1	0	3.354
42	1	1	14.015996
43	1	1	14.015996
44	1	0	3.354
45	1	2	2.706
46	1	2	2.706
47	1	0	4.883999
48	1	0	7.032
49	1	1	7.032
50	1	0	7.032
51	1	2	9.036002
52	1	2	9.036002
53	1	0	12.917996
54	1	2	12.917996
55	1	1	8.735998
56	1	1	9.924
57	1	1	9.924
58	1	2	9.924
59	1	2	8.910001
60	1	0	8.910001
61	1	2	10.998001
62	1	1	10.998001
63	1	0	10.998001
64	1	1	16.434002
65	1	1	16.434002
66	1	1	16.434002
67	1	2	16.434002
68	1	0	16.434002
69	1	1	14.285999
70	1	0	11.405999
71	1	1	11.405999
72	1	0	7.523997
73	1	2	7.523997
74	1	1	11.65799
75	1	2	11.65799
76	1	0	11.65799
77	1	0	11.65799
78	1	2	8.177999
79	1	0	8.177999
80	1	1	10.283994
81	1	2	10.283994
82	1	0	10.283994
83	1	1	10.283994
84	1	1	13.193992
85	1	1	16.439993
86	1	2	16.439993
87	1	2	14.351992
88	1	2	14.351992
89	1	2	16.097988
90	1	0	13.715997
91	1	1	13.715997
92	1	2	18.629995
93	1	0	18.629995
94	1	0	22.74
95	1	0	22.475998
96	1	2	24.575993
97	1	2	23.519999
98	1	2	25.193996
99	1	0	21.335999
100	1	2	21.335999
101	1	0	21.509989
102	1	2	18.425999
103	1	0	18.425999
104	1	1	14.304021
105	1	0	14.304021
106	1	1	12.348013
107	1	2	12.348013
108	1	1	11.784013
109	1	0	19.823997
110	1	1	15.138024
111	1	1	12.312018
112	1	1	12.312018
113	1	1	19.200024
114	1	0	19.200024
115	1	0	19.200024
116	1	1	19.50601
117	1	1	28.535995
118	1	2	28.535995
119	1	0	23.010002
120	1	2	28.535995
121	1	2	21.005987
122	1	1	28.535995
123	1	0	22.60198
124	1	2	27.726
125	1	2	27.726
126	1	1	23.615999
127	1	1	21.516001
128	1	1	0
0	2	1	0
1	2	1	10.332
2	2	1	10.332
3	2	0	10.332
4	2	1	15.995996
5	2	1	15.995996
6	2	0	15.995996
7	2	1	9.852001
8	2	2	9.852001
9	2	2	9.852001
10	2	0	9.852001
11	2	2	9.852001
12	2	2	11.909996
13	2	2	11.909996
14	2	1	11.909996
15	2	2	11.909996
16	2	0	11.909996
17	2	2	11.909996
18	2	0	8.195997
19	2	2	5.153999
20	2	2	5.153999
21	2	0	5.153999
22	2	2	9.936
23	2	2	5.153999
24	2	2	5.153999
25	2	1	2.754
26	2	2	0
27	2	2	2.34
28	2	0	2.34
29	2	1	2.34
30	2	1	2.34
31	2	0	2.34
32	2	1	2.34
33	2	2	3.354
34	2	1	7.818004
35	2	1	7.818004
36	2	2	7.818004
37	2	2	7.818004
38	2	0	3.354
39	2	0	8.334004
40	2	1	8.334004
41	2	1	8.334004
42	2	0	3.354
43	2	1	14.015996
44	2	2	15.707991
45	2	2	13.367996
46	2	2	15.545991
47	2	2	17.693985
48	2	2	17.693985
49	2	2	7.032
50	2	2	9.036002
51	2	1	9.036002
52	2	0	9.036002
53	2	1	12.917996
54	2	2	12.917996
55	2	2	14.105998
56	2	2	9.924
57	2	0	9.924
58	2	1	9.924
59	2	1	8.910001
60	2	1	8.910001
61	2	0	10.998001
62	2	2	10.998001
63	2	1	16.434002
64	2	0	16.434002
65	2	0	16.434002
66	2	1	16.434002
67	2	1	16.434002
68	2	2	12.593998
69	2	2	11.405999
70	2	0	11.405999
71	2	0	7.523997
72	2	2	7.523997
73	2	2	7.523997
74	2	0	11.65799
75	2	1	11.65799
76	2	0	11.65799
77	2	2	8.177999
78	2	0	8.177999
79	2	0	8.177999
80	2	1	10.283994
81	2	2	10.283994
82	2	1	10.283994
83	2	0	13.193992
84	2	1	13.193992
85	2	0	16.439993
86	2	1	16.439993
87	2	1	14.351992
88	2	1	16.097988
89	2	1	13.991989
90	2	0	13.715997
91	2	1	18.629995
92	2	2	18.629995
93	2	2	22.74
94	2	1	26.765997
95	2	2	26.765997
96	2	0	23.519999
97	2	2	25.193996
98	2	1	25.193996
99	2	2	21.335999
100	2	1	19.908003
101	2	1	19.908003
102	2	2	21.509989
103	2	2	18.425999
104	2	0	18.425999
105	2	1	12.348013
106	2	1	12.348013
107	2	0	16.469999
108	2	2	19.823997
109	2	1	19.823997
110	2	2	12.312018
111	2	2	12.312018
112	2	1	14.532025
113	2	1	19.200024
114	2	1	19.200024
115	2	2	19.200024
116	2	1	23.850025
117	2	2	23.850025
118	2	1	24.156012
119	2	0	24.156012
120	2	1	23.010002
121	2	0	21.005987
122	2	1	28.535995
123	2	1	23.615999
124	2	0	23.615999
125	2	1	21.516001
126	2	0	21.516001
127	2	0	21.516001
128	2	1	0
0	3	0	0
1	3	0	10.332
2	3	2	10.332
3	3	1	10.332
4	3	0	15.995996
5	3	1	12.858
6	3	1	12.858
7	3	0	9.852001
8	3	2	9.852001
9	3	0	9.852001
10	3	1	9.852001
11	3	0	9.852001
12	3	0	11.909996
13	3	2	11.909996
14	3	2	11.909996
15	3	2	11.909996
16	3	0	11.909996
17	3	2	19.848015
18	3	2	19.848015
19	3	1	9.936
20	3	0	9.936
21	3	0	9.936
22	3	2	9.936
23	3	1	5.153999
24	3	1	5.153999
25	3	0	2.754
26	3	0	2.754
27	3	0	2.754
28	3	1	5.094001
29	3	0	5.094001
30	3	1	5.094001
31	3	0	5.094001
32	3	2	5.094001
33	3	2	6.108004
34	3	1	7.818004
35	3	2	7.818004
36	3	0	7.818004
37	3	2	7.818004
38	3	0	3.354
39	3	2	5.136002
40	3	0	5.136002
41	3	0	5.136002
42	3	0	5.136002
43	3	2	15.797991
44	3	2	12.509994
45	3	1	12.347994
46	3	0	12.347994
47	3	1	17.693985
48	3	0	17.693985
49	3	0	15.515991
50	3	1	19.697983
51	3	2	13.925991
52	3	2	13.925991
53	3	1	17.80798
54	3	1	13.625987
55	3	2	9.924
56	3	2	9.924
57	3	2	17.77799
58	3	2	17.77799
59	3	2	17.77799
60	3	2	18.85199
61	3	1	10.998001
62	3	0	10.998001
63	3	0	16.434002
64	3	0	16.434002
65	3	0	16.434002
66	3	0	16.434002
67	3	0	14.742001
68	3	0	11.405999
69	3	0	11.405999
70	3	2	11.405999
71	3	1	7.523997
72	3	0	7.523997
73	3	0	7.523997
74	3	0	11.65799
75	3	1	11.65799
76	3	2	13.613988
77	3	2	8.177999
78	3	2	8.177999
79	3	1	10.283994
80	3	2	10.283994
81	3	0	10.283994
82	3	1	13.193992
83	3	2	13.193992
84	3	2	13.193992
85	3	2	16.439993
86	3	1	14.351992
87	3	2	16.097988
88	3	2	13.991989
89	3	0	15.815988
90	3	0	18.629995
91	3	0	24.93
92	3	0	27.030006
93	3	0	23.940001
94	3	2	26.765997
95	3	1	26.765997
96	3	2	25.193996
97	3	1	25.193996
98	3	1	16.824013
99	3	1	16.824013
100	3	0	16.824013
101	3	0	16.824013
102	3	0	16.824013
103	3	0	18.167988
104	3	1	16.469999
105	3	0	12.348013
106	3	1	12.348013
107	3	1	19.823997
108	3	0	19.823997
109	3	2	12.312018
110	3	0	7.194018
111	3	0	9.414026
112	3	1	9.414026
113	3	2	14.082053
114	3	1	14.082053
115	3	2	18.732075
116	3	2	23.850025
117	3	2	23.850025
118	3	0	24.156012
119	3	2	28.535995
120	3	2	28.535995
121	3	0	16.895987
122	3	1	19.763988
123	3	0	18.953993
124	3	0	21.516001
125	3	1	21.516001
126	3	2	21.516001
127	3	1	19.770002
128	3	0	0
0	4	2	0
1	4	2	7.290002
2	4	1	10.332
3	4	2	11.477999
4	4	1	11.477999
5	4	2	15.191998
6	4	2	9.852001
7	4	0	9.852001
8	4	1	9.852001
9	4	2	9.852001
10	4	2	9.852001
11	4	1	15.239997
12	4	0	17.298008
13	4	1	17.298008
14	4	2	17.53801
15	4	2	15.570003
16	4	2	19.848015
17	4	0	19.848015
18	4	0	19.848015
19	4	0	12.503987
20	4	1	9.936
21	4	1	9.936
22	4	2	9.936
23	4	0	5.153999
24	4	2	5.153999
25	4	2	5.153999
26	4	0	2.754
27	4	2	2.754
28	4	0	5.094001
29	4	2	10.776007
30	4	1	10.776007
31	4	1	10.776007
32	4	2	10.776007
33	4	2	10.776007
34	4	0	11.790007
35	4	1	16.254007
36	4	2	13.500006
37	4	1	13.500006
38	4	1	9.036005
39	4	2	14.016002
40	4	0	10.818007
41	4	0	15.936001
42	4	0	7.476005
43	4	2	9.168001
44	4	0	12.509994
45	4	1	12.347994
46	4	0	17.693985
47	4	0	17.693985
48	4	0	9.540007
49	4	0	9.540007
50	4	0	3.059998
51	4	1	9.743999
52	4	2	13.625987
53	4	2	18.473976
54	4	1	14.771996
55	4	2	14.771996
56	4	0	14.771996
57	4	2	14.771996
58	4	1	17.77799
59	4	2	17.77799
60	4	2	18.85199
61	4	0	10.998001
62	4	1	16.434002
63	4	1	16.434002
64	4	0	11.586009
65	4	0	12.000006
66	4	1	11.040014
67	4	0	7.704012
68	4	0	7.704012
69	4	1	11.405999
70	4	1	7.523997
71	4	0	7.523997
72	4	0	7.523997
73	4	2	7.523997
74	4	2	11.65799
75	4	2	13.613988
76	4	0	8.177999
77	4	2	8.177999
78	4	1	10.283994
79	4	1	10.283994
80	4	1	10.283994
81	4	2	13.193992
82	4	2	13.193992
83	4	1	13.193992
84	4	1	16.439993
85	4	2	14.351992
86	4	0	16.097988
87	4	0	15.815988
88	4	1	18.005997
89	4	0	24.954002
90	4	2	27.030006
91	4	2	27.030006
92	4	2	23.940001
93	4	0	26.765997
94	4	0	26.765997
95	4	1	28.439995
96	4	1	25.193996
97	4	0	22.283997
98	4	1	16.824013
99	4	2	16.824013
100	4	0	16.824013
101	4	2	15.432013
102	4	2	13.476009
103	4	1	14.868003
104	4	0	19.818001
105	4	0	12.348013
106	4	0	19.823997
107	4	2	19.823997
108	4	1	19.823997
109	4	1	12.312018
110	4	0	14.532025
111	4	0	9.414026
112	4	0	23.885994
113	4	1	14.082053
114	4	0	28.535995
115	4	2	28.535995
116	4	1	23.850025
117	4	1	28.535995
118	4	1	24.156012
119	4	2	16.800003
120	4	2	22.325996
121	4	0	22.325996
122	4	2	21.516001
123	4	2	21.516001
124	4	2	18.953993
125	4	0	16.368017
126	4	2	19.770002
127	4	0	19.770002
128	4	0	0
0	5	2	0
1	5	1	3.096001
2	5	1	8.670002
3	5	2	12.005998
4	5	2	14.141997
5	5	1	13.757998
6	5	0	9.852001
7	5	1	12.912
8	5	0	17.393999
9	5	1	17.783998
10	5	3	22.001995
11	5	4	22.001995
12	5	4	24.060009
13	5	5	18.900011
14	5	1	20.538013
15	5	2	21.006012
16	5	2	19.848015
17	5	1	19.848015
18	5	2	19.848015
19	5	1	16.806009
20	5	0	10.223992
21	5	0	9.936
22	5	0	9.936
23	5	1	5.153999
24	5	2	5.153999
25	5	0	5.153999
26	5	0	2.754
27	5	1	2.754
28	5	0	5.094001
29	5	2	10.776007
30	5	2	10.776007
31	5	2	10.776007
32	5	1	10.776007
33	5	2	10.776007
34	5	1	14.154004
35	5	0	14.154004
36	5	0	18.617979
37	5	0	14.154004
38	5	2	14.154004
