x	y	texture	height
0	0	0	0
1	0	0	0
2	0	1	0
3	0	1	0
4	0	1	0
5	0	0	0
6	0	1	0
7	0	1	0
8	0	0	0
9	0	0	0
10	0	0	0
11	0	0	0
12	0	0	0
13	0	0	0
14	0	1	0
15	0	1	0
16	0	0	0
17	0	1	0
18	0	1	0
19	0	0	0
20	0	0	0
21	0	0	0
22	0	0	0
23	0	1	0
24	0	0	0
25	0	0	0
26	0	0	0
27	0	0	0
28	0	1	0
29	0	1	0
30	0	0	0
31	0	0	0
32	0	1	0
33	0	1	0
34	0	1	0
35	0	1	0
36	0	0	0
37	0	0	0
38	0	0	0
39	0	0	0
40	0	1	0
41	0	1	0
42	0	0	0
43	0	0	0
44	0	0	0
45	0	1	0
46	0	1	0
47	0	1	0
48	0	1	0
49	0	1	0
50	0	0	0
51	0	0	0
52	0	0	0
53	0	0	0
54	0	1	0
55	0	0	0
56	0	0	0
57	0	0	0
58	0	0	0
59	0	1	0
60	0	1	0
61	0	0	0
62	0	0	0
63	0	0	0
64	0	0	0
65	0	0	0
66	0	1	0
67	0	0	0
68	0	1	0
69	0	1	0
70	0	1	0
71	0	1	0
72	0	1	2.075999
73	0	0	0
74	0	1	0
75	0	1	0
76	0	0	0.72
77	0	1	0
78	0	1	0.642
79	0	1	0
80	0	1	0
81	0	1	0
82	0	1	0
83	0	1	0
84	0	0	0
85	0	0	0
86	0	1	0
87	0	1	0
88	0	0	0
89	0	0	0
90	0	1	0
91	0	1	0
92	0	1	0
93	0	0	0
94	0	1	0
95	0	0	0
96	0	0	0
97	0	1	0
98	0	0	0
99	0	1	0
100	0	1	0
101	0	0	0
102	0	1	0
103	0	1	0
104	0	1	0
105	0	1	0
106	0	0	0
107	0	1	0
108	0	0	0
109	0	0	0
110	0	1	0
111	0	1	0
112	0	0	0
113	0	1	0
114	0	0	0
115	0	1	0
116	0	0	0
117	0	1	0
118	0	1	0
119	0	1	0
120	0	0	0
121	0	1	0
122	0	1	0
123	0	1	0
124	0	1	0
125	0	0	0
126	0	0	0
127	0	1	0
128	0	0	0
0	1	1	0
1	1	0	100
2	1	0	100
3	1	1	100
4	1	0	100
5	1	0	100
6	1	1	100
7	1	1	100
8	1	0	100
9	1	0	100
10	1	0	100
11	1	0	100
12	1	0	100
13	1	1	100
14	1	0	100
15	1	0	100
16	1	0	100
17	1	0	100
18	1	1	100
19	1	1	100
20	1	1	100
21	1	0	100
22	1	1	100
23	1	1	100
24	1	1	100
25	1	1	100
26	1	1	100
27	1	0	100
28	1	1	100
29	1	0	100
30	1	1	100
31	1	0	100
32	1	1	100
33	1	0	100
34	1	0	100
35	1	1	100
36	1	0	100
37	1	0	100
38	1	0	100
39	1	1	100
40	1	0	100
41	1	1	100
42	1	0	100
43	1	0	100
44	1	0	100
45	1	0	100
46	1	0	100
47	1	1	100
48	1	0	100
49	1	0	100
50	1	0	100
51	1	1	100
52	1	1	100
53	1	1	100
54	1	0	100
55	1	1	100
56	1	0	100
57	1	1	100
58	1	0	100
59	1	1	100
60	1	0	100
61	1	0	100
62	1	1	100
63	1	1	100
64	1	0	100
65	1	1	100
66	1	1	100
67	1	1	100
68	1	1	100
69	1	1	100
70	1	2	100
71	1	2	100
72	1	3	100
73	1	2	100
74	1	4	100
75	1	5	100
76	1	5	100
77	1	2	100
78	1	4	100
79	1	5	100
80	1	3	100
81	1	4	100
82	1	3	100
83	1	5	100
84	1	2	100
85	1	6	100
86	1	7	100
87	1	7	100
88	1	8	100
89	1	3	100
90	1	2	100
91	1	3	100
92	1	4	100
93	1	4	100
94	1	5	100
95	1	6	100
96	1	7	100
97	1	7	100
98	1	7	100
99	1	7	100
100	1	8	100
101	1	4	100
102	1	5	100
103	1	4	100
