x	y	texture	height
0	0	0	0
1	0	1	0
2	0	2	0
3	0	3	0
4	0	4	0
5	0	5	0
6	0	6	0
7	0	7	0
8	0	8	0
9	0	9	0
10	0	10	0
11	0	10	0
12	0	10	0
13	0	11	0
14	0	12	0
15	0	13	0
16	0	14	0
17	0	15	0
18	0	16	0
19	0	15	0
20	0	17	0
21	0	18	0
22	0	11	0
23	0	19	0
24	0	20	0
25	0	21	0
26	0	22	0
27	0	23	0
28	0	24	0
29	0	25	0
30	0	26	0
31	0	27	0
32	0	28	0
33	0	29	0
34	0	30	0
35	0	31	0
36	0	32	0
37	0	33	0
38	0	34	0
39	0	35	0
40	0	36	0
41	0	37	0
42	0	38	0
43	0	39	0
44	0	40	0
45	0	41	0
46	0	42	0
47	0	43	0
48	0	43	0
49	0	44	0
50	0	43	0
51	0	44	0
52	0	44	0
53	0	44	0
54	0	44	0
55	0	45	0
56	0	46	0
57	0	47	0
58	0	48	0
59	0	49	0
60	0	0	0
61	0	48	0
62	0	50	0
63	0	50	0
64	0	49	0
65	0	0	0
66	0	51	0
67	0	52	0
68	0	53	0
69	0	54	0
70	0	55	0
71	0	56	0
72	0	57	0
73	0	58	0
74	0	59	0
75	0	60	0
76	0	61	0
77	0	62	0
78	0	63	0
79	0	64	0
80	0	60	0
81	0	44	0
82	0	65	0
83	0	66	0
84	0	0	0
85	0	0	0
86	0	0	0
87	0	66	0
88	0	0	0
89	0	0	0
90	0	66	0
91	0	67	0
92	0	43	0
93	0	44	0
94	0	43	0
95	0	43	0
96	0	45	0
97	0	68	0
98	0	60	0
99	0	61	0
100	0	45	0
101	0	50	0
102	0	68	0
103	0	44	0
104	0	60	0
105	0	43	0
106	0	45	0
107	0	68	0
108	0	61	0
109	0	44	0
110	0	69	0
111	0	70	0
112	0	71	0
113	0	71	0
114	0	72	0
115	0	61	0
116	0	44	0
117	0	61	0
118	0	44	0
119	0	44	0
120	0	45	0
121	0	68	0
122	0	60	0
123	0	60	0
124	0	65	0
125	0	67	0
126	0	60	0
127	0	44	0
128	0	73	0
0	1	74	0
1	1	75	0
2	1	76	0
3	1	77	0
4	1	78	0
5	1	79	0
6	1	80	-2.62396
7	1	81	-8.124325
8	1	82	-13.481351
9	1	83	-18.139189
10	1	84	-15.410979
11	1	15	-9.320521
12	1	83	-20.174225
13	1	85	-38.427845
14	1	86	-50.857212
15	1	87	-57.285122
16	1	15	-60.840923
17	1	88	-63.808342
18	1	89	-67.674553
19	1	90	-68.178932
20	1	84	-62.560585
21	1	88	-54.546047
22	1	91	-48.443314
23	1	92	-41.698299
24	1	93	-28.844402
25	1	94	-14.479246
26	1	21	-2.575226
27	1	95	6.73274
28	1	96	8.019802
29	1	97	1.100022
30	1	98	0.026367
31	1	99	0
32	1	100	0
33	1	101	0
34	1	102	0
35	1	103	0
36	1	104	0
37	1	105	-13.423486
38	1	106	-16.990934
39	1	107	-17.800177
40	1	92	-17.956301
41	1	20	-16.460247
42	1	35	-13.156427
43	1	108	-9.388526
44	1	42	-6.206701
45	1	43	-4.125389
46	1	109	-3.792145
47	1	110	-10.471453
48	1	44	-16.018372
49	1	44	-17.222004
50	1	61	-3.801678
51	1	61	-0.619911
52	1	60	0
53	1	44	0
54	1	60	0
55	1	45	0
56	1	50	0
57	1	46	0
58	1	47	0
59	1	66	0
60	1	111	0
61	1	112	0
62	1	112	0
63	1	113	-0.143805
64	1	49	0
65	1	114	0
66	1	115	0
67	1	116	0
68	1	117	0
69	1	54	-0.088108
70	1	55	0
71	1	118	0
72	1	119	0
73	1	61	0
74	1	60	0
75	1	60	0
76	1	120	0
77	1	121	0
78	1	59	0
79	1	44	0
80	1	60	0
81	1	65	0
82	1	48	0
83	1	50	0
84	1	122	0
85	1	123	0
86	1	123	-0.155824
87	1	123	-0.794413
88	1	124	-2.364573
89	1	0	-3.625953
90	1	67	-3.639905
91	1	125	-2.67502
92	1	72	-2.723722
93	1	60	-11.072974
94	1	43	-21.472956
95	1	125	-20.598101
96	1	71	-10.796827
97	1	72	-3.791951
98	1	60	-5.442429
99	1	60	-14.837029
100	1	61	-23.535746
101	1	60	-24.80876
102	1	43	-19.533056
103	1	44	-14.932548
104	1	60	-11.13157
105	1	61	-10.115473
106	1	44	-6.88843
107	1	61	-2.875826
108	1	60	-0.803855
109	1	126	-0.035825
110	1	127	0
111	1	128	0
112	1	129	0
113	1	130	0
114	1	72	0
115	1	125	0
116	1	72	0
117	1	44	0
118	1	61	0
119	1	43	0
120	1	44	0
121	1	61	0
122	1	61	0
123	1	45	0
124	1	68	0
125	1	69	0
126	1	131	0
127	1	132	0
128	1	133	0
0	2	88	0
1	2	91	0
2	2	134	0
3	2	135	0
4	2	136	-0.041989
5	2	137	-3.397813
6	2	138	-12.727536
7	2	17	-21.505527
8	2	18	-28.37051
9	2	11	-32.275742
10	2	16	-32.904675
11	2	139	-23.704769
12	2	94	-23.328472
13	2	140	-48.27343
14	2	141	-68.812508
15	2	142	-80.124969
16	2	143	-84.634354
17	2	20	-86.652649
18	2	93	-88.237358
19	2	144	-86.544922
20	2	91	-80.301201
21	2	145	-70.248016
22	2	145	-61.565228
23	2	92	-52.413425
24	2	23	-40.210438
25	2	146	-27.513199
26	2	147	-15.980307
27	2	148	-7.124386
28	2	149	-2.062301
29	2	150	-0.473269
30	2	151	-0.73285
31	2	38	-0.475565
32	2	152	-0.17095
33	2	153	-0.032549
34	2	154	0
35	2	154	-1.56076
36	2	155	-3.229572
37	2	23	-21.093126
38	2	156	-18.069324
39	2	23	-14.176352
40	2	157	-18.425261
41	2	158	-22.107704
42	2	159	-19.336521
43	2	160	-16.067032
44	2	61	-13.239651
45	2	161	-11.443597
46	2	162	-11.861069
47	2	43	-15.271567
48	2	43	-21.243534
49	2	61	-23.225887
50	2	60	-17.297886
51	2	61	-5.187741
52	2	44	-0.517741
53	2	61	0
54	2	44	0
55	2	61	0
56	2	45	0
57	2	50	0
58	2	50	0
59	2	49	0
60	2	66	0
61	2	66	-0.696798
62	2	67	-6.364754
63	2	163	-8.255274
64	2	164	-3.080294
65	2	165	-1.221719
66	2	166	-0.822854
67	2	167	-2.905425
68	2	168	-6.769446
69	2	169	-8.341924
70	2	119	-8.09695
71	2	170	-4.287284
72	2	171	-0.023619
73	2	112	0
74	2	172	0
75	2	173	0
76	2	174	0
77	2	71	0
78	2	72	0
79	2	61	0
80	2	45	0
81	2	68	0
82	2	61	0
83	2	175	0
84	2	176	0
85	2	176	-1.303591
86	2	177	-3.973017
87	2	178	-9.118634
88	2	50	-14.932957
89	2	68	-17.919355
90	2	179	-16.302963
91	2	180	-12.174561
92	2	61	-10.554606
93	2	61	-17.535107
94	2	181	-25.369493
95	2	182	-23.082384
96	2	183	-17.226633
97	2	60	-14.348843
98	2	60	-17.115076
99	2	44	-26.841576
100	2	44	-35.220863
101	2	43	-33.477772
102	2	44	-27.415335
103	2	44	-22.0476
104	2	44	-19.385599
105	2	60	-16.332897
106	2	60	-11.087309
107	2	60	-5.958442
108	2	181	-2.129089
109	2	183	-0.264112
110	2	126	-0.004901
111	2	184	-0.000143
112	2	185	-0.029662
113	2	186	-1.467804
114	2	175	-6.188907
115	2	187	-8.505663
116	2	44	-8.850377
117	2	159	-5.182316
118	2	160	-0.940186
119	2	125	0
120	2	72	0
121	2	60	0
122	2	69	0
123	2	131	0
124	2	188	0
125	2	189	0
126	2	190	0
127	2	191	0
128	2	192	0
0	3	193	0
1	3	194	-0.000001
2	3	195	0
3	3	196	-0.02834
4	3	197	-4.460665
5	3	198	-14.246774
6	3	16	-25.784931
7	3	88	-36.414799
8	3	90	-42.106525
9	3	84	-54.055046
10	3	199	-62.479622
11	3	200	-50.264694
12	3	20	-40.328106
13	3	21	-50.393696
14	3	201	-76.806091
15	3	202	-92.839706
16	3	145	-97.367432
17	3	203	-98.469337
18	3	200	-97.973053
19	3	20	-95.49958
20	3	92	-88.100296
21	3	145	-79.419098
22	3	20	-70.018753
23	3	93	-60.639046
24	3	204	-50.946995
25	3	205	-39.832241
26	3	206	-29.207245
27	3	207	-20.358784
28	3	208	-13.909823
29	3	94	-9.653042
30	3	23	-6.804879
31	3	156	-4.695319
32	3	93	-3.176403
33	3	2	-2.867265
34	3	209	-6.881859
35	3	210	-19.695902
36	3	146	-25.44562
37	3	211	-24.161917
38	3	212	-9.444461
39	3	213	-0.876715
40	3	214	-10.32859
41	3	113	-23.694218
42	3	46	-25.32889
43	3	215	-22.33123
44	3	216	-19.745607
45	3	217	-16.525145
46	3	159	-13.250097
47	3	160	-15.940031
48	3	44	-22.86344
49	3	44	-25.141123
50	3	109	-23.091795
51	3	110	-14.152921
52	3	43	-8.506788
53	3	43	-6.981209
54	3	60	-8.409435
55	3	61	-7.14426
56	3	44	-1.728678
57	3	44	0
58	3	45	2.611335
59	3	50	2.521036
60	3	50	0.096425
61	3	46	-3.115042
62	3	218	-12.5788
63	3	119	-18.160025
64	3	219	-11.41824
65	3	59	-9.903659
66	3	125	-13.282316
67	3	220	-15.604826
68	3	112	-20.058298
69	3	112	-21.665516
70	3	221	-22.265976
71	3	222	-18.559645
72	3	124	-7.96934
73	3	223	-0.535512
74	3	177	-2.1288
75	3	224	-3.246451
76	3	177	-2.669242
77	3	225	-1.739952
78	3	172	-1.595252
79	3	71	-0.280886
80	3	72	-0.04721
81	3	44	-0.072215
82	3	181	-0.265734
83	3	182	-1.436381
84	3	224	-5.299678
85	3	130	-13.502643
86	3	72	-23.757555
87	3	43	-33.36079
88	3	60	-39.926918
89	3	45	-41.684223
90	3	68	-38.399433
91	3	125	-31.317989
92	3	72	-23.883715
93	3	159	-21.447208
94	3	112	-23.693144
95	3	160	-22.72057
96	3	61	-19.98284
97	3	60	-20.117537
98	3	43	-25.342371
99	3	43	-33.715134
100	3	125	-37.085491
101	3	71	-33.422783
102	3	71	-26.402166
103	3	72	-21.216139
104	3	44	-18.079195
105	3	61	-14.791284
106	3	125	-10.431802
107	3	71	-6.013376
108	3	72	-2.518657
109	3	181	-0.603998
110	3	226	-0.090301
111	3	227	-0.435428
112	3	228	-3.686134
113	3	229	-12.824833
114	3	186	-22.513248
115	3	159	-27.439341
116	3	230	-25.731213
117	3	231	-20.740129
118	3	232	-12.222391
119	3	233	-4.055413
120	3	234	-3.821932
121	3	235	-5.720159
122	3	228	-2.977093
123	3	236	0
124	3	237	0
125	3	1	0
126	3	204	0
127	3	238	0
128	3	239	0
0	4	240	0
1	4	133	0
2	4	19	0
3	4	23	-3.395322
4	4	241	-13.904286
5	4	15	-26.76833
6	4	19	-39.440575
7	4	21	-50.28632
8	4	242	-56.030388
9	4	15	-69.571442
10	4	243	-84.60424
11	4	156	-82.157463
12	4	93	-62.663818
13	4	2	-49.815475
14	4	244	-71.906342
15	4	245	-97.181923
16	4	246	-105.011749
17	4	91	-103.93708
18	4	145	-100.423523
19	4	203	-96.273293
20	4	247	-92.175453
21	4	247	-85.592979
22	4	247	-75.230705
23	4	200	-60.420158
24	4	248	-52.336086
25	4	149	-50.73645
26	4	96	-41.626564
27	4	249	-33.166134
28	4	24	-26.337675
29	4	146	-21.099617
30	4	98	-17.074821
31	4	250	-13.91688
32	4	251	-11.697633
33	4	138	-11.386217
34	4	139	-15.374681
35	4	2	-29.607212
36	4	213	-37.44075
37	4	252	-31.090637
38	4	253	-9.571043
39	4	25	0.803435
40	4	254	-12.709173
41	4	255	-29.112694
42	4	201	-31.134897
43	4	256	-28.138844
44	4	67	-23.772844
45	4	45	-13.887601
46	4	46	-4.86551
47	4	160	-7.169003
48	4	60	-17.513172
49	4	257	-24.90789
50	4	119	-25.716883
51	4	43	-25.627815
52	4	159	-24.425661
53	4	112	-21.332001
54	4	112	-20.285316
55	4	160	-17.097168
56	4	44	-4.99607
57	4	60	7.49367
58	4	159	12.498916
59	4	112	9.41547
60	4	113	2.678519
61	4	68	-4.163428
62	4	44	-9.119493
63	4	61	-12.683416
64	4	60	-12.898329
65	4	175	-17.281248
66	4	258	-25.343977
67	4	259	-27.822523
68	4	123	-19.944283
69	4	123	-16.813681
70	4	260	-20.292595
71	4	261	-25.031092
72	4	260	-18.824409
73	4	130	-10.569506
74	4	262	-8.236056
75	4	130	-6.279619
76	4	263	-5.279692
77	4	264	-5.582479
78	4	224	-6.669156
79	4	187	-4.835365
80	4	43	-2.132759
81	4	159	-2.262862
82	4	112	-5.076317
83	4	265	-11.0003
84	4	266	-20.623198
85	4	180	-32.395859
86	4	44	-43.56918
87	4	61	-52.529633
88	4	43	-57.735394
89	4	125	-59.07478
90	4	262	-56.973209
91	4	130	-50.157421
92	4	267	-39.114731
93	4	0	-28.084093
94	4	67	-21.178698
95	4	125	-19.289158
96	4	72	-19.048004
97	4	61	-21.672705
98	4	61	-27.161352
99	4	175	-32.161812
100	4	177	-32.153088
101	4	224	-24.658829
102	4	130	-16.466164
103	4	71	-12.808742
104	4	71	-11.504731
105	4	262	-10.016048
106	4	268	-7.995842
107	4	187	-5.661249
108	4	60	-3.417323
109	4	175	-2.028224
110	4	269	-4.990746
111	4	270	-9.713069
112	4	271	-17.187361
113	4	228	-25.565191
114	4	272	-33.586777
115	4	273	-38.484436
116	4	274	-43.324978
117	4	275	-43.096062
118	4	236	-35.363045
119	4	270	-28.372707
120	4	276	-27.100597
121	4	276	-23.046661
122	4	277	-13.75704
123	4	45	-3.852926
124	4	278	0
125	4	203	0
126	4	247	0
127	4	247	0
128	4	279	0
0	5	191	0
1	5	280	0
2	5	281	-0.999185
3	5	11	-8.784718
4	5	88	-21.704929
5	5	91	-37.67868
6	5	93	-51.434082
7	5	144	-60.761909
8	5	89	-63.317081
9	5	282	-72.872887
10	5	283	-90.842178
11	5	200	-94.783417
12	5	284	-84.82608
13	5	285	-68.927315
14	5	286	-72.382896
15	5	287	-96.095482
16	5	247	-105.765182
17	5	247	-101.77314
18	5	82	-95.087296
19	5	83	-92.005905
20	5	84	-95.51844
21	5	12	-91.402603
22	5	243	-71.96209
