x	y	texture	height
0	0	0	0
1	0	0	0
2	0	1	0
3	0	0	0
4	0	1	0
5	0	2	0
6	0	3	0
7	0	4	0
8	0	5	0
9	0	6	0
10	0	1	0
11	0	7	0
12	0	8	0
13	0	9	0
14	0	10	0
15	0	8	0
16	0	9	0
17	0	9	0
18	0	11	0
19	0	3	0
20	0	3	0
21	0	12	0
22	0	1	0
23	0	1	0
24	0	1	0
25	0	13	0
26	0	14	0
27	0	15	0
28	0	16	0
29	0	14	0
30	0	14	0
31	0	17	0
32	0	18	0
33	0	18	0
34	0	18	0
35	0	19	0
36	0	14	0
37	0	20	0
38	0	21	0
39	0	13	0
40	0	14	0
41	0	22	0
42	0	1	0
43	0	1	0
44	0	1	0
45	0	0	0
46	0	1	0
47	0	0	0
48	0	0	0
49	0	1	0
50	0	1	0
51	0	23	0
52	0	24	0
53	0	25	0
54	0	1	0
55	0	1	0
56	0	1	0
57	0	1	0
58	0	1	0
59	0	1	0
60	0	1	0
61	0	1	0
62	0	1	0
63	0	1	0
64	0	1	0
65	0	1	0
66	0	1	0
67	0	1	0
68	0	1	0
69	0	1	0
70	0	1	0
71	0	1	0
72	0	1	0
73	0	1	0
74	0	26	0
75	0	27	0
76	0	28	0
77	0	1	0
78	0	29	0
79	0	30	0
80	0	14	0
81	0	14	0
82	0	14	0
83	0	31	0
84	0	32	0
85	0	33	0
86	0	34	0
87	0	34	0
88	0	34	0
89	0	34	0
90	0	34	0
91	0	34	0
92	0	34	0
93	0	34	0
94	0	35	0
95	0	36	0
96	0	37	0
97	0	38	0
98	0	39	0
99	0	34	0
100	0	40	0
101	0	41	0
102	0	42	0
103	0	43	0
104	0	44	0
105	0	45	0
106	0	46	0
107	0	34	0
108	0	34	0
109	0	40	0
110	0	44	0
111	0	34	0
112	0	34	0
113	0	47	0
114	0	48	0
115	0	34	0
116	0	49	0
117	0	50	0
118	0	14	0
119	0	48	0
120	0	49	0
121	0	50	0
122	0	22	0
123	0	1	0
124	0	1	0
125	0	1	0
126	0	1	0
127	0	1	0
128	0	0	0
0	1	1	0
1	1	1	12.302556
2	1	0	14.330894
3	1	1	22.570704
4	1	7	34.408115
5	1	5	48.353645
6	1	6	61.852402
7	1	1	65.653389
8	1	1	81.742897
9	1	1	93.720009
10	1	1	84.826904
11	1	51	59.628025
12	1	10	35.851738
13	1	6	25.777821
14	1	7	19.388861
15	1	5	16.162743
16	1	8	14.870921
17	1	9	14.247584
18	1	9	14.136247
19	1	10	16.688581
20	1	6	19.238977
21	1	1	23.416943
22	1	1	27.165571
23	1	1	25.048935
24	1	13	17.459738
25	1	15	4.868822
26	1	52	-5.223714
27	1	13	-9.389794
28	1	15	-9.099661
29	1	16	-7.599109
30	1	53	-6.971179
31	1	54	-6.913946
32	1	55	-7.326437
33	1	56	-7.616406
34	1	57	-7.24616
35	1	14	-8.172224
36	1	14	-6.98514
37	1	22	-8.417721
38	1	58	-7.851911
39	1	59	-8.819793
40	1	52	-12.702173
41	1	1	-16.330509
42	1	1	-12.256257
43	1	1	-12.366555
44	1	0	-12.682046
45	1	1	-15.521721
46	1	0	-17.333788
47	1	0	-16.347372
48	1	0	-16.327347
49	1	1	-15.86941
50	1	60	-15.816655
51	1	61	-13.797155
52	1	62	-5.955958
53	1	25	11.668761
54	1	1	35.835594
55	1	1	28.991026
56	1	1	10.276061
57	1	1	3.753772
58	1	1	-5.096079
59	1	1	-11.268948
60	1	1	-9.221571
61	1	1	-11.277748
62	1	1	-12.092821
63	1	1	-10.12184
64	1	1	-8.414703
65	1	1	-6.413399
66	1	1	-7.903998
67	1	1	-6.465177
68	1	1	-6.482645
69	1	26	-14.729249
70	1	63	-19.045145
71	1	63	-15.872429
72	1	63	-15.083259
