x	y	texture	height
0	0	0	0
1	0	1	0
2	0	2	0
3	0	3	0
4	0	3	0
5	0	3	0
6	0	0	0
7	0	1	0
8	0	4	0
9	0	5	0
10	0	1	0
11	0	2	0
12	0	3	0
13	0	3	0
14	0	3	0
15	0	3	0
16	0	3	0
17	0	6	0
18	0	7	0
19	0	7	0
20	0	7	0
21	0	8	0
22	0	9	0
23	0	9	0
24	0	10	0
25	0	9	0
26	0	10	0
27	0	10	0
28	0	9	0
29	0	9	1.678584
30	0	9	7.846558
31	0	11	14.186973
32	0	7	9.932579
33	0	7	2.6564
34	0	7	0.727023
35	0	7	12.687723
36	0	7	20.618902
37	0	12	13.726645
38	0	13	2.452253
39	0	14	0.023783
40	0	14	0
41	0	14	0
42	0	14	0
43	0	14	0
44	0	14	0
45	0	14	0
46	0	14	0
47	0	14	0
48	0	14	0
49	0	14	0
50	0	14	0
51	0	14	0
52	0	14	0
53	0	15	0
54	0	10	0
55	0	10	0
56	0	9	0
57	0	11	0
58	0	8	0
59	0	9	0.220067
60	0	9	3.640077
61	0	10	9.783546
62	0	10	15.791653
63	0	9	20.734632
64	0	10	14.013836
65	0	10	2.218236
66	0	9	0.069338
67	0	10	0
68	0	10	0
69	0	10	0
70	0	9	0
71	0	9	0
72	0	9	0
73	0	10	0
74	0	10	0
75	0	10	0
76	0	10	0
77	0	9	0
78	0	9	0
79	0	11	0
80	0	8	0
81	0	11	0
82	0	7	0.095247
83	0	16	0
84	0	17	0
85	0	7	0
86	0	7	0
87	0	8	0
88	0	10	0
89	0	9	0
90	0	9	0
91	0	10	0
92	0	10	0
93	0	9	0
94	0	9	0
95	0	10	0
96	0	10	0
97	0	10	0
98	0	9	0
99	0	9	0
100	0	10	0
101	0	11	0
102	0	7	0
103	0	8	0
104	0	10	0
105	0	11	0
106	0	7	0
107	0	7	0
108	0	18	0
109	0	6	0
110	0	7	0
111	0	7	0
112	0	7	0
113	0	7	0
114	0	8	0
115	0	19	0
116	0	20	0
117	0	6	0
118	0	7	0
119	0	8	0
120	0	9	0
121	0	11	0
122	0	7	0
123	0	8	0
124	0	9	0
125	0	19	0
126	0	21	0
127	0	19	0
128	0	22	0
0	1	23	0
1	1	24	16.196936
2	1	3	17.742947
3	1	3	21.315397
4	1	3	25.16711
5	1	22	18.582495
6	1	25	-1.771097
7	1	26	-41.432858
8	1	27	-30.71829
9	1	28	-10.200108
10	1	29	-27.623259
11	1	3	-19.127937
12	1	3	-6.336312
13	1	3	2.358999
14	1	3	-3.067121
15	1	6	1.580695
16	1	8	7.644009
17	1	10	31.319654
18	1	9	67.299911
19	1	10	90.362587
20	1	9	77.045288
21	1	19	57.67622
22	1	30	59.521091
23	1	21	62.793022
24	1	9	62.033138
25	1	9	60.355846
26	1	9	63.703484
27	1	10	62.165436
28	1	9	62.306278
29	1	9	73.209251
30	1	10	87.432762
31	1	10	94.176956
32	1	9	90.115547
33	1	9	71.774193
34	1	9	58.018692
35	1	31	62.19091
36	1	32	68.273819
37	1	14	41.145199
38	1	14	22.509336
39	1	14	19.49087
40	1	14	34.350628
41	1	33	52.332909
42	1	34	73.514496
43	1	34	79.543694
44	1	34	64.210075
45	1	35	51.709694
46	1	36	52.710896
47	1	37	61.077068
48	1	37	61.359322
49	1	37	67.923042
50	1	38	56.557869
51	1	36	52.624226
52	1	39	49.824917
53	1	10	39.771564
54	1	10	44.644066
55	1	9	46.733032
56	1	9	26.016638
57	1	10	18.036247
58	1	9	4.333312
59	1	9	-15.57187
60	1	9	-16.390884
61	1	19	-17.552979
62	1	21	-32.626987
63	1	10	-27.751265
64	1	9	-23.003983
65	1	9	-27.884449
66	1	10	-11.586515
67	1	9	5.460101
68	1	10	39.449463
69	1	19	81.400558
70	1	21	77.684082
71	1	10	61.868488
72	1	19	40.586132
73	1	21	32.844776
74	1	10	10.991657
75	1	9	9.186537
76	1	9	20.639725
77	1	9	40.29137
78	1	9	58.38517
79	1	10	52.981754
80	1	40	34.826229
81	1	41	25.736576
82	1	42	24.754662
83	1	43	24.05723
84	1	9	24.538006
85	1	9	40.861107
86	1	9	72.033768
87	1	9	111.839005
88	1	9	115.327667
89	1	9	99.494545
90	1	9	96.885536
91	1	9	83.411095
92	1	9	83.829308
93	1	9	73.889572
94	1	10	59.611813
95	1	10	61.449203
96	1	10	81.338806
97	1	10	119.482826
98	1	10	144.848236
99	1	10	148.513855
100	1	10	140.454102
101	1	10	125.327271
102	1	10	129.991974
103	1	19	144.39772
104	1	30	168.041794
105	1	21	186.135239
106	1	10	186.897751
107	1	11	169.883957
108	1	8	160.712219
109	1	19	158.09877
110	1	30	157.549362
111	1	30	154.336609
112	1	30	149.894272
113	1	30	143.235428
114	1	20	136.402176
115	1	3	127.177467
116	1	44	117.281326
117	1	21	105.03508
118	1	19	91.445534
119	1	30	80.616753
120	1	30	71.964867
121	1	30	63.80381
122	1	30	56.207489
123	1	21	51.52578
124	1	11	48.890915
125	1	45	46.221519
126	1	20	41.4016
127	1	22	34.597168
128	1	23	0
0	2	46	0
1	2	2	21.026665
2	2	0	25.825649
3	2	1	32.75428
4	2	47	31.999773
5	2	48	16.809618
6	2	49	-2.794903
7	2	50	-24.201233
8	2	51	-22.596931
9	2	52	-19.386513
10	2	3	-8.70509
11	2	6	23.473141
12	2	7	16.864145
13	2	7	22.853973
14	2	8	17.598835
15	2	9	31.06818
16	2	9	48.439163
17	2	10	74.734344
18	2	19	108.231255
19	2	21	123.783173
20	2	11	124.451569
21	2	7	97.784348
22	2	8	92.742027
23	2	19	85.370377
24	2	21	78.134575
25	2	10	75.468712
26	2	10	81.023247
27	2	19	85.029373
28	2	30	104.542274
29	2	21	120.531013
30	2	9	138.011093
31	2	31	129.498154
32	2	53	108.116959
33	2	53	76.593864
34	2	32	57.302235
35	2	14	71.025497
36	2	14	78.495811
37	2	14	69.321098
38	2	14	68.881691
39	2	14	87.984787
40	2	54	90.862167
41	2	55	100.528786
42	2	55	113.878418
43	2	55	117.123642
44	2	56	104.701996
45	2	8	97.390602
46	2	10	103.26149
47	2	9	118.864029
48	2	9	109.043213
49	2	11	90.105537
50	2	8	73.355942
51	2	9	73.277603
52	2	10	75.915565
53	2	9	67.429749
54	2	9	67.777939
55	2	10	66.418869
56	2	9	45.16803
57	2	10	21.642195
58	2	9	3.067907
59	2	9	-16.235439
60	2	11	-13.484021
61	2	8	-8.423295
62	2	10	-18.513628
63	2	10	-32.492081
64	2	9	-34.69656
65	2	10	-42.814594
66	2	9	-27.640381
67	2	9	-1.089153
68	2	11	28.991634
69	2	16	72.775543
70	2	41	92.558128
71	2	17	70.517281
72	2	8	55.693432
73	2	10	44.233776
74	2	10	22.008512
75	2	9	21.220453
76	2	9	50.922497
77	2	10	77.060562
78	2	40	77.179924
79	2	42	61.498138
80	2	57	63.001461
81	2	58	57.284824
82	2	59	49.836361
83	2	60	46.775082
84	2	9	57.656902
85	2	10	68.551453
86	2	10	101.32959
87	2	9	143.541458
88	2	10	152.404358
89	2	9	139.421509
90	2	9	126.827087
91	2	10	104.144073
92	2	9	101.815262
93	2	10	97.854103
94	2	9	102.869896
95	2	10	107.708939
96	2	9	129.909637
97	2	10	175.559174
98	2	9	200.399139
99	2	9	202.6548
100	2	10	200.280914
101	2	10	185.696106
102	2	11	183.591476
103	2	7	194.450562
104	2	8	212.046188
105	2	19	229.001755
106	2	30	230.864868
107	2	30	217.545532
108	2	20	209.461304
109	2	3	205.988586
110	2	3	206.424805
111	2	3	206.643097
112	2	6	201.17627
113	2	7	194.326553
114	2	7	184.625168
115	2	7	172.03215
116	2	45	157.175156
117	2	20	140.553772
118	2	3	122.230736
119	2	3	110.582939
120	2	3	101.428864
121	2	6	92.092766
122	2	8	81.820137
123	2	10	74.407867
124	2	61	69.948479
125	2	3	65.308327
126	2	47	57.974686
127	2	62	47.725304
128	2	63	0
0	3	46	0
1	3	47	25.88158
2	3	64	34.724266
3	3	65	46.464237
4	3	65	46.014416
5	3	65	43.591564
6	3	66	40.296257
7	3	67	22.388222
8	3	68	10.083484
9	3	7	4.683308
10	3	8	19.950615
11	3	10	32.562008
12	3	9	47.443817
13	3	10	53.422661
14	3	69	56.309837
15	3	70	74.846184
16	3	70	98.281822
17	3	71	124.563042
18	3	45	159.026199
19	3	21	174.930557
20	3	10	170.498199
21	3	9	160.252762
22	3	11	134.015411
23	3	45	119.298447
24	3	21	106.666077
25	3	10	120.035316
26	3	11	132.394699
27	3	7	156.863342
28	3	8	180.697678
29	3	31	201.199707
30	3	32	202.3069
31	3	14	185.445404
32	3	33	155.44165
33	3	34	122.980522
34	3	34	106.706146
35	3	34	124.605591
36	3	34	133.145828
37	3	72	112.781174
38	3	14	119.437866
39	3	14	148.483002
40	3	14	145.875366
41	3	73	153.747314
42	3	74	172.576691
43	3	75	181.704346
44	3	53	174.194656
45	3	53	169.746841
46	3	53	171.236816
47	3	76	173.640411
48	3	19	155.045212
49	3	21	129.093414
50	3	9	102.522423
51	3	9	81.641022
52	3	9	70.761292
53	3	9	78.852882
54	3	9	81.566353
55	3	10	69.514442
56	3	9	42.684994
57	3	9	22.28809
58	3	10	13.888205
59	3	10	3.963139
60	3	9	19.004461
61	3	10	23.179346
62	3	10	8.753816
63	3	10	-26.063473
64	3	9	-46.464558
65	3	9	-61.765579
66	3	40	-45.988701
67	3	41	-30.261528
68	3	42	19.691555
69	3	77	62.682304
70	3	78	89.791183
71	3	76	89.227539
72	3	19	77.859726
73	3	21	63.266167
74	3	10	38.635445
75	3	31	39.766171
76	3	53	56.868797
77	3	79	93.312111
78	3	80	118.133255
79	3	80	111.177422
80	3	81	90.093208
81	3	82	93.35498
82	3	83	86.26313
83	3	84	85.874733
84	3	84	97.756882
85	3	85	106.060188
86	3	9	143.041992
87	3	86	171.619171
88	3	84	175.671326
89	3	87	168.167892
90	3	30	148.395172
91	3	21	127.467079
92	3	9	118.011665
93	3	10	118.419281
94	3	9	126.804565
95	3	10	139.210526
96	3	10	178.578964
97	3	10	209.43338
98	3	86	219.960587
99	3	84	217.056702
100	3	84	210.123703
101	3	87	193.990097
102	3	30	198.713379
103	3	30	214.601791
104	3	88	234.209747
105	3	7	248.642853
106	3	7	250.148056
107	3	7	249.26503
108	3	7	244.593857
109	3	7	243.638824
110	3	7	248.041382
111	3	8	249.753906
112	3	10	245.817169
113	3	9	238.057449
114	3	9	226.330154
115	3	11	211.091202
116	3	7	192.211166
117	3	7	169.350189
118	3	7	149.897202
119	3	18	138.149719
120	3	89	127.973824
121	3	10	116.510956
122	3	10	106.912239
123	3	61	99.494911
124	3	3	95.052505
125	3	63	89.948669
126	3	62	79.227684
127	3	63	62.506714
128	3	62	0
0	4	63	0
1	4	90	29.711596
2	4	91	41.290707
3	4	92	55.645756
4	4	93	61.616619
5	4	94	63.180206
6	4	95	62.211792
7	4	75	53.095646
8	4	76	45.29353
9	4	10	41.657215
10	4	69	48.787399
11	4	70	56.929028
12	4	70	72.446365
13	4	96	87.091286
14	4	97	97.00676
15	4	98	116.309624
16	4	99	144.219299
17	4	100	170.188095
18	4	101	205.967438
19	4	10	197.853134
20	4	9	195.294708
21	4	9	186.396164
22	4	11	194.563446
23	4	8	175.885101
24	4	9	175.155167
25	4	10	191.134323
26	4	9	211.111084
27	4	31	226.634323
28	4	32	229.194504
29	4	14	237.203522
30	4	14	239.072159
31	4	102	225.523041
32	4	103	204.046509
33	4	103	182.597153
34	4	104	171.833313
35	4	104	191.64856
36	4	105	197.195496
37	4	72	176.668976
38	4	73	178.296951
39	4	106	193.450821
40	4	107	194.927246
41	4	108	212.415176
42	4	14	241.274551
43	4	14	248.124069
44	4	14	244.317184
45	4	109	240.658386
46	4	110	240.413895
47	4	111	231.538696
48	4	112	215.686188
49	4	84	186.103271
50	4	84	147.958115
51	4	85	113.057594
52	4	10	85.237732
53	4	10	84.475548
54	4	9	95.289131
55	4	9	85.721046
56	4	19	58.383389
57	4	21	44.115971
58	4	10	42.7141
59	4	10	58.489407
60	4	10	70.190582
61	4	10	61.787098
62	4	40	55.481415
63	4	41	11.045795
64	4	41	-37.114342
65	4	42	-52.603539
66	4	80	-63.449184
67	4	77	-57.640221
68	4	113	-3.701457
69	4	34	59.179306
70	4	114	98.152771
71	4	115	107.475876
72	4	116	89.75576
73	4	60	68.674957
74	4	117	55.388882
75	4	14	66.612892
76	4	118	79.120522
77	4	119	111.12719
78	4	119	136.089279
79	4	120	117.21994
80	4	121	106.43412
81	4	122	125.417763
82	4	121	130.351196
83	4	123	127.845261
84	4	124	134.56813
85	4	9	147.060135
86	4	125	179.180222
87	4	123	199.159546
88	4	126	204.208862
89	4	127	195.84169
90	4	8	171.2202
91	4	19	167.502579
92	4	21	152.828049
93	4	10	146.840271
94	4	10	141.797653
95	4	9	151.961029
96	4	86	183.034149
97	4	128	201.727356
98	4	104	216.906326
99	4	123	211.195663
100	4	129	204.919159
101	4	3	190.60643
102	4	6	190.851028
103	4	130	210.251587
104	4	53	236.534851
105	4	131	257.713104
106	4	30	263.81839
107	4	21	267.733551
108	4	9	269.311707
109	4	10	273.197083
110	4	9	275.232483
111	4	19	278.093079
112	4	21	276.933136
113	4	10	269.588135
114	4	9	256.663635
115	4	9	235.865494
116	4	10	209.775421
117	4	9	184.225708
118	4	11	166.84903
119	4	8	154.385529
120	4	9	146.379517
121	4	19	139.465393
122	4	88	131.717941
123	4	18	125.147583
124	4	132	119.683846
125	4	62	112.095039
126	4	62	96.693092
127	4	133	76.042587
128	4	134	0
0	5	134	0
1	5	135	31.276808
2	5	92	44.294052
3	5	136	60.792744
4	5	14	70.364594
5	5	14	74.28257
6	5	14	78.085808
7	5	15	83.988235
8	5	69	86.491348
9	5	96	86.851784
10	5	97	86.063965
11	5	137	89.510895
12	5	138	99.868881
13	5	97	115.048447
14	5	139	133.464294
15	5	97	152.157242
16	5	97	176.025269
17	5	99	202.220612
18	5	140	187.858917
19	5	9	201.955215
20	5	10	204.890091
21	5	10	203.839554
