x	y	texture	height
0	0	0	0
1	0	0	0
2	0	1	0
3	0	0	0
4	0	0	0
5	0	0	0
6	0	2	0
7	0	2	0
8	0	2	0
9	0	3	0
10	0	3	0
11	0	0	0
12	0	3	0
13	0	0	0
14	0	2	0
15	0	4	0
16	0	5	0
17	0	6	0
18	0	7	0
19	0	6	0
20	0	6	0
21	0	6	0
22	0	7	0
23	0	7	0
24	0	5	0
25	0	7	0
26	0	5	0
27	0	5	0
28	0	7	0
29	0	7	0
30	0	6	0
31	0	5	0
32	0	5	0
33	0	7	0
34	0	7	0
35	0	7	0
36	0	7	0
37	0	5	0
38	0	7	0
39	0	6	0
40	0	5	0
41	0	8	0
42	0	9	0
43	0	9	0
44	0	9	0
45	0	9	0
46	0	9	0
47	0	10	0
48	0	7	0
49	0	6	0
50	0	5	0
51	0	5	0
52	0	7	0
53	0	5	0
54	0	5	0
55	0	5	0
56	0	7	0
57	0	7	0
58	0	5	0
59	0	7	0
60	0	7	0
61	0	5	0
62	0	6	0
63	0	5	0
64	0	6	0
65	0	6	0
66	0	7	0
67	0	6	0
68	0	7	0
69	0	7	0
70	0	5	0
71	0	6	0
72	0	7	0
73	0	6	0
74	0	7	0
75	0	7	0
76	0	6	0
77	0	7	0
78	0	11	0
79	0	12	0
80	0	12	0
81	0	12	0
82	0	12	0
83	0	12	0
84	0	12	0
85	0	13	0
86	0	14	0
87	0	13	0
88	0	15	0
89	0	16	0
90	0	5	0
91	0	6	0
92	0	7	0
93	0	6	0
94	0	11	0
95	0	17	0
96	0	11	0
97	0	18	0
98	0	19	0
99	0	20	0
100	0	12	0
101	0	17	0
102	0	5	0
103	0	5	0
104	0	11	0
105	0	12	0
106	0	17	0
107	0	5	0
108	0	7	0
109	0	11	0
110	0	12	0
111	0	12	0
112	0	18	0
113	0	21	0
114	0	6	0
115	0	6	0
116	0	6	0
117	0	6	0
118	0	22	0
119	0	23	0
120	0	20	0
121	0	12	0
122	0	12	0
123	0	12	0
124	0	12	0
125	0	17	0
126	0	6	0
127	0	7	0
128	0	5	0
0	1	0	0
1	1	24	29.650316
2	1	25	35.245525
3	1	25	27.444851
4	1	25	16.259993
5	1	25	14.66431
6	1	26	23.784946
7	1	1	23.949135
8	1	0	18.150759
9	1	1	12.88352
10	1	0	18.14411
11	1	3	32.517319
12	1	24	58.139355
13	1	25	75.125801
14	1	27	73.518623
15	1	6	54.800938
16	1	7	36.983902
17	1	7	33.520679
18	1	7	38.620659
19	1	5	44.241043
20	1	5	51.591934
21	1	7	62.323647
22	1	7	62.232407
23	1	5	49.601372
24	1	5	27.018978
25	1	7	12.01928
26	1	7	19.110697
27	1	5	38.277603
28	1	5	47.360786
29	1	5	39.06794
30	1	6	27.846563
31	1	7	22.220486
32	1	7	24.680004
33	1	5	31.71253
34	1	5	34.912945
35	1	5	28.302679
36	1	5	15.801632
37	1	6	5.182527
38	1	6	3.651462
39	1	7	4.118865
40	1	5	6.02688
41	1	6	7.786741
42	1	6	6.337248
43	1	6	4.589526
44	1	7	12.255852
45	1	5	16.553514
46	1	7	10.733861
47	1	7	3.418143
48	1	6	5.894023
49	1	7	15.044636
50	1	5	19.328043
51	1	6	14.440052
52	1	7	4.477074
53	1	7	2.540637
54	1	6	6.842064
55	1	5	20.361052
56	1	6	30.862909
57	1	5	32.85812
58	1	7	26.874264
59	1	5	17.357845
60	1	7	14.575745
61	1	5	10.271787
62	1	5	8.244699
63	1	5	6.640883
64	1	7	3.880052
65	1	7	0.485399
66	1	5	0
67	1	11	0
68	1	12	0
69	1	12	0
70	1	12	0
71	1	12	0
72	1	12	0
73	1	12	0
74	1	12	0
75	1	12	0
76	1	12	0
77	1	18	0
78	1	19	0
79	1	19	0
80	1	19	0
